SUA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
2010,0,0,0,5,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,7,0,18,5,10,8,9,6,56,19,39,74,106,54,53,47,56,26,470,531,1007,933,2144,999,1118,984,700,359,8764,0,0,0,0,0,0,0,0,0,0,967,1978,1715,3457,1660,1869,1614,1030,487,14773,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,5,0,0,0,3,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,9,19,13,40,40,29,10,167,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4
2011,129,1004,3643,17950,11242,9126,5468,1601,771,50931,4,33,72,392,275,326,275,199,89,1662,9,67,326,1306,455,251,130,38,3,2594,611,4348,7584,36061,15102,13112,11269,7494,3671,99253,5128,11081,11357,33328,11771,9844,8965,7164,4726,103360,138502,285762,288595,757259,315500,266382,209161,124858,60543,2446560,128,1674,3890,12058,3263,1613,651,191,49,23519,264488,484448,413296,745719,350248,276440,188759,100002,42516,2865912,41,626,853,5931,1259,573,323,50,6,9663,6,35,146,2876,1418,2022,1169,636,174,8480,33,202,352,3789,590,265,121,41,6,5397,59,394,1536,5794,3189,2631,1791,654,197,16253,126,539,551,3762,1563,978,526,207,47,8292,23,125,175,2304,1618,1392,1302,747,118,7806,583,7253,20405,73801,22262,21233,13314,4724,2303,165872,8,30,65,1449,1295,2812,3147,2995,978,12770,53,667,1085,3011,1221,2039,2649,1838,703,13269,594,5224,7557,27690,20582,24561,20996,15687,6115,129002,19,205,633,4335,2409,2086,1140,455,125,11407,45,282,448,3401,1016,726,600,294,167,6985
2012,0,11,14,68,23,33,14,3,0,173,0,0,0,4,0,0,4,6,0,16,0,0,0,9,3,0,5,0,0,15,0,31,25,141,63,46,38,32,18,392,107,277,228,576,276,268,251,159,103,2237,1560,3349,2954,6938,3482,3480,2951,1766,873,27360,0,19,61,96,30,36,10,3,0,263,2907,5958,5052,9369,5171,5319,4481,2447,970,41683,0,0,3,17,3,3,0,0,0,27,0,0,0,5,0,3,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,3,7,18,10,9,6,0,0,50,0,0,0,12,8,7,5,0,0,25,0,0,0,14,0,0,0,0,0,11,0,3,22,117,35,19,13,4,0,216,0,0,0,0,6,11,18,25,18,78,0,0,0,10,3,5,0,5,0,24,0,14,9,90,84,165,156,113,38,665,0,4,8,31,11,4,7,0,0,64,0,0,0,9,0,9,4,4,0,22
2013,0,0,0,7,8,0,0,0,0,9,0,0,0,0,0,0,3,4,3,12,0,0,0,0,0,0,0,0,0,3,0,0,4,28,10,18,36,20,15,135,32,96,76,189,109,118,124,71,30,844,565,1246,1155,2602,1426,1574,1457,808,365,11200,0,0,0,0,0,0,0,0,0,0,1062,2323,2160,4289,2225,2489,1940,877,331,17698,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,8,0,0,31,0,0,0,3,0,0,0,0,0,9,0,4,0,4,0,0,0,0,0,12,0,0,0,11,0,14,5,0,0,22,0,0,0,0,0,5,0,0,0,7,0,3,0,19,11,8,3,5,0,53,0,0,0,4,0,9,8,6,9,36,0,0,0,0,0,0,4,0,0,6,0,3,5,24,49,121,207,167,65,635,0,0,0,14,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,8
2014,0,0,3,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,3,13,11,7,11,9,3,45,10,38,25,86,37,57,41,38,16,355,250,617,541,1208,742,887,803,426,219,5700,0,0,0,0,0,0,0,0,0,0,491,1125,1057,1903,1261,1449,1254,616,274,9423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,6,0,4,0,0,0,0,0,6,0,3,10,15,17,55,96,57,14,273,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
2015,0,0,3,15,4,11,0,0,0,37,0,0,0,0,3,6,0,0,0,9,0,0,3,0,0,3,0,0,0,11,0,4,4,23,12,15,15,14,9,93,20,37,52,102,52,41,62,49,36,438,439,919,824,1880,1045,1007,957,604,293,7973,0,0,0,0,0,0,0,0,0,0,843,1744,1473,2895,1539,1520,1366,761,318,12460,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,0,5,4,3,4,4,0,20,0,0,0,0,0,5,0,0,0,7,0,0,0,28,6,8,4,0,0,38,0,0,0,0,5,5,5,14,3,30,0,0,0,8,0,0,0,0,0,11,4,5,13,47,41,90,102,91,37,430,0,0,5,8,8,3,6,0,0,20,0,0,0,5,0,0,0,0,0,3
2016,0,3,0,23,8,0,0,0,0,41,0,0,0,0,0,5,0,4,0,7,0,0,0,4,10,0,0,0,0,21,16,71,109,273,79,71,51,35,18,715,102,238,201,540,195,227,202,179,101,1973,1622,3494,3116,7167,3236,3250,2874,1797,862,27417,3,56,150,308,139,70,22,5,0,745,3085,5995,4932,8451,4700,4763,4052,2397,977,39347,0,4,0,19,4,3,0,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,18,0,0,0,7,0,0,0,0,0,12,3,6,3,9,4,3,6,3,0,34,0,0,0,6,0,0,0,0,0,6,0,5,8,137,33,33,15,5,0,234,0,0,0,5,4,8,13,10,0,40,0,12,8,14,3,0,0,0,0,47,0,20,26,85,64,143,172,136,38,698,0,3,5,42,16,4,3,0,0,80,0,0,0,16,3,5,4,0,0,21
2017,0,15,7,46,0,3,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,15,10,0,0,0,0,37,28,51,36,104,27,36,38,31,15,382,381,717,611,1564,575,673,588,477,266,5858,0,3,6,24,22,11,11,0,0,66,682,1198,1057,2080,895,1103,927,675,342,8967,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,11,12,53,5,4,9,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,6,13,6,27,19,15,5,102,0,0,0,3,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3
2018,0,5,0,19,10,7,5,0,0,39,0,3,0,0,0,0,0,0,0,11,0,0,0,9,3,0,0,0,0,15,0,17,39,82,26,46,42,38,23,319,80,201,177,447,168,221,174,141,111,1717,1235,2549,2429,5613,2607,2968,2538,1539,765,22253,0,0,0,5,0,0,0,0,0,4,2279,4669,4168,8562,4130,4304,3370,1723,644,33851,0,0,0,13,6,4,0,0,0,27,0,0,0,0,0,0,4,3,0,10,0,0,0,3,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,4,0,6,5,10,14,5,3,6,0,53,0,0,0,0,5,7,8,6,0,21,0,9,17,65,31,23,10,11,4,156,0,0,0,4,9,9,12,10,3,43,0,0,0,4,0,3,0,0,0,18,0,30,8,91,82,227,280,234,103,1060,0,0,0,15,4,3,0,0,0,22,0,0,0,0,4,8,4,3,0,18
2019,0,0,0,7,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,5,4,17,9,19,16,13,7,89,24,45,56,122,74,77,65,83,60,615,539,1138,1090,2354,1285,1329,1284,959,509,10488,0,0,0,0,0,0,0,0,0,0,969,2206,1962,3674,2062,2099,1918,1280,590,16758,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,5,0,3,0,8,7,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,15,10,7,0,0,0,31,0,0,0,0,0,5,6,6,0,16,0,0,0,3,0,0,0,0,0,4,0,6,8,44,41,71,71,69,32,347,0,0,0,3,5,0,0,0,0,4,0,0,4,9,3,5,0,0,0,16
2020,0,0,0,22,4,0,0,0,0,37,0,0,0,0,5,5,10,0,0,19,0,3,0,9,6,4,0,0,0,27,4,11,13,97,25,62,54,33,16,315,59,145,97,312,137,154,148,121,47,1230,1399,2714,2308,5546,2656,2851,2559,1534,636,22199,0,0,0,4,0,0,0,0,0,5,2616,5083,4122,8586,4047,4160,3592,1979,758,34941,0,0,0,4,0,0,0,0,0,3,0,0,0,8,5,0,3,0,0,21,0,0,0,4,0,0,0,0,0,9,0,0,0,0,6,3,0,0,0,3,5,0,6,20,5,8,8,5,0,47,0,0,0,4,7,4,3,0,0,18,0,11,5,54,18,21,4,0,0,112,0,0,0,0,3,4,9,9,0,33,0,0,0,6,0,0,3,0,0,11,0,30,50,163,189,320,380,276,73,1484,0,0,5,10,12,10,0,0,0,29,0,0,0,3,3,0,4,0,0,11
2021,0,8,7,33,4,0,0,0,0,57,0,0,0,0,0,0,5,0,0,7,0,0,0,5,0,0,0,0,0,10,0,5,19,55,29,20,12,11,4,156,29,103,87,233,110,116,123,110,74,996,878,2099,1989,4519,2383,2497,2179,1329,681,18547,0,0,5,0,0,0,0,0,0,11,1739,3960,3511,7005,3857,3980,3476,1936,854,30331,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,10,0,5,0,6,0,0,0,0,0,12,0,0,6,17,0,9,3,0,0,34,0,0,0,0,0,0,0,0,0,4,4,20,31,143,18,11,11,0,0,241,0,0,0,0,0,0,0,5,0,9,0,0,4,7,4,4,3,0,3,24,0,22,23,72,67,127,142,104,36,593,0,0,5,12,0,0,0,0,0,21,0,6,0,5,3,3,0,0,0,20
