SUA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
2010,0,0,0,5,519,521,13,0,0,5,469,484,316,30,17,0,746,1099,509,44,64,6,307,921,551,55,112,10,175,900,669,41,143,12,153,1017,604,32,128,38,68,869,408,8,46,67,23,551,134,0,4,84,3,228,3198,207,502,216,2464,6594,0,0,0,0,431,433,10,3,0,0,480,496,397,32,24,0,694,1152,551,58,77,4,303,988,567,63,160,23,185,999,659,64,228,59,108,1118,586,32,153,149,56,984,345,9,59,267,17,700,65,0,10,262,15,359,3181,267,730,767,2283,7233,0,0,0,5,953,955,21,10,0,4,944,977,713,61,42,0,1438,2254,1062,104,138,8,611,1913,1121,116,272,29,353,1893,1323,109,369,70,262,2136,1193,68,279,188,128,1857,753,12,109,327,44,1245,203,0,17,347,18,589,6384,470,1231,985,4751,13824
2011,136,29,31,28,137434,137659,3005,157,95,67,162604,165928,107703,3934,4966,268,268549,385424,227150,10207,17010,599,102832,357794,192928,13794,29037,1572,62211,299544,165121,11536,33653,3734,35923,249970,130766,7378,23408,7569,15571,184692,75640,2896,9603,11437,5098,104673,22210,589,1891,11719,1422,37830,924669,50513,119693,36991,791649,1923516,211,30,21,25,130581,130864,7338,453,251,53,149640,157732,145976,6661,8115,473,231376,392597,231943,14470,24640,1763,91838,364658,192826,17472,43686,4900,56620,315500,159915,13196,48956,13319,30993,266382,120649,7577,36588,30426,13924,209161,56278,2408,15129,46169,4870,124858,11080,394,3502,43576,1995,60543,926209,62655,180893,140696,711832,2022295,345,58,53,53,268017,268525,10339,609,351,118,312245,323658,253680,10595,13085,748,499919,778028,459091,24674,41646,2363,194675,722456,385749,31270,72724,6470,118833,615047,325045,24729,82609,17052,66913,516353,251416,14956,59998,37996,29494,393854,131918,5306,24732,57605,9972,229530,33290,981,5389,55291,3413,98370,1850879,113173,300590,177689,1503484,3945813
2012,0,0,0,0,1613,1613,32,0,0,0,1517,1546,1015,49,47,0,2402,3514,1667,153,157,4,1017,2997,1835,188,371,25,794,3205,1958,211,555,75,499,3292,1910,122,431,122,264,2850,1079,48,184,182,93,1593,300,8,20,169,19,515,9791,774,1766,580,8217,21133,0,0,0,0,1498,1502,79,4,0,0,1371,1455,1253,111,72,7,2215,3663,1798,212,231,25,1004,3275,1924,269,563,70,650,3482,1978,203,704,182,406,3480,1779,107,503,432,133,2951,803,24,180,728,37,1766,160,3,41,661,13,873,9774,942,2296,2104,7338,22449,0,0,0,0,3111,3114,105,3,0,0,2887,3004,2268,161,118,9,4619,7176,3470,369,385,33,2017,6274,3757,454,931,99,1443,6686,3935,411,1263,256,910,6775,3687,234,932,555,398,5804,1878,70,365,907,135,3359,460,10,62,828,35,1391,19566,1715,4058,2685,15553,43582
2013,0,0,0,4,632,635,12,0,0,0,581,598,327,24,18,0,982,1350,534,46,56,0,492,1136,568,86,187,20,411,1265,834,106,294,38,286,1571,812,102,277,94,146,1433,450,34,84,89,45,704,110,8,23,96,3,237,3649,401,946,348,3583,8925,0,0,0,0,578,578,18,0,0,0,554,578,401,39,41,4,872,1354,561,90,105,9,487,1248,686,136,249,31,321,1426,826,91,341,118,194,1574,752,78,285,260,83,1457,339,11,108,340,13,808,60,3,11,289,5,365,3638,458,1143,1050,3106,9391,0,0,0,4,1209,1212,32,0,0,0,1137,1175,725,65,58,6,1854,2703,1100,138,165,10,980,2390,1259,224,436,45,734,2689,1664,201,635,165,484,3141,1562,176,558,355,230,2886,787,47,202,428,58,1515,165,5,31,387,7,602,7285,863,2083,1400,6689,18322
2014,0,0,0,0,340,340,3,0,0,0,282,294,130,5,4,0,368,506,248,20,36,0,258,565,346,51,84,0,242,723,490,36,146,13,182,867,543,39,126,43,74,822,259,8,52,56,18,384,80,0,10,37,3,130,2086,168,458,160,1764,4636,0,0,0,0,299,298,16,0,0,0,229,243,171,15,18,0,374,570,305,31,55,7,237,640,367,57,126,16,170,742,502,55,175,52,105,887,468,25,149,118,39,803,210,9,52,149,7,426,42,4,12,165,0,219,2079,200,583,515,1456,4833,0,0,0,0,638,639,20,0,0,0,514,534,301,21,19,0,744,1080,555,53,92,5,497,1204,719,110,212,20,413,1474,989,94,324,69,282,1755,1011,64,277,163,107,1622,469,12,106,208,22,816,113,6,22,205,3,346,4165,364,1044,670,3219,9468
2015,0,0,0,0,442,446,8,0,0,0,411,424,276,17,6,0,628,934,493,36,66,4,242,837,483,50,97,13,217,855,556,36,138,12,144,890,569,38,139,43,56,843,354,14,41,57,25,492,81,6,16,63,4,171,2819,197,501,190,2176,5879,0,0,0,0,428,436,11,0,0,0,371,389,329,31,13,5,563,940,531,56,79,10,264,941,515,88,191,21,228,1045,566,64,201,62,111,1007,553,39,163,154,42,957,245,10,53,279,21,604,53,3,21,213,10,293,2811,295,731,743,2041,6615,0,4,0,0,876,880,25,0,0,0,781,809,600,48,20,5,1195,1869,1022,93,149,9,510,1785,1001,141,287,29,441,1900,1127,97,337,74,262,1899,1123,76,297,198,102,1800,601,21,94,337,42,1098,136,7,36,276,15,465,5635,492,1224,934,4219,12493
2016,3,0,0,0,1676,1679,49,0,3,3,1573,1626,1096,85,58,0,2265,3503,1938,120,165,9,929,3158,1866,205,388,28,705,3184,1875,202,469,55,444,3039,1755,110,372,119,211,2570,1095,45,160,206,88,1591,314,9,26,173,18,546,9992,772,1637,600,7906,20902,6,0,0,0,1569,1575,109,12,3,5,1422,1541,1443,109,73,11,2159,3792,1946,230,256,31,913,3376,1816,227,555,75,571,3236,1810,232,641,182,380,3250,1655,102,523,437,157,2874,865,25,200,657,46,1797,151,0,57,634,23,862,9799,932,2309,2029,7230,22300,10,0,0,0,3244,3248,154,8,5,6,2992,3166,2542,189,131,15,4422,7295,3886,352,420,33,1844,6540,3677,431,940,103,1274,6425,3687,431,1113,236,823,6290,3409,216,897,562,365,5443,1964,67,360,864,140,3386,468,7,80,808,42,1406,19789,1709,3949,2627,15133,43207
2017,0,0,0,0,304,300,12,0,0,0,323,339,278,11,10,0,477,774,429,21,35,0,152,638,344,21,60,3,126,559,426,34,96,12,86,653,383,21,76,22,36,531,245,5,37,32,18,334,86,3,0,53,9,153,2189,116,323,125,1530,4281,0,0,0,0,261,261,25,3,0,0,328,353,345,26,12,3,477,866,403,48,56,5,182,698,359,45,76,8,94,575,411,40,114,36,74,673,352,20,79,97,35,588,197,8,49,216,11,477,47,5,8,206,5,266,2131,184,405,576,1459,4763,0,0,0,0,565,563,34,6,0,0,646,690,628,36,24,3,952,1643,832,66,92,6,337,1338,697,63,138,15,220,1133,833,70,209,42,159,1321,733,40,160,119,67,1116,436,10,84,250,27,813,132,4,10,259,9,417,4323,298,729,695,2992,9037
2018,0,0,0,0,1241,1242,15,0,0,0,1186,1205,679,57,35,0,1990,2770,1214,140,172,6,936,2468,1241,191,326,20,751,2524,1440,136,517,46,480,2619,1500,112,427,114,223,2367,893,40,158,185,63,1335,242,7,27,153,16,457,7222,696,1665,526,6885,16991,0,0,0,0,1195,1198,32,15,0,0,1180,1233,912,99,69,9,1911,3000,1291,163,234,27,898,2616,1286,193,500,63,570,2607,1591,174,680,188,339,2968,1409,124,473,443,94,2538,663,30,165,651,35,1539,123,7,19,589,33,765,7313,803,2140,1965,6240,18460,3,0,0,0,2437,2434,50,14,3,5,2368,2440,1586,157,103,14,3903,5760,2508,304,408,38,1834,5089,2531,385,825,78,1319,5134,3031,312,1193,236,819,5586,2904,236,896,555,309,4902,1554,74,324,833,98,2879,365,14,50,747,49,1221,14533,1492,3804,2492,13131,35452
2019,0,0,0,0,608,610,8,0,0,0,452,463,315,21,18,0,732,1086,551,45,58,0,405,1062,592,62,135,11,305,1102,661,75,199,32,194,1153,709,47,186,65,115,1115,534,22,65,106,35,755,165,0,17,88,7,285,3529,276,673,300,2857,7646,0,0,0,0,576,578,26,0,0,0,481,516,393,32,24,0,741,1192,599,80,110,8,369,1158,609,103,249,21,298,1285,699,89,291,75,174,1329,714,50,248,191,82,1284,420,23,103,362,46,959,97,0,28,372,14,509,3559,379,1053,1029,2777,8806,3,0,0,0,1184,1188,40,0,0,0,938,980,707,53,45,0,1473,2282,1146,122,168,10,777,2229,1202,168,388,29,601,2388,1360,165,491,105,360,2478,1428,93,428,253,198,2399,955,40,165,471,80,1714,261,3,38,462,26,795,7099,657,1725,1332,5637,16453
2020,0,0,0,0,1172,1173,24,3,0,4,1066,1092,901,52,39,3,1698,2694,1425,93,142,8,716,2378,1426,142,278,18,531,2392,1601,112,372,38,338,2468,1730,80,332,100,154,2399,1059,36,133,139,42,1416,217,3,25,147,8,411,8381,527,1320,456,5732,16419,0,0,0,0,1185,1189,45,4,0,0,1072,1121,1140,83,67,9,1690,2988,1456,126,231,19,720,2554,1564,169,406,50,462,2656,1724,137,565,158,274,2851,1595,91,433,307,133,2559,801,12,177,516,26,1534,101,8,29,482,12,636,8440,635,1908,1529,5581,18089,0,0,0,0,2359,2362,72,8,0,4,2132,2216,2043,133,103,12,3390,5681,2883,219,375,22,1433,4929,2984,312,687,69,997,5047,3325,251,935,198,611,5318,3322,170,767,408,289,4958,1867,53,307,655,71,2949,315,14,56,629,24,1045,16823,1165,3226,1983,11306,34506
2021,0,0,0,0,1071,1073,14,0,0,0,902,918,615,44,25,8,1566,2255,1116,76,117,7,738,2056,1254,102,239,11,495,2105,1375,100,287,43,319,2133,1384,76,246,83,153,1942,750,32,92,129,49,1046,233,3,13,123,16,386,6738,441,1030,403,5311,13915,0,0,0,0,1055,1055,23,4,0,0,906,931,731,64,49,6,1439,2292,1192,113,177,8,735,2228,1341,162,377,33,464,2383,1416,131,490,115,332,2497,1285,78,366,319,132,2179,612,22,152,492,47,1329,125,3,36,497,24,681,6734,583,1647,1476,5141,15570,0,0,0,0,2126,2129,37,3,3,4,1801,1851,1348,105,73,10,3008,4543,2307,191,296,12,1471,4287,2594,271,618,46,966,4493,2794,240,776,161,655,4622,2672,155,617,400,284,4121,1358,58,240,618,97,2376,358,9,49,617,39,1073,13469,1018,2677,1874,10444,29490
