SUA_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
2010,46,13,21,32,16,10,0,0,181,0,0,0,0,0,0,0,0,0,0,0,22,48,58,16,18,42,21,17,0,0,240,25,13,14,0,3,0,0,0,0,0,62,16,58,54,9,8,9,5,0,0,3,169,0,9,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,16,64,60,9,11,13,5,0,0,3,184,0,0,0,0,0,0,0,0,0,0,0,44,79,71,9,19,12,10,5,0,0,245,22,9,4,0,0,6,0,0,0,3,53,20,33,8,4,8,6,0,0,0,0,77,0,3,6,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,20,37,17,4,8,6,3,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,41,48,19,5,8,10,6,0,0,3,136,96,8,0,0,0,0,4,0,0,7,107,16,6,0,0
2011,69850,20336,22835,26564,27185,7531,1979,3523,254565,37,48,92,29,49,35,37,9,5,753,1097,48687,59382,86166,24844,27896,32156,33192,9482,2714,5697,330214,38943,18533,14178,2066,1901,1596,1502,583,275,1200,80780,68480,85899,51601,10001,9368,8380,7420,2430,1126,1964,246667,3257,6790,7363,1851,1989,1963,2127,762,264,590,26959,81,123,75,14,12,12,22,3,3,50,391,71811,92809,59036,11868,11375,10358,9567,3194,1399,2599,274021,47,64,63,7,18,7,11,0,0,492,715,110806,111405,73271,13942,13299,11963,11088,3785,1670,4290,355516,56568,11369,5756,687,696,541,531,310,121,1191,77760,75640,29210,14660,2360,2030,1607,1505,654,325,1385,129373,11575,6279,6317,1614,1681,1463,1719,725,171,808,32357,130,50,29,4,8,3,11,4,0,35,278,87348,35538,21001,3983,3714,3070,3236,1381,499,2227,162010,85,27,27,0,0,3,9,3,3,266,421,144005,46938,26778,4666,4414,3616,3771,1694,621,3687,240190,71889,4629,1836,240,261,232,258,178,73,1374,80959,80897,7709,3508,559
2012,290,169,178,175,225,80,15,49,1366,0,0,0,0,0,0,0,0,0,0,3,122,169,340,186,197,187,256,87,24,53,1611,107,53,48,7,0,10,13,0,0,6,254,118,201,173,46,42,39,61,9,14,14,726,22,46,72,35,25,44,45,15,0,8,311,0,0,0,0,0,0,0,0,0,0,5,144,245,250,76,75,79,105,26,22,23,1038,0,0,0,0,0,0,0,0,0,0,3,252,300,300,84,75,90,117,24,22,34,1298,222,33,28,8,7,3,0,3,0,13,318,144,64,68,14,16,17,21,12,5,10,365,52,35,42,11,23,25,23,3,0,17,235,4,0,0,0,0,5,0,0,0,0,12,197,97,106,32,44,44,46,18,9,32,612,0,0,0,4,0,0,0,0,0,9,10,420,130,133,38,45,50,45,16,9,50,937,364,20,16,0,0,0,0,0,0,17,413,192,20,15,5
2013,32,12,6,11,9,17,5,0,126,0,0,0,0,0,0,0,0,0,0,0,37,31,40,11,5,20,9,20,12,0,186,74,14,19,0,3,0,0,0,4,0,117,25,30,13,0,0,4,10,10,3,0,94,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,27,30,18,4,0,4,9,10,3,0,102,0,0,0,0,0,0,0,0,0,0,0,99,42,36,5,6,0,8,10,3,5,215,128,15,6,0,0,0,0,0,0,3,158,34,15,7,3,4,0,0,7,0,0,71,9,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,47,20,7,5,4,0,0,7,0,3,92,0,0,0,0,0,0,0,0,0,0,0,172,35,15,5,4,0,0,7,0,13,251,280,11,7,0,0,0,0,0,0,14,314,55,3,5,0
2014,24,9,12,9,4,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,18,12,28,9,17,8,5,3,0,0,94,28,9,11,0,0,4,0,0,0,4,59,10,13,22,4,3,10,4,5,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,20,4,3,10,4,5,0,0,70,0,0,0,0,0,0,0,0,0,0,0,42,25,36,4,7,12,9,3,0,6,132,56,17,0,0,4,0,0,0,0,3,77,20,0,3,0,3,0,0,0,0,0,35,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,3,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,77,18,10,3,5,0,0,0,0,0,118,140,3,3,0,0,0,0,0,0,4,151,23,6,0,0
2015,45,10,13,17,22,5,0,0,145,0,0,0,0,0,0,0,0,0,0,0,32,47,63,12,20,25,24,17,0,5,240,51,21,12,0,4,7,0,4,0,0,98,19,64,46,0,9,8,9,5,3,3,177,0,6,8,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,21,70,58,0,9,8,11,5,3,4,195,0,0,0,0,0,0,0,0,0,0,5,74,87,64,0,16,15,13,9,6,6,294,105,21,11,0,3,3,0,0,0,5,152,32,17,15,0,0,4,0,0,0,0,73,3,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,38,18,18,0,0,10,3,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,145,42,26,0,3,11,3,0,0,5,244,177,19,8,0,0,0,0,0,0,5,206,43,9,0,3
2016,504,172,205,227,242,70,15,38,1969,0,0,0,0,0,0,0,0,0,0,0,231,367,566,184,210,252,252,76,15,58,2222,80,57,53,11,6,8,10,4,3,9,237,229,545,356,81,82,88,83,30,17,17,1515,26,69,99,28,30,37,34,12,3,14,351,3,0,0,0,0,0,0,0,0,0,8,259,609,461,111,112,121,116,35,15,35,1878,0,0,0,0,0,0,0,0,0,0,3,343,668,513,125,116,127,120,40,21,43,2120,200,43,33,7,11,3,4,4,0,8,305,234,201,94,27,21,21,23,15,0,6,643,76,79,91,9,20,20,35,3,3,8,341,0,0,0,0,0,0,0,0,0,0,4,311,278,182,36,37,43,60,22,5,16,987,4,0,0,0,0,0,0,0,0,0,0,511,327,215,40,48,42,58,22,7,27,1293,348,22,19,0,0,0,0,0,0,23,415,239,67,28,3
2017,65,21,60,60,41,9,6,14,309,0,0,0,0,0,0,0,0,0,0,4,16,31,81,24,63,64,48,8,6,14,351,9,11,4,0,0,0,0,0,0,0,35,12,71,65,13,22,30,26,0,0,5,248,4,5,7,3,23,29,6,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,18,75,75,16,41,52,33,0,0,4,320,0,0,0,0,0,0,0,0,0,0,0,27,86,83,14,41,52,33,0,0,4,349,25,5,5,0,0,0,4,0,0,0,39,20,24,21,0,5,5,10,0,0,0,87,5,6,16,3,6,0,5,0,0,6,41,0,0,0,0,0,0,0,0,0,0,0,26,29,40,3,11,11,9,0,5,6,130,0,0,0,0,0,0,0,0,0,0,0,53,35,46,3,9,7,15,0,5,6,169,58,11,0,0,0,0,0,0,0,0,65,19,9,0,0
2018,127,37,48,55,52,14,7,0,468,0,0,0,0,0,0,0,0,0,0,3,104,125,161,50,59,68,62,16,12,8,666,124,48,47,6,3,6,3,0,0,8,260,76,151,117,26,16,19,36,12,7,9,458,0,11,19,0,3,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,76,159,141,25,16,26,34,12,7,9,500,0,0,0,0,0,0,0,0,0,0,3,203,213,187,34,21,29,37,12,9,20,765,245,45,25,3,4,4,4,0,0,12,338,83,68,46,3,6,10,9,0,0,5,225,11,12,13,0,0,3,0,3,0,5,46,0,0,0,0,0,0,0,0,0,0,4,96,87,58,3,3,7,14,0,0,7,282,0,0,0,0,0,0,0,0,0,0,0,338,131,81,9,6,13,17,4,4,13,620,505,25,13,0,0,0,3,0,0,20,573,169,26,3,3
2019,55,30,24,34,32,10,5,5,218,0,0,0,0,0,0,0,0,0,0,0,25,35,77,34,26,37,39,15,5,3,300,53,32,12,3,3,0,3,3,0,4,102,19,63,35,16,7,13,14,5,0,0,179,0,0,4,3,0,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,22,63,38,17,9,16,14,13,0,4,192,0,0,0,0,0,0,0,0,0,0,0,69,88,51,19,12,16,14,14,0,5,290,100,14,9,0,0,0,0,4,0,3,136,15,23,7,3,3,0,0,0,0,0,54,4,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,19,28,9,11,3,0,0,0,0,4,68,0,0,0,0,0,0,0,0,0,0,0,122,38,20,11,8,0,0,4,0,4,199,163,9,0,0,0,0,3,0,0,3,178,32,4,9,0
2020,86,17,30,44,104,26,4,11,402,0,0,0,0,0,0,0,0,0,0,0,132,109,137,33,40,64,118,35,3,15,687,186,77,53,0,4,0,4,4,0,8,343,73,152,67,17,24,13,14,4,0,6,374,3,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,78,153,72,17,24,18,14,4,0,4,389,0,0,0,0,0,0,0,0,0,0,0,266,227,126,18,25,20,20,9,0,13,729,353,77,26,6,0,0,0,5,0,12,479,80,49,32,7,3,6,0,0,0,5,194,6,8,6,0,0,0,3,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,88,63,34,12,11,5,0,4,0,5,216,0,0,0,0,0,0,0,0,0,0,5,443,143,63,12,7,5,5,4,0,16,703,623,43,6,0,0,0,0,0,4,24,702,108,20,6,3
2021,101,48,68,105,121,25,0,10,541,0,0,0,0,0,0,0,0,0,0,0,77,71,138,61,80,123,140,30,6,18,731,100,54,41,5,3,4,18,9,5,6,249,35,88,74,10,19,14,35,15,4,0,308,0,11,12,6,10,7,10,0,0,0,46,0,0,0,0,0,4,0,3,0,0,6,37,98,86,20,29,26,40,16,4,4,360,0,0,0,0,0,0,0,0,0,0,0,139,152,130,25,34,31,58,23,4,12,604,188,26,27,5,0,0,0,0,3,5,247,43,40,30,3,3,9,11,4,0,0,144,0,5,6,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,43,47,35,3,3,7,13,6,0,0,162,0,0,0,0,0,0,0,0,0,0,0,225,75,60,8,3,7,13,6,4,7,406,282,20,13,0,0,0,0,0,0,5,336,42,16,3,0
