SUA_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
2010,0,11,462,475,3,90,317,415,299,261,422,990,478,155,212,850,515,95,234,842,591,67,272,935,527,31,208,769,370,9,114,491,114,4,67,182,2908,718,2320,5948,3,11,373,389,11,123,310,441,381,273,420,1066,525,143,269,935,532,88,310,933,596,59,384,1036,512,27,349,886,311,6,326,641,57,0,220,275,2924,734,2951,6613,3,24,835,864,12,215,630,853,675,535,840,2051,1005,298,483,1786,1053,178,544,1774,1187,125,658,1972,1040,61,556,1655,684,18,437,1132,173,4,282,463,5835,1451,5270,12562
2011,32,506,128548,129085,2124,11437,137432,150995,93306,80355,180994,354652,210233,44931,79230,334397,181248,29334,70155,280735,154464,18519,60477,233457,120584,8323,40723,169634,68408,2673,22724,93806,18113,406,11205,29723,848512,196486,731482,1776490,110,920,120832,121861,5495,16465,121250,143218,132739,84405,147384,364526,217839,41510,85458,344813,180816,27266,91515,299597,147418,15444,87850,250713,110033,6418,77203,193652,50245,1551,59774,111568,8120,201,33689,42008,852809,194186,824960,1871956,143,1421,249379,250946,7622,27904,258685,294214,226044,164758,328372,719180,428071,86445,164691,679203,362066,56607,161668,580339,301878,33960,148334,484174,230616,14737,117923,363284,118650,4223,82496,205370,26231,611,44890,71731,1701326,390668,1556448,3648443
2012,0,25,1404,1434,25,196,1123,1341,845,798,1431,3069,1430,420,790,2644,1561,344,913,2819,1754,292,907,2948,1676,162,663,2499,956,51,393,1396,239,5,155,403,8483,2295,7778,18555,0,26,1307,1335,61,303,909,1279,1093,814,1343,3250,1615,418,915,2952,1717,375,1060,3151,1800,287,1104,3188,1551,111,965,2634,702,33,829,1566,115,5,464,583,8662,2374,8893,19932,3,52,2717,2769,88,507,2029,2624,1943,1607,2774,6319,3048,838,1704,5595,3280,723,1971,5972,3552,573,2012,6138,3227,276,1627,5132,1660,74,1219,2958,349,13,620,983,17152,4668,16670,38486
2013,0,8,570,577,13,96,435,540,281,370,554,1204,478,187,356,1022,545,188,417,1143,762,132,525,1422,715,77,474,1262,394,21,199,615,92,4,85,175,3273,1070,3612,7956,0,13,524,529,15,140,365,522,369,365,502,1237,516,210,420,1145,643,177,480,1302,759,113,550,1418,681,60,564,1305,296,11,379,688,40,0,177,221,3313,1085,3970,8369,0,20,1091,1109,25,234,801,1062,651,735,1057,2441,993,403,778,2168,1180,364,897,2441,1519,247,1077,2842,1395,133,1039,2567,690,22,582,1299,127,4,262,394,6582,2160,7583,16328
2014,0,9,300,303,0,52,202,257,113,141,210,463,222,116,160,502,317,101,234,651,437,91,252,782,461,44,202,704,218,12,97,328,54,4,37,95,1834,562,1692,4084,0,15,256,270,9,73,133,218,155,158,196,511,277,99,192,570,349,101,246,692,449,77,278,805,405,47,262,713,181,7,174,357,21,0,95,124,1851,577,1835,4258,0,17,557,575,17,128,335,472,269,298,400,972,504,213,353,1070,667,200,476,1345,884,166,531,1580,865,91,461,1418,404,17,271,686,80,8,131,217,3685,1134,3523,8344
2015,0,0,408,413,8,72,290,372,249,237,343,829,444,116,204,755,417,90,237,742,498,73,233,805,483,45,196,727,293,6,110,407,60,0,52,119,2464,640,2069,5176,0,8,380,393,12,102,237,352,302,237,334,873,496,109,262,868,482,100,401,980,514,59,351,920,471,28,355,851,204,10,311,528,28,0,144,181,2505,649,2779,5936,0,8,795,806,20,178,525,721,552,471,679,1703,932,229,461,1624,898,187,639,1719,1010,133,585,1729,957,72,548,1580,499,21,416,937,94,0,200,295,4964,1293,4855,11110
2016,0,10,1501,1512,37,195,1185,1418,962,748,1420,3125,1687,348,821,2852,1664,283,948,2890,1695,214,846,2753,1527,109,622,2254,943,44,359,1344,241,8,155,405,8744,1960,7852,18558,3,24,1385,1418,89,271,987,1351,1301,781,1362,3439,1796,339,963,3091,1676,286,1041,3005,1654,204,1101,2956,1444,96,1021,2558,731,25,779,1529,100,8,439,545,8797,2023,9066,19888,3,39,2886,2924,128,464,2172,2763,2260,1522,2776,6569,3483,686,1776,5942,3336,567,1992,5900,3351,417,1941,5710,2968,200,1646,4817,1666,70,1136,2877,341,15,590,945,17536,3986,16925,38441
2017,0,5,265,270,6,53,241,305,240,192,269,701,360,54,167,582,286,57,158,497,376,41,169,585,323,19,120,464,210,0,71,284,71,6,46,120,1876,435,1504,3812,0,9,226,244,16,91,200,304,304,179,298,778,375,73,202,652,326,35,180,544,367,36,199,606,308,14,190,515,172,7,245,419,28,0,164,197,1894,445,1914,4257,0,20,493,512,18,145,441,603,540,367,572,1478,736,134,365,1234,616,88,340,1044,740,78,371,1193,633,34,309,978,381,6,314,706,104,6,208,319,3765,882,3417,8067
2018,0,17,1125,1143,16,179,872,1071,608,763,1103,2475,1130,391,702,2223,1139,299,803,2243,1283,222,827,2325,1338,98,648,2081,764,33,324,1124,171,7,133,306,6438,2004,6547,14993,0,41,1048,1088,33,278,777,1087,834,772,1109,2719,1218,374,783,2368,1212,280,927,2416,1403,193,1067,2663,1229,92,940,2251,570,28,728,1324,76,0,366,440,6566,2051,7747,16366,0,51,2178,2231,50,450,1652,2161,1438,1540,2215,5193,2346,759,1487,4590,2347,573,1731,4653,2682,414,1891,4986,2561,190,1588,4338,1332,60,1055,2449,248,5,499,755,13007,4054,14290,31353
2019,0,9,560,566,12,83,324,416,289,293,390,971,521,164,286,962,563,135,334,1034,601,99,357,1056,629,54,293,974,455,16,180,655,116,0,85,203,3175,845,2812,6839,0,10,515,527,22,138,304,468,363,286,438,1092,565,165,372,1099,582,147,463,1198,639,93,477,1208,632,31,491,1160,352,11,457,820,64,0,275,340,3222,884,3803,7909,0,20,1075,1097,34,220,624,882,651,585,821,2058,1083,324,657,2064,1144,281,799,2225,1244,192,837,2267,1263,82,786,2134,810,23,647,1481,178,3,362,541,6401,1735,6609,14747
2020,0,4,1108,1113,18,173,788,980,830,742,894,2462,1321,364,479,2173,1330,300,567,2191,1472,206,578,2250,1521,133,471,2128,928,39,274,1241,180,3,127,310,7604,1968,5287,14860,0,16,1097,1111,49,239,721,1010,1077,782,893,2748,1373,364,652,2388,1464,288,731,2481,1573,193,859,2625,1411,105,782,2295,686,30,612,1325,78,3,314,397,7702,2011,6656,16374,0,19,2208,2225,71,416,1512,1989,1906,1523,1783,5209,2698,732,1130,4558,2788,588,1300,4672,3048,394,1436,4880,2937,238,1248,4427,1609,66,885,2562,255,8,447,703,15306,3978,11946,31239
2021,0,0,968,975,8,121,700,830,525,561,967,2047,996,330,519,1850,1158,240,536,1932,1265,172,504,1943,1215,101,400,1723,663,26,242,934,182,8,114,302,6010,1568,4958,12531,0,16,936,954,22,150,675,846,664,582,862,2111,1102,327,624,2061,1251,239,755,2235,1274,180,821,2277,1124,68,760,1951,531,13,627,1176,92,6,394,491,6059,1587,6455,14099,0,19,1902,1927,31,276,1376,1675,1195,1140,1828,4160,2094,661,1150,3909,2404,477,1291,4171,2543,354,1326,4220,2338,173,1164,3675,1195,40,867,2102,272,11,511,794,12068,3153,11410,26637
