SUA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
2010,1944,3886,23,128,189,834,52,235,997,3920,1261,5115,68,283,123,403,288,886,485,1576,1743,6693,9,35,58,201,28,113,333,920,433,1265,18,58,65,131,251,536,336,722,764,1988,61,128,4515,12694
2011,448387,903555,8705,51528,59385,276350,10023,47166,335777,1291585,413899,1666626,33963,147351,57317,203405,103441,341622,194716,692370,608614,2358997,2462,12041,13507,46467,4725,17239,62135,161567,82823,237314,9970,33004,23432,53756,75127,168160,108535,254921,191358,492236,22944,48784,1271304,3803582
2012,5786,11579,106,608,540,2564,184,878,2886,11428,3720,15470,227,952,329,1042,1048,3309,1600,5306,5326,20775,32,154,194,707,119,455,1053,2906,1405,4223,96,308,204,444,865,1901,1163,2654,2568,6873,224,481,13903,39708
2013,2385,4780,46,275,166,747,83,357,1018,3983,1316,5361,109,478,124,417,502,1582,739,2479,2051,7841,8,40,64,215,56,200,502,1372,628,1833,45,138,86,190,412,906,544,1224,1171,3059,77,163,5684,15841
2014,1448,2894,20,107,82,372,33,148,520,2043,660,2667,37,166,82,247,230,699,347,1117,1005,3785,6,35,44,135,23,79,216,586,289,836,12,29,52,105,201,430,266,566,554,1401,35,72,3040,8148
2015,1703,3401,25,129,141,640,36,161,874,3419,1069,4346,67,274,126,384,221,708,409,1372,1484,5721,14,47,59,195,44,145,296,802,400,1186,23,88,72,155,258,553,360,796,763,1976,65,136,4015,11238
2016,5273,10565,134,837,579,2827,166,800,3079,12339,3948,16800,282,1214,353,1175,1029,3315,1656,5701,5609,22507,48,239,212,769,122,455,1042,2947,1435,4407,103,313,181,397,848,1853,1132,2558,2564,6968,207,448,13653,40483
2017,1252,2498,22,123,89,414,21,107,676,2658,806,3311,35,146,74,240,182,582,293,970,1099,4277,9,38,48,173,12,56,220,613,292,879,9,33,38,89,163,354,207,470,499,1357,50,110,2904,8238
2018,4552,9054,78,459,401,1888,107,483,2274,8837,2866,11667,177,720,273,937,808,2567,1266,4227,4127,15889,48,226,132,482,89,336,971,2625,1238,3665,78,249,184,379,839,1795,1100,2432,2338,6094,174,360,11185,31396
2019,2251,4494,33,163,205,936,40,193,1031,4064,1301,5362,92,385,148,485,326,1018,565,1883,1871,7248,17,81,80,287,51,181,401,1048,554,1606,20,62,96,203,358,787,479,1052,1028,2657,64,127,5206,14530
2020,4959,9933,115,646,459,2202,126,571,2652,10499,3346,13918,216,931,340,1131,909,2911,1465,4977,4807,18892,39,171,134,459,57,196,724,2031,955,2861,64,199,181,395,617,1331,862,1924,1813,4788,133,280,11719,33890
2021,4004,8003,78,423,346,1590,92,443,1990,7754,2506,10210,181,754,282,945,735,2352,1199,4050,3702,14254,13,79,118,396,55,203,669,1719,862,2389,70,210,130,270,600,1311,793,1791,1655,4177,163,335,9525,26766
