SUA_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
2010,582,21,0,602,0,3,0,0,5,0,0,0,5,0,0,4,3,0,0,0,4,0,4,4,8,0,0,8,6,3,0,0,6,0,4,4,10,0,0,14,504,70,11,7,590,3,4,3,592,21,0,612,94,14,6,0,122,0,0,0,124,11,0,134,0,0,0,3,0,0,0,0,0,0,0,0,596,86,19,13,711,0,3,8,716,34,0,749,118,9,0,0,128,0,0,0,128,3,0,132,158,14,3,4,181,0,0,0,183,6,0,192,5,0,0,0,11,0,0,0,11,0,0,11,0,0,0,3,3,0,0,0,3,0,0,3,284,24,3,5,327,0,0,0,323,11,0,339,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,5,0,0,5,3,5,0,0,7,0,0,0,9,0,0,9,292,29,3,5,331,0,0,5,333,11,0,347,54,7,9,0
2011,163843,6351,444,170634,1948,327,41,36,2355,315,33,343,2704,158,9,2868,3251,627,84,80,4037,267,116,383,4424,251,17,4688,5199,956,125,115,6399,577,147,724,7123,404,24,7556,141822,20719,3098,1940,167577,2647,740,3393,170966,6755,467,178194,37674,8348,1184,1231,48438,1721,433,2150,50587,9128,286,59998,411,118,12,584,1127,23,0,20,1146,77,904,2132,179909,29179,4294,3753,217138,4389,1174,5563,222698,15960,1657,240316,36464,4387,588,167,41602,752,174,923,42527,2185,65,44785,39493,6388,675,250,46814,585,140,713,47529,1745,63,49337,2052,366,317,38,2774,33,3,39,2813,159,5,2983,378,59,15,488,940,21,6,25,969,67,96,1131,78390,11201,1594,946,92135,1389,315,1711,93842,4156,231,98232,977,226,29,21,1249,207,19,224,1473,115,0,1591,1571,306,25,41,1941,157,71,229,2172,145,9,2325,2544,534,57,62,3195,360,92,454,3644,257,8,3911,80936,11729,1649,1009,95324,1756,406,2159,97487,4417,237,102142,17733,3966,595,595
2012,1580,64,8,1647,5,0,0,0,8,8,0,8,17,3,0,18,14,4,0,0,18,4,0,8,27,5,0,27,16,9,0,0,27,14,0,14,41,3,0,48,1305,206,36,36,1585,32,4,36,1616,71,8,1691,281,53,9,19,360,14,4,20,381,110,3,488,0,0,0,0,3,0,0,0,3,5,11,20,1589,258,41,55,1943,47,12,59,2004,183,15,2200,371,40,9,6,428,0,0,0,431,21,0,454,390,59,11,3,459,4,0,8,469,29,0,496,24,3,0,0,32,0,0,0,32,4,0,34,6,0,0,7,19,0,0,0,19,0,0,19,794,99,23,20,935,8,0,11,944,54,0,1003,0,0,0,0,4,3,0,3,8,5,0,14,5,3,0,4,9,0,0,0,9,0,0,9,6,5,0,0,12,3,0,3,21,4,0,24,805,107,23,21,947,16,0,16,968,57,0,1029,140,33,0,9
2013,496,24,3,522,3,0,0,0,3,0,0,0,3,0,0,3,9,0,0,0,9,0,0,0,10,0,0,12,13,0,0,0,13,0,0,0,18,3,0,19,423,52,10,11,494,11,0,12,511,26,3,538,105,12,6,12,134,6,0,10,145,38,0,187,0,0,0,0,0,0,0,0,0,0,5,4,529,67,16,24,631,15,0,18,655,65,6,729,80,9,0,0,94,3,0,3,94,9,0,100,167,31,4,6,198,8,0,8,205,12,0,216,17,0,0,0,19,0,0,0,19,3,0,22,5,0,0,9,11,0,0,0,11,0,0,9,264,40,3,13,320,10,0,10,326,24,0,349,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,4,5,0,0,5,5,0,0,0,5,0,0,4,7,0,0,7,269,40,3,13,324,7,0,10,333,24,0,357,53,8,4,3
2014,295,16,0,308,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,3,6,0,0,0,6,0,0,0,6,0,0,7,235,40,11,10,291,5,4,11,297,13,0,317,53,5,0,8,63,0,3,9,68,6,0,77,0,0,0,0,0,0,0,0,0,0,0,3,286,45,13,17,356,4,5,9,365,20,0,391,46,10,0,0,60,0,0,0,60,0,0,62,78,14,0,0,96,5,0,5,96,0,0,96,0,0,0,0,6,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,133,27,0,0,159,5,0,0,163,4,0,163,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,6,0,0,0,6,0,0,0,6,4,0,7,137,27,0,0,167,5,0,0,168,6,0,174,28,3,0,3
2015,441,22,0,469,3,0,0,0,3,0,0,0,7,0,0,7,4,0,0,0,7,0,0,0,7,0,0,7,9,0,0,0,7,0,0,0,8,0,0,8,378,52,3,3,448,0,7,5,452,22,0,476,105,7,0,0,112,4,0,4,121,17,0,139,0,0,0,4,4,0,0,0,4,0,4,9,486,62,6,11,562,10,7,15,577,40,7,626,93,14,0,0,112,0,0,4,114,9,0,120,136,21,0,0,166,0,0,3,164,10,0,175,8,0,0,0,6,0,0,0,6,0,0,6,4,0,0,0,3,0,0,0,3,0,0,6,242,41,0,0,284,0,3,10,292,13,0,302,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,0,5,0,0,0,5,0,0,5,4,0,0,0,4,0,0,0,8,0,0,8,249,41,0,0,292,4,3,12,299,13,0,313,54,3,0,0
2016,1565,77,5,1637,9,0,0,0,9,0,5,5,12,5,0,11,8,4,0,0,11,7,0,8,19,9,0,23,19,4,0,0,19,7,9,13,28,8,0,36,1280,215,33,33,1558,17,16,33,1594,87,5,1679,330,94,10,10,445,28,12,45,486,235,6,731,7,0,0,5,13,0,0,0,13,0,14,33,1617,310,44,46,2016,51,27,74,2097,321,25,2441,322,43,10,5,377,3,9,11,386,18,0,406,409,72,5,3,489,5,3,12,503,18,0,518,14,11,10,0,30,0,0,0,30,6,0,42,0,0,0,6,11,0,0,0,11,0,4,13,755,126,20,12,911,10,12,24,932,41,4,978,8,0,0,0,8,0,0,0,11,0,0,9,7,4,0,0,11,3,5,3,12,3,0,20,13,4,0,0,21,3,3,9,21,4,0,27,768,130,20,12,925,9,17,28,957,52,4,1010,157,57,7,7
2017,372,13,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,31,3,3,369,0,0,3,372,13,0,387,78,9,0,3,88,0,0,4,91,12,0,102,0,0,0,0,0,0,0,0,0,0,3,3,410,38,3,3,457,5,8,6,463,28,3,493,70,6,0,0,81,6,0,7,80,6,0,86,105,4,3,0,115,0,0,0,113,0,0,116,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,4,0,0,0,4,0,0,4,176,16,3,0,201,0,0,5,203,7,0,215,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,16,3,0,201,3,0,8,203,9,0,218,30,4,0,0
2018,1206,53,3,1262,3,3,0,0,12,0,0,0,12,0,0,14,21,4,0,5,22,0,0,0,25,4,0,28,20,4,0,4,30,0,0,0,39,5,0,38,1031,122,32,17,1200,24,9,33,1241,57,7,1302,202,39,9,19,262,12,4,17,273,67,0,347,3,0,0,0,5,0,0,0,5,0,11,18,1232,165,40,32,1469,39,14,52,1518,129,23,1666,261,31,4,0,300,0,3,3,305,15,0,315,342,43,9,3,398,8,0,8,406,26,3,430,23,0,7,0,25,0,0,0,25,0,0,27,4,0,0,5,8,0,0,0,8,0,0,8,626,74,22,8,734,10,3,13,744,36,3,784,4,0,0,0,10,3,0,3,9,0,0,10,16,0,5,0,18,0,0,0,15,0,0,15,19,3,5,0,23,3,0,3,28,0,0,27,648,75,23,10,760,13,4,14,772,40,3,813,95,16,0,3
2019,582,27,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,493,69,12,4,576,0,4,4,581,26,0,611,78,15,4,3,105,3,0,4,112,19,0,130,0,0,0,0,0,0,0,0,0,0,13,15,576,86,14,10,686,8,4,10,694,49,8,753,158,15,0,3,182,4,0,4,180,3,0,187,163,37,3,0,214,0,0,0,214,6,0,221,10,4,3,0,16,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,336,57,7,5,406,3,0,5,411,11,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,57,7,5,408,4,0,3,410,11,0,424,51,3,0,0
2020,1410,62,0,1475,7,0,0,0,10,0,0,0,10,0,0,13,27,0,0,0,28,0,0,0,28,0,0,28,34,0,0,0,40,0,0,0,40,0,0,45,1199,188,21,20,1428,16,0,15,1447,67,0,1517,337,47,14,13,407,7,0,7,414,26,0,445,5,0,0,0,5,0,0,0,5,3,9,14,1541,231,30,38,1842,22,0,26,1865,92,10,1971,276,41,7,3,327,0,0,0,333,22,0,348,435,56,10,6,502,0,0,4,508,22,0,529,29,3,3,0,32,0,0,0,32,0,0,30,8,0,0,9,13,0,0,0,13,0,0,13,739,100,21,21,881,0,5,8,882,39,0,921,3,0,0,0,7,0,0,0,7,0,0,7,9,0,0,0,11,0,0,0,17,0,0,17,13,4,0,0,17,0,0,0,23,0,0,23,757,98,21,18,897,3,5,6,901,39,0,945,145,28,7,0
2021,1199,40,4,1242,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,15,0,0,0,15,0,0,15,14,3,0,0,16,0,0,0,16,0,0,16,1046,117,25,14,1206,10,6,13,1219,40,4,1254,136,29,3,0,170,0,0,0,169,24,0,193,4,0,0,0,5,0,0,0,5,0,5,8,1191,149,28,18,1375,9,6,15,1394,63,8,1455,206,36,3,0,247,0,0,8,255,14,0,263,390,33,10,0,438,0,0,8,443,13,0,458,28,4,4,0,35,0,0,0,35,0,0,35,3,0,0,3,10,0,0,0,10,0,0,8,635,74,20,11,730,0,6,8,735,21,0,759,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,10,0,0,0,10,0,0,0,10,0,0,10,639,74,20,11,736,0,6,8,746,21,0,768,78,17,3,3
