SUA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
2010,3115,1821,2159,1856,1843,2031,1726,1192,568,16316,4,10,7,4,4,9,4,8,0,46,0,0,4,4,5,0,0,0,0,15,32,107,96,55,60,57,38,20,24,494,0,0,3,3,8,3,3,0,0,21,0,0,3,0,7,3,0,0,0,18,0,0,0,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,109,102,64,77,72,45,23,24,557,39,114,107,70,86,83,48,31,24,598,3154,1938,2268,1925,1928,2115,1770,1221,593,16914
2011,859165,574665,756254,707548,601555,500253,376715,220429,94437,4691014,415,422,499,468,506,555,691,587,376,4520,197,716,769,396,411,474,341,124,33,3459,10191,14037,16641,11389,9678,8970,7245,4903,3073,86128,125,525,433,293,300,411,347,95,27,2541,69,172,220,135,102,146,113,35,18,999,56,204,184,110,126,163,114,34,8,1006,31,135,179,87,90,125,121,47,13,839,26,71,66,40,35,37,17,0,0,298,16,77,62,44,31,31,32,10,0,300,0,0,0,0,0,0,0,0,0,0,10702,15935,18560,12491,10777,10353,8337,5247,3172,95572,11119,16360,19052,12960,11288,10910,9019,5834,3543,100086,870283,591025,775308,720510,612843,511161,385731,226259,97981,4791106
2012,9854,5830,6837,6048,6399,6494,5470,3237,1333,51497,8,13,19,12,20,21,17,14,12,126,37,37,45,40,45,46,43,19,6,316,166,229,283,171,213,291,218,111,53,1731,0,0,13,5,11,16,0,0,0,44,7,21,13,19,17,20,11,10,0,107,0,3,0,3,4,0,4,0,0,19,0,0,0,0,0,5,4,3,0,12,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,288,347,235,288,386,286,136,58,2234,216,304,361,245,306,406,309,150,69,2360,10069,6126,7201,6291,6700,6894,5776,3388,1400,53856
2013,3605,2303,2604,2325,2604,2984,2717,1420,578,21144,4,9,6,4,5,9,5,14,0,56,0,0,4,0,0,0,0,0,0,5,68,74,80,54,43,63,39,21,12,437,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,76,84,56,47,69,37,25,12,462,73,85,85,61,49,78,43,41,12,514,3675,2387,2689,2381,2652,3063,2754,1461,590,21657
2014,1719,1103,1019,1138,1407,1655,1481,751,325,10600,0,0,0,0,11,7,0,0,3,25,0,0,0,0,0,0,0,0,0,4,30,56,61,67,53,68,41,19,9,402,4,0,0,0,0,8,3,0,0,19,0,0,0,4,7,6,0,0,0,21,0,0,0,4,0,6,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,54,70,75,63,88,49,19,16,460,32,58,69,78,73,91,53,17,14,488,1749,1162,1096,1211,1478,1744,1535,773,344,11092
2015,2744,1609,1789,1715,1794,1790,1638,1037,451,14571,3,6,5,3,0,4,12,3,0,35,0,3,4,0,8,0,0,0,0,18,50,85,90,57,71,60,41,19,19,483,0,0,3,0,13,0,3,0,0,22,0,0,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,46,85,104,55,86,68,48,28,19,547,54,89,110,61,92,69,58,29,19,578,2798,1703,1891,1779,1884,1854,1703,1065,470,15145
2016,10464,6133,7044,6348,6225,6024,5066,3184,1363,51856,6,17,11,16,12,15,20,13,8,109,0,11,14,0,3,4,9,6,0,52,144,306,289,166,221,189,105,53,41,1519,0,4,6,3,3,5,3,4,0,23,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,144,318,313,179,239,204,123,63,41,1618,158,335,317,193,249,216,139,75,46,1727,10616,6470,7365,6545,6474,6244,5207,3256,1409,53585
2017,2115,1190,1570,1307,1104,1268,1040,766,408,10759,8,0,8,4,3,4,4,4,0,29,0,9,9,3,3,4,3,4,0,29,25,61,57,58,64,65,47,23,15,416,0,0,0,0,3,4,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,70,72,59,68,84,55,31,12,471,35,71,78,57,77,85,57,36,14,505,2144,1260,1649,1368,1175,1344,1105,802,425,11263
2018,7646,4695,5580,4936,4945,5282,4604,2711,1163,41559,11,4,0,7,13,11,19,15,6,95,0,5,3,7,4,4,7,4,0,43,208,255,290,225,203,207,222,201,145,1959,5,0,0,6,3,9,5,0,0,35,0,4,0,0,0,0,7,0,0,15,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,271,292,241,215,229,233,206,153,2056,225,277,296,246,224,245,251,216,157,2150,7867,4977,5877,5185,5176,5529,4854,2928,1315,43711
2019,3369,2060,2193,2155,2315,2351,2216,1625,768,19043,8,8,0,0,4,4,9,8,0,42,3,10,0,3,7,5,9,0,0,36,44,102,111,63,73,73,68,50,52,648,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,113,119,69,85,84,77,48,52,705,57,124,119,69,89,86,88,53,54,749,3428,2181,2314,2225,2408,2441,2302,1675,821,19791
2020,8151,4376,5466,4804,4896,5061,4618,2770,999,41139,0,9,8,0,13,11,7,7,5,51,5,3,3,4,0,6,0,0,5,12,123,175,167,92,76,80,77,42,24,857,0,0,6,4,7,0,0,0,0,17,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,7,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,172,181,93,83,92,79,42,22,901,128,180,184,91,94,101,87,59,28,953,8280,4553,5651,4896,4992,5161,4708,2833,1030,42095
2021,6102,3830,4358,4154,4358,4387,3827,2235,1023,34286,3,0,5,4,4,6,10,10,9,48,4,0,0,0,0,3,5,3,0,23,130,181,201,134,132,171,113,64,77,1211,0,0,4,0,0,4,10,0,0,21,0,5,4,0,0,0,4,0,3,19,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,196,218,138,141,180,128,71,81,1282,141,195,216,143,144,191,139,78,92,1335,6240,4028,4576,4297,4498,4580,3965,2315,1117,35622
