SUA_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
2010,36,413,12,141,44,9,4,12,6,674,29,230,0,68,26,4,0,0,0,360,95,113,15,43,243,40,0,16,4,571,34,109,4,253,48,31,0,21,7,513,8,23,0,4,13,10,0,0,0,67,34,11,54,45,37,39,0,14,0,223,0,0,0,0,0,0,0,0,0,6,5,6,0,9,0,0,0,0,0,19,5,5,4,5,8,3,0,7,5,52,259,957,123,588,453,143,12,94,28,2664,15,50,8,4,11,0,3,3,0,93,17,20,11,3,4,3,4,0,0,71,100,53,353,12,24,23,83,65,12,730,60,3,211,10,16,10,29,30,3,382,73,73,42,20,17,13,20,41,4,304,46,490,18,178,48,10,5,12,4,821,47,301,3,75,23,9,5,5,0,477,198,195,34,70,274,77,25,42,11,927,49,152,15,340,60,34,10,31,8,698,16,38,9,10,17,16,0,3,0,112
2011,7488,90383,4371,24725,10779,3906,798,2328,1093,145876,7832,59203,1019,20630,7401,2498,489,1529,710,101325,43373,56762,4565,16285,67102,18596,2563,7234,3079,219560,16911,51581,2980,43823,24468,7258,1367,4812,2031,155236,7750,21639,2926,5330,7780,5523,604,1521,612,53686,4750,1771,10858,9470,7980,5428,1064,4118,586,46037,61,78,32,119,101,69,28,107,16,610,2783,4451,713,2595,3491,1298,267,819,441,16858,1291,2143,667,2410,2711,1398,349,1244,3459,15677,107702,333643,38775,134079,147399,52906,9607,28960,13700,866768,11881,30834,6130,5038,7518,3787,1625,2792,930,70530,17877,53483,9894,4302,9228,4980,5421,5140,1888,112219,35624,57186,71682,6092,12751,7545,18848,16023,3326,229075,15919,14586,50637,2009,4480,2951,4461,8186,1484,104713,3720,3648,6867,1342,2074,1241,1492,2778,326,23485,11225,122225,6530,31883,12278,5007,2137,3786,1526,196610,11427,77472,2183,22925,8449,3138,1452,2401,967,130410,98884,115188,14639,24436,92892,35200,14858,16117,6299,418508,28706,80878,6776,58855,31699,10665,5390,8507,3181,234649,13235,38690,7849,8175,10983,8769,2619,4110,1108,95531
2012,69,894,52,252,114,29,5,37,6,1464,83,729,16,251,66,23,5,22,13,1208,263,247,41,135,655,141,10,97,19,1620,129,377,25,717,160,76,10,76,13,1591,26,78,17,19,19,29,3,22,0,213,57,23,165,126,89,80,11,74,13,633,0,3,0,0,0,0,0,3,0,12,4,12,7,17,5,3,0,8,3,67,29,27,5,47,48,30,4,50,42,271,736,2504,388,1599,1220,457,62,452,117,7540,71,106,30,10,16,11,9,22,4,280,29,48,35,19,13,9,13,24,0,186,277,148,988,43,66,71,220,225,31,2072,171,43,482,17,28,22,55,73,20,903,212,108,113,35,37,33,65,116,4,713,108,1138,62,346,126,37,12,44,10,1884,142,955,31,274,86,36,10,37,11,1579,565,463,99,187,750,252,77,167,38,2606,173,508,47,939,189,96,30,123,30,2136,37,117,38,41,31,41,24,29,0,358
2013,13,258,24,115,43,15,3,7,6,495,26,182,6,105,29,5,0,6,3,360,66,70,19,67,274,58,0,25,6,573,37,110,11,386,85,37,3,32,11,713,9,12,7,15,20,8,0,5,0,75,14,14,62,53,36,25,9,15,5,233,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,0,0,0,27,10,7,3,23,15,17,0,10,19,102,199,701,155,778,551,181,30,126,49,2769,12,32,5,0,14,5,5,0,0,71,13,20,22,3,17,5,7,4,0,87,110,71,720,42,48,19,162,107,23,1298,46,4,255,3,11,10,54,84,9,476,27,15,35,7,19,3,21,30,0,154,31,318,29,139,45,21,6,15,6,598,42,231,9,109,32,8,4,7,3,445,124,109,30,87,305,83,27,41,5,810,55,143,23,464,95,52,11,48,14,900,11,21,21,22,26,10,10,8,0,134
2014,15,191,13,87,23,6,4,7,0,344,22,140,0,56,14,7,0,5,0,237,44,28,5,19,108,19,8,7,0,254,15,65,4,189,29,10,3,19,0,338,3,7,3,0,4,0,0,0,0,27,18,4,31,29,20,18,0,13,5,138,0,0,0,0,0,0,0,0,0,4,3,0,3,0,4,4,0,3,0,19,6,4,0,7,5,3,0,10,3,49,133,465,79,407,212,87,19,67,15,1477,4,16,9,5,4,0,0,0,0,38,4,12,4,0,4,0,0,0,0,32,49,54,275,8,11,8,85,54,12,565,20,10,106,3,4,3,35,32,8,214,12,12,25,5,0,5,11,17,3,94,19,229,16,107,22,6,6,9,0,423,24,192,3,66,13,3,0,3,0,305,85,54,16,32,124,37,20,20,5,383,19,87,9,223,38,13,7,27,0,414,5,12,4,3,7,9,3,3,0,50
2015,27,329,15,117,25,10,0,14,0,544,22,214,0,82,19,6,0,3,4,353,73,78,10,42,176,31,3,13,9,435,43,88,3,205,49,26,0,14,3,441,14,22,4,5,7,4,0,5,0,61,22,4,48,46,24,24,0,22,0,186,0,0,0,0,0,0,0,0,0,5,4,7,0,5,7,0,0,4,0,22,5,0,0,7,4,6,0,6,4,40,217,783,108,539,341,122,9,92,26,2233,11,52,10,9,5,3,0,0,0,93,18,21,19,10,16,7,0,0,3,89,84,160,329,36,30,21,56,69,16,793,47,12,158,3,8,6,23,37,8,302,28,20,22,10,5,3,5,19,0,117,39,426,23,145,24,14,3,15,0,694,46,293,5,93,22,12,3,8,6,485,166,146,29,59,210,64,18,19,9,728,61,146,13,261,57,36,7,27,5,609,23,40,10,8,12,10,4,8,0,115
2016,84,1056,48,397,113,42,8,43,15,1791,95,653,4,252,66,34,8,37,8,1158,216,298,21,110,590,135,12,97,21,1504,100,342,17,679,170,86,16,125,21,1544,16,50,11,23,16,20,3,18,0,147,46,19,144,123,95,81,10,69,8,606,6,0,0,0,0,0,0,3,0,9,15,25,6,16,9,6,0,14,6,102,22,22,8,25,33,24,4,39,30,205,661,2588,340,1658,1147,466,64,524,106,7558,57,99,34,22,19,18,5,26,4,299,38,66,44,20,23,14,12,32,4,248,307,205,1013,42,87,76,192,254,30,2218,163,40,510,16,31,23,43,105,19,944,90,66,71,23,34,27,31,94,8,430,129,1431,61,491,120,47,17,65,13,2371,147,895,17,280,77,37,15,49,5,1529,522,552,84,163,688,233,96,172,30,2554,149,494,51,855,193,105,37,182,25,2095,43,89,31,25,26,22,7,28,3,278
2017,14,218,12,74,30,7,0,6,4,361,20,163,3,63,18,7,0,7,6,283,37,60,6,24,116,42,0,19,4,306,24,63,4,151,38,21,0,32,3,325,4,9,0,5,6,7,0,3,0,31,7,10,42,36,24,14,0,12,4,155,0,0,0,0,0,0,0,0,0,3,6,5,0,3,0,0,0,5,3,20,0,4,0,9,0,5,0,11,3,25,121,555,81,369,265,98,3,103,24,1610,9,15,3,0,0,0,0,3,0,40,5,11,10,3,3,0,4,8,0,42,67,33,252,10,22,20,34,54,3,495,56,3,109,4,9,0,18,20,3,226,54,36,17,5,16,10,7,15,9,174,27,266,8,93,32,8,0,9,0,453,35,225,6,65,17,11,0,11,6,374,106,114,14,38,138,56,0,41,3,516,35,100,6,190,39,20,8,29,3,428,3,22,3,5,6,7,0,7,0,57
2018,46,806,41,237,100,32,11,19,5,1295,58,523,10,196,59,12,5,7,4,877,171,185,30,90,527,91,10,29,18,1169,80,290,21,559,169,74,3,54,21,1273,20,52,12,19,44,21,0,6,0,176,55,13,124,115,121,54,7,54,8,534,0,0,0,0,0,0,0,0,0,3,6,5,3,13,14,0,4,0,6,47,8,10,6,30,24,17,0,21,16,129,484,1970,312,1282,1131,339,60,226,76,5874,28,80,37,23,23,8,5,8,4,207,33,82,48,17,37,12,3,12,7,242,215,285,1097,55,90,59,267,188,32,2279,104,15,399,20,23,24,105,148,14,861,41,32,44,10,25,14,19,38,0,225,67,1049,64,288,111,34,15,25,8,1662,87,636,28,222,66,17,9,20,5,1085,347,349,83,118,630,166,47,76,32,1856,104,389,47,722,213,99,33,86,32,1710,35,92,24,31,60,27,6,22,3,298
2019,35,524,32,202,58,27,4,15,10,890,27,261,7,95,19,13,0,5,4,435,85,88,15,70,222,59,6,20,5,573,52,130,4,291,58,35,3,37,7,613,8,20,8,14,19,9,3,9,0,91,34,9,70,56,36,40,6,27,0,271,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,6,0,4,0,23,9,5,0,14,18,12,5,7,6,74,263,1089,162,755,458,206,33,140,36,3142,21,43,15,9,5,7,0,3,0,112,16,27,22,4,10,9,3,11,0,101,84,77,340,19,30,21,93,64,8,743,72,14,245,18,4,14,38,55,8,453,39,25,25,7,13,16,16,26,0,170,41,670,36,258,60,30,10,23,9,1136,44,362,16,109,29,15,10,19,4,600,197,167,45,92,266,95,19,46,3,937,80,174,22,384,67,37,12,60,7,834,16,38,12,19,21,16,4,15,0,142
2020,76,745,55,320,117,47,4,46,4,1424,89,673,3,257,67,20,0,23,9,1143,184,206,33,99,553,127,13,68,14,1292,116,323,31,606,168,55,12,88,19,1414,17,76,16,34,46,28,4,21,4,240,47,14,132,110,94,64,12,58,7,529,0,0,0,6,3,0,0,0,0,8,12,9,9,19,14,8,6,3,0,80,17,18,6,29,32,13,3,20,32,169,633,2178,355,1522,1161,405,73,399,87,6806,43,87,35,17,23,23,8,18,3,256,39,85,44,6,28,18,13,26,3,264,322,211,955,31,53,75,265,218,23,2151,168,52,684,18,24,31,97,160,23,1249,132,70,118,30,32,31,48,103,4,557,97,924,74,393,126,47,7,55,8,1738,141,889,19,282,74,24,12,37,7,1496,409,427,76,140,647,190,57,120,26,2087,159,430,68,761,194,80,27,130,23,1876,44,114,36,44,59,39,16,48,0,396
2021,64,888,43,261,107,45,8,34,9,1456,74,550,12,208,52,26,0,19,3,949,174,175,25,72,475,103,8,57,13,1094,71,296,16,521,106,57,7,69,7,1150,16,57,12,23,32,21,5,8,0,174,56,15,168,128,62,74,0,60,9,573,0,0,0,0,0,0,0,0,0,8,13,14,4,10,14,6,0,0,0,60,5,12,3,16,13,17,0,24,24,125,528,2104,353,1280,908,363,33,338,69,5978,68,103,33,14,30,14,4,28,0,290,25,51,34,7,8,5,6,24,0,159,164,135,624,31,52,45,145,165,21,1377,161,48,502,27,20,25,57,94,17,943,95,61,75,23,36,16,23,67,0,392,83,1180,63,335,124,53,14,40,12,1899,126,767,27,245,64,36,3,27,7,1305,396,406,78,115,568,183,43,108,21,1914,110,409,39,669,119,76,14,105,13,1547,22,92,35,30,44,32,18,23,3,304
