SUA_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
2010,0,0,0,0,0,106,0,3,0,0,0,0,0,0,5,123,25,0,0,0,0,0,0,0,0,6,28,11,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,6,49,383,61,50,11,6,19,13,9,0,29,579,101,158,143,32,45,61,30,21,0,4,591,7,19,24,0,4,3,10,9,0,4,84,0,0,0,0,0,0,0,0,0,0,0,110,180,161,32,55,63,42,30,0,7,684,0,0,0,0,0,0,0,0,0,0,3,498,239,214,42,58,87,59,39,0,34,1260
2011,0,0,0,524,695,105017,2842,2039,431,335,284,871,407,66,4032,116333,13596,160,70,17,17,19,26,6,3,1104,15019,14038,120,63,13,21,9,31,12,0,865,15169,14718,430,281,59,56,34,86,30,6,1117,16811,176,0,3,0,0,0,0,0,0,148,333,28925,552,351,76,74,40,113,47,3,2134,32312,144,0,0,0,0,0,0,0,0,658,804,42668,714,416,91,87,64,144,50,6,3897,48135,321103,64511,55885,11376,11982,12245,13270,5436,2367,10868,509033,380377,198531,179071,46651,49361,54036,58041,19782,5000,14152,1004998,101685,26122,31766,8892,9454,10411,15903,6602,2030,6973,219831,1167,319,282,87,91,134,275,137,106,601,3197,483225,224972,211121,55628,58908,64574,74222,26513,7138,21720,1228019,747,197,293,68,109,90,123,38,23,3691,5378,805071,289674,267290,67066,70993,76910,87615,31990,9527,36278,1742428
2012,0,0,0,0,0,535,4,6,0,0,0,0,0,0,37,582,80,0,0,0,0,0,0,0,0,9,86,98,0,0,0,0,0,0,0,0,8,105,58,0,0,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,18,172,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,26,262,1529,199,220,46,45,42,70,22,3,101,2275,977,469,633,237,234,279,336,113,44,95,3416,391,124,223,112,145,173,204,85,13,86,1561,9,3,3,0,0,3,8,0,0,14,45,1376,598,859,351,380,461,541,196,59,191,5014,8,3,0,8,0,0,0,0,0,13,34,2915,800,1081,397,427,507,612,217,62,317,7321
2013,0,0,0,0,3,484,0,0,0,0,0,0,0,0,24,512,122,0,0,0,0,0,0,0,0,13,134,60,0,0,0,0,0,0,0,0,4,64,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,4,81,4,0,0,0,0,0,0,0,0,0,4,203,0,0,0,0,0,0,0,0,10,220,1523,79,59,9,11,3,5,7,4,71,1774,383,76,61,13,14,18,21,37,16,24,656,87,15,16,6,0,4,6,0,3,4,138,7,0,0,0,0,0,0,0,0,0,6,474,87,75,21,18,21,28,40,16,24,802,11,0,0,0,0,0,0,0,0,5,14,2004,171,136,28,28,28,32,46,16,104,2594
2014,0,0,0,0,0,119,0,0,0,0,0,0,0,0,5,130,35,0,0,0,0,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,42,0,0,0,0,0,0,0,0,0,42,591,48,38,4,11,9,9,3,0,27,741,106,35,58,13,32,26,12,5,0,4,294,5,0,0,3,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,109,35,61,16,32,24,12,5,3,4,304,0,0,0,0,0,0,0,0,0,0,3,705,87,98,25,36,36,19,12,3,32,1051
2015,0,0,0,0,6,245,6,0,0,0,0,0,0,0,5,262,48,0,0,0,0,0,0,0,0,6,58,21,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,9,72,0,0,0,0,0,0,0,0,8,84,851,119,74,11,19,28,10,17,0,37,1171,201,138,144,24,31,49,47,24,6,12,674,25,11,15,0,0,4,10,7,0,4,82,0,0,0,0,0,0,0,0,0,0,5,225,155,159,23,36,53,57,33,6,9,762,3,0,0,0,0,0,0,0,0,13,14,1087,270,239,34,52,82,68,49,7,58,1940
2016,0,0,0,6,6,586,16,14,0,0,0,5,3,0,29,658,94,0,0,0,0,0,0,0,0,9,104,71,0,0,0,0,0,0,0,0,3,81,70,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,3,147,0,0,0,0,0,0,0,0,10,153,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,19,260,1630,252,256,46,50,61,46,28,11,110,2486,1398,1377,1310,370,370,464,518,178,64,113,6158,454,244,353,97,134,131,201,59,23,64,1768,5,11,6,3,3,0,0,4,0,8,45,1859,1628,1673,471,508,594,717,239,88,192,7964,5,0,0,0,0,0,0,0,0,12,22,3496,1878,1934,518,551,654,761,266,104,310,10477
2017,0,0,0,0,0,65,0,0,0,0,0,0,0,0,8,70,13,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,6,43,215,37,47,8,8,9,6,4,0,13,338,115,140,183,45,103,100,98,17,15,20,841,36,23,51,7,48,70,29,0,4,19,285,0,0,0,0,0,0,0,0,0,0,4,154,160,236,54,149,172,130,17,21,38,1127,4,0,0,0,0,0,0,0,0,0,8,370,198,283,59,149,175,135,24,21,51,1472
2018,0,0,0,0,3,789,9,0,0,0,0,4,0,0,51,858,184,0,0,0,0,0,0,0,0,29,213,98,0,0,0,0,0,0,0,0,18,114,52,0,0,0,0,0,0,0,0,11,68,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,31,174,0,0,0,0,0,0,0,0,0,3,8,336,0,3,0,0,0,0,0,0,58,395,2529,238,182,38,22,45,43,8,11,146,3271,881,397,388,91,91,117,176,56,10,73,2284,167,49,61,7,7,17,24,16,11,22,389,6,3,0,0,0,0,0,0,0,8,17,1052,451,454,96,98,136,205,71,24,101,2687,12,0,0,0,0,0,0,0,0,13,23,3588,685,637,138,126,181,247,77,34,264,5980
2019,0,0,0,0,4,272,0,0,0,0,0,0,0,0,10,291,44,0,0,0,0,0,0,0,0,8,54,31,0,0,0,0,0,0,0,0,0,31,17,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,3,54,0,0,0,0,0,0,0,0,0,3,3,93,0,0,0,0,0,0,0,0,13,111,798,81,71,24,9,10,21,16,0,38,1069,232,120,125,54,55,61,58,25,4,16,754,58,5,12,11,0,7,9,4,0,6,114,5,0,0,0,0,0,0,0,0,0,3,298,126,130,62,57,67,67,31,6,26,867,0,0,0,0,0,0,0,0,0,5,14,1099,212,200,82,64,78,84,43,10,70,1949
2020,0,0,0,0,4,695,3,7,0,0,0,0,0,0,28,740,129,0,0,0,0,0,0,0,0,13,140,44,0,0,0,0,0,0,0,0,0,51,9,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,6,61,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,15,198,2842,369,213,36,40,32,41,18,10,117,3712,582,307,245,65,80,67,121,38,9,36,1546,59,15,17,4,13,19,37,15,0,4,178,4,4,0,0,0,0,0,0,0,0,5,648,320,259,64,92,85,154,54,9,43,1730,10,0,4,0,0,0,0,0,0,4,16,3496,687,477,103,131,124,197,68,17,161,5460
2021,0,0,0,5,3,220,5,0,0,0,0,0,0,0,15,242,73,0,0,0,0,0,0,0,0,3,80,14,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,4,0,0,3,102,1278,200,181,37,31,30,52,22,8,60,1886,203,223,246,69,83,134,192,48,15,14,1240,17,27,21,14,35,45,71,10,0,17,256,0,0,3,0,0,3,3,3,0,3,16,229,248,268,89,120,181,265,62,16,28,1509,0,0,0,0,0,0,0,0,0,9,14,1500,455,448,121,148,216,318,83,27,100,3416
