SUA_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
2010,161,385,219,218,918,1137,310,628,78,4063,9,19,12,11,11,3,3,7,5,83,0,0,0,0,0,0,0,0,0,3,0,31,5,5,19,11,4,0,0,82,4,3,3,7,6,20,0,0,0,52,0,16,16,7,16,15,3,0,0,77,3,3,4,11,25,12,0,0,0,70,34,156,109,68,85,36,18,4,5,518,26,115,49,19,20,16,7,20,0,267,4,9,7,8,7,12,5,4,0,53,0,0,0,3,11,7,5,4,0,32,3,12,11,8,28,24,7,4,0,96,0,9,5,0,10,6,0,0,0,30,8,21,21,24,55,28,8,6,0,167,12,42,21,4,30,8,4,3,0,127,16,16,17,21,71,45,8,14,0,208,19,73,94,66,110,59,35,48,0,503,78,174,238,249,229,198,43,49,9,1269,9,19,7,9,3,0,0,0,0,50,14,36,28,18,33,26,0,0,6,159
2011,45006,125405,97974,66771,277589,343399,89513,177993,22931,1246580,238,1052,929,666,1346,913,192,353,76,5765,55,69,87,74,124,283,82,180,9,957,1889,7266,6319,4332,15269,11065,2518,3506,306,52469,352,367,704,654,2575,2215,510,624,45,8049,1153,5020,4808,2664,6625,7263,1397,2451,338,31722,1069,2701,3174,2212,7722,6276,1437,1873,106,26567,10133,37670,23000,10629,20346,12840,3164,4612,1117,123514,8406,32452,13888,4895,7049,4549,1131,2209,876,75456,1686,3363,3813,2043,7037,6027,1362,1776,288,27383,1032,1889,1643,1192,4136,3849,1011,1704,82,16537,2685,2817,5009,3864,13426,16794,3109,5091,297,53093,802,2213,2345,1408,5222,4398,898,1461,122,18868,4105,11604,12512,8675,23022,25738,5782,10226,479,102142,2309,8840,7608,3159,8051,5229,1085,1703,378,38364,3912,4879,7046,5680,19850,13690,3694,5334,369,64453,7583,27220,22881,15050,30215,20825,8341,15567,901,148589,14410,39887,48650,40567,48917,36340,7297,11756,2005,249824,3137,5541,2986,1665,3009,2614,575,1165,166,20851,4623,9180,7892,3829,6624,4294,1055,1554,362,39409
2012,446,1065,790,643,2619,3022,846,2064,352,11844,32,97,99,86,167,85,34,63,15,669,0,4,4,0,0,6,0,3,0,27,10,70,45,31,91,85,19,22,5,375,0,0,3,6,15,37,0,3,0,76,9,43,43,27,53,39,16,13,3,239,8,26,19,17,52,33,10,36,0,206,102,488,286,134,256,99,34,50,28,1475,97,367,160,60,119,53,5,52,23,936,21,36,26,21,38,37,12,22,0,210,3,6,13,8,15,9,4,3,0,64,12,16,39,16,50,37,10,15,0,195,10,15,20,19,50,23,3,9,0,146,16,59,63,44,138,83,15,27,8,449,28,107,69,52,119,62,14,32,10,500,40,61,66,46,191,157,35,20,6,626,70,198,221,193,371,183,105,188,22,1551,182,328,492,460,802,427,69,146,32,2942,14,22,23,6,18,4,0,3,4,98,31,92,70,41,67,38,10,22,0,370
2013,205,405,282,229,1006,1179,376,651,137,4469,0,20,16,8,10,17,0,8,0,92,0,5,0,3,0,7,0,0,0,19,4,16,15,6,27,19,8,7,5,102,3,10,5,4,29,16,0,11,0,72,4,14,26,9,26,24,8,7,0,106,6,4,3,5,6,4,0,0,0,31,32,177,116,74,73,52,7,7,19,562,39,149,46,15,28,20,0,6,5,307,4,13,13,0,12,8,0,5,0,62,0,7,0,0,12,4,0,5,0,31,8,13,22,9,53,21,5,0,0,126,0,4,8,7,21,8,0,0,0,63,11,31,24,20,26,22,4,6,5,148,8,52,22,6,35,10,4,4,0,146,34,56,67,34,93,55,19,22,5,384,22,101,89,83,108,46,23,35,3,520,91,205,266,229,197,126,30,54,12,1210,9,12,5,3,3,3,0,3,0,36,14,44,35,18,29,17,0,4,0,159
2014,120,279,158,143,476,718,159,359,57,2465,6,19,7,6,5,4,4,7,0,56,0,0,0,0,0,0,0,0,0,0,3,18,17,7,20,28,3,9,0,109,0,0,3,0,7,0,0,0,0,17,0,13,4,0,4,10,0,0,0,27,0,7,6,7,10,0,3,6,0,33,11,99,50,20,28,17,3,4,4,237,28,107,40,13,18,7,4,15,3,237,3,12,9,7,13,3,3,4,0,56,0,4,5,0,4,0,0,0,0,15,5,0,3,6,14,5,0,4,0,34,4,0,0,0,11,6,0,3,0,29,7,9,11,3,13,5,3,3,0,63,4,33,10,5,11,9,3,0,0,82,8,25,30,16,36,28,5,3,0,162,16,55,47,40,45,37,21,43,0,310,57,113,133,104,112,81,22,19,5,647,5,16,9,0,5,0,0,0,0,43,8,18,15,15,10,14,0,3,0,88
2015,138,324,215,156,687,900,274,552,65,3315,0,15,11,3,10,9,5,5,0,59,0,0,0,4,3,6,5,0,0,21,5,11,14,4,12,13,0,4,0,68,0,0,0,0,9,3,0,6,0,23,0,11,13,7,19,24,0,3,0,82,0,3,0,0,8,5,0,0,0,19,27,157,81,36,61,42,7,13,0,424,19,107,46,12,12,10,3,15,3,227,0,4,9,0,4,3,5,3,3,34,0,5,0,3,3,4,3,0,0,18,4,9,5,0,14,3,0,8,0,40,0,0,3,5,24,3,5,3,0,46,6,26,29,16,27,25,8,12,0,135,3,37,8,9,17,12,0,4,0,81,14,34,24,13,78,75,21,33,3,305,22,91,81,53,83,52,26,47,6,465,70,131,217,188,126,130,27,40,7,946,8,10,4,3,4,4,0,5,0,40,3,42,33,14,21,9,0,6,3,131
2016,444,1130,760,607,2677,3138,1032,1808,266,11869,8,47,50,57,114,80,20,24,13,410,0,0,0,0,0,0,0,0,0,3,21,88,47,47,120,110,42,39,8,508,8,9,15,12,33,48,3,7,0,129,11,42,47,26,60,62,12,18,4,286,3,13,19,9,40,28,5,7,0,141,93,443,279,147,241,99,30,32,17,1374,82,361,118,59,83,57,9,34,11,820,10,29,35,10,44,27,8,16,0,186,9,16,9,8,24,11,0,4,3,82,9,16,19,18,58,34,13,7,6,171,3,15,16,10,35,21,11,13,0,115,24,65,77,52,134,64,14,29,0,468,12,86,63,44,96,69,15,25,8,411,32,55,52,57,137,111,15,39,0,500,81,195,213,183,336,214,89,140,10,1459,197,476,615,624,674,510,81,151,33,3360,20,25,17,11,18,6,0,6,0,91,38,110,77,49,96,51,8,13,3,445
2017,79,229,162,121,569,762,205,487,51,2675,4,18,15,17,35,18,4,11,0,122,0,0,0,0,0,0,0,0,0,0,0,27,11,16,30,26,5,0,0,114,0,0,0,0,4,6,0,0,0,9,0,14,8,6,5,15,0,0,0,55,0,3,10,0,10,12,3,0,0,38,23,79,49,39,43,38,11,11,0,294,34,109,50,15,28,5,8,12,0,259,0,4,15,3,9,23,0,0,0,54,3,7,0,5,8,3,0,0,0,14,0,9,6,6,18,7,0,0,0,53,0,4,0,4,10,3,0,0,0,24,0,14,14,15,21,20,3,5,0,86,0,27,14,4,16,5,0,0,0,73,8,13,16,7,51,27,11,9,0,136,14,58,72,45,68,48,10,36,0,351,46,87,119,107,139,124,20,42,3,683,3,7,6,3,6,0,3,0,0,24,15,14,18,7,20,3,4,4,0,87
2018,396,901,577,460,2088,2255,839,1393,187,9092,0,21,18,7,16,23,4,11,0,99,0,0,0,0,3,7,7,5,0,21,10,37,21,17,53,31,22,6,5,199,4,11,18,8,84,37,15,9,0,189,7,23,31,13,52,55,8,17,3,212,0,15,9,7,19,13,5,3,0,69,76,383,223,118,171,73,16,20,9,1098,75,330,154,56,62,38,6,31,7,759,13,32,25,14,23,22,6,10,6,145,13,15,8,9,37,8,0,8,0,100,5,22,22,16,53,31,6,17,0,184,7,12,14,8,38,20,9,5,0,110,18,42,45,20,68,47,12,18,0,265,16,90,55,26,43,28,7,9,12,270,70,103,159,113,294,153,48,49,7,1000,69,159,175,116,227,116,54,124,10,1049,177,329,569,472,501,327,73,110,22,2591,14,46,15,13,9,8,3,0,0,110,46,76,70,30,51,35,10,11,4,336
2019,161,467,289,268,1048,1077,310,670,88,4376,3,12,8,0,10,4,4,5,0,48,0,0,0,0,0,0,0,0,0,0,13,28,33,19,50,35,5,10,5,188,0,0,0,0,0,0,0,0,0,3,3,21,16,9,16,18,0,6,0,86,6,6,4,5,6,5,3,0,0,44,49,194,112,54,92,53,7,17,5,582,40,181,52,34,49,29,3,18,6,415,3,13,11,5,14,12,7,4,0,74,0,4,6,0,7,3,0,4,0,27,3,10,8,12,18,16,5,4,0,80,0,8,10,7,15,7,0,4,0,52,5,24,15,21,35,25,13,5,0,148,15,50,25,10,49,12,5,3,0,173,16,14,32,27,72,50,15,8,0,239,29,77,79,68,144,71,22,62,0,561,103,176,310,310,268,227,55,63,12,1524,4,10,0,0,10,0,3,0,0,28,19,30,25,18,37,18,0,7,0,152
