SUA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
2010,8217,8764,16985,492,531,1018,1137,1007,2139,521,433,955,484,496,977,1099,1152,2254,921,988,1913,900,999,1893,1017,1118,2136,869,984,1857,551,700,1245,228,359,589,7846,8473,16316,376,294,672,155,157,311,8,6,12,0,5,8,163,173,335,7147,7628,14773,591,671,1260,7358,7841,15198,421,475,899,7490,8023,15514,132,162,291,1062,953,2012,365,318,678,87,117,206,146,338,486,2498,3123,5621,1360,1337,2697,1236,1266,2501,553,557,1116,455,443,902,25,32,56,7596,8190,15786,588,543,1127
2011,2371285,2446560,4817843,146338,138502,284845,301431,285762,587191,137659,130864,268525,165928,157732,323658,385424,392597,778028,357794,364658,722456,299544,315500,615047,249970,266382,516353,184692,209161,393854,104673,124858,229530,37830,60543,98370,2308527,2382484,4691014,62755,64075,126828,14934,14654,29584,586,495,1079,440,446,885,15960,15589,31549,1420207,1445709,2865912,844942,897491,1742428,1444209,1469579,2913791,809630,863330,1672958,1916024,1981181,3897206,43876,41350,85223,283517,269074,552585,114373,113177,227550,79307,81957,161264,95567,135909,231474,1221678,1327425,2549107,189581,179011,368594,213937,191096,405033,89723,85706,175421,76820,97994,174815,25504,33931,59436,2230582,2303900,4534485,128381,128231,256616
2012,26257,27360,53620,1601,1560,3161,3529,3349,6874,1613,1502,3114,1546,1455,3004,3514,3663,7176,2997,3275,6274,3205,3482,6686,3292,3480,6775,2850,2951,5804,1593,1766,3359,515,873,1391,25075,26424,51497,1185,936,2126,1294,1463,2764,28,18,44,37,38,76,1364,1521,2881,20249,21436,41683,3640,3686,7321,20697,22005,42703,3357,3243,6605,21992,23197,45184,480,431,913,3148,2992,6138,1027,1053,2082,301,373,672,502,1039,1545,7568,9342,16911,3097,3160,6261,4479,4054,8538,1926,1865,3794,1567,1580,3144,311,304,615,23731,24848,48581,2640,2635,5275
2013,10799,11200,21997,581,565,1142,1294,1246,2536,635,578,1212,598,578,1175,1350,1354,2703,1136,1248,2390,1265,1426,2689,1571,1574,3141,1433,1457,2886,704,808,1515,237,365,602,10355,10789,21144,445,411,857,251,238,491,12,18,34,8,11,18,274,267,540,8703,8995,17698,1241,1355,2594,9503,9831,19336,510,591,1095,9665,10054,19722,142,151,291,1168,1126,2298,392,432,826,117,129,251,179,414,587,2795,3415,6210,1573,1586,3162,2192,1897,4082,885,876,1758,619,692,1311,57,67,126,9873,10195,20066,757,835,1593
2014,5529,5700,11230,264,250,510,631,617,1248,340,298,639,294,243,534,506,570,1080,565,640,1204,723,742,1474,867,887,1755,822,803,1622,384,426,816,130,219,346,5212,5392,10600,317,313,623,171,150,322,9,5,10,3,0,3,180,153,332,4640,4786,9423,490,562,1051,4990,5144,10129,165,219,386,4981,5158,10139,75,74,146,580,559,1134,221,217,437,65,57,119,83,191,275,1439,1906,3346,872,895,1766,1074,985,2060,539,408,946,318,282,605,25,14,40,5002,5161,10160,496,432,932
2015,7328,7973,15301,451,439,886,995,919,1913,446,436,880,424,389,809,934,940,1869,837,941,1785,855,1045,1900,890,1007,1899,843,957,1800,492,604,1098,171,293,465,6902,7664,14571,422,310,733,174,205,378,8,6,8,4,5,9,181,209,388,5990,6476,12460,883,1062,1940,6412,6971,13388,431,533,965,6533,7138,13677,142,128,268,940,864,1800,298,305,603,76,114,190,161,394,550,2461,2956,5418,909,1100,2015,1185,1180,2368,503,482,982,331,366,690,29,32,63,6656,7345,14001,567,572,1139
2016,26422,27417,53841,1765,1622,3387,3752,3494,7250,1679,1575,3248,1626,1541,3166,3503,3792,7295,3158,3376,6540,3184,3236,6425,3039,3250,6290,2570,2874,5443,1591,1797,3386,546,862,1406,25385,26469,51856,1032,950,1984,1057,1142,2198,24,31,53,37,39,75,1115,1210,2324,19169,20175,39347,5214,5264,10477,18897,19912,38809,5536,5546,11083,21640,22703,44342,464,424,885,3393,3160,6555,1195,1184,2372,358,499,857,602,1158,1761,8221,10027,18252,3206,3064,6266,3784,3647,7439,1894,1685,3582,1479,1444,2922,418,407,831,24118,25038,49155,2207,2221,4434
2017,5324,5858,11186,363,381,747,683,717,1401,300,261,563,339,353,690,774,866,1643,638,698,1338,559,575,1133,653,673,1321,531,588,1116,334,477,813,153,266,417,5105,5657,10759,222,198,420,199,253,450,9,12,20,0,4,10,210,266,473,4252,4717,8967,714,763,1472,4294,4765,9057,677,704,1382,4507,5009,9517,90,84,172,645,655,1292,199,192,397,69,108,173,94,218,311,1680,2174,3847,693,736,1429,829,756,1584,342,349,697,297,300,601,85,66,151,4885,5334,10221,508,533,1041
2018,21009,22253,43252,1258,1235,2494,2755,2549,5303,1242,1198,2434,1205,1233,2440,2770,3000,5760,2468,2616,5089,2524,2607,5134,2619,2968,5586,2367,2538,4902,1335,1539,2879,457,765,1221,20118,21442,41559,888,806,1695,406,415,823,21,20,41,8,11,20,434,452,884,16515,17336,33851,2782,3196,5980,17718,18674,36391,1650,1926,3571,18234,19355,37586,338,346,675,2490,2292,4777,845,844,1684,249,368,620,456,843,1304,6235,7760,13994,2983,2832,5809,3528,3267,6796,1427,1545,2970,1095,1199,2297,117,137,251,19060,20169,39225,2190,2294,4485
2019,9395,10488,19882,503,539,1039,1249,1138,2389,610,578,1188,463,516,980,1086,1192,2282,1062,1158,2229,1102,1285,2388,1153,1329,2478,1115,1284,2399,755,959,1714,285,509,795,8941,10097,19043,453,389,839,190,217,414,10,7,9,11,7,19,208,231,440,7936,8820,16758,894,1056,1949,8336,9251,17592,535,667,1200,8534,9498,18032,149,165,312,1155,1075,2236,416,430,850,96,142,236,202,408,610,2977,3866,6841,1280,1426,2704,1624,1620,3250,695,670,1362,470,521,990,37,48,86,8644,9640,18280,694,817,1510
2020,20625,22199,42827,1359,1399,2754,2849,2714,5561,1173,1189,2362,1092,1121,2216,2694,2988,5681,2378,2554,4929,2392,2656,5047,2468,2851,5318,2399,2559,4958,1416,1534,2949,411,636,1045,19758,21382,41139,868,818,1688,289,294,578,9,6,15,7,4,7,301,299,604,16856,18087,34941,2572,2891,5460,18420,19801,38223,1078,1237,2311,18558,19988,38542,366,358,724,2645,2514,5157,868,969,1837,253,386,632,379,958,1343,6539,8798,15340,2694,2723,5419,3626,3137,6765,1523,1325,2846,920,906,1823,80,75,154,19108,20522,39632,1122,1340,2460
2021,17199,18547,35743,983,878,1855,2298,2099,4397,1073,1055,2129,918,931,1851,2255,2292,4543,2056,2228,4287,2105,2383,4493,2133,2497,4622,1942,2179,4121,1046,1329,2376,386,681,1073,16452,17831,34286,746,718,1461,359,328,689,7,0,11,6,0,13,373,332,705,14543,15786,30331,1646,1769,3416,15259,16576,31835,941,967,1911,15294,16720,32011,256,279,537,2116,1971,4083,751,800,1555,204,310,514,475,760,1227,5917,7672,13593,2351,2497,4851,2590,2368,4958,1234,1100,2331,801,813,1613,79,54,130,15818,17135,32958,1312,1357,2663
