SUA_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
2010,..,3,5,0,0,6,7,0,0,5,26,..,11,19,0,4,3,10,3,0,0,57,..,0,0,0,0,0,0,3,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,11,17,0,4,11,4,6,0,3,61,..,0,0,0,0,0,0,0,0,0,0,..,13,23,5,4,16,7,6,0,8,89,8,6,10,3,0,0,3,0,0,0,34,0,25,15,3,3,7,4,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,3,5,7,4,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,8,28,26,11,6,7,9,0,0,0,92,22,8,8,6,0,5,0,7,0,0,66,0,34,39,9,14,32,19,15,0,0,158,0,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,37
2011,..,3462,10412,2555,2617,2450,2486,1230,707,1039,26966,..,4618,20054,6761,7018,6743,6580,2366,931,1632,56697,..,47,254,256,401,803,1469,885,783,484,5378,..,9,25,21,26,48,144,86,102,51,510,..,4669,20327,7036,7450,7594,8193,3333,1812,2172,62581,..,0,45,12,21,18,23,12,19,131,279,..,8136,30784,9607,10083,10062,10708,4572,2537,3345,89829,8926,13779,6405,1143,1322,1706,2237,1043,400,799,37743,8175,22894,23387,8166,9617,12738,16815,6628,723,1558,110691,193,194,586,477,723,1174,1433,507,206,190,5683,12,30,25,12,11,11,24,12,0,24,166,8378,23121,24001,8658,10356,13922,18272,7142,927,1768,116545,16,30,40,10,12,22,36,11,0,362,548,17312,36932,30438,9812,11684,15646,20541,8204,1328,2932,154837,22336,10875,16225,4486,5010,5552,5967,1942,732,1426,74550,25689,45873,64023,18412,20539,23818,24121,6581,1691,2852,233609,580,2529,5750,1895,2270,2707,3024,937,279,605,20586,33,58,80,20,23,45,40,15,0,59,375,26313,48461
2012,..,3,38,8,10,8,17,4,0,9,109,..,15,65,22,19,49,52,14,0,11,248,..,0,0,3,0,6,3,6,6,6,34,..,0,0,0,0,0,0,4,0,0,4,..,15,65,25,27,56,52,27,6,16,280,..,0,0,0,0,0,0,0,0,0,0,..,22,99,36,37,63,73,30,12,29,389,20,35,22,3,0,6,9,0,0,8,104,13,58,72,23,38,63,60,24,4,0,357,5,0,8,0,18,23,28,7,0,5,95,0,0,0,0,0,0,0,0,0,0,4,15,64,81,27,56,86,86,30,4,5,454,0,0,0,0,0,0,0,0,0,0,0,37,96,107,27,52,84,96,36,5,11,566,52,44,52,13,21,9,27,7,4,6,246,47,107,236,118,109,115,139,47,15,23,969,16,16,53,48,64,55,86,27,0,20,384,0,0,5,0,0,0,0,0,0,3,14,64,123
2013,..,0,11,0,4,0,0,0,0,0,14,..,0,0,0,6,3,3,0,0,0,17,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,6,3,3,0,0,3,14,..,0,0,0,0,0,0,0,0,4,4,..,6,17,0,6,3,0,0,0,8,33,7,11,5,0,0,0,0,0,0,0,32,5,12,3,0,5,3,3,8,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,3,0,3,3,3,12,0,0,42,0,0,0,0,0,0,0,0,0,0,0,9,28,5,0,3,3,3,12,0,3,74,28,13,8,0,0,4,0,0,3,0,63,14,18,30,6,5,11,10,13,8,0,107,0,0,3,7,0,4,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,13,20
2014,..,3,7,4,3,0,0,0,0,0,16,..,0,4,4,4,4,3,0,0,0,20,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,4,4,4,8,3,0,3,0,23,..,0,0,0,0,0,0,0,0,0,0,..,3,14,4,5,8,8,0,3,0,45,3,10,3,4,0,0,0,0,0,3,32,0,4,0,3,8,6,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,6,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,5,14,8,5,7,4,0,0,0,3,55,17,3,3,0,3,3,0,0,0,0,30,0,6,24,9,12,9,4,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2015,..,5,12,0,5,7,0,7,0,0,42,..,5,17,4,0,10,13,3,4,0,57,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,5,17,4,0,12,13,3,4,0,58,..,0,0,0,0,0,0,0,0,0,0,..,12,24,4,8,15,15,17,4,0,99,11,20,11,3,0,3,0,0,0,0,57,6,13,22,0,7,4,0,9,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,22,0,7,4,7,9,0,0,61,0,0,0,0,0,0,0,0,0,0,0,12,36,29,6,7,6,8,9,0,0,112,27,22,19,7,8,8,7,4,0,5,98,7,29,42,10,13,16,21,5,0,0,136,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,25
2016,..,20,58,16,15,13,21,10,6,7,155,..,49,170,65,52,93,118,29,18,20,611,..,0,0,0,6,11,14,5,7,7,53,..,0,4,0,0,0,0,4,0,3,6,..,49,172,69,60,101,127,40,28,26,675,..,0,0,0,0,0,0,0,0,0,3,..,71,226,80,74,116,145,48,33,34,835,38,58,39,0,7,6,7,0,7,3,154,51,198,224,62,54,63,106,28,11,12,808,0,3,4,4,18,10,21,5,3,7,75,0,0,0,0,0,0,0,0,0,0,0,51,203,226,65,72,75,123,34,12,13,884,0,0,0,0,0,0,0,0,0,0,4,86,260,261,70,78,82,127,38,18,19,1042,72,35,54,7,11,27,14,7,0,13,251,148,307,428,135,148,191,187,58,11,23,1646,4,28,71,36,48,38,55,10,5,14,309,0,5,6,0,0,0,0,3,0,0,10,156,331
2017,..,0,6,3,0,3,0,0,0,0,18,..,3,15,0,25,19,18,4,6,0,89,..,0,0,0,0,6,0,0,0,0,14,..,0,0,0,0,0,0,0,0,0,0,..,3,15,0,27,21,21,4,10,0,107,..,0,0,0,0,0,0,0,0,0,0,..,0,27,5,25,26,19,7,10,3,124,7,4,10,0,0,0,0,0,0,0,25,4,13,15,7,10,20,13,5,0,3,77,0,0,5,0,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,13,16,7,12,25,16,6,0,3,95,0,0,0,0,0,0,0,0,0,0,0,9,15,30,7,12,25,16,3,0,0,116,7,6,12,5,0,3,7,0,0,0,42,3,27,60,17,45,34,33,8,6,8,236,0,3,4,3,15,26,14,0,0,3,76,0,0,0,0,0,0,0,0,0,0,0,3,27
2018,..,21,46,10,7,19,12,4,0,5,122,..,9,50,10,11,16,34,4,3,13,146,..,0,0,0,0,6,4,0,4,0,17,..,0,0,0,0,0,0,0,0,0,10,..,7,50,10,11,21,33,6,7,18,171,..,0,0,0,0,0,0,0,0,0,0,..,23,96,21,15,38,45,10,15,24,290,18,57,15,3,0,7,9,0,0,4,105,15,58,48,21,10,20,57,23,0,0,243,0,0,0,0,0,6,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,60,49,21,12,24,58,22,0,0,259,0,0,0,0,0,0,0,0,0,0,0,33,113,63,21,12,27,66,27,0,4,365,72,36,35,17,8,9,12,0,4,4,195,32,79,111,36,48,55,45,15,6,0,421,0,9,17,0,0,4,7,5,7,0,44,0,0,0,0,0,0,0,0,0,0,3,32,90
2019,..,7,20,4,0,0,7,7,0,0,38,..,0,8,5,11,0,5,5,0,0,35,..,0,0,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,0,..,0,8,6,11,3,7,5,3,0,48,..,0,0,0,0,0,0,0,0,0,0,..,8,24,7,10,4,10,13,9,0,82,10,12,7,8,0,3,0,0,0,3,47,3,9,10,9,6,12,11,0,0,0,57,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,9,9,9,6,13,11,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,15,15,23,11,9,14,11,0,0,11,104,24,12,19,12,6,4,4,5,0,0,81,6,20,59,26,23,34,29,10,5,0,209,0,0,3,5,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,27
2020,..,19,34,9,16,9,13,3,4,4,110,..,4,29,8,12,11,11,0,0,9,89,..,0,0,0,0,0,0,0,0,3,6,..,0,0,0,0,0,0,0,0,0,0,..,4,29,8,12,11,15,3,0,4,96,..,0,4,0,0,0,0,0,0,0,4,..,19,63,20,29,23,25,6,4,11,211,33,71,23,3,5,3,3,5,0,3,152,5,23,27,4,14,7,8,3,0,3,104,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,28,26,4,12,9,8,10,0,3,112,0,0,0,0,0,0,0,0,0,0,0,36,103,50,10,20,10,13,15,0,11,264,102,60,54,11,14,19,10,9,4,10,283,34,48,84,19,22,32,76,22,4,11,344,0,5,4,0,3,10,29,5,0,0,57,0,0,0,0,0,0,0,0,0,0,0,34,50
2021,..,16,37,6,4,9,12,0,3,3,94,..,0,17,4,8,27,39,0,4,0,103,..,0,0,0,0,0,13,0,0,7,22,..,0,0,0,0,0,0,0,0,0,3,..,0,17,4,9,25,53,0,11,6,126,..,0,0,0,0,0,0,0,0,0,0,..,20,59,11,17,32,69,9,6,8,229,28,43,23,6,5,0,9,5,0,4,120,4,25,19,8,5,14,22,5,0,0,120,5,0,0,0,4,4,10,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,13,25,19,8,6,19,30,14,0,3,145,0,0,0,0,0,0,0,0,0,0,0,39,74,44,18,11,22,34,15,0,12,264,57,22,32,11,8,17,14,8,0,9,187,17,47,90,40,48,74,85,21,0,0,419,0,0,12,8,18,29,33,4,0,7,119,0,0,0,0,0,0,0,0,0,0,0,17,46
