SUA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
2010,0,0,0,0,0,0,0,0,0,23,0,27,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,4,0,44,0,57,0,3,0,3,0,0,0,14,0,18,0,37,0,0,0,0,0,6,0,18,3,195,3,232,0,5,0,7,0,17,0,24,6,95,4,152,5,6,0,11,0,18,0,28,3,121,0,187,13,21,0,30,0,20,6,22,3,81,3,203,11,11,0,21,7,11,0,11,5,20,0,92,26,7,0,27,0,9,0,8,0,33,0,119,108,9,0,78,3,29,0,4,0,31,0,263,66,3,5,52,4,10,0,4,0,15,0,175,53,6,5,21,3,7,0,4,0,4,0,99,26,0,0,12,0,0,0,0,0,5,0,59,49,10,0,21,5,15,0,5
2011,87,34,38,41,9,124,10,144,72,12423,171,13158,28,64,20,18,0,44,9,295,57,3335,51,3912,9,54,8,16,0,44,10,570,90,1955,22,2776,7,5,0,11,0,51,7,519,90,1443,23,2162,38,219,27,45,3,118,37,959,161,8843,116,10558,29,246,18,92,13,370,57,1735,260,4521,69,7420,118,723,71,208,32,1114,138,2921,462,32825,467,39090,176,1329,95,477,71,2464,227,3798,564,17086,220,26506,433,2550,159,1386,172,4427,386,4048,658,15478,183,29873,1406,3582,233,4557,477,5193,591,4004,637,14248,220,35146,1693,2019,164,4854,526,4509,403,2314,400,4646,63,21577,3869,2215,199,5953,691,4197,421,1840,342,5050,97,24882,18084,3587,458,13751,1710,7747,784,2972,563,6189,156,56006,20481,1980,320,10593,1449,3026,465,1485,260,3190,98,43349,17468,1161,238,6940,1039,2785,276,870,180,2058,92,33106,14434,551,153,3732,677,987,127,489,62,950,29,22183,32032,1676,373,8709,1493,5706,338,1839
2012,4,0,0,0,0,5,0,0,0,95,7,113,0,0,0,0,0,0,0,0,0,40,0,46,0,0,0,0,0,0,0,13,0,17,0,35,0,0,0,0,0,0,0,6,0,17,0,28,4,0,0,0,0,0,0,17,5,146,4,181,0,3,0,0,0,3,0,25,3,49,0,89,8,9,5,9,0,23,0,51,8,676,15,803,10,21,3,11,0,43,0,63,16,309,0,482,24,37,0,36,4,68,8,66,12,255,6,507,54,53,4,85,12,83,8,55,12,225,5,582,53,21,0,80,13,51,12,20,3,50,0,291,101,33,6,93,7,38,0,14,5,57,0,357,300,34,12,167,15,76,12,30,5,64,4,731,223,17,5,112,10,30,5,19,5,27,0,458,156,13,0,63,18,15,0,6,3,23,0,300,67,5,0,27,3,5,0,3,0,6,0,119,134,11,3,48,10,21,3,8
2013,0,0,0,0,0,0,0,0,0,34,0,35,0,0,0,0,0,0,0,0,0,16,0,22,0,0,0,0,0,0,0,3,0,8,0,19,0,0,0,0,0,0,0,5,3,6,0,15,0,0,0,0,0,0,0,8,0,60,4,73,0,0,0,0,0,0,0,6,0,50,0,58,0,7,0,0,0,6,0,27,9,300,3,350,4,9,0,4,0,14,0,32,0,174,0,234,9,12,6,7,0,29,0,31,3,118,3,218,7,22,3,36,3,36,4,21,10,108,4,256,9,15,0,39,3,18,0,9,0,25,0,115,27,5,0,36,0,16,5,8,0,28,0,128,80,13,4,71,16,35,8,18,9,27,0,271,58,6,4,61,6,9,5,5,3,12,0,171,44,3,4,33,4,15,5,6,3,12,0,121,28,0,0,9,6,0,0,0,0,0,0,49,37,3,0,34,0,13,6,4
2014,0,0,0,0,0,0,0,0,0,22,0,25,0,0,0,0,0,0,0,4,0,11,0,19,0,0,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,11,0,7,0,4,0,0,0,0,0,6,0,34,0,49,0,0,0,0,0,9,0,14,0,18,0,42,0,4,0,0,0,6,0,13,0,155,3,189,5,7,0,3,0,14,0,25,0,96,0,140,3,10,0,10,0,10,0,8,3,71,0,131,6,7,0,13,6,19,0,8,3,67,0,129,3,4,0,27,0,23,0,5,0,11,0,79,11,8,0,17,0,12,0,7,4,18,0,78,54,20,0,34,0,37,0,4,3,10,0,162,38,5,0,37,3,8,0,3,0,4,3,101,25,5,0,20,4,6,0,6,0,10,0,75,13,0,0,13,3,3,0,0,0,0,0,36,28,4,5,7,5,9,0,0
2015,0,0,0,0,0,0,0,0,0,30,0,33,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,3,0,44,0,47,0,0,0,0,0,0,0,6,0,20,0,32,0,0,0,4,0,7,0,17,5,163,8,195,0,4,0,0,0,7,5,25,0,81,0,137,4,9,0,17,0,14,0,17,0,120,0,179,7,7,5,17,0,22,0,25,7,79,0,179,9,6,0,23,0,15,0,4,3,26,0,93,17,7,0,19,5,22,4,0,3,27,0,111,54,12,0,43,9,35,9,15,4,19,0,194,41,8,4,45,5,8,0,9,0,9,0,125,39,0,0,22,5,12,0,0,0,5,0,88,21,0,0,10,0,5,0,0,0,6,0,42,48,9,3,31,0,19,0,3
2016,3,0,0,0,0,0,0,0,0,115,5,125,0,0,0,0,0,0,0,0,0,40,5,42,0,0,0,0,0,0,0,3,0,16,0,18,0,0,0,0,0,0,0,6,0,18,0,21,4,0,0,0,0,0,0,6,5,116,0,132,0,4,0,3,0,8,5,14,3,69,0,110,0,7,4,9,0,17,4,50,10,575,4,669,0,10,0,5,0,34,0,58,10,311,5,442,15,28,0,24,0,61,0,59,14,248,9,457,37,30,4,80,6,90,10,54,10,213,8,538,26,12,0,65,0,50,5,31,5,40,0,239,88,31,3,116,6,41,4,19,7,58,5,375,226,43,8,193,22,79,9,33,5,50,0,672,211,25,0,111,16,25,10,10,0,30,0,440,130,11,0,57,8,21,0,8,5,12,0,249,80,4,0,24,8,10,3,0,0,8,0,146,122,12,8,68,10,25,3,7
2017,0,0,0,0,0,0,0,0,0,14,0,19,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,0,29,0,33,0,0,0,0,0,0,0,4,0,11,0,23,0,0,0,0,0,5,0,13,0,118,5,146,0,8,0,7,0,12,0,7,0,59,0,101,4,16,0,4,0,11,0,9,0,48,4,102,19,10,0,18,0,18,5,15,3,36,0,120,9,6,0,34,0,10,3,3,0,12,0,79,22,3,0,26,4,11,0,7,3,21,0,91,80,9,6,52,5,17,3,12,3,16,0,188,60,3,0,28,0,3,0,5,0,5,0,103,34,3,0,13,3,5,0,4,0,9,0,65,13,4,0,11,4,0,0,0,0,7,0,33,18,3,0,13,0,7,0,4
2018,0,0,0,0,0,0,0,6,6,79,4,88,0,3,0,0,0,0,0,0,0,19,0,24,0,0,0,0,0,0,0,10,6,17,0,28,0,0,0,0,0,0,0,4,0,17,0,21,4,0,0,0,0,0,0,21,0,117,0,145,0,0,0,0,0,5,0,23,0,55,0,80,0,16,0,0,0,11,0,39,3,547,11,623,5,5,0,10,0,37,4,59,12,289,0,423,4,17,0,14,0,46,0,52,13,226,3,381,14,33,3,57,3,47,4,52,8,185,0,416,30,7,0,54,9,38,3,22,3,56,0,225,55,8,3,75,11,47,9,16,4,66,0,291,163,32,8,111,12,77,11,22,6,52,3,497,146,11,5,106,12,21,4,15,3,17,0,339,109,12,3,79,8,30,7,4,0,12,0,272,81,3,0,34,0,7,0,0,0,3,0,131,130,9,4,52,7,35,8,10
2019,0,0,0,0,0,0,0,0,0,39,0,34,0,0,0,0,0,0,0,0,0,14,0,10,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,3,3,56,0,68,0,0,0,0,0,4,0,12,0,32,0,44,0,0,0,4,0,3,0,24,5,262,7,307,0,4,0,6,0,17,0,21,3,148,4,203,8,10,0,9,5,25,0,21,7,129,0,211,15,22,3,41,0,21,6,21,3,83,3,221,13,13,4,31,3,18,6,12,3,18,0,116,29,16,3,51,5,8,0,11,0,28,0,155,97,27,0,74,11,24,10,15,0,37,0,283,82,8,0,51,6,8,6,0,0,10,0,172,63,0,0,29,4,11,0,0,0,10,0,119,28,4,0,9,0,0,0,0,0,5,0,52,39,8,0,20,5,11,0,6
2020,0,5,0,3,0,0,0,0,0,96,0,105,0,5,0,0,0,0,0,0,0,40,0,45,0,0,0,0,0,0,0,4,0,22,0,27,0,0,0,0,0,0,0,4,4,15,0,16,6,3,0,3,0,0,0,19,4,98,10,125,0,7,0,0,0,3,0,22,0,61,0,95,7,5,0,5,0,17,3,40,14,538,4,633,6,18,0,10,4,20,7,57,10,287,8,425,6,31,0,17,0,50,3,60,11,249,5,442,19,37,3,68,4,54,4,55,7,212,5,460,21,12,0,65,6,48,6,26,11,54,3,247,58,24,10,71,14,39,7,23,4,62,3,311,233,30,5,175,10,74,11,20,14,67,0,644,191,17,0,116,13,25,4,12,3,28,0,407,144,12,6,66,11,16,0,3,3,16,0,274,65,7,6,32,0,6,0,0,0,4,0,126,143,9,3,58,11,34,0,17
2021,0,0,0,0,0,0,0,6,0,54,0,61,0,0,0,0,0,0,0,4,0,16,0,18,0,0,0,0,0,0,0,4,0,6,0,11,0,0,0,0,0,0,0,7,0,6,0,11,0,0,0,0,0,0,0,12,0,88,0,97,0,4,0,0,0,4,0,12,4,46,0,66,3,7,0,4,0,8,0,34,3,367,6,439,4,5,0,8,0,13,0,39,11,249,3,345,5,21,0,17,4,39,0,50,4,219,5,365,21,43,4,68,3,37,10,49,12,186,4,432,27,18,5,70,0,27,5,22,5,40,0,223,46,15,3,69,10,24,4,19,5,53,0,245,181,42,8,163,27,46,8,20,6,62,3,558,163,18,9,87,12,23,0,11,3,21,0,358,99,7,0,60,5,11,0,7,0,16,4,213,52,6,3,30,3,8,0,0,0,4,0,107,85,15,0,52,5,25,7,13
