SED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED21106,24418,27719,52137,11458,8067,19521,3960,6959,10909,752,1141,1886,725,635,1358,16884,16796,33685,6474,9651,16130,4.3,3.8,4,69.1,60.6,64.6,66.2,58.3,62,3170,3226,6400,766,1479,2254,7506,8698,16204,2139,3042,5178,2237,1121,3356,100,172,266,295,511,808,2634,1803,4430,23475,25717,49191,4616,5169,9786,15441,16890,32336,11627,12847,24467
SED21203,29759,29126,58886,8985,4480,13460,4566,4811,9382,1162,930,2098,1685,1290,2969,16390,11510,27903,10925,15429,26356,10.3,11.2,10.6,55.1,39.5,47.4,49.4,35.1,42.3,1763,1273,3037,274,610,886,3468,3599,7067,2016,2514,4528,3877,2280,6152,262,319,580,335,454,782,4473,3048,7522,30119,29836,59959,4214,3739,7951,20235,20663,40899,11882,10851,22733
SED21303,31009,34337,65349,14975,12720,27698,5829,9160,14986,1213,1613,2827,1228,983,2209,23244,24475,47717,6576,8647,15222,5.3,4,4.6,75,71.3,73,71,68.4,69.6,4547,5994,10543,1137,2184,3321,9132,10888,20020,2477,2761,5232,3269,1731,5002,156,210,365,324,379,703,3751,2314,6070,26283,28156,54435,7698,8916,16609,15533,16977,32512,17068,18832,35901
SED21401,27213,29826,57040,10990,6900,17883,4124,6996,11125,877,1069,1950,949,813,1764,16935,15781,32719,9337,12961,22298,5.6,5.2,5.4,62.2,52.9,57.4,58.8,50.2,54.3,3051,2884,5944,617,1045,1661,6692,7547,14239,2571,3121,5690,3222,1583,4804,148,211,357,353,617,973,3725,2411,6132,27141,29133,56278,3984,4232,8215,18279,19857,38135,11552,12215,23771
SED21503,25281,25905,51188,10927,6420,17341,3889,6839,10728,859,1169,2028,1024,823,1839,16692,15246,31936,7505,9682,17189,6.1,5.4,5.8,66,58.9,62.4,62,55.7,58.8,2084,2094,4174,500,959,1459,4459,5317,9780,2362,2743,5108,4732,2128,6864,186,241,427,325,497,817,5240,2869,8104,25139,25446,50584,3754,3668,7425,17618,18376,35994,9847,9456,19295
SED21608,26580,27879,54457,11711,6331,18042,3600,7696,11291,1057,1352,2413,825,711,1537,17188,16097,33285,7767,10191,17955,4.8,4.4,4.6,64.7,57.7,61.1,61.6,55.2,58.3,985,1273,2261,489,1136,1619,2842,4272,7106,2066,3120,5181,7250,3934,11190,269,440,719,327,431,762,7856,4810,12665,26478,27366,53841,4358,4552,8907,17357,17752,35111,11845,12572,24415
SED21706,27583,29906,57485,12173,7987,20158,4653,7949,12601,859,1196,2058,1078,908,1982,18766,18031,36795,7680,10718,18397,5.7,5,5.4,68,60.3,64,64.1,57.3,60.6,4032,3863,7900,908,1510,2427,7821,8685,16506,2367,2928,5297,2606,1305,3910,145,204,347,303,477,776,3052,1980,5026,26416,28767,55178,5378,5325,10699,17304,19258,36556,13102,13414,26518
SED21805,27801,29915,57707,14058,8261,22320,3460,7932,11398,959,1519,2484,896,761,1659,19378,18478,37853,7119,10091,17209,4.6,4.1,4.4,69.7,61.8,65.6,66.5,59.2,62.7,943,1269,2212,390,940,1331,3092,4734,7830,2596,3891,6485,7594,4063,11649,216,390,611,375,680,1048,8184,5126,13309,28621,30147,58763,3910,4189,8100,18917,19849,38765,11687,12572,24257
SED21906,27248,29478,56728,13062,9162,22223,4719,7944,12667,901,1257,2154,864,701,1570,19549,19063,38613,6386,9079,15467,4.4,3.7,4.1,71.7,64.7,68.1,68.6,62.3,65.3,3699,3818,7509,868,1609,2479,8539,9538,18076,2322,3071,5395,2544,1429,3974,123,179,306,319,491,812,2995,2102,5098,25113,26809,51919,5959,6394,12357,15569,16931,32502,14014,14727,28740
SED22005,32321,32045,64367,13085,7937,21022,5492,7478,12970,1126,1275,2396,1336,1059,2393,21038,17746,38783,9531,12643,22175,6.3,6,6.2,65.1,55.4,60.3,61,52.1,56.5,3441,3062,6503,467,816,1284,6186,6740,12927,2797,3023,5822,4026,2030,6057,162,250,417,391,525,920,4590,2804,7390,29894,30006,59902,6409,5661,12068,19289,20206,39488,15147,13734,28881
SED22105,46754,48561,95316,24232,13222,37455,6665,12515,19181,1754,2209,3967,1733,1768,3504,34392,29708,64101,10050,16559,26608,5.1,5.9,5.5,73.6,61.2,67.2,69.8,57.5,63.6,2529,2727,5259,498,1127,1622,5866,7883,13746,5021,6066,11087,10000,6160,16163,448,668,1117,584,901,1491,11032,7725,18764,50952,51712,102663,8706,8826,17531,27520,28014,55532,27296,27977,55277
SED22201,23812,26807,50618,11810,6984,18797,3184,7339,10524,748,1217,1971,687,604,1290,16429,16145,32577,6568,9680,16250,4.2,3.8,4,69,60.2,64.4,66.1,58,61.8,1365,1601,2968,525,1103,1630,3752,5267,9018,2342,3273,5615,5660,2852,8507,186,299,485,378,570,952,6223,3717,9941,24977,27159,52135,3347,3649,6996,16641,18162,34804,10072,11170,21238
SED22305,32277,30033,62313,12234,5769,18004,4703,5791,10503,1051,943,1992,1522,1208,2731,19513,13710,33225,10091,14149,24242,7.8,8.8,8.2,60.5,45.7,53.3,55.7,41.6,48.9,1523,1489,3011,258,570,830,3641,4249,7888,2673,2954,5631,4960,2631,7589,310,355,662,413,523,930,5683,3505,9185,30859,29481,60343,5170,4477,9643,19181,18991,38181,14639,12932,27569
SED22404,25903,26158,52053,10453,5170,15622,3530,7234,10765,1202,1458,2663,524,442,965,15701,14311,30012,8220,9961,18185,3.3,3.1,3.2,60.6,54.7,57.7,58.6,53,55.8,710,946,1656,395,966,1358,2254,3808,6060,2008,3413,5422,7962,3381,11351,202,406,605,346,539,889,8519,4326,12841,25470,25450,50922,3016,3134,6156,18112,17904,36011,9149,9520,18664
SED22501,23346,25149,48500,11515,6499,18013,3347,7678,11022,802,1160,1965,615,556,1166,16274,15890,32163,6439,8555,15002,3.8,3.5,3.6,69.7,63.2,66.3,67.1,61,63.9,1886,2066,3958,754,1463,2219,4663,6140,10800,2479,2895,5375,4999,2021,7023,135,240,375,368,565,937,5499,2832,8332,25737,27042,52776,2367,2608,4975,19243,20291,39533,7461,8050,15513
SED22607,28459,30791,59245,13953,10177,24125,4462,7914,12379,1017,1380,2399,1036,839,1876,20471,20308,40778,6723,9147,15873,5.1,4.1,4.6,71.9,66,68.8,68.3,63.2,65.7,3163,3494,6656,947,1731,2681,7387,8447,15832,2574,3029,5609,3726,1820,5544,165,250,412,341,519,859,4232,2593,6818,26658,28243,54897,5552,5958,11504,17284,18448,35729,13519,14374,27894
SED22704,28810,28760,57571,11404,6025,17431,3294,6963,10261,1119,1343,2462,696,561,1258,16515,14899,31409,9850,11550,21402,4.2,3.8,4,57.3,51.8,54.6,54.9,49.8,52.4,538,770,1307,347,825,1166,1828,3309,5134,2020,3243,5263,7921,3908,11831,267,513,775,380,524,908,8576,4942,13515,27203,27240,54445,3677,3644,7323,18512,18309,36822,10948,11219,22166
SED22802,24043,25271,49311,12467,6235,18705,3120,7879,10995,877,1315,2196,571,527,1097,17042,15962,32998,6187,8565,14756,3.3,3.3,3.3,70.9,63.1,66.9,68.5,61.1,64.7,769,923,1690,369,864,1230,2688,4020,6711,2087,3385,5475,7593,3519,11106,183,377,560,339,522,856,8108,4413,12526,25849,26752,52595,2753,2892,5645,18084,18593,36678,8895,9479,18374
SED22901,23938,25931,49873,11150,6598,17743,3461,6761,10212,720,1037,1755,756,680,1441,16081,15072,31157,7063,9939,17005,4.7,4.5,4.6,67.2,58.1,62.5,64,55.5,59.6,1909,1855,3764,467,863,1330,4532,5404,9935,2314,3050,5366,4895,2434,7334,203,274,476,293,497,790,5397,3207,8608,25060,26463,51525,2964,3130,6094,17458,18518,35973,9256,9726,18985
SED23007,35918,35453,71367,15312,10421,25732,5957,7860,13818,1362,1618,2979,1713,1446,3162,24348,21346,45694,9085,11947,21036,7,6.8,6.9,67.8,60.2,64,63,56.1,59.6,3416,3326,6742,717,1327,2047,7545,7969,15517,2899,3121,6022,4231,2495,6726,289,309,600,425,501,932,4956,3304,8258,32268,31824,64095,7097,6858,13962,19793,20430,40230,17561,16401,33961
SED23101,24599,26726,51325,10184,6322,16503,3924,6538,10463,717,882,1598,834,725,1567,15664,14471,30134,8083,11321,19407,5.3,5,5.2,63.7,54.1,58.7,60.3,51.4,55.7,3023,2794,5816,675,1037,1713,5828,6631,12462,2437,2872,5307,3135,1490,4622,125,197,318,298,496,791,3556,2178,5730,25293,27003,52293,3470,3391,6863,17981,19672,37651,9487,9618,19104
SED23205,25125,26936,52067,10668,6061,16727,3285,6909,10187,843,1263,2100,857,718,1576,15650,14946,30593,7642,10141,17781,5.5,4.8,5.2,62.3,55.5,58.8,58.9,52.8,55.7,826,1125,1950,426,965,1391,2891,4267,7154,2311,3444,5760,6240,3421,9665,210,388,600,375,526,899,6825,4335,11156,24478,25842,50320,3777,4120,7891,15882,16724,32604,10889,11767,22658
SED23308,26627,29434,56060,11830,7196,19033,4185,8450,12634,894,1367,2265,883,689,1570,17796,17703,35500,7420,10332,17757,5,3.9,4.4,66.8,60.2,63.3,63.5,57.8,60.5,1866,2058,3926,621,1352,1976,4530,6151,10687,2263,3238,5497,5978,3452,9432,219,348,564,277,414,698,6475,4215,10694,25389,27320,52711,4942,5443,10384,15963,17438,33403,12737,13808,26542
SED23402,32139,34204,66337,16930,9111,26039,4203,9726,13927,1144,1679,2822,908,941,1851,23182,21458,44644,7448,11102,18550,3.9,4.4,4.1,72.1,62.7,67.3,69.3,60,64.5,1532,1803,3335,486,1159,1647,4017,5825,9840,3250,4529,7776,8630,4480,13107,250,445,697,414,671,1077,9295,5589,14886,33464,34827,68295,5333,5686,11022,19551,20056,39604,16843,18012,34848
SED23502,26344,27463,53811,8820,4785,13607,3194,6798,9997,1052,1203,2250,689,462,1152,13756,13245,27002,10485,12081,22566,5,3.5,4.3,52.2,48.2,50.2,49.6,46.5,48,456,679,1140,343,835,1181,1741,3186,4930,1880,3034,4913,7694,3805,11507,246,475,722,404,481,881,8347,4764,13113,24887,25583,50477,3701,3927,7629,16943,17239,34186,10309,10996,21304
SED23602,24988,25288,50279,9334,4799,14132,3007,6617,9626,951,1139,2092,621,487,1108,13919,13043,26963,9361,10535,19891,4.5,3.7,4.1,55.7,51.6,53.6,53.2,49.6,51.4,559,772,1331,340,783,1126,1980,3323,5303,1685,2762,4451,7052,3417,10471,239,405,642,317,464,777,7606,4286,11890,23278,23832,47114,3619,3754,7376,15635,15849,31483,10004,10555,20560
SED23702,28731,30030,58759,14154,7135,21282,3676,8942,12617,1030,1527,2558,679,598,1276,19535,18194,37739,7780,10437,18217,3.5,3.3,3.4,68,60.6,64.2,65.7,58.6,62.1,430,790,1222,320,907,1224,2067,3853,5916,2325,3852,6181,9815,4615,14435,259,505,759,394,637,1038,10469,5761,16232,29610,30380,59995,3947,4075,8020,20105,20567,40667,11597,12160,23758
SED23806,25940,28990,54928,12493,9407,21899,4334,7382,11720,848,1148,1997,821,753,1577,18501,18694,37189,6548,9331,15871,4.4,4,4.2,71.3,64.5,67.7,68.1,61.9,64.8,4513,4575,9084,984,1713,2702,8794,9951,18746,1985,2691,4676,1812,1049,2859,111,155,265,252,402,650,2170,1601,3774,23892,26155,50048,5606,6090,11692,15215,16919,32133,13201,14208,27406
SED23901,26906,29097,56001,12620,8168,20787,3969,7624,11591,905,1257,2154,895,721,1617,18383,17770,36152,7460,10314,17770,4.9,4.1,4.5,68.3,61.1,64.6,65,58.6,61.7,3359,3463,6821,848,1699,2554,6683,7883,14567,2367,2774,5139,3688,1841,5532,148,224,371,331,516,838,4161,2572,6739,26891,28785,55674,4302,4615,8920,17853,19295,37147,11824,12611,24432
SED24006,25488,28030,53517,11049,7293,18345,4322,7205,11526,781,980,1757,818,656,1474,16971,16131,33103,7740,11013,18747,4.8,4.1,4.4,66.6,57.6,61.8,63.4,55.2,59.1,3981,3652,7640,835,1457,2293,7941,8788,16727,1995,2754,4751,1780,987,2763,96,147,241,252,423,677,2121,1562,3681,25680,27775,53454,4142,4226,8364,17417,18990,36406,11357,12010,23367
SED24105,30850,31547,62404,13201,8136,21335,4680,7147,11827,991,1085,2079,1268,981,2251,20146,17346,37492,9425,12952,22377,6.3,5.7,6,65.3,55,60.1,61.2,51.9,56.5,1659,1657,3314,382,663,1045,4669,5211,9880,2673,2871,5543,4409,2287,6697,197,309,505,410,525,931,5009,3115,8129,32169,32689,64861,3843,3767,7604,21804,22597,44395,12356,12024,24385
SED24207,39860,39148,79009,17068,9900,26965,5490,8886,14373,1527,1775,3300,1698,1654,3349,25781,22209,47993,11908,14897,26801,6.6,7.4,7,64.7,56.7,60.7,60.4,52.5,56.5,1992,2010,3998,410,898,1307,5756,7329,13092,3362,3891,7250,5963,3472,9435,300,426,728,524,689,1213,6785,4584,11374,40095,40625,80720,6414,6354,12768,25927,26601,52527,17486,17536,35018
SED24308,28794,29316,58107,11539,6299,17832,3497,7289,10786,1016,1254,2280,1079,855,1931,17130,15697,32828,9978,11852,21827,6.3,5.4,5.9,59.5,53.6,56.5,55.8,50.6,53.2,874,942,1817,326,699,1027,2443,3578,6018,2098,2909,5009,6741,4212,10954,267,404,671,302,487,786,7313,5104,12417,27252,28523,55775,4173,4376,8550,17929,18706,36631,11752,12526,24286
SED24408,23874,24707,48584,10406,5273,15679,2859,6507,9363,855,1107,1963,495,351,850,14617,13243,27858,7662,9811,17476,3.4,2.7,3,61.2,53.6,57.3,59.1,52.2,55.6,437,607,1046,276,713,989,1578,3203,4782,1640,2657,4301,6337,3326,9666,253,416,670,291,398,694,6883,4142,11026,23559,23864,47419,3059,3302,6362,16877,16750,33631,8426,9019,17447
SED24504,25942,27045,52988,11388,6210,17597,3751,7759,11513,1086,1356,2450,575,480,1062,16806,15819,32615,7626,9649,17277,3.4,3.1,3.3,64.8,58.5,61.6,62.5,56.7,59.6,1395,1758,3154,679,1434,2111,3700,5313,9015,2484,3265,5756,6546,2758,9306,177,304,476,356,527,879,7076,3583,10662,26706,27301,54010,3240,3474,6716,18282,18778,37058,10227,10640,20866
SED24606,24055,27447,51505,11621,8369,19990,3887,6722,10614,747,1115,1864,768,708,1483,17031,16918,33946,6031,9484,15512,4.5,4.2,4.4,70.8,61.6,65.9,67.6,59,63,3706,3601,7306,762,1484,2242,8134,9027,17161,1951,2749,4699,1651,967,2623,95,159,254,277,475,743,2027,1597,3625,22170,24705,46872,4944,5481,10420,14264,16064,30330,11749,13111,24867
SED24703,57000,58507,115506,23340,18535,41868,11407,15048,26457,2382,2850,5232,3202,3219,6424,40324,39651,79977,12205,14545,26753,7.9,8.1,8,70.7,67.8,69.2,65.1,62.3,63.7,10056,11070,21123,1375,2094,3470,18275,19131,37406,4499,4717,9214,3328,2312,5637,285,282,571,388,542,933,4002,3141,7146,32321,32772,65095,23881,24999,48878,13806,14377,28181,40813,41938,82747
SED24808,35934,38042,73975,16499,8847,25344,4504,8623,13126,1426,1699,3132,1502,1533,3036,23930,20704,44637,9690,14938,24621,6.3,7.4,6.8,66.6,54.4,60.3,62.4,50.4,56.2,1200,1438,2644,318,968,1287,3214,4697,7910,3043,4125,7166,9017,5393,14409,392,612,997,479,715,1192,9882,6721,16602,37844,39053,76902,6428,6843,13269,21824,22250,44076,19037,20335,39373
SED24904,26999,27601,54597,11120,6349,17474,3141,6491,9630,1024,1221,2246,899,660,1566,16187,14722,30908,8365,10580,18945,5.6,4.5,5.1,59.9,53.3,56.6,56.6,50.9,53.7,419,535,953,254,655,907,1640,3192,4828,1568,2581,4148,6291,3691,9980,272,465,738,306,406,715,6870,4565,11437,25952,26497,52452,3921,3960,7882,17326,17443,34767,10877,11385,22262
SED25003,28277,29450,57732,13415,7535,20943,4038,7709,11741,1044,1286,2331,1205,955,2163,19700,17488,37183,7238,10506,17742,6.1,5.5,5.8,69.7,59.4,64.4,65.4,56.1,60.7,1666,1615,3280,382,791,1167,3637,4934,8571,2615,3292,5906,5736,3104,8833,226,313,540,372,623,989,6330,4032,10363,30185,30794,60981,3326,3338,6670,21321,21885,43209,10304,10465,20770
SED25102,23300,24085,47384,11347,6003,17348,3548,7562,11107,909,1298,2213,578,590,1168,16382,15457,31842,6136,7903,14041,3.5,3.8,3.7,70.3,64.2,67.2,67.8,61.7,64.7,1140,1516,2656,537,1232,1773,3357,4820,8176,2339,3263,5594,6540,2841,9378,173,296,473,351,523,874,7066,3668,10735,25467,25684,51145,2335,2476,4813,18920,18931,37852,7418,7954,15373
SED25205,25300,28262,53566,12792,8012,20811,3452,8099,11550,886,1250,2140,745,649,1395,17880,18014,35890,6587,9338,15925,4.2,3.6,3.9,70.7,63.7,67,67.7,61.4,64.4,1588,2051,3647,604,1260,1860,4882,6468,11348,2655,3471,6119,5342,2403,7746,173,301,475,389,618,1009,5907,3327,9232,26775,29010,55783,3423,3818,7245,18726,20299,39027,9953,11047,20999
SED25302,25071,28525,53599,10731,5742,16475,3499,7907,11409,886,1323,2211,547,478,1033,15669,15451,31119,8356,11797,20153,3.5,3.1,3.3,62.5,54.2,58.1,60.3,52.5,56.1,1261,1441,2704,618,1244,1861,4112,5565,9678,2760,3773,6532,5872,2641,8513,160,307,471,389,686,1077,6423,3641,10062,26132,28742,54873,3459,3877,7342,18039,19765,37809,10174,11455,21629
SED25402,27000,28965,55962,10707,5736,16443,2992,7410,10400,957,1297,2256,1134,783,1917,15795,15220,31015,9171,11611,20777,7.2,5.1,6.2,58.5,52.6,55.4,54.3,49.9,52,525,753,1279,270,747,1014,1913,3169,5081,1696,2820,4516,8582,4391,12969,257,480,735,290,454,745,9127,5320,14451,26667,27794,54461,3710,4067,7775,18404,18768,37165,10340,11449,21789
SED25501,26632,27959,54589,11092,7126,18219,4286,6381,10667,702,884,1587,948,889,1841,17031,15286,32311,8551,11630,20184,5.6,5.8,5.7,63.9,54.7,59.2,60.4,51.5,55.8,4271,3680,7949,673,1073,1740,7133,7591,14725,2485,2806,5289,2335,1208,3538,104,198,301,270,498,766,2707,1902,4609,26029,27066,53095,5027,4939,9965,16919,18157,35072,12923,12754,25677
SED25605,26504,26960,53464,10623,6212,16831,3971,6102,10073,825,907,1732,955,784,1733,16366,14001,30365,8764,11603,20369,5.8,5.6,5.7,61.7,51.9,56.8,58.2,49,53.5,2458,2098,4559,437,776,1214,5038,5466,10504,2428,2771,5195,3712,1808,5522,148,229,381,333,539,870,4193,2573,6766,26443,26908,53355,3638,3417,7052,18307,19193,37494,10392,9760,20145
