LGA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
LGA21270,0,0,0,0,0,3,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,19,4,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,9,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,3,9,3,0,12,0,0,0,16,8,8,8,0,0,50,0,0,0,0,0,0,0,0,0,0
LGA21370,0,3,0,8,5,9,19,14,10,80,0,0,0,0,0,0,3,9,0,19,0,0,0,5,0,5,0,0,0,9,0,10,8,100,5,3,4,0,0,134,0,0,4,4,5,0,0,0,0,15,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,7,0,15,6,7,7,4,3,50,0,0,3,9,3,8,49,42,21,143,0,0,0,0,0,0,0,0,0,5,0,0,4,9,0,5,0,0,0,14,0,0,0,0,0,5,0,0,0,10,0,8,0,25,14,12,4,0,0,57,0,0,0,0,0,4,13,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,29,0,0,0,0,0,31,0,0,0,11,5,6,36,33,4,94,0,22,19,96,82,85,65,27,9,397,0,0,0,0,0,0,3,0,0,7
LGA21450,0,0,10,64,34,70,116,98,27,423,0,0,5,17,11,12,24,23,6,100,0,7,4,38,17,17,8,0,0,95,33,292,364,3650,375,204,155,55,8,5139,0,8,7,85,29,13,13,8,0,170,4,3,9,56,17,17,3,0,0,105,0,3,12,26,10,6,3,0,0,66,0,21,15,80,36,41,28,17,13,251,0,8,9,33,32,66,99,109,34,389,0,8,11,27,26,5,5,0,0,75,5,0,11,56,20,8,0,0,0,108,0,3,12,26,16,13,3,4,0,73,3,73,45,129,62,34,17,12,0,376,0,0,0,0,7,18,42,20,0,96,3,4,41,178,67,107,60,28,5,492,0,17,38,221,49,13,5,0,0,340,0,0,12,78,9,0,0,0,0,100,0,5,9,33,40,73,224,160,62,598,14,176,233,674,353,290,129,54,13,1941,0,0,0,15,8,10,4,0,0,37
LGA21610,0,7,40,154,102,123,234,213,78,949,0,23,59,115,110,177,228,202,62,979,6,29,26,258,82,104,62,10,3,589,155,1878,2966,19374,3932,2172,1296,456,126,32355,0,63,81,436,216,95,81,23,4,997,10,249,482,822,145,107,32,12,0,1855,0,76,107,295,143,107,38,28,14,814,0,89,14,132,74,89,91,83,26,604,0,14,13,120,89,316,523,409,196,1690,6,14,25,95,38,15,7,0,0,194,4,34,86,361,182,57,14,5,0,745,0,21,33,186,190,194,127,29,10,793,18,122,248,736,334,317,251,50,15,2105,0,0,6,15,14,50,150,104,23,359,0,36,192,935,465,738,559,218,89,3239,0,5,8,143,57,30,29,10,7,287,4,19,80,493,54,31,6,0,0,691,0,10,14,49,66,115,352,329,116,1053,138,1110,1538,2793,1103,804,369,120,29,8006,0,0,14,145,94,124,115,37,6,532
LGA21670,0,0,0,4,0,8,16,12,5,36,0,0,0,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,4,0,16,3,4,3,4,0,39,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,6,0,0,0,15,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,9,4,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,31,0,0,0,4,4,4,37,29,3,77,0,3,0,8,22,32,28,10,8,114,0,0,0,0,0,0,0,0,0,4
LGA21750,0,0,0,8,10,0,19,10,8,63,0,0,0,4,0,5,11,3,6,16,0,0,6,6,0,0,0,0,0,10,0,11,5,61,10,0,8,0,0,88,0,0,0,15,0,4,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,18,3,3,0,5,0,37,0,0,0,0,0,0,21,17,12,53,0,3,0,10,8,0,0,0,0,21,0,4,0,18,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,6,0,0,0,26,0,0,0,3,0,8,10,4,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,22,0,0,0,0,0,26,0,0,0,8,5,5,23,29,7,81,0,5,18,66,47,50,30,17,3,233,0,0,0,0,3,0,3,0,0,8
LGA21830,0,0,0,9,5,5,17,5,0,43,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,8,0,0,31,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,9,0,29,0,0,0,0,0,5,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,15,0,0,5,6,6,3,24,34,7,85,0,13,28,86,61,60,25,8,0,288,0,0,0,0,0,0,0,0,0,0
LGA21890,6,14,23,190,83,63,59,41,16,501,0,17,59,159,201,556,1029,1546,678,4240,3,11,41,179,42,21,31,10,0,341,52,171,464,2515,237,126,90,54,16,3726,0,14,24,188,45,24,16,11,3,333,0,12,25,301,44,20,13,0,5,422,0,13,18,84,39,41,13,8,0,219,3,3,13,253,72,55,35,19,13,467,3,12,19,358,151,502,1199,1810,1176,5220,6,12,17,194,88,24,10,0,0,345,0,3,13,136,27,7,3,0,0,202,4,9,15,165,242,275,269,149,41,1166,4,14,67,546,119,116,98,34,3,1010,0,0,0,16,13,38,101,99,41,305,0,0,10,78,27,25,19,10,15,168,0,0,0,19,5,4,0,0,0,26,7,11,337,726,20,3,0,0,0,1108,0,0,13,53,34,23,26,17,10,174,9,45,107,1464,451,258,111,37,5,2488,0,6,8,146,149,216,335,206,87,1153
LGA22110,0,0,3,23,5,35,110,82,25,277,0,0,0,0,0,6,24,4,6,39,0,0,4,9,0,4,0,0,0,15,0,15,17,122,14,8,19,7,0,197,0,5,0,13,5,3,3,0,0,33,0,4,0,9,5,0,0,0,0,10,0,0,0,5,0,0,0,0,0,12,0,0,3,3,5,16,23,15,5,69,0,0,0,0,7,22,47,60,23,157,0,0,0,0,0,0,4,0,3,8,0,0,3,12,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,8,46,12,8,5,0,0,92,0,0,0,0,3,11,26,18,6,61,0,0,0,4,0,10,12,3,0,25,0,0,0,3,0,0,0,0,0,6,0,0,4,20,0,0,0,0,0,21,0,0,5,9,4,35,144,85,20,292,0,11,10,84,83,110,124,60,6,489,0,0,0,0,0,0,0,0,0,4
LGA22170,0,5,25,96,84,119,176,161,57,724,0,10,23,37,53,86,97,122,51,465,0,6,73,58,27,17,26,8,0,215,10,80,140,821,255,191,114,60,24,1697,0,4,17,74,32,23,15,3,0,180,0,0,12,78,17,10,6,6,0,127,0,0,3,14,12,9,3,5,0,46,0,17,21,161,72,75,81,46,27,499,0,10,8,65,48,98,163,154,54,593,0,6,4,34,36,5,8,0,0,93,0,0,7,66,22,6,4,4,0,118,0,7,0,37,39,42,27,14,4,167,0,14,34,112,76,58,66,9,6,375,0,0,0,3,3,23,39,20,11,102,0,4,12,109,48,73,72,17,10,346,0,0,0,27,6,7,0,4,0,45,0,6,6,58,0,4,0,0,0,83,0,6,13,23,36,60,158,137,132,567,7,134,276,1022,602,518,321,94,25,2994,0,0,0,12,16,10,10,5,5,58
LGA22250,0,0,0,0,0,0,9,4,0,18,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,26,3,0,4,4,0,41,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,5,0,0,0,0,0,3,3,10,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,13,9,0,32,0,0,0,12,10,19,12,0,0,55,0,0,0,0,0,0,0,0,0,0
LGA22310,4,12,22,149,89,58,254,115,84,789,0,24,24,72,104,244,422,800,350,2033,7,63,73,262,79,81,61,22,6,664,92,520,583,4168,504,298,207,133,40,6549,0,15,51,345,75,29,36,10,0,576,0,7,3,159,34,21,9,3,4,243,0,0,6,15,13,7,10,4,5,57,7,19,35,591,75,77,43,35,16,894,0,12,23,179,62,135,214,238,182,1045,15,99,37,309,162,57,34,13,0,733,0,57,78,361,107,49,19,9,0,684,0,0,3,23,28,34,28,26,9,154,3,36,131,681,186,148,142,56,15,1397,0,0,0,11,12,9,21,19,6,77,0,0,18,122,31,33,22,18,10,261,0,0,5,20,13,5,9,7,7,62,0,4,182,304,15,0,0,0,0,508,4,14,10,48,24,34,49,28,8,216,12,113,182,846,426,352,218,67,15,2225,0,0,0,20,12,16,8,0,0,63
