LGA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,15,9,4,6,0,0,45,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,6,4,0,0,18,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,6,13,5,0,35,23,40,41,91,81,96,91,72,63,604,289,643,568,1035,805,1051,945,547,286,6178
LGA21370,0,4,0,3,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,11,0,48,28,138,62,36,17,0,0,328,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,26,40,24,0,99,0,0,0,0,0,0,0,0,0,3,0,4,5,21,13,0,0,0,0,50,4,3,0,46,0,3,5,0,0,66,0,0,0,14,0,0,0,0,0,10,0,0,5,29,15,4,0,0,0,57,0,0,0,0,0,0,0,0,0,3,0,3,0,7,11,11,12,0,0,50,0,0,0,16,6,6,0,0,0,29,0,4,0,3,4,0,8,0,0,18,0,0,0,4,5,5,0,0,0,15,3,12,8,50,32,32,47,41,11,241,117,264,233,575,369,425,450,331,174,2936,1939,4674,4085,7782,4918,5716,5143,3201,1273,38735
LGA21450,7,84,67,429,49,28,17,3,0,700,0,0,0,14,12,8,6,0,0,42,6,71,180,472,240,107,37,9,0,1125,0,0,0,40,30,28,40,11,5,157,0,4,15,29,33,15,8,5,0,119,0,13,14,84,83,143,164,89,30,616,0,10,30,52,30,20,11,0,0,156,6,35,70,197,139,81,43,22,5,601,7,132,161,1305,317,168,135,41,6,2279,0,12,8,116,6,0,7,0,0,148,4,12,16,129,43,14,7,0,0,218,0,5,0,15,14,16,8,5,0,61,3,17,35,81,54,35,17,12,0,248,0,8,21,86,30,25,10,3,3,188,0,0,0,29,17,31,21,10,0,116,0,3,16,94,41,17,10,0,0,191,18,138,297,1081,494,432,305,204,62,3033,332,834,676,1683,737,591,500,344,172,5860,9096,17675,14348,36112,14459,11663,8701,4640,1494,118194
LGA21610,73,730,855,2011,367,214,92,20,9,4373,0,0,4,18,24,15,5,0,0,69,36,418,873,2880,1354,912,372,101,32,6990,0,6,28,259,182,336,327,116,57,1313,8,105,239,499,374,357,109,39,9,1745,3,20,48,146,200,391,339,244,95,1490,8,156,137,252,155,157,82,14,0,965,6,100,215,614,522,350,224,128,36,2199,40,701,1309,6748,2696,1882,1126,422,120,15026,4,18,16,250,33,24,20,0,0,356,10,46,79,566,157,67,20,10,0,958,7,10,24,187,248,220,110,55,13,863,20,120,141,206,103,71,44,9,3,708,11,51,114,905,460,375,193,31,23,2169,0,4,9,44,38,57,44,32,13,236,6,40,113,354,146,51,20,0,0,732,62,615,1357,4750,2861,2731,1849,934,336,15501,1133,2391,2015,5156,1792,1476,1091,652,293,15996,27841,55208,47470,113689,45253,36204,23658,11711,4207,365239
LGA21670,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,6,8,14,5,42,7,4,8,0,0,84,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,15,6,50,0,0,0,0,3,7,0,0,0,9,0,0,0,3,0,3,0,0,0,9,0,0,0,3,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,8,5,0,17,0,4,0,5,0,0,0,0,0,11,0,0,0,0,3,3,6,0,0,13,0,0,0,0,0,0,0,0,0,4,0,3,0,9,12,25,23,23,6,105,24,113,93,181,167,183,175,136,57,1140,521,1440,1238,2300,1678,2111,2260,1433,501,13483
LGA21750,0,0,0,6,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,8,4,10,13,48,12,4,8,3,0,102,0,0,0,3,0,3,0,0,0,9,0,0,4,28,0,0,0,0,0,30,0,0,0,11,9,16,21,19,4,80,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,3,0,0,0,18,0,0,3,19,3,3,8,0,0,32,0,0,10,128,0,0,0,0,0,146,0,0,0,11,9,0,3,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,6,10,10,8,12,0,0,44,0,0,3,10,6,0,0,0,0,17,0,0,0,4,0,0,0,0,5,12,0,0,0,3,4,5,7,0,0,10,0,14,8,64,41,33,27,24,9,221,73,166,113,324,213,255,233,142,64,1579,1123,2611,2237,5033,2814,3223,3071,1651,651,22423
LGA21830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,45,13,9,0,0,0,84,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,11,13,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,4,0,0,22,0,0,0,3,0,5,0,0,0,11,0,0,0,9,0,0,0,0,0,9,0,0,0,3,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,12,47,11,24,13,8,5,122,32,117,140,255,174,201,165,127,67,1275,748,1929,1679,3160,2065,2536,2154,1322,517,16115
LGA21890,4,31,54,269,25,18,5,5,0,405,0,7,7,32,30,8,4,0,0,74,6,50,83,523,144,135,97,22,6,1075,0,0,0,73,27,26,43,17,14,203,0,3,6,7,17,16,4,4,0,63,0,11,12,173,85,81,56,36,5,461,0,23,24,183,57,18,19,14,0,338,0,11,31,239,74,31,25,6,0,426,0,14,90,420,73,115,83,28,10,839,0,3,13,141,13,11,4,3,0,185,3,30,41,234,63,30,8,3,0,419,0,0,3,89,71,58,33,27,9,300,23,56,56,465,116,68,37,8,0,829,3,55,216,749,497,548,296,114,37,2517,0,0,0,37,23,8,12,9,0,90,0,4,7,70,16,7,4,0,0,109,69,258,287,2294,635,583,464,313,143,5030,237,472,677,2091,795,633,572,439,327,6245,7896,14465,16148,52475,20391,15323,10566,7356,3949,148570
LGA22110,0,3,4,9,7,3,0,0,0,28,0,0,3,6,11,3,7,3,0,30,5,28,18,129,55,48,23,8,0,310,0,0,0,0,5,4,14,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3,23,16,58,70,72,10,244,0,0,4,3,4,0,3,0,0,24,0,3,9,33,34,29,37,12,0,153,0,0,4,26,6,5,4,7,0,49,0,0,0,20,0,0,0,0,0,17,3,3,9,49,15,3,4,0,0,85,0,0,0,0,3,5,0,0,0,8,0,3,3,16,14,23,40,17,0,116,0,3,3,52,23,11,3,0,0,101,0,0,0,0,4,5,16,11,3,47,0,0,0,4,7,3,9,0,0,20,0,17,16,114,67,69,110,80,29,506,128,385,303,761,501,641,728,486,234,4157,2173,5126,4125,8879,5618,7752,8664,4873,1516,48715
LGA22170,0,0,9,52,15,16,3,3,0,94,0,0,3,21,22,25,5,4,0,87,8,79,116,511,255,185,117,24,5,1298,0,5,4,61,65,80,88,37,11,366,0,0,10,27,20,18,15,4,0,91,3,21,44,155,143,283,262,199,85,1197,4,14,9,50,20,29,15,0,3,146,0,54,94,301,229,143,95,35,16,969,0,6,22,177,93,123,97,59,9,592,0,0,3,51,9,11,5,0,0,84,6,37,42,196,72,29,5,0,0,389,0,0,0,37,26,31,22,3,4,132,7,36,37,151,73,65,69,19,5,457,0,10,25,128,55,29,13,6,0,265,0,6,12,53,44,52,51,40,12,261,0,4,15,52,42,19,9,5,0,140,12,126,243,987,630,559,506,360,133,3559,337,764,737,1969,969,781,589,474,223,6852,8599,17235,15585,38776,18983,16928,12919,7236,3017,139281
LGA22250,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,8,26,9,5,10,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,3,0,16,0,0,0,0,0,0,0,0,0,3,0,0,4,14,5,6,0,0,0,39,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,15,3,0,42,26,100,77,156,117,148,150,103,48,927,486,1187,932,1899,1293,1670,1744,1068,409,10683
LGA22310,3,6,8,111,8,10,3,0,0,148,0,0,0,10,19,14,4,0,0,39,6,39,55,512,113,90,57,18,3,899,0,0,3,121,67,129,376,185,262,1151,0,0,0,5,0,3,5,0,0,9,3,14,19,154,90,84,92,66,30,545,8,70,77,216,72,47,44,17,5,575,11,116,246,1037,797,601,422,235,102,3568,4,17,41,399,142,147,149,80,46,1025,6,6,11,213,34,16,8,6,0,300,6,24,49,248,54,27,12,3,0,422,0,9,10,70,30,33,21,21,10,180,52,173,133,408,168,133,99,31,9,1203,3,59,153,460,215,107,82,18,3,1097,0,0,3,33,26,11,10,5,0,88,0,0,9,67,31,34,17,11,0,171,72,466,515,2992,1793,1559,1901,1163,593,11057,155,451,488,1488,535,419,522,366,242,4657,7772,18302,17799,44334,20378,16099,13025,7220,3979,148908
LGA22410,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,8,0,8,6,51,26,13,14,4,0,126,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,15,20,10,5,66,0,0,0,0,0,4,0,0,0,4,0,3,8,11,12,10,5,0,0,51,0,0,0,3,4,3,0,0,0,5,0,0,0,4,0,0,0,0,0,4,4,6,0,21,5,4,0,0,0,42,0,0,0,0,0,0,4,0,0,4,0,0,0,8,3,9,11,3,0,30,0,0,3,6,9,0,0,0,0,21,0,0,0,0,0,3,4,0,0,9,0,0,0,8,0,3,0,0,0,18,0,0,7,31,23,36,31,17,7,143,43,149,119,284,195,263,248,142,65,1507,904,2181,1949,3919,2667,3330,3059,1545,594,20152
LGA22490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,14,6,9,8,0,0,35,0,0,0,5,5,4,3,0,3,19,0,0,0,0,0,0,0,0,0,4,0,0,0,14,8,27,36,19,0,108,0,0,4,0,11,0,3,0,0,18,0,3,3,9,17,4,8,0,0,50,0,0,3,4,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,3,0,6,8,9,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,3,0,13,9,10,15,3,0,48,0,0,0,7,10,0,0,0,0,10,0,0,0,3,7,6,9,0,0,28,0,0,0,3,0,0,4,0,0,9,0,7,4,42,38,58,54,27,10,239,64,169,119,290,199,185,164,77,13,1277,1541,3967,2813,5900,3693,3234,2568,1007,258,24985
