LGA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA21270,9,27,18,14,10,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,36,30,22,17,0,0,115,0,0,0,0,0,0,0,6,0,7,0,3,0,0,0,11,0,7,5,4,0,0,0,17,11,43,30,26,16,0,0,128,17,20,12,6,4,0,0,68,0,0,0,0,0,0,0,0,32,65,39,31,22,0,0,196
LGA21370,71,147,108,78,100,18,6,527,21,20,4,7,8,0,0,72,4,12,5,4,0,0,0,29,126,291,212,162,199,40,5,1035,10,0,6,5,6,0,0,31,12,6,7,6,8,0,0,33,11,14,11,11,12,0,0,64,137,301,227,175,210,40,5,1099,192,160,105,55,66,11,0,592,8,4,7,8,5,0,0,25,339,472,335,234,277,46,12,1714
LGA21450,254,421,268,200,270,92,42,1554,39,55,37,18,22,13,15,202,17,32,18,17,12,3,0,99,443,864,582,459,613,266,152,3382,14,38,13,7,25,4,5,108,27,53,20,19,11,0,0,135,44,87,38,25,35,7,4,241,491,953,622,482,649,273,160,3623,492,524,267,155,174,59,21,1697,17,22,9,9,5,0,0,66,1004,1500,901,644,826,329,182,5386
LGA21610,565,1031,667,508,571,271,145,3747,112,110,63,55,68,26,18,448,40,66,29,15,28,12,5,205,1208,2139,1512,1200,1566,745,396,8762,37,85,64,48,70,29,12,348,84,129,54,48,60,27,14,417,123,216,120,96,133,55,33,767,1323,2354,1625,1294,1697,804,424,9524,1398,1364,722,486,568,280,200,5026,47,51,26,28,17,9,7,185,2771,3767,2377,1814,2288,1087,631,14735
LGA21670,36,67,33,28,31,6,0,193,0,6,6,0,6,0,0,21,0,9,0,0,0,0,0,7,47,105,66,49,52,12,3,329,0,6,5,4,5,0,0,26,3,6,5,4,0,0,0,16,6,12,11,9,6,0,0,42,56,118,77,56,51,12,3,373,88,90,55,49,30,9,0,323,0,3,4,0,0,0,0,11,138,216,139,101,84,19,3,704
LGA21750,47,85,51,42,63,7,10,298,8,5,4,3,4,0,0,25,0,0,4,5,3,0,0,12,62,140,104,81,115,23,9,533,0,0,3,0,0,0,0,4,3,6,6,0,0,0,0,16,3,4,7,0,5,0,0,25,65,141,110,84,115,23,9,555,79,88,45,25,24,6,0,268,0,3,0,3,0,0,0,4,144,234,155,114,145,28,8,828
LGA21830,17,69,40,39,38,11,0,208,3,10,0,4,0,0,0,18,0,3,0,0,0,0,0,4,36,101,59,65,67,23,0,350,0,0,0,3,0,0,0,4,3,3,3,3,0,0,0,16,3,3,3,5,0,0,0,17,37,105,63,76,67,23,4,367,45,58,35,18,18,3,0,181,5,3,0,0,0,0,0,10,87,162,97,93,83,25,7,562
LGA21890,147,302,206,156,231,125,52,1215,32,19,15,9,15,12,5,107,11,14,3,3,5,0,0,36,285,611,482,379,570,288,163,2786,15,14,16,9,13,6,8,83,11,29,20,17,16,8,3,107,26,49,33,28,29,18,13,188,309,663,510,408,604,308,177,2978,291,337,203,150,155,92,76,1313,10,10,8,3,0,0,0,33,612,1007,723,562,760,406,256,4319
LGA22110,89,190,109,86,89,11,4,582,23,12,11,17,15,4,0,86,0,3,4,7,4,0,0,23,156,297,222,183,213,36,7,1107,4,13,13,4,9,0,0,46,10,11,9,9,8,0,0,50,15,32,18,13,15,0,0,91,172,321,237,195,227,37,7,1196,186,217,109,82,70,10,0,671,6,12,9,3,9,0,0,39,359,551,357,286,300,44,11,1911
LGA22170,294,624,415,271,353,122,56,2141,61,53,34,24,33,10,11,220,10,21,13,13,13,5,3,85,534,1117,801,602,860,344,166,4422,14,34,15,25,28,6,0,125,24,56,28,20,16,5,0,146,34,88,49,48,45,15,0,276,565,1203,849,648,905,355,172,4690,589,596,362,263,265,89,39,2199,10,15,19,9,9,0,0,66,1164,1820,1229,914,1169,450,212,6957
LGA22250,22,41,23,16,16,0,0,121,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,6,27,48,41,28,37,0,0,195,3,5,9,0,3,0,0,19,0,6,0,0,0,0,0,8,9,6,8,0,6,0,0,28,31,53,55,34,43,0,0,222,48,46,27,21,16,0,0,157,0,0,5,0,0,0,0,10,83,109,79,53,60,0,0,388
LGA22310,141,267,229,200,230,136,94,1286,21,22,22,12,22,7,9,113,0,10,0,7,4,4,5,24,283,614,576,479,640,450,263,3311,5,13,11,14,10,6,4,60,5,18,10,9,12,8,10,71,11,29,15,22,24,14,10,129,292,648,591,500,669,464,278,3443,120,169,142,117,159,120,63,895,0,3,8,14,10,0,0,29,413,812,742,630,836,587,347,4362
LGA22410,35,67,44,46,51,10,4,257,3,8,4,0,0,0,0,23,0,0,0,0,0,0,0,4,51,106,92,88,108,12,7,462,0,6,3,0,5,0,0,14,3,14,6,0,3,0,0,27,11,17,15,4,5,3,0,46,59,121,106,88,109,18,7,509,82,107,43,33,31,7,0,302,3,4,6,0,0,0,0,16,147,232,154,119,140,25,7,825
LGA22490,42,52,54,36,35,11,9,241,5,3,4,0,9,0,0,19,0,4,0,0,0,0,0,7,61,111,101,64,91,35,10,478,0,3,0,0,4,0,0,4,3,5,6,4,0,0,0,25,3,9,6,4,8,0,0,34,67,116,104,67,100,35,14,503,56,44,37,30,19,4,0,195,5,0,4,0,0,0,0,11,130,160,143,106,119,39,14,709
LGA22620,290,552,390,268,299,76,18,1890,65,61,37,10,22,8,7,210,18,24,20,5,4,3,0,72,500,961,771,557,649,196,77,3712,17,39,14,15,12,5,0,104,26,43,26,16,26,0,0,136,37,77,43,35,36,7,0,241,540,1043,814,593,686,205,73,3952,585,614,321,241,218,49,25,2057,16,24,15,6,8,3,0,69,1138,1683,1154,841,908,255,100,6084
LGA22670,162,379,246,179,270,162,102,1499,38,27,20,8,19,14,10,134,23,31,18,17,19,12,5,127,388,773,525,405,632,405,263,3384,22,48,15,24,34,18,23,184,28,68,39,26,36,24,11,235,48,114,56,54,76,42,33,423,435,887,578,457,708,449,293,3805,613,688,374,280,380,238,182,2754,31,49,23,9,14,4,4,136,1082,1622,971,742,1106,688,481,6695
LGA22750,446,1056,691,504,635,196,99,3629,92,98,68,52,57,25,5,405,26,41,25,12,19,7,5,140,829,1854,1342,1056,1464,535,251,7326,18,45,38,30,42,10,4,187,55,108,58,29,28,9,0,294,72,154,99,61,65,21,8,479,903,2012,1437,1116,1530,558,261,7811,842,948,561,415,420,166,76,3432,41,31,16,6,6,0,0,107,1785,2991,2014,1542,1961,726,335,11343
LGA22830,137,310,177,136,142,39,7,943,24,33,10,6,20,5,6,105,11,16,14,8,12,0,0,62,243,554,363,287,340,91,32,1911,10,16,15,14,11,6,0,75,30,24,21,13,9,7,0,100,35,44,31,32,23,13,3,178,283,596,397,313,366,106,30,2083,366,398,214,136,150,24,14,1303,5,15,20,0,3,5,0,46,649,1006,634,453,517,130,46,3435
LGA22910,22,48,33,34,30,7,0,176,5,7,0,3,6,0,0,24,0,0,0,0,0,0,0,3,41,79,70,57,67,10,5,323,0,5,0,0,4,0,0,16,0,0,0,0,0,0,0,9,0,11,4,0,6,0,0,25,39,88,72,58,72,11,5,343,39,54,25,15,15,0,0,157,0,0,0,0,0,0,0,4,77,139,97,80,88,15,14,500
LGA22980,19,10,9,9,10,0,0,51,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,23,21,16,18,15,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,23,21,18,20,19,0,0,101,14,18,10,9,8,0,0,59,3,0,0,0,0,0,0,4,41,39,26,26,28,4,0,165
LGA23110,92,219,167,116,144,80,55,869,23,26,15,16,13,5,0,100,6,9,5,8,10,0,0,39,202,486,419,311,405,231,146,2195,13,24,25,6,15,13,7,110,14,18,16,6,5,4,3,64,24,48,39,12,25,16,8,173,224,531,457,326,430,248,157,2371,205,219,135,102,90,57,26,837,7,9,0,6,0,0,0,25,439,759,590,434,520,302,183,3236
LGA23190,50,71,68,50,46,20,0,300,11,13,3,3,3,0,0,34,5,3,3,0,0,0,0,11,87,127,110,93,94,25,7,548,0,3,3,0,0,0,0,14,0,12,0,3,4,0,0,20,4,12,5,5,3,0,0,32,90,145,118,98,96,25,7,578,120,106,50,28,21,0,0,331,5,5,5,4,0,0,0,11,214,254,169,128,125,29,3,926
LGA23270,339,625,439,296,405,204,111,2417,66,71,40,41,56,22,6,300,26,37,25,16,19,10,6,139,679,1261,901,682,1001,531,300,5361,32,58,39,33,36,19,10,225,38,95,58,34,40,21,18,310,69,160,93,69,79,39,27,533,749,1423,992,750,1079,571,328,5895,1063,1234,731,501,637,304,165,4638,22,57,19,17,6,4,0,126,1837,2707,1746,1265,1722,880,502,10659
LGA23350,13,42,28,24,36,7,0,150,5,17,3,5,5,0,0,31,0,0,0,0,0,0,0,0,30,88,76,59,83,15,6,361,0,0,0,0,0,0,0,5,3,3,3,3,0,0,0,8,3,0,3,3,0,0,0,19,30,86,82,67,87,17,6,374,49,33,23,18,21,0,0,148,0,0,0,0,0,0,0,5,83,129,104,85,107,15,8,526
LGA23430,172,422,316,230,293,180,74,1679,44,31,23,17,21,16,9,154,9,13,3,7,10,7,0,53,356,827,707,510,773,478,249,3901,15,14,15,15,24,11,4,98,19,34,19,11,12,3,8,105,31,52,28,25,37,20,11,202,392,878,733,538,812,497,260,4109,214,292,158,134,171,89,54,1113,4,9,7,4,0,0,0,35,616,1183,904,671,987,587,315,5255
LGA23670,204,390,278,231,303,171,86,1666,34,34,27,18,34,20,9,178,9,19,6,3,7,7,3,53,367,777,659,534,823,455,269,3876,10,22,24,8,20,3,5,94,30,44,20,11,19,10,0,134,33,65,43,14,41,15,6,228,398,838,703,544,869,467,277,4106,342,397,215,153,218,71,60,1458,10,10,3,6,3,0,0,28,749,1244,918,707,1087,543,340,5586
LGA23810,187,339,231,131,167,43,15,1121,30,31,24,13,13,4,0,114,6,22,10,0,7,0,0,47,311,581,469,275,376,108,33,2147,19,37,33,20,21,3,5,142,37,48,26,11,16,4,0,140,48,89,57,31,36,6,6,276,364,669,527,309,413,114,38,2426,541,497,247,183,165,38,11,1683,15,26,20,7,3,0,0,74,914,1190,791,497,582,149,50,4184
LGA23940,4,0,12,7,8,0,0,29,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,16,17,14,25,4,0,94,0,7,4,0,0,0,0,13,0,0,0,0,0,0,0,3,0,10,4,0,0,0,0,15,15,28,26,14,25,4,6,110,40,33,15,11,5,5,0,113,0,0,0,0,0,0,0,0,48,61,46,26,30,8,6,223
LGA24130,63,155,98,89,103,39,17,566,12,22,11,0,7,3,0,62,0,4,0,0,5,0,0,12,99,302,217,188,265,99,37,1208,3,4,4,0,4,0,0,22,5,13,9,5,5,3,4,37,3,17,11,7,12,3,4,61,104,320,226,194,275,102,39,1268,105,113,66,41,48,21,11,406,3,5,0,3,0,0,0,16,215,436,296,240,322,124,53,1683
LGA24210,94,251,189,160,239,134,87,1157,17,21,20,8,17,13,8,108,0,6,13,3,5,3,0,30,188,535,430,371,563,370,222,2671,5,10,7,3,9,16,11,61,10,39,21,9,12,12,5,104,14,52,26,18,20,27,12,157,202,585,453,384,587,396,235,2833,106,222,167,118,190,128,105,1036,9,10,0,0,4,6,0,25,314,814,624,504,776,531,339,3900
LGA24250,19,39,22,16,12,0,0,113,0,6,0,3,5,0,0,13,0,0,0,0,0,0,0,3,22,65,40,28,33,4,0,204,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,6,30,66,40,28,33,4,0,205,16,16,6,0,4,0,0,46,0,0,0,0,0,0,0,0,40,85,48,30,43,4,0,253
LGA24330,98,147,111,69,81,69,36,617,18,23,12,8,12,9,5,86,5,6,3,3,6,0,0,25,195,402,297,206,293,195,111,1688,5,14,20,7,12,13,0,74,13,27,11,11,8,6,7,91,18,37,31,19,20,18,12,158,208,438,326,223,315,213,118,1843,168,212,132,95,123,71,49,838,0,0,5,7,5,0,0,26,380,647,458,327,445,282,165,2708
LGA24410,138,353,248,166,232,144,59,1344,17,19,18,14,27,10,3,117,8,7,3,6,10,0,0,42,262,670,539,398,599,370,174,3013,4,13,4,7,17,0,6,48,15,10,9,13,18,4,0,80,20,24,14,23,33,10,6,128,277,697,553,420,627,382,182,3142,199,254,145,111,138,68,35,951,6,7,3,0,3,6,0,17,481,955,701,534,768,451,224,4109
LGA24600,87,122,71,79,100,65,50,571,17,17,4,13,7,9,6,70,7,5,0,4,8,0,6,29,195,326,220,191,277,199,115,1520,11,10,3,10,0,11,3,47,17,24,11,3,15,14,7,91,28,35,13,11,15,23,11,135,223,360,232,198,286,221,122,1658,181,197,103,89,144,140,108,969,12,13,4,4,3,4,0,39,414,565,349,299,432,371,236,2663
LGA24650,300,567,371,266,372,114,68,2067,80,89,52,29,38,13,10,311,36,45,27,15,18,6,6,150,684,1217,882,652,916,381,217,4951,38,67,59,38,48,15,15,285,78,129,50,52,47,15,8,376,122,193,109,92,94,36,17,655,803,1410,988,745,1014,420,235,5604,961,1006,549,343,358,134,85,3445,21,27,10,13,3,4,3,82,1791,2433,1553,1103,1374,557,321,9128
LGA24780,127,228,156,102,122,30,4,773,28,28,11,8,12,0,0,87,5,15,9,13,9,0,0,57,240,438,330,252,332,80,18,1684,14,15,10,3,6,0,0,52,16,25,17,6,6,0,0,71,27,40,27,17,13,0,0,125,267,479,357,263,344,77,15,1810,309,331,170,119,84,27,5,1054,10,14,6,7,7,3,0,50,590,824,533,394,439,107,27,2913
LGA24850,98,170,128,70,89,34,15,595,19,12,9,8,9,0,0,65,8,4,6,9,4,4,0,38,178,326,262,171,236,80,38,1291,0,18,11,7,6,0,0,39,14,35,9,3,9,4,0,76,16,51,14,6,15,5,0,115,191,374,276,184,251,82,38,1407,241,250,127,77,83,25,16,812,6,15,0,0,5,0,0,23,441,640,404,257,339,109,54,2243
LGA24900,73,132,96,77,59,14,3,456,16,9,5,0,0,0,0,33,0,11,3,0,8,0,0,23,114,228,162,126,149,21,6,804,0,4,11,4,0,0,0,19,8,8,9,7,0,0,0,32,8,13,16,9,3,0,0,53,121,239,184,132,156,19,6,855,118,115,68,38,39,8,3,382,8,3,8,0,0,0,0,17,238,360,255,172,189,25,9,1246
LGA24970,146,341,289,215,305,239,113,1629,27,19,20,21,18,21,10,140,9,9,13,14,21,13,6,76,319,744,637,511,741,581,294,3818,4,24,10,10,22,12,5,87,16,33,23,11,28,22,13,144,20,50,27,25,50,37,12,225,342,796,668,531,792,620,310,4050,210,283,226,194,325,207,178,1620,15,11,10,12,5,6,5,61,564,1095,903,730,1120,831,490,5731
LGA25060,98,197,180,153,182,128,63,994,16,13,10,13,18,14,7,94,4,6,7,0,3,3,3,26,220,496,430,365,507,356,182,2552,10,13,8,15,14,14,3,76,16,15,12,7,13,3,0,67,29,25,21,18,25,16,7,143,244,527,451,381,530,373,186,2695,233,223,144,88,116,67,61,931,5,10,8,6,7,0,0,33,484,756,607,473,651,438,244,3660
LGA25150,54,142,117,63,73,25,6,472,15,6,14,11,5,6,0,61,3,4,6,0,0,0,0,15,111,257,240,159,174,71,33,1046,6,7,10,5,4,0,0,34,11,14,4,7,5,0,0,33,19,22,11,6,12,0,0,66,128,278,253,165,182,77,33,1114,142,150,89,51,58,18,10,519,0,0,0,4,4,0,0,15,269,425,342,218,242,96,47,1643
LGA25250,149,286,254,148,211,119,61,1228,38,25,18,18,26,19,10,137,4,10,0,11,3,3,0,37,313,656,548,355,593,368,194,3027,8,24,12,21,22,12,12,102,18,52,30,20,12,11,0,145,29,77,42,41,33,21,12,244,339,726,590,398,627,389,205,3272,292,359,188,157,207,112,81,1389,13,9,6,0,0,0,0,27,640,1099,778,551,833,508,284,4690
LGA25340,235,556,445,311,466,144,59,2211,50,90,42,32,40,25,6,283,9,12,12,7,21,3,0,63,428,996,815,633,940,347,164,4319,10,26,8,14,14,5,5,77,14,42,21,16,18,0,0,113,29,66,33,29,28,5,0,191,451,1063,850,660,975,350,163,4508,385,479,255,214,195,74,26,1623,5,11,14,9,4,0,0,52,848,1555,1121,877,1177,424,191,6187
LGA25430,25,93,63,45,48,10,0,292,7,10,8,3,4,0,0,29,0,0,0,0,0,0,0,6,40,134,117,83,112,27,7,519,0,0,0,3,0,0,0,5,4,4,4,0,3,0,0,14,6,10,4,6,6,0,0,23,42,143,118,89,110,29,7,536,61,51,25,28,28,6,0,200,0,0,0,0,5,0,0,4,112,195,144,115,140,30,10,748
LGA25490,25,64,43,31,29,6,0,201,0,5,5,0,6,0,0,14,0,0,0,0,0,0,0,3,43,92,88,63,63,13,6,366,0,0,4,0,0,0,0,9,0,4,0,0,0,0,0,5,0,4,3,0,4,0,0,10,41,97,85,64,67,11,6,377,41,43,33,24,18,3,0,156,0,3,3,0,0,0,0,11,86,139,121,89,85,12,5,538
LGA25620,26,37,25,24,28,4,3,151,0,6,0,0,9,0,0,20,3,4,0,0,0,0,0,6,36,71,63,37,63,12,8,295,4,5,0,0,5,0,0,9,0,3,0,0,6,0,0,12,5,8,0,0,9,0,0,24,39,79,61,41,66,14,8,318,26,22,35,29,29,10,3,151,3,0,0,0,0,0,0,3,71,104,93,71,104,24,14,475
