UCL_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
UCL212005,..,18,58,16,15,13,21,10,6,7,157,..,49,170,65,51,93,113,29,18,20,610,..,0,0,0,6,11,14,5,7,7,53,..,0,4,0,0,0,0,4,0,3,6,..,49,172,69,59,101,127,40,28,26,674,..,0,0,0,0,0,0,0,0,0,3,..,67,226,80,77,116,144,48,33,34,829,35,54,35,0,7,6,7,0,7,0,149,45,194,221,62,56,66,102,28,11,12,788,0,3,4,10,18,10,18,5,3,7,71,0,0,0,0,0,0,0,0,0,0,0,45,198,224,70,70,71,120,34,12,13,862,0,0,0,0,0,0,0,0,0,0,4,78,253,256,68,72,80,127,38,18,20,1014,73,35,49,7,11,25,14,7,0,13,243,143,298,415,132,142,183,179,56,13,26,1588,4,28,72,36,48,39,55,5,5,14,310,0,5,6,0,0,0,0,3,0,0,10,153,328
UCL212006,..,12,76,20,12,6,12,5,3,5,162,..,10,47,17,11,5,4,4,0,0,105,..,0,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,10,47,20,11,8,4,7,0,6,112,..,0,0,0,0,0,0,0,0,0,0,..,28,122,40,21,19,24,14,3,11,280,49,75,37,3,5,3,0,13,6,3,192,14,54,43,3,9,13,13,11,0,0,167,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,54,46,3,9,13,13,4,0,0,167,0,0,3,0,0,0,0,0,0,0,3,66,126,83,6,15,19,14,18,6,9,359,122,56,86,7,19,13,15,4,5,7,323,40,102,120,24,33,20,24,11,3,3,388,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,46,107
UCL212007,..,19,64,14,9,14,23,15,7,3,160,..,5,15,8,4,3,4,0,0,0,37,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,5,15,8,4,3,4,0,0,0,42,..,0,0,0,0,0,0,0,0,0,0,..,23,76,21,12,19,29,12,7,3,201,32,59,31,3,0,0,6,3,0,0,137,0,12,14,0,0,3,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,0,3,4,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,37,74,47,3,4,3,6,4,0,0,175,44,22,48,12,14,19,10,4,0,0,178,16,9,34,8,14,6,10,6,0,0,100,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,9
UCL212008,..,14,32,4,7,17,6,4,3,6,88,..,3,21,6,8,12,28,5,3,4,89,..,0,0,0,0,0,4,0,0,0,9,..,0,0,0,0,0,0,0,0,0,0,..,3,21,6,8,14,26,8,7,6,102,..,0,0,0,0,0,0,0,0,0,0,..,18,58,16,14,29,32,7,8,16,193,17,35,15,3,0,0,8,0,0,4,75,10,30,16,17,10,11,31,6,0,0,132,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,30,16,17,11,15,31,12,0,0,138,0,0,0,0,0,0,0,0,0,0,0,23,69,31,13,16,19,34,12,0,4,215,58,25,23,7,10,10,12,0,4,5,146,27,51,67,29,25,40,36,6,6,0,283,0,3,0,0,0,3,4,5,4,0,17,0,0,0,0,0,0,0,0,0,0,3,24,52
UCL212009,..,16,28,6,3,9,12,0,3,3,84,..,3,18,4,8,27,39,5,4,0,99,..,0,0,0,0,0,13,0,0,7,22,..,0,0,0,0,0,0,0,0,0,3,..,3,18,4,9,25,53,3,11,6,124,..,0,0,0,0,0,0,0,0,0,0,..,22,49,11,9,32,69,3,6,8,207,24,43,24,6,5,0,9,5,0,4,114,4,24,18,8,5,15,22,8,0,0,119,5,0,0,0,4,4,10,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,13,24,18,8,6,13,30,10,0,3,135,0,0,0,0,0,0,0,0,0,0,0,31,73,37,18,11,20,34,13,0,12,252,56,16,33,7,6,17,14,8,0,11,178,17,47,89,40,48,74,85,21,0,0,413,0,0,12,8,18,29,33,4,0,7,119,0,0,0,0,0,0,0,0,0,0,0,17,46
UCL213001,..,3,9,4,0,0,0,0,0,3,31,..,4,16,4,3,0,0,0,3,0,36,..,0,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,4,16,4,3,3,0,0,5,0,38,..,0,0,0,0,0,0,0,0,0,0,..,7,29,5,5,6,5,3,5,6,66,7,8,7,0,4,0,0,0,0,0,33,0,4,10,0,0,3,5,6,0,3,34,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,10,5,3,9,11,6,0,3,42,0,0,0,0,0,0,0,0,0,0,0,5,15,21,6,4,9,8,6,0,3,72,22,5,14,6,5,4,9,0,0,3,75,5,16,39,10,16,15,24,12,0,0,145,0,0,6,4,4,6,9,0,0,0,32,0,0,3,0,0,0,0,0,0,0,3,5,20
UCL213002,..,6,14,0,4,0,0,4,0,0,35,..,5,0,0,0,0,4,0,0,0,8,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,5,0,0,0,0,4,4,0,0,15,..,0,0,0,0,0,0,0,0,0,0,..,11,15,0,7,0,4,5,0,0,45,3,10,0,0,0,0,3,0,0,0,20,0,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,15,15,6,16,0,0,0,3,3,0,0,15,48,14,7,7,7,0,0,0,0,0,3,40,7,0,14,3,5,6,6,5,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
UCL213003,..,5,8,0,0,4,0,0,0,0,11,..,3,8,0,15,0,11,6,0,0,44,..,0,0,0,4,9,3,0,0,0,13,..,0,0,0,0,0,0,0,0,0,0,..,3,8,0,12,9,12,3,0,0,58,..,0,0,0,0,0,0,0,0,0,0,..,4,17,0,12,7,12,3,0,0,69,4,11,5,0,0,0,0,0,0,0,26,4,10,4,0,6,0,7,0,3,0,43,0,0,0,0,3,0,6,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,10,4,0,9,6,14,6,3,0,56,0,0,0,0,0,0,0,0,0,0,0,10,17,11,0,10,0,14,6,3,0,81,11,3,6,0,3,3,7,3,0,0,44,6,13,35,18,13,33,42,11,19,0,185,0,5,11,9,20,38,33,9,0,0,113,0,0,0,0,0,0,0,0,0,0,0,10,13
UCL213004,..,8,10,3,0,0,9,0,0,0,37,..,0,7,3,3,3,7,0,0,0,25,..,0,0,0,0,0,0,0,0,3,6,..,0,0,0,0,0,0,0,0,0,0,..,0,7,3,3,3,5,3,0,3,27,..,0,0,0,0,0,0,0,0,0,0,..,13,20,6,9,4,9,3,0,5,63,19,32,17,0,0,0,3,0,0,0,70,0,9,9,0,4,0,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,4,0,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,19,38,26,0,3,0,3,3,0,0,96,36,23,15,7,7,0,4,0,4,0,92,10,14,28,7,8,5,13,5,0,0,90,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,14
UCL213005,..,10,17,6,10,3,3,0,0,0,56,..,5,10,8,0,5,6,0,0,0,32,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,5,10,8,0,5,6,3,0,0,30,..,0,0,0,0,0,0,0,0,0,0,..,14,28,13,15,5,12,3,0,0,89,12,22,14,3,0,0,0,0,0,0,56,0,12,5,5,0,3,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,5,4,3,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,12,31,19,6,4,7,5,0,0,0,87,31,14,24,8,4,3,0,0,0,0,80,7,8,31,8,5,3,8,4,0,0,82,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,8
UCL213006,..,10,15,8,5,4,0,0,0,4,47,..,0,6,3,0,0,0,3,0,0,15,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,6,3,0,0,0,6,0,0,18,..,0,0,0,0,0,0,0,0,0,0,..,10,19,10,3,3,0,10,0,5,64,12,22,3,5,0,0,0,0,0,0,50,0,3,3,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,12,33,11,0,3,0,3,0,0,0,59,16,10,7,4,3,3,0,0,0,0,41,6,6,19,6,4,4,5,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
UCL213007,..,5,5,0,0,5,7,0,0,5,26,..,11,19,0,4,3,10,3,0,0,57,..,0,0,0,0,0,0,3,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,11,17,0,4,11,4,6,0,3,61,..,0,0,0,0,0,0,0,0,0,0,..,13,23,5,4,15,7,6,0,8,84,8,6,10,3,0,0,3,0,0,0,34,0,25,15,3,3,7,4,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,3,5,7,4,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,8,28,26,11,6,7,9,0,0,0,92,22,8,7,6,0,5,0,7,0,0,61,0,34,39,9,14,32,19,15,0,0,158,0,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,37
UCL213008,..,9,24,5,8,4,0,0,0,7,54,..,3,32,13,5,11,7,3,4,0,73,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,3,32,10,4,16,8,7,4,0,82,..,0,0,0,0,0,0,0,0,0,0,..,11,56,19,12,12,8,6,4,8,136,9,37,21,0,3,0,3,0,0,0,68,19,38,24,4,8,6,12,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,38,24,6,8,6,12,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,28,75,45,8,9,5,9,0,0,0,179,53,25,22,10,4,5,4,0,0,0,120,33,69,95,35,23,18,17,3,0,6,318,0,0,8,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,32,69
UCL213009,..,4,8,0,0,0,3,0,0,0,14,..,0,9,0,0,7,0,3,0,0,25,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,9,0,0,7,0,3,0,0,23,..,0,0,0,0,0,0,0,0,0,0,..,3,12,0,0,7,4,3,0,0,39,11,18,9,0,0,0,3,0,0,0,43,0,18,7,3,3,8,9,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,3,3,5,9,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,10,38,14,3,3,5,10,0,5,0,84,34,6,10,4,0,3,0,0,3,3,65,10,19,25,7,8,3,7,10,0,0,89,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,19
UCL213010,..,0,7,0,0,0,0,0,0,0,11,..,0,0,0,4,3,3,0,0,0,12,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,4,3,3,0,0,3,10,..,0,0,0,0,0,0,0,0,4,4,..,6,8,0,4,3,0,0,0,8,26,4,11,4,0,0,0,0,0,0,0,26,5,9,3,0,0,3,0,7,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,0,3,3,0,7,0,0,34,0,0,0,0,0,0,0,0,0,0,0,7,21,4,0,3,3,0,7,0,3,58,20,12,5,0,0,0,0,0,3,0,50,14,18,26,6,5,11,10,13,8,0,102,0,0,3,7,0,4,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,11,20
UCL213011,..,10,11,6,0,4,3,0,0,0,30,..,3,29,5,4,3,9,0,0,11,58,..,0,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,4,..,3,29,5,4,3,9,0,0,11,68,..,0,0,0,0,0,0,0,0,0,0,..,14,38,8,4,8,10,0,5,13,90,7,15,0,0,0,4,5,0,0,0,30,3,30,29,3,0,8,21,17,0,0,115,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,32,30,3,0,8,22,15,0,0,123,0,0,0,0,0,0,0,0,0,0,0,11,51,30,3,0,13,28,14,0,0,146,13,9,17,7,0,0,0,0,0,0,51,9,29,44,10,19,15,9,7,0,0,137,0,7,13,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,9,38
UCL213012,..,3,7,4,3,0,0,0,0,0,16,..,0,4,4,4,4,3,0,0,0,20,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,4,4,4,8,3,0,3,0,23,..,0,0,0,0,0,0,0,0,0,0,..,3,14,4,5,8,8,0,3,0,45,5,10,3,4,0,0,0,0,0,3,26,0,4,0,3,8,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,9,15,8,5,7,4,0,0,0,3,49,17,3,3,0,3,3,0,0,0,0,30,0,6,19,9,12,9,4,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
UCL213013,..,5,12,0,5,7,0,7,0,0,36,..,5,17,4,0,5,13,3,4,0,48,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,5,17,4,0,5,13,3,4,0,55,..,0,0,0,0,0,0,0,0,0,0,..,16,24,4,8,18,13,17,4,0,91,7,15,11,3,0,3,0,0,0,0,54,6,12,19,0,7,4,0,9,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,19,0,7,4,7,9,0,0,55,0,0,0,0,0,0,0,0,0,0,0,11,27,30,6,7,6,8,9,0,0,104,23,21,19,4,8,8,7,4,0,5,91,7,23,42,10,12,16,21,5,0,0,133,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,23
UCL213014,..,0,6,3,0,3,0,0,0,0,18,..,3,15,0,25,19,18,4,6,0,89,..,0,0,0,0,6,0,0,0,0,14,..,0,0,0,0,0,0,0,0,0,0,..,3,15,0,27,21,21,4,10,0,107,..,0,0,0,0,0,0,0,0,0,0,..,0,27,5,25,26,19,7,10,3,124,7,4,10,0,0,0,0,0,0,0,25,4,13,15,7,10,20,13,5,0,3,77,0,0,5,0,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,13,16,7,12,25,16,6,0,3,95,0,0,0,0,0,0,0,0,0,0,0,9,15,30,7,12,25,16,3,0,0,116,7,6,12,5,0,3,7,0,0,0,42,3,27,60,17,43,34,33,8,6,8,236,0,3,4,3,15,26,14,0,0,3,76,0,0,0,0,0,0,0,0,0,0,0,3,27
UCL213015,..,7,22,3,4,6,3,0,0,0,47,..,15,38,5,7,9,5,5,3,0,91,..,0,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,15,39,5,7,9,4,5,9,0,98,..,0,0,0,0,0,0,0,0,0,3,..,20,61,14,17,15,7,5,9,0,149,17,38,18,4,0,5,0,0,0,5,87,11,39,40,6,11,12,9,7,0,4,142,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,13,39,44,8,11,15,9,7,4,4,153,0,0,0,0,0,0,0,0,0,0,4,28,77,62,9,13,20,11,7,4,7,236,50,27,22,4,4,0,6,0,0,3,112,36,103,141,54,27,24,38,10,8,6,451,0,3,4,4,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,36,104
UCL213016,..,7,20,4,0,0,7,7,0,0,38,..,0,8,5,11,0,5,5,0,0,35,..,0,0,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,0,..,0,8,6,11,3,7,5,3,0,48,..,0,0,0,0,0,0,0,0,0,0,..,8,24,7,10,4,10,13,9,0,82,10,12,7,8,0,3,0,0,0,3,47,3,9,10,9,6,12,11,0,0,0,57,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,9,9,9,6,13,11,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,15,15,23,11,9,14,11,0,0,11,104,24,12,19,12,6,4,4,5,0,0,81,6,20,50,26,23,34,29,10,5,0,204,0,0,3,5,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,27
UCL213017,..,5,19,6,11,4,7,3,4,0,65,..,3,20,6,13,9,9,0,0,9,63,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,3,20,6,13,9,9,0,0,9,63,..,0,0,0,0,0,0,0,0,0,0,..,10,45,11,21,13,10,4,4,5,125,14,27,7,5,5,3,3,0,0,0,61,5,17,12,4,8,3,8,3,0,0,67,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,21,9,4,11,5,8,9,0,0,76,0,0,0,0,0,0,0,0,0,0,0,18,48,18,8,12,8,10,9,0,10,135,53,29,25,8,3,11,5,4,0,6,151,19,31,45,10,19,25,57,16,4,3,230,0,5,4,0,3,12,28,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,19,35
UCL213018,..,5,3,0,0,0,0,0,0,0,15,..,0,7,0,4,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,7,0,4,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,0,..,5,12,0,4,0,0,0,0,0,26,4,5,0,0,0,0,0,0,0,0,11,0,0,7,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,3,0,0,0,16,12,9,4,0,0,0,0,0,0,0,30,3,7,20,8,3,10,3,0,0,0,55,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,7
UCL214001,..,0,3,0,0,0,0,5,0,4,7,..,0,5,0,3,0,0,3,0,0,18,..,0,0,0,0,0,0,0,0,4,4,..,0,0,0,0,0,0,0,0,0,0,..,0,5,0,3,0,0,3,0,4,23,..,0,0,0,0,0,0,0,0,0,0,..,0,6,0,3,5,0,4,0,0,37,4,8,0,0,0,0,0,4,0,0,23,0,3,3,7,0,4,3,4,8,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,4,5,7,8,0,31,0,0,0,0,0,0,0,0,0,0,0,6,7,6,3,0,5,8,3,8,3,54,7,7,8,5,5,0,0,0,0,0,29,7,17,26,3,26,23,15,13,9,3,142,0,0,0,4,3,7,20,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,5,17
UCL214002,..,0,8,0,0,4,0,0,0,0,17,..,0,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,3,11,0,0,4,0,0,0,0,20,0,9,3,0,0,0,0,0,0,0,17,3,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,13,4,0,0,0,4,0,0,0,27,8,6,8,0,0,3,0,0,0,3,25,5,0,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
UCL214003,..,4,0,0,3,5,0,0,0,0,10,..,0,5,0,0,5,0,0,0,0,13,..,0,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,5,0,0,5,8,0,0,0,19,..,0,0,0,0,0,0,0,0,0,0,..,4,4,0,3,3,7,0,0,0,27,0,8,0,3,0,0,0,4,0,0,19,0,3,6,0,6,10,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,10,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,13,6,3,6,10,0,8,0,0,45,8,3,10,0,7,4,6,0,0,0,33,3,9,24,11,6,23,9,4,0,4,94,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,9
