UCL_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
UCL212005,87,3,0,3,88,25,0,114,1626,255,22,5,1915,24,21,48,1962,110,6,2071,2362,399,52,15,2820,27,10,39,2856,104,0,2971,241,50,49,6,350,0,0,5,354,24,5,380,25,0,0,39,58,0,0,0,58,6,3,75,4258,704,126,64,5151,54,30,84,5235,245,15,5493,38,0,0,0,38,4,5,10,45,9,0,54,44,12,0,5,57,8,5,11,76,25,0,94,79,12,0,5,94,14,11,27,122,31,0,149,4334,717,126,67,5248,71,45,113,5361,270,15,5642,1065,321,46,50,1483,102,51,154,1641,893,13,2548,13,8,0,20,40,0,0,0,40,0,38,80,5413,1049,171,137,6768,174,98,265,7031,1169,67,8272
UCL212006,211,4,0,4,214,19,0,234,1709,194,36,9,1949,37,7,40,1993,88,0,2080,2498,233,54,20,2807,30,4,32,2837,50,0,2890,341,59,41,8,446,0,0,0,447,12,5,465,21,4,0,8,37,0,0,0,37,3,9,48,4564,499,131,49,5242,63,18,78,5317,149,16,5486,25,0,4,0,27,8,0,8,38,3,0,42,84,3,0,0,90,5,0,5,98,4,0,101,110,9,4,0,125,14,0,14,134,11,0,145,4681,504,135,49,5362,80,18,96,5455,152,16,5626,1096,126,37,30,1281,18,0,22,1306,148,6,1459,5,7,0,6,22,0,0,0,22,0,20,46,5780,641,168,83,6668,96,18,117,6785,308,42,7127
UCL212007,85,0,0,0,87,4,0,91,1212,192,19,0,1423,6,3,8,1429,86,0,1520,2038,262,40,11,2348,12,5,16,2367,34,0,2396,258,34,51,0,347,0,0,0,351,4,0,352,15,4,3,19,48,0,0,0,48,0,4,48,3530,494,111,35,4164,16,7,23,4194,123,3,4316,20,0,0,0,19,0,0,0,25,0,0,28,69,3,0,0,72,0,0,0,72,0,0,72,84,7,0,0,93,0,0,0,92,0,0,94,3612,500,111,35,4258,22,7,28,4288,123,3,4411,559,86,28,0,677,11,0,10,688,29,0,717,7,0,0,0,7,0,0,0,7,0,6,10,4176,589,144,33,4939,24,7,36,4978,149,7,5134
UCL212008,45,4,0,4,47,12,0,54,942,98,29,4,1069,20,5,27,1098,51,0,1150,1631,194,32,11,1858,26,5,30,1891,57,5,1948,251,26,27,0,307,3,0,3,306,8,0,322,13,0,4,6,27,0,0,0,27,0,5,32,2840,316,85,26,3266,49,10,57,3327,113,12,3447,13,8,0,8,25,7,0,7,30,0,0,30,33,6,0,0,37,0,0,0,41,3,0,45,47,10,0,8,65,7,0,6,71,3,0,73,2884,329,87,26,3331,53,13,66,3397,113,12,3519,507,84,16,13,626,3,15,20,646,82,3,730,5,0,0,7,13,0,0,0,13,0,15,23,3401,418,108,45,3968,59,27,85,4057,197,31,4277
UCL212009,56,0,0,0,57,3,0,61,922,145,8,5,1079,10,9,16,1098,65,0,1165,2126,258,38,5,2430,9,10,18,2442,69,0,2516,261,27,22,4,320,0,0,0,320,0,0,320,3,0,0,18,24,0,0,0,24,0,6,37,3317,431,77,32,3860,17,18,36,3893,138,6,4032,3,0,0,0,3,0,0,0,10,0,0,10,39,3,0,0,38,0,0,0,38,0,0,38,40,3,0,0,48,0,0,0,46,0,0,46,3358,441,77,32,3904,21,18,39,3941,138,6,4081,527,93,20,7,640,7,0,7,646,77,0,728,10,0,0,4,14,0,0,0,14,0,14,25,3890,536,102,37,4558,27,18,45,4595,216,24,4837
UCL213001,11,0,0,0,11,5,0,14,308,47,0,6,360,5,0,3,363,36,0,402,591,105,15,18,720,4,0,4,727,47,0,775,51,8,21,0,75,0,0,0,75,4,0,75,4,0,0,13,22,0,0,0,22,0,0,22,950,163,32,32,1179,5,0,10,1186,89,0,1275,3,0,0,0,3,0,0,0,3,0,0,3,7,5,0,0,13,0,0,0,13,3,0,16,9,5,0,0,16,0,0,0,16,3,0,17,957,167,32,32,1189,5,0,10,1200,91,0,1290,266,64,14,5,344,14,0,16,361,52,0,416,0,0,0,0,0,0,0,0,0,3,5,12,1226,227,44,36,1539,22,0,24,1563,147,6,1711
UCL213002,13,0,0,0,13,0,0,9,186,55,4,0,241,3,7,9,251,25,0,278,426,163,18,8,615,9,0,8,622,38,0,656,35,19,8,0,64,0,0,0,64,0,0,62,0,0,0,3,5,0,0,0,5,0,0,5,646,241,22,11,924,9,10,16,940,63,0,1003,5,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,11,0,0,0,11,0,0,11,14,5,0,0,17,0,0,0,17,0,0,17,656,242,24,11,939,9,10,16,954,63,0,1017,125,30,9,4,173,0,0,4,176,22,0,197,6,0,0,0,5,0,0,0,5,0,4,12,787,272,33,22,1116,10,11,23,1139,82,5,1231
UCL213003,20,0,0,0,20,4,0,23,364,54,9,0,429,6,0,6,428,19,0,447,745,71,13,9,848,0,0,0,850,13,0,865,84,4,4,5,100,0,0,0,100,0,0,103,14,0,0,4,15,0,0,0,15,5,0,21,1212,136,26,13,1395,3,0,3,1396,39,0,1437,3,0,0,0,3,0,0,0,3,0,0,3,9,0,0,0,9,0,0,0,9,0,3,13,13,0,0,0,13,0,0,0,13,0,3,13,1225,136,26,13,1403,3,0,3,1410,39,0,1451,218,33,9,9,264,7,0,7,268,44,0,314,0,0,0,0,0,0,0,0,0,0,0,4,1442,164,36,26,1673,9,0,9,1685,84,3,1768
UCL213004,36,0,0,0,36,0,0,37,447,65,8,4,524,5,0,5,531,39,0,571,894,136,24,8,1066,6,6,16,1076,46,5,1122,136,13,5,0,156,3,0,3,163,6,5,171,7,0,0,15,25,0,0,0,25,0,0,28,1491,214,39,26,1772,18,8,26,1797,87,10,1891,10,3,0,0,11,0,0,0,11,0,0,12,28,0,3,0,28,0,0,0,28,0,0,28,30,3,3,0,37,0,0,0,33,0,0,37,1524,214,45,26,1808,16,8,24,1829,90,10,1928,463,65,32,8,569,13,0,18,584,41,5,631,0,0,0,3,3,0,0,0,3,4,8,19,1985,279,76,39,2376,30,10,40,2419,133,24,2578
UCL213005,37,0,0,0,37,4,0,45,508,60,19,0,583,15,0,16,601,29,0,636,935,115,32,10,1096,13,8,15,1111,21,0,1135,121,23,14,0,161,0,0,0,160,10,0,175,8,3,0,11,22,0,0,0,22,3,4,29,1580,205,61,17,1861,22,11,33,1894,67,4,1964,9,0,0,0,9,0,0,0,9,0,0,9,21,5,0,0,20,4,0,4,24,0,0,25,23,5,0,0,25,4,0,4,31,0,0,33,1602,210,61,17,1890,32,11,37,1930,69,4,1996,366,52,17,28,460,5,0,5,467,80,0,551,3,0,0,0,3,0,0,0,3,4,4,12,1968,265,75,46,2356,34,11,43,2398,149,10,2558
UCL213006,48,0,0,0,44,4,0,51,766,51,27,0,840,7,3,9,847,16,3,866,1109,104,22,7,1244,6,0,10,1253,24,0,1277,106,7,6,3,114,0,0,0,114,4,0,125,20,0,0,3,22,0,0,0,20,0,0,20,1996,163,47,12,2229,14,7,23,2247,43,3,2296,4,0,0,0,4,0,0,0,4,0,0,4,28,6,0,0,33,4,0,6,38,0,0,38,35,6,0,0,36,4,0,6,41,0,0,41,2034,169,47,12,2265,18,3,23,2290,43,3,2335,308,34,13,13,363,8,4,7,377,17,0,390,3,0,0,0,3,0,0,0,3,0,0,3,2347,200,57,30,2638,28,8,33,2669,63,0,2738
UCL213007,18,0,0,0,18,0,0,18,528,56,8,0,598,0,0,0,600,14,0,615,1021,113,19,15,1168,9,3,9,1187,37,3,1222,110,16,6,0,136,0,0,0,136,0,0,138,10,0,0,11,21,0,0,0,21,0,0,21,1675,185,31,30,1923,15,3,16,1934,47,4,1984,3,4,0,0,7,0,0,0,7,0,0,11,22,7,0,0,29,0,4,5,33,0,0,33,28,12,0,0,37,0,4,5,39,0,0,48,1702,190,31,30,1959,10,5,24,1975,52,4,2031,310,54,29,4,392,0,0,4,395,63,0,464,3,3,0,6,14,0,0,0,14,0,3,15,2011,251,58,37,2359,20,8,30,2388,113,3,2509
UCL213008,64,7,0,6,70,5,0,72,737,68,15,0,826,10,3,13,835,41,0,879,1212,96,49,11,1364,7,0,7,1373,26,0,1403,146,13,12,0,178,8,0,8,181,0,0,181,7,0,0,12,15,0,0,0,15,0,0,17,2099,178,84,22,2378,22,3,26,2405,68,4,2472,16,3,3,0,29,3,0,3,30,3,0,36,33,0,0,0,36,0,0,4,39,0,0,39,44,3,3,0,60,4,0,7,67,3,0,73,2150,183,87,22,2440,26,6,30,2468,70,4,2549,481,36,14,15,549,9,3,18,561,42,0,599,6,0,0,3,8,0,0,0,8,0,11,15,2639,220,104,35,2994,38,8,45,3039,114,12,3163
UCL213009,47,0,0,0,47,6,0,52,387,91,8,0,487,6,6,11,499,15,3,521,921,146,18,3,1086,10,3,13,1098,34,0,1133,110,18,10,0,142,0,0,0,140,0,0,140,7,0,0,3,9,0,0,0,9,0,0,8,1427,245,37,9,1719,22,11,23,1745,50,5,1801,10,0,0,0,10,5,0,5,14,0,0,14,21,3,0,0,26,0,0,0,26,0,0,26,29,3,0,0,37,5,0,5,40,0,0,40,1457,253,37,9,1752,21,11,29,1781,50,5,1843,260,45,14,3,327,4,0,4,331,20,0,347,0,0,0,0,0,0,0,0,0,0,0,0,1719,300,47,11,2072,23,11,35,2110,70,5,2185
UCL213010,18,0,0,0,18,0,0,19,267,27,3,4,298,9,0,11,310,22,0,333,528,86,17,10,641,21,0,15,660,49,0,709,70,6,13,3,90,5,0,5,89,4,0,97,5,3,0,14,23,3,0,3,24,3,3,27,872,114,29,30,1052,30,0,35,1085,83,8,1171,6,5,0,0,14,0,0,0,14,3,0,12,10,6,0,0,16,0,0,6,20,0,0,22,24,4,0,0,25,0,0,6,29,0,0,36,890,123,30,30,1074,33,0,39,1119,81,8,1211,226,48,15,6,297,22,0,24,320,112,3,442,4,0,0,4,5,0,0,0,5,3,8,16,1129,167,46,40,1379,58,3,66,1442,201,20,1661
UCL213011,14,0,0,0,14,3,0,14,199,59,4,0,264,9,5,13,273,21,0,297,404,62,14,5,485,24,0,25,510,43,0,549,41,7,0,0,49,0,0,5,54,13,0,61,0,0,0,4,4,0,0,0,4,6,8,11,647,129,21,14,805,28,13,38,844,74,8,924,8,3,0,0,15,0,0,0,15,4,0,20,22,4,0,6,34,10,0,10,45,0,0,45,33,11,0,6,50,11,0,11,59,4,0,65,679,130,21,20,853,44,13,51,904,77,6,989,198,57,15,22,278,33,5,36,321,168,4,490,0,0,0,4,7,0,0,0,7,0,10,14,876,187,29,40,1138,71,13,87,1225,244,16,1497
