UCL_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL212006,96,125,220,24,25,52,25,83,111,46,183,225,128,540,671,168,343,505,417,240,650,493,280,777,576,327,910,699,280,980,625,241,862,650,159,810,1583,279,1859,1308,35,1342,989,46,1034,641,9,648,1367,45,1416,572,39,608,80,102,182,10484,3376,13864
UCL212007,52,45,103,31,19,53,17,54,66,12,75,88,78,220,303,77,182,254,212,125,336,216,126,343,308,148,454,347,119,465,259,111,367,286,98,389,686,179,866,671,30,705,642,66,711,444,20,466,1325,112,1438,361,60,415,59,37,95,6091,1827,7922
UCL212008,76,123,202,28,36,57,38,111,156,40,250,293,127,622,750,157,421,580,456,245,705,475,294,773,451,313,762,547,256,806,416,210,632,457,166,623,951,219,1171,739,35,775,572,71,645,304,19,323,818,86,904,466,40,507,78,164,243,7207,3688,10889
UCL212009,75,136,215,24,56,78,32,158,185,42,285,328,163,760,922,178,592,769,582,359,939,576,435,1010,657,401,1056,778,311,1095,536,197,727,551,162,715,1210,228,1438,876,52,924,613,51,666,368,15,381,764,87,846,460,53,509,116,209,327,8608,4529,13131
UCL213001,39,57,93,14,16,34,23,74,92,30,152,180,68,441,506,95,291,386,362,181,543,298,185,489,322,169,487,367,114,483,242,80,321,247,58,306,422,66,493,283,15,293,172,17,196,89,5,92,172,27,202,200,24,229,68,109,183,3523,2082,5602
UCL213002,24,37,62,14,32,43,13,53,71,9,139,149,58,388,445,67,210,275,206,144,353,200,177,370,218,133,348,262,79,342,189,77,266,162,53,211,319,82,402,237,6,247,169,12,182,104,4,110,200,25,223,180,17,193,39,72,109,2672,1740,4414
UCL213003,28,62,95,11,34,42,13,75,91,25,135,154,61,399,460,80,208,296,243,139,387,208,205,414,237,183,418,295,111,405,218,66,284,220,62,278,456,81,540,270,16,284,170,20,193,104,4,106,186,30,215,175,24,199,49,79,133,3058,1925,4985
UCL213004,52,56,102,15,11,31,16,50,67,15,90,103,79,315,388,102,219,314,303,124,427,288,144,435,287,130,411,347,92,438,274,74,348,297,57,355,587,71,652,388,7,395,256,17,270,146,0,143,268,13,278,235,12,248,74,65,138,4012,1539,5553
UCL213005,59,47,109,24,9,40,24,27,53,27,101,124,74,337,414,118,238,357,398,168,566,340,173,507,358,176,539,411,100,507,294,97,393,264,64,326,623,92,714,471,15,482,352,10,358,192,4,196,346,25,370,257,16,270,69,54,116,4699,1741,6438
UCL213006,24,35,57,14,0,17,6,22,28,6,42,52,35,111,148,33,83,119,91,52,137,98,48,149,141,68,211,146,45,192,140,48,182,171,35,204,354,74,431,312,5,319,313,16,332,223,0,224,665,15,681,177,3,181,26,19,43,2976,724,3698
UCL213007,30,53,82,16,25,44,21,89,106,24,188,208,95,453,548,125,272,399,285,197,479,284,234,516,338,242,584,400,149,549,257,137,395,293,73,361,602,125,725,421,19,439,293,29,321,153,3,156,322,43,366,236,29,265,63,115,176,4254,2464,6719
UCL213008,29,38,63,6,7,14,10,32,43,16,64,83,54,193,245,60,192,251,213,76,293,190,104,300,255,137,390,285,93,383,260,94,355,265,86,349,673,128,796,540,17,554,416,28,444,247,8,259,527,24,548,247,4,257,39,40,84,4340,1356,5695
UCL213009,39,38,72,12,14,25,16,39,51,11,77,92,64,197,260,55,139,195,211,95,303,206,108,315,242,114,356,280,76,359,230,61,296,233,61,292,518,66,582,377,8,391,290,11,295,174,7,178,285,15,302,190,4,196,33,33,69,3474,1160,4635
UCL213010,38,89,132,25,41,63,24,128,154,32,313,350,134,672,806,145,367,513,414,194,608,358,237,594,330,226,558,378,137,516,230,89,318,221,58,278,444,89,537,277,6,280,201,18,219,88,4,94,205,34,235,240,29,269,83,167,246,3860,2893,6756
UCL213011,50,83,135,9,26,39,24,114,137,40,245,283,121,567,685,133,285,419,393,165,557,328,203,531,328,174,500,330,105,438,195,73,271,214,59,268,311,55,359,212,4,218,146,8,154,73,3,74,134,24,157,212,15,229,104,147,246,3357,2350,5712
UCL213012,31,49,79,24,11,35,15,73,85,25,142,165,67,309,377,87,183,271,265,109,369,237,148,388,223,122,338,236,99,338,174,65,234,164,45,209,336,83,419,230,7,237,165,11,179,80,0,84,144,17,163,199,19,211,55,72,121,2752,1556,4303
UCL213013,41,67,109,12,27,39,19,60,80,19,149,168,87,388,472,83,261,345,266,168,435,242,196,442,295,163,460,326,125,447,226,114,338,242,82,325,460,99,562,293,7,304,264,27,290,150,4,155,328,47,371,240,24,259,56,82,136,3640,2090,5733
UCL213014,28,34,63,15,11,18,6,47,54,23,117,137,53,263,322,63,168,233,202,124,322,191,150,340,196,127,325,256,83,333,191,67,262,193,53,247,420,63,481,290,20,311,173,18,194,103,3,107,199,23,229,135,17,154,36,71,108,2785,1461,4246
UCL213015,34,39,78,5,8,16,13,13,26,15,32,52,57,96,152,74,64,133,163,52,219,174,100,279,240,129,365,283,79,357,254,69,325,298,40,341,662,71,733,465,4,476,329,11,338,187,0,193,360,15,375,257,9,263,52,23,70,3929,857,4780
UCL213016,55,80,129,12,35,52,17,104,119,27,229,251,98,623,727,124,392,519,428,225,650,360,318,682,419,254,670,452,154,605,312,146,458,358,76,429,722,113,835,464,15,473,331,28,357,166,11,180,353,41,399,299,24,327,83,148,231,5087,3001,8087
UCL213017,53,68,114,28,32,60,23,75,97,25,131,156,91,349,443,91,283,374,346,186,533,316,189,505,382,165,549,387,128,516,291,108,395,330,98,433,729,131,860,500,21,519,431,23,461,198,6,205,560,47,605,294,13,310,49,86,133,5130,2130,7264
UCL213018,44,35,77,12,11,23,17,27,45,14,75,85,70,253,324,57,141,195,254,107,360,220,92,312,188,89,277,226,53,274,135,33,173,110,20,136,260,60,314,183,11,189,122,8,136,66,0,66,147,23,167,155,4,165,50,62,111,2338,1098,3437
UCL214001,17,23,42,8,9,19,3,45,47,13,75,89,42,259,299,50,112,167,162,106,268,146,101,251,155,91,251,179,69,247,120,46,171,145,43,189,229,47,276,151,3,158,90,9,105,60,9,66,79,14,99,126,8,136,32,60,87,1808,1140,2950
UCL214002,14,6,20,4,3,11,4,9,10,7,14,20,24,45,72,34,42,76,78,15,88,78,20,99,104,24,128,103,25,124,101,24,121,86,19,107,236,24,256,234,0,234,167,0,164,95,0,95,183,6,190,104,0,108,18,11,30,1670,284,1961
UCL214003,20,39,59,17,17,31,9,60,75,12,114,128,62,373,436,60,237,288,263,154,415,216,126,344,224,142,365,244,96,337,156,70,227,141,41,183,293,56,347,210,8,217,145,16,159,79,0,79,142,30,168,170,14,182,54,106,159,2503,1709,4212
UCL214004,16,40,60,9,0,9,13,27,42,11,73,84,33,204,238,39,112,155,170,62,226,109,65,178,94,52,147,103,50,155,75,41,112,87,32,116,164,39,202,114,0,116,65,9,76,41,0,44,54,14,72,106,9,114,43,59,102,1342,896,2235
UCL214005,0,4,4,0,3,3,0,7,8,4,12,12,9,19,29,0,13,20,33,10,44,18,9,26,28,11,42,25,6,27,27,0,25,23,7,27,30,5,30,26,0,26,12,0,16,15,0,15,14,0,14,18,0,18,0,5,7,291,116,405
UCL214006,31,32,61,15,23,39,17,28,46,18,85,102,44,225,270,52,166,214,192,105,299,166,93,255,185,65,249,181,61,241,109,34,148,145,22,163,156,24,182,110,0,112,76,3,84,46,4,49,108,24,133,101,7,107,28,47,81,1782,1054,2836
UCL214007,15,24,34,5,0,5,4,8,12,9,20,29,12,41,54,16,22,35,52,28,85,45,40,81,66,55,117,112,54,163,83,48,132,99,37,135,266,44,308,206,8,215,162,0,162,94,3,96,119,5,121,41,7,48,18,11,31,1413,445,1862
UCL214008,18,45,63,19,27,49,12,43,53,21,101,119,43,310,351,58,231,291,223,128,349,168,162,330,207,142,348,275,88,364,180,71,249,195,50,242,325,64,393,220,10,229,128,15,142,71,0,69,128,20,155,146,13,155,41,100,138,2471,1604,4072
UCL214009,19,29,46,8,11,20,10,33,40,19,74,90,44,228,273,55,121,181,165,67,237,146,80,227,158,92,249,215,56,273,142,47,185,155,31,188,346,46,398,237,0,238,191,17,201,91,0,90,188,13,207,123,10,135,28,46,71,2344,998,3348
UCL214010,19,29,50,4,12,16,11,24,34,11,55,69,49,143,197,44,128,170,144,73,217,112,71,185,170,65,240,160,36,198,63,31,94,91,25,112,198,47,243,135,0,134,114,8,123,64,3,68,173,15,193,88,5,95,21,32,57,1678,809,2493
UCL214011,26,28,51,3,11,18,8,28,31,9,57,62,38,176,217,49,120,170,160,62,220,148,79,227,165,94,255,171,62,229,147,53,197,170,40,203,307,49,354,240,3,244,187,8,197,112,0,112,205,14,215,141,9,149,40,42,84,2312,919,3231
UCL214012,21,13,35,9,11,19,6,28,36,16,78,97,49,196,244,40,151,193,174,61,236,124,85,207,138,80,220,145,39,184,107,35,138,94,18,120,210,21,231,136,4,138,74,3,76,44,0,44,71,8,85,105,0,106,32,65,97,1599,918,2519
UCL214013,14,22,34,3,12,19,8,25,26,4,53,54,17,148,163,19,72,98,88,56,148,73,71,145,103,50,152,96,32,128,86,41,130,92,21,111,152,42,191,130,3,142,121,11,131,66,6,74,160,14,172,78,4,80,19,34,54,1338,712,2052
UCL214014,25,41,66,9,19,31,11,52,60,9,103,121,48,249,304,57,163,219,253,84,336,145,94,241,175,70,242,171,32,206,88,22,106,96,21,115,161,28,187,94,5,98,56,6,64,37,0,37,49,3,50,120,10,125,35,82,112,1631,1087,2719
UCL214015,17,27,45,14,8,24,8,37,40,3,51,59,35,182,213,41,130,172,134,60,194,133,67,196,120,67,188,113,46,158,97,38,135,100,23,118,214,33,245,120,4,120,99,3,98,55,0,55,72,0,75,96,0,94,26,54,80,1494,826,2317
UCL214016,17,46,69,7,13,28,5,61,63,28,140,167,74,394,467,79,199,275,314,114,433,203,132,326,192,112,307,216,68,275,123,36,166,133,15,149,171,34,205,107,3,108,60,12,67,29,0,29,65,10,72,102,11,114,65,107,171,2000,1497,3496
UCL214017,22,24,40,8,9,15,0,17,21,0,30,35,28,104,127,35,101,128,67,60,122,104,51,151,124,71,194,131,46,177,83,50,130,100,26,130,163,46,213,122,5,122,112,15,127,75,0,71,227,31,254,97,3,102,16,33,46,1512,700,2214
UCL214018,61,66,131,34,21,60,8,44,56,26,90,112,70,288,355,71,184,252,279,120,397,205,101,305,267,109,378,237,56,289,140,60,197,162,55,216,269,67,337,192,3,198,125,21,144,76,0,78,179,17,201,164,11,174,50,42,90,2624,1347,3973
UCL214019,15,29,42,14,12,25,9,31,41,15,83,97,34,185,218,50,107,157,137,79,216,124,93,220,127,84,215,156,52,208,96,37,132,83,23,105,189,46,236,119,7,122,76,3,81,34,0,33,83,9,86,118,13,129,28,65,96,1502,967,2465
UCL214020,10,35,47,6,11,21,7,35,44,11,71,86,35,205,236,50,124,171,144,77,219,131,109,232,111,64,171,146,57,203,107,43,150,94,14,110,189,37,230,102,8,114,69,5,74,46,0,46,54,17,72,82,6,84,21,49,73,1421,968,2384
UCL214021,22,18,37,3,9,12,9,18,21,8,41,47,32,103,139,31,61,92,77,29,104,77,50,124,107,44,150,99,37,140,86,20,108,87,20,109,208,22,226,158,4,156,131,4,139,54,0,54,126,0,127,89,9,96,25,23,44,1424,509,1936
UCL214022,28,36,64,18,19,39,13,51,69,21,130,157,79,380,465,71,241,311,284,120,400,218,121,339,225,83,314,204,50,252,145,50,193,158,32,189,212,24,239,149,3,154,72,5,84,46,6,50,70,11,84,139,11,145,49,85,136,2199,1478,3675
UCL215001,7,10,11,0,8,7,0,9,3,0,7,7,6,28,33,8,13,16,15,19,35,12,8,20,31,19,49,36,9,47,20,10,30,31,13,41,44,12,56,30,0,30,21,4,24,19,0,19,79,15,90,40,0,40,4,5,3,399,176,571
UCL215002,10,17,26,3,9,11,3,7,8,0,37,38,15,107,129,15,69,77,76,41,118,44,35,78,61,41,102,64,16,86,35,16,52,35,9,47,91,14,106,48,0,48,38,3,45,17,0,17,16,6,24,47,7,57,16,19,34,651,452,1106
UCL215003,4,12,15,4,10,11,6,20,26,3,22,22,15,53,71,9,37,46,36,38,73,48,36,83,62,26,86,62,29,91,48,23,70,57,27,80,91,32,130,79,0,77,59,9,70,46,4,53,151,14,163,52,3,57,8,13,22,850,392,1244
UCL215004,8,6,6,0,3,8,5,14,14,0,20,20,4,48,54,12,30,41,23,27,42,29,27,58,37,26,64,34,19,50,27,4,34,22,6,26,44,12,55,17,0,17,26,7,30,9,0,9,22,3,26,20,4,23,5,14,16,340,268,609
UCL215005,0,5,7,0,0,0,0,12,11,5,19,24,15,57,67,7,21,26,42,11,54,23,23,48,26,10,36,33,5,35,16,0,22,17,0,15,30,6,35,19,0,19,9,0,12,4,0,4,7,6,14,19,0,19,11,9,20,284,184,467
UCL215006,6,14,19,3,3,13,5,8,11,0,19,20,11,74,91,14,36,50,55,23,80,41,21,61,59,31,87,52,23,75,42,21,63,58,13,63,94,22,114,75,3,78,67,4,69,28,0,28,60,7,62,40,0,40,11,14,27,715,338,1055
UCL215007,5,3,9,3,3,11,3,9,11,5,5,11,10,36,48,11,40,49,38,15,55,41,27,72,41,19,64,47,18,65,40,9,46,31,6,39,87,7,94,54,0,54,71,3,71,36,0,36,126,12,138,53,0,53,5,5,11,705,228,937
UCL215008,3,0,3,0,0,0,0,0,0,0,4,0,9,10,18,0,3,9,23,4,24,15,6,27,34,7,38,48,9,56,26,8,36,44,6,51,95,10,106,77,0,77,59,0,56,42,0,42,61,0,61,34,0,34,6,3,11,561,82,645
UCL215009,10,4,12,0,0,0,0,9,10,6,11,14,4,37,45,10,13,23,40,10,50,38,9,43,17,8,25,22,3,29,10,0,10,19,3,20,34,4,39,17,0,17,14,0,14,4,0,4,4,0,7,10,0,10,11,14,25,265,125,389
UCL215010,0,7,9,0,0,0,0,0,4,0,0,0,7,8,10,4,4,13,11,3,15,16,4,18,24,6,31,39,10,46,10,0,14,23,0,29,54,13,68,72,0,72,67,0,64,45,0,45,150,6,157,41,3,40,5,7,16,585,72,657
UCL215011,4,4,13,0,3,4,4,16,21,0,23,27,7,71,76,14,22,36,27,13,44,27,20,52,29,9,29,23,4,31,15,5,26,18,7,25,38,0,42,22,0,22,10,0,10,13,0,13,12,7,10,20,3,21,12,15,27,299,227,521
UCL215012,10,19,24,3,8,9,0,17,21,3,38,39,18,97,109,26,64,94,66,45,113,40,40,89,80,56,129,85,25,113,62,20,80,43,16,59,112,28,140,85,0,87,62,5,66,54,0,54,69,13,80,58,3,64,15,13,25,889,505,1392
UCL215013,7,6,14,3,0,5,7,0,5,0,4,5,8,10,13,13,3,22,27,6,31,31,20,55,52,16,69,63,19,79,56,16,73,85,10,96,196,20,216,161,0,161,120,4,127,79,0,79,130,4,136,58,0,65,12,3,20,1110,145,1252
UCL215014,3,8,8,0,0,0,0,4,4,0,5,5,6,15,16,11,6,16,20,8,25,15,9,18,21,10,29,23,6,30,28,7,33,17,0,25,61,3,71,46,0,42,32,0,29,27,0,27,23,0,23,17,0,17,6,6,6,343,89,433
UCL215015,5,5,9,0,0,3,7,3,12,4,24,23,12,67,80,12,47,59,45,14,61,59,39,98,53,34,92,69,23,89,38,12,56,40,3,44,78,22,101,60,3,66,50,4,52,27,0,29,55,8,65,44,10,47,13,9,21,661,344,1007
UCL215016,4,19,21,4,3,6,7,16,24,3,37,43,16,86,106,25,43,71,72,37,112,73,42,109,85,46,127,81,39,114,75,38,114,73,18,97,174,38,209,99,0,96,85,5,86,32,0,32,86,4,83,75,7,78,21,31,49,1084,505,1589
UCL215017,8,3,11,5,0,3,4,6,12,7,8,15,12,31,40,11,22,36,45,5,51,34,21,59,27,9,44,43,15,52,32,7,44,37,3,46,100,5,104,82,0,83,69,0,72,38,0,38,84,5,92,46,0,50,19,22,33,697,186,883
UCL215018,3,9,13,6,9,15,0,17,18,8,42,43,19,113,134,14,64,80,74,39,110,73,46,116,70,48,121,71,30,100,50,12,60,45,15,60,82,15,95,69,6,75,48,6,54,25,0,26,35,4,35,45,0,48,19,29,45,746,505,1252
UCL215019,5,8,19,7,3,8,3,7,11,4,17,22,13,41,51,8,27,36,36,15,52,30,24,58,45,20,62,51,21,65,37,15,53,32,4,41,82,9,92,50,0,55,56,10,57,27,0,27,43,3,53,41,0,41,10,5,16,579,239,818
UCL215020,0,5,11,0,6,12,3,15,20,8,25,25,8,83,95,8,31,48,55,12,69,39,22,55,30,17,44,30,17,43,23,8,36,20,10,31,28,6,32,18,0,20,12,0,14,6,0,6,14,3,15,13,0,18,4,16,28,322,289,612
UCL215021,0,6,8,0,0,3,0,9,11,0,16,17,0,44,44,10,28,29,31,7,31,17,19,36,32,14,43,30,14,44,20,12,28,21,13,34,48,6,57,32,0,32,18,0,18,12,0,12,12,0,12,23,5,25,6,12,20,317,199,513
UCL215022,17,28,40,3,6,14,6,17,25,13,43,58,47,140,186,50,62,110,119,48,164,139,63,198,119,48,168,128,31,165,76,24,95,73,18,88,156,23,178,69,0,70,45,3,50,27,0,27,65,7,76,67,9,75,19,24,41,1237,594,1828
UCL215023,5,12,11,0,4,4,0,9,9,0,13,14,14,51,72,13,31,43,48,20,63,26,15,42,32,20,52,30,14,44,31,6,42,23,8,22,44,4,50,35,0,39,22,0,22,16,0,16,16,0,18,31,0,31,8,14,24,402,220,623
UCL215024,5,11,13,8,0,8,0,4,9,5,22,31,13,96,107,6,41,47,56,24,84,49,33,81,57,18,81,50,19,74,34,12,48,31,7,38,54,0,57,36,0,35,20,3,25,10,0,10,11,4,19,18,0,20,10,22,34,481,342,823
UCL215025,4,0,8,0,0,3,5,0,0,0,5,4,11,25,39,8,22,27,33,12,48,29,14,42,25,19,42,34,8,46,14,4,20,14,8,24,32,6,36,12,0,12,21,0,21,15,0,15,17,0,19,20,0,20,3,3,13,304,134,440
UCL215026,4,6,19,0,0,3,4,3,9,0,21,27,5,51,55,10,16,31,32,21,57,30,19,45,31,15,45,26,7,35,20,8,27,17,0,19,36,5,41,22,0,22,12,0,12,7,0,7,10,0,10,12,0,12,10,7,18,292,193,484
UCL215027,0,9,10,0,0,0,0,18,18,0,15,12,7,60,66,5,30,30,38,18,53,28,23,50,35,16,52,21,12,33,12,12,18,14,0,17,45,3,47,13,0,13,10,0,12,9,0,9,10,0,15,19,5,24,5,4,7,273,216,490
UCL215028,10,11,23,10,3,13,4,11,17,4,48,53,23,117,141,19,53,65,69,37,99,53,42,97,57,33,94,78,22,97,42,15,63,47,10,53,98,13,109,70,0,70,22,0,26,17,0,17,32,7,41,41,0,45,11,19,35,711,442,1152
UCL215029,7,24,39,3,9,13,6,18,29,4,37,45,14,162,175,24,102,115,76,59,137,65,69,133,80,48,132,83,31,117,72,43,117,69,17,89,103,37,136,84,0,90,57,6,61,32,0,32,108,24,127,68,6,73,17,26,35,967,720,1693
UCL215030,7,9,13,6,0,10,4,4,9,5,20,26,10,64,80,12,32,42,30,14,43,34,25,61,38,18,56,40,11,53,24,16,39,24,0,27,36,3,39,18,0,18,20,0,19,6,0,6,12,0,10,19,0,19,9,12,31,354,249,604
UCL215031,0,8,9,0,0,0,5,7,13,0,24,24,11,66,72,9,26,39,49,18,64,18,22,42,26,21,49,39,11,48,24,9,32,24,4,27,44,3,54,23,0,22,14,0,14,6,0,6,17,0,16,25,0,22,0,13,23,341,233,571
UCL215032,7,18,22,4,10,15,3,18,26,3,45,46,29,137,170,21,64,87,90,42,131,68,39,106,80,44,119,81,27,110,47,22,66,64,7,71,90,18,112,59,3,63,36,4,34,23,0,23,31,8,35,63,0,68,22,35,53,812,535,1353
UCL215033,6,0,9,0,0,0,0,0,0,0,8,8,8,10,14,4,5,11,20,0,19,17,8,27,19,12,28,39,9,52,30,8,40,39,8,48,116,12,126,116,0,120,84,10,89,76,0,76,154,7,159,41,0,41,4,0,9,787,101,888
UCL215034,5,12,16,5,0,7,0,13,14,0,27,30,8,87,85,9,52,60,39,22,61,40,16,52,28,24,50,37,8,42,28,13,38,14,7,24,25,7,31,12,0,13,11,0,17,7,0,7,17,0,20,17,0,17,8,5,16,297,300,597
UCL215035,5,3,6,5,0,3,3,0,4,3,12,12,3,27,32,6,8,18,29,5,38,23,10,36,33,13,50,35,10,44,30,5,32,27,3,31,59,10,72,62,0,62,30,0,33,20,0,20,28,0,28,26,0,28,12,5,17,433,125,557
UCL215036,5,3,3,0,0,0,0,0,0,0,7,11,5,13,23,4,11,18,17,7,21,14,8,22,16,4,20,18,4,24,15,4,22,22,4,30,41,3,51,44,0,44,30,0,30,19,0,19,35,3,37,25,3,25,5,5,7,317,84,397
UCL215037,5,7,14,3,0,8,0,15,14,0,22,26,7,53,57,9,38,46,39,20,59,35,26,60,26,26,57,33,17,46,25,18,38,25,10,35,41,5,48,22,0,22,18,0,17,4,0,8,20,0,24,22,0,22,16,13,27,358,268,628
UCL215038,3,9,17,4,5,10,3,22,28,3,28,34,9,114,125,13,42,52,72,27,95,49,26,68,52,23,70,57,17,73,20,5,25,32,10,41,43,9,48,21,0,21,13,6,12,10,0,10,22,7,23,35,5,38,12,25,36,457,384,836
