UCL_CODE_2021,A55_64_UOLSE_VWW_17,A55_64_UOLSE_VWW_18,A55_64_UOLSE_VWW_19,A55_64_UOLSE_VWW_20,A55_64_UOLSE_VWW_21,A55_64_UOLSE_VWW_YNS,A55_64_UOLSE_VWW_T,A55_64_UOLSE_NWNAA_B_05,A55_64_UOLSE_NWNAA_05_10,A55_64_UOLSE_NWNAA_11_15,A55_64_UOLSE_NWNAA_16,A55_64_UOLSE_NWNAA_17,A55_64_UOLSE_NWNAA_18,A55_64_UOLSE_NWNAA_19,A55_64_UOLSE_NWNAA_20,A55_64_UOLSE_NWNAA_21,A55_64_UOLSE_NWNAA_YNS,A55_64_UOLSE_NWNAA_T,A55_64_UOLSE_PinE_NS_B_05,A55_64_UOLSE_PinE_NS_05_10,A55_64_UOLSE_PinE_NS_11_15,A55_64_UOLSE_PinE_NS_16,A55_64_UOLSE_PinE_NS_17,A55_64_UOLSE_PinE_NS_18,A55_64_UOLSE_PinE_NS_19,A55_64_UOLSE_PinE_NS_20,A55_64_UOLSE_PinE_NS_21,A55_64_UOLSE_PinE_NS_YNS,A55_64_UOLSE_PinE_NS_T,A55_64_UOLSE_T_B_05,A55_64_UOLSE_T_05_10,A55_64_UOLSE_T_11_15,A55_64_UOLSE_T_16,A55_64_UOLSE_T_17,A55_64_UOLSE_T_18,A55_64_UOLSE_T_19,A55_64_UOLSE_T_20,A55_64_UOLSE_T_21,A55_64_UOLSE_T_YNS,A55_64_UOLSE_T_T,A55_64_L_PinE_NS_B_05,A55_64_L_PinE_NS_05_10,A55_64_L_PinE_NS_11_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_17,A55_64_L_PinE_NS_18,A55_64_L_PinE_NS_19,A55_64_L_PinE_NS_20,A55_64_L_PinE_NS_21,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B_05,A55_64_T_05_10,A55_64_T_11_15,A55_64_T_16,A55_64_T_17,A55_64_T_18,A55_64_T_19,A55_64_T_20,A55_64_T_21,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B_05,A65_74_SEO_05_10,A65_74_SEO_11_15,A65_74_SEO_16,A65_74_SEO_17,A65_74_SEO_18,A65_74_SEO_19,A65_74_SEO_20,A65_74_SEO_21,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_UOLSE_VWW_B_05,A65_74_UOLSE_VWW_05_10,A65_74_UOLSE_VWW_11_15,A65_74_UOLSE_VWW_16,A65_74_UOLSE_VWW_17,A65_74_UOLSE_VWW_18,A65_74_UOLSE_VWW_19,A65_74_UOLSE_VWW_20,A65_74_UOLSE_VWW_21,A65_74_UOLSE_VWW_YNS,A65_74_UOLSE_VWW_T,A65_74_UOLSE_NWNAA_B_05,A65_74_UOLSE_NWNAA_05_10,A65_74_UOLSE_NWNAA_11_15,A65_74_UOLSE_NWNAA_16,A65_74_UOLSE_NWNAA_17,A65_74_UOLSE_NWNAA_18,A65_74_UOLSE_NWNAA_19,A65_74_UOLSE_NWNAA_20,A65_74_UOLSE_NWNAA_21,A65_74_UOLSE_NWNAA_YNS,A65_74_UOLSE_NWNAA_T,A65_74_UOLSE_PinE_NS_B_05,A65_74_UOLSE_PinE_NS_05_10,A65_74_UOLSE_PinE_NS_11_15,A65_74_UOLSE_PinE_NS_16,A65_74_UOLSE_PinE_NS_17,A65_74_UOLSE_PinE_NS_18,A65_74_UOLSE_PinE_NS_19,A65_74_UOLSE_PinE_NS_20,A65_74_UOLSE_PinE_NS_21,A65_74_UOLSE_PinE_NS_YNS,A65_74_UOLSE_PinE_NS_T,A65_74_UOLSE_T_B_05,A65_74_UOLSE_T_05_10,A65_74_UOLSE_T_06,A65_74_UOLSE_T_16,A65_74_UOLSE_T_17,A65_74_UOLSE_T_18,A65_74_UOLSE_T_19,A65_74_UOLSE_T_20,A65_74_UOLSE_T_21,A65_74_UOLSE_T_YNS,A65_74_UOLSE_T_T,A65_74_L_PinE_NS_B_05,A65_74_L_PinE_NS_05_10,A65_74_L_PinE_NS_11_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_17,A65_74_L_PinE_NS_18,A65_74_L_PinE_NS_19,A65_74_L_PinE_NS_20,A65_74_L_PinE_NS_21,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B_05,A65_74_T_05_10,A65_74_T_11_15,A65_74_T_16,A65_74_T_17,A65_74_T_18,A65_74_T_19,A65_74_T_20,A65_74_T_21,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B_05,A75_84_SEO_05_10,A75_84_SEO_11_15,A75_84_SEO_16,A75_84_SEO_17,A75_84_SEO_18,A75_84_SEO_19,A75_84_SEO_20,A75_84_SEO_21,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_UOLSE_VWW_B_05,A75_84_UOLSE_VWW_05_10,A75_84_UOLSE_VWW_11_15,A75_84_UOLSE_VWW_16,A75_84_UOLSE_VWW_17,A75_84_UOLSE_VWW_18,A75_84_UOLSE_VWW_19,A75_84_UOLSE_VWW_20,A75_84_UOLSE_VWW_21,A75_84_UOLSE_VWW_YNS,A75_84_UOLSE_VWW_T,A75_84_UOLSE_NWNAA_B_05,A75_84_UOLSE_NWNAA_05_10,A75_84_UOLSE_NWNAA_11_15,A75_84_UOLSE_NWNAA_16,A75_84_UOLSE_NWNAA_17,A75_84_UOLSE_NWNAA_18,A75_84_UOLSE_NWNAA_19,A75_84_UOLSE_NWNAA_20,A75_84_UOLSE_NWNAA_21,A75_84_UOLSE_NWNAA_YNS,A75_84_UOLSE_NWNAA_T,A75_84_UOLSE_PinE_NS_B_05,A75_84_UOLSE_PinE_NS_05_10,A75_84_UOLSE_PinE_NS_11_15,A75_84_UOLSE_PinE_NS_16,A75_84_UOLSE_PinE_NS_17,A75_84_UOLSE_PinE_NS_18,A75_84_UOLSE_PinE_NS_19,A75_84_UOLSE_PinE_NS_20,A75_84_UOLSE_PinE_NS_21,A75_84_UOLSE_PinE_NS_YNS,A75_84_UOLSE_PinE_NS_T,A75_84_UOLSE_T_B_05,A75_84_UOLSE_T_05_10,A75_84_UOLSE_T_11_15,A75_84_UOLSE_T_16,A75_84_UOLSE_T_17,A75_84_UOLSE_T_18,A75_84_UOLSE_T_19,A75_84_UOLSE_T_20,A75_84_UOLSE_T_21,A75_84_UOLSE_T_YNS,A75_84_UOLSE_T_T,A75_84_L_PinE_NS_B_05,A75_84_L_PinE_NS_05_10,A75_84_L_PinE_NS_11_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_17,A75_84_L_PinE_NS_18
UCL212005,4,3,8,6,0,11,344,90,30,51,8,11,12,29,13,3,6,251,0,0,0,0,0,0,0,0,0,0,4,300,95,81,13,14,20,33,24,3,17,600,0,0,0,0,0,0,0,0,0,0,4,611,115,96,12,16,23,35,24,3,39,973,462,12,3,0,0,0,0,0,0,23,497,197,10,9,4,3,0,3,12,0,7,243,76,25,26,3,7,5,16,3,0,3,169,5,0,0,0,0,0,0,0,0,0,5,275,40,35,7,9,4,22,13,0,13,411,0,0,0,0,0,0,0,0,0,0,4,743,45,35,7,9,4,22,13,0,33,910,287,0,4,0,0,0,0,0,0,16,311,161,4,0,0,0,0,0,0,0,4,174,94,10,9,0,4,0,5,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0,255,10,9,0,4,0,5,3,0,10,292,0,0,0,0,0,0
UCL212006,0,0,3,0,0,0,244,11,11,8,0,3,0,3,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,204,32,29,0,5,0,12,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,925,82,48,0,8,0,15,5,3,9,1105,764,12,5,0,0,0,3,0,0,15,798,184,5,5,0,4,0,0,0,0,0,204,19,0,9,0,0,6,5,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,210,7,12,0,3,3,5,0,0,7,244,5,0,0,0,0,0,0,0,0,0,4,972,23,17,4,5,9,3,6,0,19,1047,441,3,6,0,0,0,0,0,0,13,461,104,0,0,0,0,0,0,0,0,7,112,29,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,133,0,3,0,0,0,0,0,0,7,142,3,0,0,0,0,0
UCL212007,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,33,11,3,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,305,43,11,0,0,0,3,0,0,7,366,368,12,9,0,0,0,0,4,0,4,400,55,0,0,0,0,0,0,0,0,0,55,9,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,4,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,434,12,9,0,0,0,0,4,0,4,464,162,5,0,0,0,0,0,0,0,5,168,36,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
UCL212008,0,0,0,0,0,8,123,7,4,0,0,0,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,94,23,5,4,3,0,0,0,0,8,145,0,0,0,0,0,0,0,0,0,0,4,427,43,14,4,3,0,3,0,0,18,513,498,4,4,0,0,0,0,0,0,12,522,94,3,3,0,0,0,0,0,0,4,103,21,4,0,0,0,0,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,110,3,4,0,0,0,6,0,0,7,132,0,0,0,0,0,0,0,0,0,0,0,603,12,7,0,0,0,4,0,0,19,653,303,0,0,0,0,0,0,0,0,19,327,67,5,0,0,0,0,0,0,0,6,76,19,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,88,5,0,0,0,0,0,0,0,6,100,0,0,0,0,0,0
UCL212009,3,0,0,0,0,0,74,3,5,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,4,49,24,4,0,3,0,3,0,0,3,88,0,0,0,0,0,0,0,0,0,4,4,311,38,18,6,7,3,3,6,0,14,398,317,7,3,0,0,0,0,0,0,10,338,28,3,0,3,0,0,0,0,0,0,34,4,4,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,27,7,0,3,0,0,4,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,349,15,3,3,0,0,4,0,0,7,389,188,5,0,0,0,0,0,0,0,5,199,18,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
UCL213001,0,0,0,0,0,0,39,5,3,3,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,29,9,9,0,0,0,0,0,0,5,52,0,0,0,0,0,0,0,0,0,0,0,176,17,15,0,0,0,4,0,0,5,220,243,0,3,0,0,0,0,0,0,10,252,28,0,0,0,0,0,0,0,0,3,29,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,29,0,3,0,0,0,0,0,0,3,35,0,0,0,0,0,0,0,0,0,6,0,271,4,5,0,0,0,0,0,0,13,294,214,5,0,0,0,0,0,0,0,10,227,25,0,0,0,0,0,0,0,0,3,30,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0
UCL213002,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,13,17,188,10,11,0,0,0,0,0,0,20,225,215,0,8,0,0,0,0,0,0,6,233,12,0,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,16,16,231,0,6,0,0,0,0,0,0,20,264,132,3,0,0,0,0,0,0,0,9,151,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0
UCL213003,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,14,3,9,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,86,4,9,0,0,0,0,0,0,0,113,98,0,0,0,0,0,0,0,0,4,102,18,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,4,3,0,0,31,0,0,0,0,0,0,0,0,0,0,3,121,3,0,0,0,0,4,3,0,4,134,81,0,0,0,0,0,0,0,0,5,94,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
UCL213004,0,0,0,0,0,0,39,4,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,39,7,6,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,266,22,8,0,0,0,0,0,4,5,308,337,9,6,0,0,0,0,0,0,5,363,63,0,0,0,0,0,0,0,0,0,68,3,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,4,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,412,9,6,0,0,0,4,0,0,8,436,227,0,0,0,0,0,0,0,0,9,243,40,0,0,0,0,0,0,0,0,0,43,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
UCL213005,0,0,0,0,0,0,59,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,42,15,6,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,381,26,14,7,0,0,0,0,0,11,450,495,4,10,0,4,3,0,0,0,12,533,52,0,3,0,0,0,0,0,0,0,48,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,56,0,3,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,550,4,12,0,4,3,0,0,0,11,593,291,4,3,0,0,0,0,0,0,13,313,40,0,0,0,0,0,0,0,0,0,43,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
UCL213006,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,10,3,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,204,21,0,0,0,3,0,0,0,0,231,183,0,0,0,0,0,0,0,0,3,187,37,4,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,216,4,0,0,0,0,0,0,0,5,231,118,0,5,0,0,0,0,0,0,6,124,27,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,3,31,0,0,0,0,0,0
UCL213007,0,0,0,0,0,0,27,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,11,10,4,0,0,0,0,6,0,0,36,0,0,0,0,0,0,0,0,0,0,0,109,15,10,0,0,0,6,6,0,6,145,98,4,0,0,0,0,0,0,0,6,108,13,3,0,0,0,0,0,0,0,0,17,3,0,3,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,15,3,3,0,0,0,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,114,6,8,0,0,0,3,3,0,9,135,80,0,0,0,0,0,0,0,0,4,89,21,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,4,25,0,0,0,0,0,0
UCL213008,0,3,0,0,0,0,91,3,0,3,3,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,67,12,6,0,6,3,3,3,0,0,105,0,0,0,0,0,0,0,0,0,0,0,327,28,12,4,6,3,3,3,0,3,387,308,6,7,0,0,0,0,0,0,9,322,59,5,0,0,0,0,0,0,0,0,67,4,4,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,72,10,6,0,0,0,4,0,0,0,83,0,0,0,0,0,0,0,0,0,0,5,379,8,12,0,0,0,4,0,0,7,412,183,0,0,0,0,0,0,0,0,9,191,39,0,0,0,0,0,0,0,0,0,38,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
UCL213009,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,36,9,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,257,18,8,0,0,0,0,0,0,3,289,225,0,11,0,4,0,0,0,0,0,240,49,0,3,0,0,0,0,0,0,0,54,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,4,286,9,12,0,4,0,0,0,0,6,311,178,0,0,0,0,0,0,0,0,0,187,32,0,0,0,0,0,0,0,0,0,32,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,39,5,0,0,0,0,0
UCL213010,0,5,0,0,0,0,65,6,5,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,6,55,8,10,0,0,5,0,0,0,0,82,3,0,0,0,0,0,0,0,0,0,3,261,14,12,4,0,0,4,0,0,4,305,421,3,0,0,0,0,0,0,0,17,442,80,0,0,0,0,0,0,0,0,9,92,17,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,95,0,4,0,0,0,3,0,0,11,114,0,0,0,0,0,0,0,0,0,0,4,518,3,5,0,0,0,5,0,0,28,558,319,0,0,0,0,0,0,0,0,17,328,82,0,0,0,0,0,0,0,0,4,85,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,4,115,0,0,0,0,0,0
UCL213011,0,0,0,0,0,5,89,9,10,4,0,0,0,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,85,13,6,0,0,0,0,3,0,5,116,0,0,0,0,0,0,0,0,0,0,0,246,20,12,3,0,0,9,6,0,13,299,294,0,0,0,0,0,0,0,0,17,314,126,0,5,0,0,0,0,0,0,4,135,13,0,4,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,137,0,7,0,0,0,0,0,0,3,155,0,0,0,0,0,0,0,0,0,4,4,438,0,7,0,0,0,0,0,0,23,474,229,0,0,0,0,0,0,0,0,12,242,112,0,0,0,0,0,0,0,0,7,116,35,0,0,0,0,0,4,0,0,4,43,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,4,0,0,9,161,3,0,0,0,0,0
UCL213012,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,159,7,9,0,0,0,0,0,0,3,175,201,8,0,0,0,0,0,0,0,8,214,26,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,231,8,0,0,0,0,0,0,0,8,245,101,0,0,0,0,0,0,0,0,7,108,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
UCL213013,5,0,3,0,0,0,59,6,4,5,0,0,0,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,47,12,4,3,5,0,3,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,207,26,10,3,5,3,3,0,0,4,264,220,4,5,0,3,0,0,0,0,9,237,36,0,0,0,0,0,0,0,0,0,47,4,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,41,0,6,0,0,0,0,4,0,0,55,0,0,0,0,0,0,0,0,0,0,0,260,6,11,0,3,0,0,4,0,13,290,192,6,0,0,0,0,0,0,0,3,196,40,0,0,0,0,0,0,0,0,0,40,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
UCL213014,0,6,0,0,0,0,27,0,5,11,0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,0,0,0,17,16,11,0,0,4,5,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0,74,20,16,0,0,4,5,0,0,4,123,65,0,0,0,0,0,0,0,0,3,66,25,0,0,0,0,0,0,0,0,0,26,0,4,5,0,0,4,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,26,4,7,4,0,3,6,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,85,3,7,4,0,3,6,0,0,5,115,32,0,0,0,0,0,0,0,0,3,34,24,0,0,0,0,0,0,0,0,3,24,10,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,3,39,0,0,0,0,0,0
UCL213015,4,0,0,0,0,3,140,16,9,7,0,0,0,3,3,0,0,36,0,0,0,0,0,0,0,0,0,0,0,125,21,14,0,6,4,3,3,0,0,178,0,0,0,0,0,0,0,0,0,0,0,320,32,24,0,8,4,4,6,3,10,405,157,3,0,0,0,3,0,0,0,3,169,60,3,4,0,0,0,0,0,0,0,75,12,0,9,0,0,0,10,4,0,0,37,0,0,0,0,0,0,0,0,0,0,0,72,3,13,0,0,4,10,4,0,3,113,0,0,0,0,0,0,0,0,0,0,0,229,9,13,0,0,6,10,4,0,9,281,80,0,0,0,0,0,0,0,0,0,83,17,0,0,0,0,0,0,0,0,0,24,4,0,3,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,23,3,3,0,0,0,4,0,0,0,37,0,0,0,0,0,0
UCL213016,0,0,0,0,0,0,48,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,37,9,9,0,0,0,0,4,0,0,63,0,0,0,0,0,0,0,0,0,0,0,202,15,9,0,0,0,8,4,0,3,238,226,0,3,0,0,0,0,0,0,6,241,65,0,0,0,0,0,0,0,0,9,71,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,70,0,4,0,0,0,0,0,0,7,83,0,0,0,0,0,0,0,0,0,0,0,304,5,4,0,0,0,0,0,0,16,322,177,0,0,0,0,0,0,0,0,9,191,67,0,0,0,0,0,0,0,0,0,70,25,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,4,97,0,0,0,0,0,0
UCL213017,0,0,0,0,0,0,79,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,62,18,4,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,330,31,6,0,0,0,0,0,0,9,384,378,7,5,0,0,0,0,0,0,4,398,50,0,0,0,0,0,0,3,0,0,57,7,0,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,54,7,0,0,0,0,0,4,0,0,72,0,0,0,0,0,0,0,0,0,0,0,434,14,5,5,0,0,4,4,0,5,472,258,0,0,0,0,0,0,0,0,14,270,52,0,0,0,0,0,0,0,0,0,52,9,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,56,0,4,0,0,0,0,0,0,0,63,0,0,0,0,0,0
UCL213018,0,0,0,0,0,0,21,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,25,3,6,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,91,7,6,0,0,0,0,0,0,5,104,175,0,0,0,0,0,0,0,0,0,183,23,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,212,99,0,0,0,0,0,0,0,0,3,98,10,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0
UCL214001,0,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,55,3,7,0,0,0,0,7,0,4,75,67,3,0,0,0,0,0,0,0,3,80,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,71,3,0,5,0,0,0,0,0,3,79,67,0,0,0,0,0,0,0,0,0,67,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
UCL214002,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,76,3,4,0,0,0,0,0,0,0,89,104,0,0,0,0,0,0,0,0,0,109,15,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,8,130,60,0,0,0,0,0,0,0,0,4,66,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
UCL214003,0,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,112,10,0,0,0,0,0,0,0,5,131,166,0,0,0,0,0,0,0,0,6,181,19,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,8,201,133,4,0,0,0,0,0,5,0,8,139,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
