UCL_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
UCL212005,18,0,641,25,178,25,0,200,0,223,0,59,88,0,146,0,146,0,0,0,0,0,0,0,23,234,106,0,344,0,366,5,0,0,0,0,0,7,644,253,106,0,368,0,1012,183,4,0,0,6,0,187,4,58,10,0,66,0,73,0,20,36,0,58,0,58,0,0,0,0,0,0,0,4,76,46,0,126,0,129,0,0,0,0,0,0,0,194,82,46,0,129,0,322,49,4,0,0,4,0,53,0,33,0,0,37,0,35,0,10,16,0,25,0,25,0,0,0,0,0,0,0,0,42,19,0,59,0,62,0,0,0,0,0,0,0,53,46,19,0,66,0,114,4798,147,4,0,154,3,4960,165,1986,225,12,2217,8,2383,8,436,447,0,886,0,888,0,0,0,11,17,0,15,169,2425,673,20,3114,8,3282,8,8,3,0,10,9,27,4978,2578,677,20,3275,22,8272
UCL212006,14,0,776,21,73,3,0,77,0,99,0,0,0,0,0,0,4,0,0,0,0,0,0,0,27,73,0,0,75,0,95,0,0,0,0,0,0,0,788,81,0,0,89,0,878,333,7,0,0,7,0,345,11,52,8,0,53,0,67,0,3,0,0,7,0,7,0,0,0,0,0,0,0,11,51,7,0,55,0,68,0,0,0,0,0,0,0,347,63,7,0,65,0,411,191,3,0,0,3,0,192,10,27,0,0,27,0,31,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,26,0,0,28,0,38,0,0,0,0,0,0,0,195,31,0,0,32,0,234,5909,158,0,0,167,8,6074,296,697,10,3,714,3,1006,4,20,9,0,30,0,38,0,0,0,0,0,0,0,301,721,23,3,749,3,1046,3,0,0,0,0,6,8,6208,880,26,3,908,12,7127
UCL212007,9,0,576,11,10,0,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,10,0,17,0,0,0,0,0,0,0,579,17,0,0,17,0,596,209,0,0,0,0,0,206,8,3,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,5,0,11,0,0,0,0,0,0,0,209,4,0,0,5,0,219,83,3,0,0,3,0,86,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,86,0,0,0,0,0,91,4747,73,0,0,73,9,4825,141,156,0,0,157,0,297,0,3,0,0,3,0,3,0,0,0,0,0,0,0,141,157,0,0,160,0,302,0,4,0,0,4,4,7,4890,242,0,0,240,6,5134
UCL212008,5,0,503,8,33,0,0,33,0,37,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,34,0,0,37,0,41,0,0,0,0,0,0,0,510,38,0,0,37,0,542,162,0,0,0,0,0,162,0,14,0,0,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,0,18,0,0,0,0,0,0,0,166,18,0,0,18,0,174,48,0,0,0,0,0,48,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,46,3,0,0,3,0,54,3699,44,0,0,44,9,3758,103,375,8,5,389,0,494,0,7,11,0,23,0,24,0,0,0,0,0,0,0,109,386,18,5,408,0,519,3,0,0,0,0,4,3,3809,432,18,3,453,14,4277
UCL212009,8,0,632,15,21,0,0,21,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,24,0,42,0,0,0,0,0,0,0,637,33,0,0,33,0,668,171,0,0,0,0,0,176,0,9,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,7,0,8,0,0,0,0,0,0,0,174,8,0,0,9,0,190,57,0,0,0,0,0,57,5,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,3,0,0,0,0,0,0,0,62,3,0,0,3,0,61,4352,59,0,0,59,3,4418,107,248,9,0,255,0,371,5,14,20,0,33,0,37,0,0,0,0,6,0,6,114,260,35,0,300,0,417,0,0,0,0,0,0,0,4466,323,35,0,360,8,4837
UCL213001,3,0,198,3,8,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,8,0,12,0,0,0,0,0,0,0,196,10,0,0,11,0,209,40,0,0,0,0,0,38,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,39,0,0,0,0,0,42,13,0,0,0,0,0,13,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,13,6,0,0,6,0,14,1509,33,0,0,33,0,1539,40,112,5,0,114,0,164,0,3,4,0,12,0,12,0,0,0,0,0,0,0,40,117,16,0,132,0,173,0,0,0,0,0,0,0,1553,145,16,0,160,0,1711
UCL213002,0,0,163,0,7,3,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,10,0,9,0,0,0,0,0,0,0,162,6,3,0,11,0,168,45,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,42,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,1111,27,0,0,27,0,1135,40,48,7,0,54,0,91,0,0,4,0,4,0,4,0,0,0,0,0,0,0,40,48,7,0,50,0,93,0,0,0,0,0,3,3,1148,70,7,0,83,3,1231
UCL213003,0,0,217,4,11,0,0,11,0,7,0,8,0,0,8,0,8,0,0,0,0,0,0,0,4,11,0,0,17,0,18,0,0,0,0,0,0,0,216,16,0,0,18,0,233,62,0,0,0,0,0,63,0,8,0,0,8,0,8,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,8,5,0,9,0,9,0,0,0,0,0,0,0,62,8,5,0,11,0,69,23,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,1570,12,3,0,17,0,1586,33,104,3,0,105,0,142,0,19,20,0,40,0,40,0,0,0,0,0,0,0,33,130,19,0,144,0,183,0,0,0,0,0,0,0,1604,136,27,0,162,5,1768
UCL213004,0,0,257,0,11,0,0,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,12,0,0,0,0,0,0,0,261,10,0,0,10,0,273,88,0,0,0,0,0,88,6,9,0,0,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,9,0,17,0,0,0,0,0,0,0,91,9,0,0,9,0,94,28,0,0,0,0,0,27,0,4,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,6,0,0,0,0,0,0,0,30,4,0,0,4,0,37,2353,31,0,0,31,0,2387,46,121,9,0,125,5,178,0,9,0,0,9,0,10,0,0,0,0,0,0,0,49,130,9,0,141,5,189,0,0,0,0,0,0,0,2405,158,9,0,166,4,2578
UCL213005,8,0,296,6,8,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,10,0,20,0,0,0,0,0,0,0,298,17,0,0,19,0,313,109,6,0,0,6,0,110,4,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,9,0,0,0,0,0,0,0,114,3,0,0,11,0,119,45,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,45,2319,36,0,0,36,5,2356,84,104,4,0,107,0,186,5,0,5,0,3,0,7,0,0,0,0,0,0,0,82,108,11,0,113,0,199,0,0,0,0,0,3,3,2397,136,9,0,152,8,2558
UCL213006,3,0,327,6,5,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,4,0,18,0,0,0,0,0,0,0,331,15,0,0,15,0,341,162,4,0,0,4,0,166,0,9,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,10,0,0,0,0,0,0,0,168,14,0,0,14,0,178,52,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,51,2538,44,0,0,44,0,2586,53,83,3,0,85,0,140,0,12,0,0,12,0,12,0,0,0,0,0,0,0,53,94,3,0,98,0,153,0,0,0,0,0,0,0,2590,137,3,0,141,0,2738
UCL213007,3,0,296,0,15,0,0,15,0,20,0,3,3,0,4,0,4,0,0,0,0,0,0,0,0,20,3,0,21,0,25,0,0,0,0,0,0,0,290,22,5,0,27,0,322,60,0,0,0,0,0,60,0,7,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,8,0,0,0,0,0,0,0,58,7,0,0,7,0,75,18,0,0,0,0,0,18,0,5,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,5,0,0,0,0,0,0,0,19,5,0,0,4,0,18,2186,24,0,0,26,0,2215,51,188,3,0,195,0,246,0,21,19,0,33,0,33,0,0,0,0,0,0,0,56,209,20,0,230,0,286,4,0,0,0,0,0,8,2245,231,22,0,259,4,2509
UCL213008,3,0,317,13,27,4,0,25,0,37,0,9,0,0,9,0,9,0,0,0,0,0,0,0,13,28,4,0,28,0,41,0,0,0,0,0,0,0,328,30,4,0,34,0,357,115,4,0,0,4,0,122,5,19,0,0,19,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,20,0,23,0,0,0,0,0,0,0,122,20,0,0,20,0,146,44,0,0,0,0,0,49,8,23,0,0,19,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,4,0,22,0,28,0,0,0,0,0,0,0,54,22,4,0,22,0,72,2578,53,0,0,53,0,2629,116,356,9,0,367,0,492,3,27,13,0,38,0,42,0,0,0,0,0,0,0,120,387,22,0,409,0,530,0,0,0,0,0,3,6,2701,435,22,0,461,3,3163
UCL213009,0,0,245,3,11,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,12,0,20,0,0,0,0,0,0,0,248,12,0,0,12,0,264,112,0,0,0,0,0,112,4,4,3,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,7,0,5,0,0,0,0,0,0,0,116,4,3,0,7,0,123,41,0,0,0,0,0,41,4,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,5,0,0,0,0,0,0,0,43,3,0,0,3,0,52,1953,31,0,0,31,7,1983,52,136,7,0,139,0,191,0,9,0,0,7,0,7,0,0,0,0,0,0,0,52,140,8,0,144,0,200,0,0,0,0,0,0,0,2001,168,8,0,177,7,2185
UCL213010,0,0,196,10,12,0,0,12,0,18,0,5,0,0,5,0,5,0,0,0,0,0,0,0,10,11,0,0,11,0,17,0,0,0,0,0,0,0,206,12,0,0,12,0,216,57,0,0,0,0,0,57,0,6,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,5,0,0,0,0,0,0,0,57,6,0,0,4,0,64,15,0,0,0,0,0,15,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,19,0,0,0,0,0,19,1520,25,0,0,25,3,1547,56,39,0,0,40,0,97,0,11,3,0,14,0,14,0,0,0,0,0,0,0,56,53,4,0,52,0,111,3,0,0,0,0,0,3,1578,75,4,0,76,6,1661
UCL213011,3,0,143,5,9,0,0,9,0,17,0,4,3,0,9,0,9,0,0,0,0,0,0,0,5,12,3,0,15,0,24,0,0,0,0,0,0,0,148,13,3,0,18,0,163,47,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,45,4,0,0,9,0,51,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,5,0,14,1183,22,0,0,22,0,1207,52,113,6,0,119,0,171,3,48,58,0,99,4,107,5,0,0,0,0,0,5,57,158,63,0,222,4,282,6,0,0,0,0,3,3,1242,181,63,0,248,8,1497
UCL213012,3,0,159,3,0,0,0,0,0,3,0,0,4,0,4,0,4,0,0,0,0,0,0,0,3,0,4,0,3,0,3,0,0,0,0,0,0,0,152,3,4,0,6,0,164,29,0,0,0,0,0,29,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,34,0,0,0,0,0,34,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1162,16,0,0,16,0,1176,39,41,6,0,40,0,83,0,0,4,0,4,0,4,0,0,0,0,0,0,0,39,41,3,0,46,0,81,0,0,0,0,0,0,0,1200,52,3,0,56,0,1259
UCL213013,0,0,224,7,16,0,0,16,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,16,0,22,0,0,0,0,0,0,0,231,16,0,0,16,0,247,57,0,0,0,0,0,57,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,0,0,59,3,0,0,4,0,63,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,12,1823,17,0,0,17,0,1842,39,150,5,0,157,0,194,3,3,0,0,6,0,7,0,0,0,0,0,0,0,39,156,7,0,160,0,202,3,4,0,0,4,3,8,1873,174,7,0,179,5,2053
UCL213014,4,0,153,3,17,5,0,12,0,20,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,12,5,0,14,0,23,0,0,0,0,0,0,0,152,17,5,0,24,0,168,43,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,43,0,0,0,7,0,42,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,1333,16,0,0,16,0,1351,34,172,20,0,196,0,233,0,29,31,0,65,0,62,0,0,0,0,0,0,0,35,207,55,0,264,0,294,0,0,0,0,0,0,0,1369,222,55,0,276,0,1645
UCL213015,12,0,270,8,38,0,0,42,0,53,0,5,5,0,13,0,13,0,0,0,0,0,0,0,8,41,10,0,54,0,63,0,0,0,0,0,0,0,271,53,10,0,62,0,337,76,4,0,0,4,0,77,0,24,0,0,28,0,26,5,4,0,0,7,0,7,0,0,0,0,0,0,0,4,30,3,0,34,0,37,0,0,0,0,0,0,0,79,36,3,0,37,0,113,38,0,0,0,0,0,38,0,7,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,10,0,0,0,0,0,0,0,38,7,0,0,10,0,54,2240,80,0,0,85,0,2326,96,700,17,0,724,0,818,5,55,22,0,79,0,77,0,0,0,0,0,0,0,99,757,40,0,799,0,894,13,0,0,3,3,0,12,2344,845,37,4,886,4,3236
UCL213016,11,0,389,0,14,0,0,14,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,14,0,19,0,0,0,0,0,0,0,383,26,0,0,26,0,407,102,0,0,0,0,0,101,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,97,3,0,0,3,0,107,12,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,0,0,0,0,0,22,2564,41,0,0,41,4,2616,46,157,0,3,157,0,210,0,5,0,0,6,0,7,0,0,0,0,0,0,0,46,162,0,3,164,0,212,5,0,0,0,0,5,6,2619,200,0,3,206,11,2835
UCL213017,9,0,370,0,27,0,0,24,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,26,0,31,0,0,0,0,0,0,0,363,33,0,0,35,0,394,112,0,0,0,0,0,117,5,10,5,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,6,0,16,0,22,0,0,0,0,0,0,0,119,18,6,0,19,0,137,56,0,0,0,0,0,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,64,2763,54,0,0,54,3,2820,80,272,14,0,284,0,367,0,4,4,0,12,0,7,0,0,0,0,0,0,0,85,275,19,0,291,0,374,9,0,0,0,0,0,12,2853,327,19,0,346,6,3204
UCL213018,0,0,140,4,0,0,0,0,0,7,0,0,5,0,5,0,5,0,0,0,0,0,0,0,4,0,5,0,6,0,7,0,0,0,0,0,0,0,144,0,5,0,6,0,144,29,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,31,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,1029,13,0,0,13,0,1043,19,33,0,0,38,3,55,0,0,4,0,4,0,4,0,0,0,0,0,0,0,19,33,9,0,41,3,60,0,0,0,0,0,0,0,1047,44,9,0,54,3,1106
UCL214001,0,0,108,0,8,0,0,8,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,0,0,6,0,13,0,0,0,0,0,0,0,105,7,0,0,6,0,116,18,0,0,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,17,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,740,4,0,0,4,0,737,17,69,0,0,73,0,96,0,10,4,0,10,0,10,0,0,0,0,0,0,0,17,79,9,0,84,0,105,0,0,0,0,0,0,0,757,86,9,0,88,0,845
UCL214002,3,0,188,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,191,0,0,0,0,0,196,46,0,0,0,0,0,49,3,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,0,9,0,0,0,0,0,0,0,47,0,0,0,0,0,54,15,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,13,1457,25,0,0,25,3,1493,39,21,0,0,25,0,63,0,3,0,0,5,0,5,0,0,0,0,0,0,0,39,26,4,0,26,0,69,0,0,0,0,0,0,0,1498,49,4,0,54,3,1554
UCL214003,0,0,134,4,4,0,0,4,0,9,0,5,0,0,5,0,5,0,0,0,0,0,0,0,4,4,0,0,4,0,12,0,0,0,0,0,0,0,135,4,0,0,4,0,144,29,0,0,0,0,0,29,3,0,0,0,0,0,3,0,5,0,0,5,0,5,0,0,0,0,0,0,0,3,5,0,0,5,0,4,0,0,0,0,0,0,0,34,5,0,0,5,0,37,9,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,12,879,8,0,0,8,0,887,27,55,0,0,55,0,81,0,8,3,0,11,0,11,0,0,0,0,0,0,0,28,61,3,0,66,0,96,0,0,0,0,0,4,4,910,75,3,0,76,3,988
