CED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
CED211,13311,20113,5577,506,39506,10627,1240,51377,1214,989,573,58,2834,2782,194,5807,592,769,322,28,1716,570,101,2388,1808,1759,896,93,4552,3354,292,8198,92,95,67,8,260,214,17,496,154,56,81,10,302,360,32,686,272,75,63,17,425,509,48,971,22,4,5,0,27,40,0,74,5,15,10,0,29,24,0,47,546,239,220,28,1036,1148,95,2274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,0,20,8,0,28,5,10,3,0,20,8,0,29,4,11,0,0,19,24,0,49,15676,22130,6700,627,45126,15161,1633,61926
CED212,12381,17737,6508,472,37093,9680,1275,48044,1343,632,840,62,2885,3982,203,7070,514,375,388,42,1319,835,104,2255,1855,1010,1233,106,4205,4819,308,9327,184,59,111,7,366,769,37,1177,35,11,19,0,69,108,7,180,23,0,12,0,40,61,3,116,0,0,6,0,3,23,0,24,6,8,0,0,21,38,3,61,253,85,151,11,496,995,56,1553,3,0,5,0,5,15,0,26,23,4,13,0,35,209,3,253,0,0,0,0,0,0,0,0,6,15,0,8,23,10,0,32,25,20,20,7,66,239,3,307,9,11,3,0,27,26,0,55,14533,18857,7906,593,41888,15765,1644,59295
CED213,16066,14607,5395,397,36460,12102,936,49502,1312,307,481,29,2133,2849,104,5087,627,276,244,6,1162,516,53,1729,1944,585,730,36,3295,3366,158,6822,375,96,137,11,624,759,24,1399,44,10,9,0,57,66,5,129,27,0,0,0,27,17,0,40,0,0,0,0,0,0,0,0,11,7,5,0,21,22,0,44,449,111,149,13,723,868,23,1616,3,0,0,3,7,33,0,41,74,6,22,0,97,272,12,372,0,0,0,0,4,0,0,6,9,0,3,0,13,19,0,33,84,8,22,3,122,326,10,450,10,6,5,0,24,24,3,45,18556,15313,6304,455,40617,16683,1129,58434
CED214,8843,14124,5878,838,29684,7762,2248,39695,953,951,638,107,2642,1900,286,4828,2109,2286,923,189,5513,1691,671,7873,3059,3239,1556,294,8155,3589,960,12704,916,695,482,111,2200,2316,345,4860,451,179,96,39,761,931,156,1850,647,200,130,52,1031,1282,173,2486,399,97,72,26,602,807,103,1520,20,15,8,7,46,26,3,76,2436,1185,789,234,4638,5363,781,10787,0,0,0,0,0,0,0,4,0,0,0,0,4,37,0,41,0,0,0,0,0,0,0,6,61,36,18,0,121,75,27,224,65,36,21,0,130,116,27,273,24,10,10,7,47,39,0,86,14431,18589,8256,1379,42653,16866,4014,63541
CED215,10651,23878,5296,641,40458,7767,1502,49732,1170,1340,475,43,3027,1827,153,5009,1709,2163,697,76,4650,1298,226,6174,2881,3502,1174,127,7678,3123,384,11187,434,220,180,30,867,1078,73,2018,56,25,24,5,110,168,9,281,134,34,40,7,207,284,20,513,44,17,26,7,91,154,11,253,3,10,0,0,9,5,0,17,678,288,275,39,1281,1688,113,3082,0,0,0,0,0,8,0,3,0,0,3,0,11,30,0,38,0,0,0,0,0,0,0,0,15,9,8,0,41,32,8,74,21,11,18,0,48,67,8,125,13,14,4,0,30,21,0,52,14240,27687,6768,810,49499,12669,2008,64179
CED216,17997,14095,6137,474,38703,14783,1349,54833,451,129,175,26,778,1654,79,2512,70,24,51,6,147,169,24,346,521,151,227,31,926,1822,103,2855,309,81,161,20,571,1586,67,2229,11,4,4,0,19,10,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,6,0,19,323,85,162,21,598,1610,71,2277,33,5,5,0,41,111,5,163,80,15,16,0,111,161,5,284,11,0,0,0,12,12,0,25,14,9,0,0,31,23,4,60,133,28,26,3,192,315,17,529,38,19,12,0,63,62,7,133,19012,14379,6565,531,40489,18594,1546,60630
CED217,8560,16110,3113,240,28022,5467,549,34035,1999,1583,751,69,4399,3073,253,7727,1834,2233,700,48,4815,1317,156,6287,3829,3813,1448,118,9221,4390,410,14010,1106,507,396,42,2050,2576,270,4896,765,247,179,32,1210,1015,129,2354,615,214,197,15,1043,1277,78,2397,89,24,22,0,141,163,10,315,5,8,3,0,16,11,0,29,2584,997,797,91,4468,5058,482,10003,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,78,38,40,5,163,144,31,328,78,38,40,5,163,144,31,334,17,16,8,0,45,13,5,62,15071,20967,5412,459,41914,15066,1470,58440
CED218,9958,24148,6195,536,40840,6191,876,47910,827,960,532,52,2368,1309,68,3747,457,773,502,48,1778,496,74,2352,1293,1730,1027,98,4150,1811,145,6100,49,53,40,6,151,225,11,383,26,14,13,5,59,74,4,131,40,16,26,0,84,48,3,137,0,0,0,0,0,0,0,0,5,0,4,0,13,14,0,20,119,83,88,14,300,355,21,677,7,0,0,0,5,44,0,47,5,0,0,0,5,54,3,54,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,12,7,9,0,0,17,94,4,111,11,12,3,0,27,18,0,42,11387,25983,7312,647,45327,8470,1046,54844
CED219,12393,20887,7204,546,41036,9066,1126,51226,534,318,377,28,1259,1615,74,2956,118,96,126,6,353,206,25,580,655,411,503,38,1605,1823,102,3532,192,78,142,16,425,670,44,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,21,0,0,0,0,0,0,0,0,7,11,6,0,24,19,0,39,202,83,150,19,449,711,44,1201,0,0,0,0,4,15,0,20,9,0,0,0,13,12,0,21,0,0,0,0,0,5,0,7,3,7,0,3,18,10,0,25,15,13,4,3,29,39,0,68,9,17,8,0,32,8,0,38,13275,21413,7860,607,43154,11643,1278,56076
CED220,5697,10279,1934,256,18164,3629,765,22564,2224,1722,609,115,4673,2818,585,8081,1787,1577,550,57,3974,1402,382,5753,4010,3303,1159,172,8646,4227,965,13834,2086,828,430,124,3470,4495,722,8691,2322,562,318,147,3352,4917,857,9126,2006,427,320,130,2885,3980,562,7421,1305,259,211,87,1863,2798,368,5028,5,8,0,0,6,3,0,16,7718,2085,1284,498,11582,16195,2509,30279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,114,25,12,6,156,207,30,397,114,25,12,6,156,212,30,399,12,17,3,0,37,39,4,79,17559,15707,4388,928,38580,24296,4272,67153
CED221,10280,25895,6506,656,43337,6785,1252,51370,848,1015,470,43,2376,1222,87,3686,245,391,177,18,826,257,45,1130,1091,1406,639,62,3200,1482,133,4824,187,64,56,9,323,260,21,596,0,4,7,0,7,18,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,12,12,0,24,193,72,67,15,337,289,21,646,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,7,0,7,10,15,6,0,31,25,0,56,11576,27385,7225,730,46911,8583,1414,56904
CED222,10651,18345,6198,898,36085,8437,2166,46683,1549,1740,737,152,4180,2190,516,6885,1377,2027,609,161,4180,930,718,5827,2932,3765,1347,315,8358,3121,1229,12714,1183,1182,533,112,3013,2060,328,5410,262,101,69,23,455,379,67,901,389,116,82,29,627,633,113,1370,91,20,22,14,152,147,94,389,7,11,14,0,25,20,6,52,1937,1430,720,185,4270,3240,606,8112,0,0,0,0,9,43,0,45,4,0,3,0,10,63,0,72,0,0,0,0,0,0,0,0,16,5,4,0,18,19,3,43,21,6,8,0,36,128,7,168,13,6,0,0,25,28,10,67,15548,23552,8273,1401,48778,14952,4013,67744
CED223,18661,14952,5840,437,39888,14686,1281,55857,530,180,316,37,1060,2668,128,3855,29,20,26,5,83,81,9,170,561,198,340,45,1142,2748,139,4028,56,17,43,5,124,288,17,428,9,5,4,0,12,4,0,15,5,0,0,0,3,7,0,15,8,0,3,0,13,0,0,10,0,3,0,0,12,7,0,20,76,30,56,5,163,306,23,493,29,9,3,0,52,142,4,192,31,8,6,0,43,105,5,152,4,6,0,0,5,6,0,15,29,19,9,3,60,40,7,104,94,42,19,3,156,289,15,461,48,29,4,0,84,52,6,140,19439,15243,6266,483,41432,18078,1470,60982
CED224,8413,16839,3857,327,29437,5602,748,35786,2095,1554,943,90,4686,3937,257,8874,1888,1972,834,71,4761,1395,200,6351,3979,3526,1777,159,9445,5329,453,15231,1402,797,624,58,2890,3293,197,6381,203,68,79,11,353,442,32,826,313,103,122,15,558,741,43,1336,87,33,30,0,151,186,16,346,6,4,0,0,10,7,0,15,2005,1014,854,84,3954,4668,283,8912,14,0,3,0,18,44,0,61,12,3,0,0,24,137,4,161,0,0,0,0,0,0,0,0,21,18,16,3,55,75,8,138,46,24,27,6,96,256,8,363,9,8,4,0,25,27,3,50,14459,21401,6520,578,42955,15886,1501,60340
CED225,12365,19335,4725,425,36852,8239,1080,46165,915,587,474,51,2024,2231,168,4423,1009,1048,516,48,2617,997,179,3791,1921,1631,988,97,4639,3228,348,8219,587,323,232,22,1167,1156,92,2415,149,40,37,11,231,272,16,516,309,53,51,17,430,488,46,964,55,19,33,3,110,179,14,299,5,8,0,0,17,26,0,37,1101,440,361,47,1946,2131,153,4230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,24,17,3,41,9,6,0,0,24,18,3,42,20,6,9,0,29,19,0,52,15418,21422,6084,571,43490,13630,1590,58707
CED226,8114,15961,3220,325,27620,4839,829,33286,2027,1917,735,108,4788,2829,360,7974,1304,1691,620,49,3661,1016,187,4862,3325,3608,1351,159,8444,3840,545,12836,1371,648,367,102,2490,2637,480,5607,1285,399,220,87,1984,2406,444,4840,1139,358,248,70,1807,1962,248,4022,151,44,27,7,229,352,40,626,0,7,0,0,8,8,0,14,3948,1455,866,266,6527,7370,1210,15109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,26,8,0,86,65,35,184,50,26,8,0,86,65,35,184,13,12,4,0,37,31,5,76,15449,21069,5444,749,42712,16146,2623,61481
CED227,11935,23725,5758,458,41873,7563,1010,50437,910,350,272,31,1557,1538,40,3134,361,253,219,17,856,347,52,1255,1273,606,490,42,2412,1882,93,4390,59,27,30,5,119,179,13,308,0,0,0,0,4,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,7,0,0,10,7,0,19,64,34,29,3,141,199,10,350,6,0,0,0,6,3,0,11,16,0,0,0,21,99,0,120,0,0,0,0,0,0,0,3,4,5,0,0,9,8,0,20,25,5,3,0,37,116,3,153,13,9,7,0,29,15,0,46,13316,24378,6291,508,44490,9775,1114,55379
CED228,11548,26716,6849,818,45927,8111,1792,55830,846,1318,539,54,2760,1539,156,4452,298,405,203,22,932,356,101,1392,1143,1727,738,82,3698,1898,255,5850,181,170,148,25,531,497,34,1059,0,3,0,0,10,11,7,23,102,34,25,5,163,217,13,391,0,0,0,0,0,0,0,0,7,6,0,0,6,12,0,20,287,208,180,34,706,737,54,1502,13,0,0,0,8,19,0,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,8,14,3,0,0,22,24,3,44,7,10,6,0,21,16,0,38,13003,28664,7772,923,50370,10786,2106,63257
CED229,2581,4124,716,71,7491,1616,369,9483,2185,2282,667,80,5206,2274,417,7899,2109,2223,716,83,5132,1798,492,7426,4288,4503,1374,164,10337,4073,911,15323,2179,907,511,106,3709,4801,798,9306,3262,993,645,176,5073,7431,1156,13662,2450,641,455,87,3633,4431,544,8610,6601,1772,827,374,9580,9570,1996,21149,7,12,9,0,28,20,0,50,14504,4324,2448,744,22028,26255,4499,52785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,178,45,28,6,259,331,70,652,178,49,28,5,261,331,70,664,33,18,8,0,58,73,12,146,21589,13019,4578,991,40180,32352,5863,78399
CED230,18455,15240,6335,641,40668,16659,1687,59020,574,207,272,22,1067,2139,134,3344,35,17,14,3,63,56,6,135,603,217,284,22,1133,2200,142,3479,299,121,158,25,612,1477,81,2161,3,0,4,0,9,14,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,12,0,16,312,125,164,25,615,1498,81,2202,81,8,7,0,100,237,15,352,68,11,8,0,86,124,24,236,9,4,0,0,12,11,0,22,56,28,10,0,103,65,0,168,213,56,26,11,297,436,48,784,52,24,12,3,85,76,27,195,19626,15661,6817,698,42810,20874,1988,65670
