CED_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
CED211,..,452,129,582,0,582,..,13430,4285,17720,187,17903,..,186,15,206,5,205,..,283,3,291,5,294,..,583,6,588,3,589,..,1410,172,1581,18,1599,..,219,9,227,0,233,..,546,41,584,3,588,..,1456,59,1514,11,1521,..,225,7,231,0,231,..,899,76,971,11,979,..,1084,57,1143,10,1149,..,406,18,420,6,426,..,298,11,306,0,306,..,5137,264,5395,41,5437,..,1086,118,1197,8,1200,..,311,31,339,3,344,..,182,87,267,0,272,..,639,181,822,9,835,..,101,4,109,0,109,..,404,22,427,7,434,..,1041,171,1211,9,1216,..,289,40,330,3,333,..,102,0,105,0,113,..,227,29,253,0,257,..,20,0,26,6,26,..,165,40,205,0,203,..,302,6,313,3,309,..,434,28,468,0,474,..,422,7,431,3,435,..,147,13,162,0,162,..,1315,58,1371,10,1379,..,704,73,777,7,789,..,549
CED212,..,53,24,77,0,74,..,1451,554,2005,13,2020,..,260,27,291,0,293,..,396,13,409,6,417,..,503,15,517,9,528,..,1190,162,1354,20,1371,..,44,0,47,0,44,..,71,7,77,0,81,..,423,30,451,6,452,..,84,11,91,0,92,..,339,28,369,11,382,..,247,20,265,7,268,..,81,0,80,0,84,..,64,4,72,0,72,..,1357,101,1453,21,1476,..,742,58,799,4,802,..,150,14,156,0,162,..,109,36,144,0,144,..,109,31,135,0,135,..,53,9,65,0,64,..,522,35,553,7,561,..,139,15,152,0,156,..,361,41,399,4,402,..,151,18,167,0,169,..,606,121,731,5,733,..,179,8,186,0,186,..,266,32,298,0,299,..,403,18,417,8,426,..,152,6,164,0,167,..,472,12,487,4,490,..,131,3,131,0,131,..,1159,41,1197,14,1208,..,654,75,731,11,741,..,318
CED213,..,10,3,13,0,13,..,370,116,481,12,494,..,240,21,262,4,268,..,280,16,299,10,304,..,486,10,494,4,497,..,1014,182,1189,28,1219,..,8,0,8,0,8,..,0,0,0,0,0,..,62,4,65,0,65,..,29,0,29,0,27,..,104,0,101,0,104,..,34,0,37,0,37,..,0,0,0,0,0,..,9,0,12,0,12,..,253,7,259,0,262,..,1279,116,1395,15,1411,..,121,7,123,0,123,..,27,6,35,0,35,..,20,0,21,0,21,..,107,6,115,5,116,..,68,3,69,0,69,..,37,0,43,0,43,..,139,13,149,0,149,..,52,0,53,0,58,..,111,7,122,0,123,..,12,4,14,0,14,..,96,16,106,0,106,..,138,0,139,3,140,..,78,0,83,0,83,..,167,10,175,0,175,..,34,0,34,0,34,..,421,10,432,3,433,..,357,24,382,0,382,..,20
CED214,..,590,239,827,0,833,..,6286,2946,9231,68,9301,..,1262,357,1615,8,1624,..,314,18,329,9,338,..,352,10,363,12,369,..,2594,835,3424,17,3447,..,704,68,779,5,784,..,361,23,391,5,394,..,1237,80,1316,9,1328,..,1428,60,1486,7,1493,..,2344,202,2547,30,2581,..,416,21,442,0,443,..,1400,112,1513,22,1539,..,165,14,180,5,181,..,8058,584,8647,87,8737,..,1926,406,2330,18,2352,..,291,26,325,4,330,..,70,14,91,0,91,..,230,57,284,7,289,..,1542,562,2101,13,2120,..,193,11,198,3,201,..,285,98,376,0,380,..,643,124,772,3,777,..,329,54,379,0,380,..,168,20,186,5,191,..,720,70,794,7,799,..,817,266,1085,8,1093,..,1174,46,1228,15,1240,..,370,41,408,9,420,..,1873,63,1933,14,1947,..,296,24,321,0,325,..,3721,172,3896,39,3934,..,2191,389,2580,27,2613,..,629
CED215,..,270,76,348,0,347,..,7473,2711,10184,110,10289,..,823,130,956,3,954,..,562,31,593,9,598,..,461,10,466,5,473,..,2610,524,3137,11,3142,..,1143,66,1212,21,1233,..,2514,182,2699,27,2726,..,6148,294,6441,61,6505,..,644,47,691,12,709,..,6091,508,6599,100,6697,..,841,49,891,13,899,..,2754,184,2940,59,3002,..,1028,44,1070,20,1089,..,21180,1381,22558,310,22864,..,2094,336,2429,13,2444,..,335,37,371,5,375,..,203,61,259,0,262,..,555,165,716,8,730,..,1368,273,1641,9,1652,..,797,44,839,7,848,..,542,64,605,13,617,..,473,63,538,0,541,..,497,43,543,9,552,..,353,48,396,0,400,..,731,49,783,10,790,..,803,158,963,0,967,..,1238,37,1277,9,1288,..,1269,119,1383,30,1412,..,1542,47,1590,10,1597,..,459,36,489,5,498,..,4506,225,4739,57,4791,..,1513,191,1706,16,1714,..,1643
CED216,..,29,3,30,0,30,..,503,171,672,8,674,..,72,7,81,0,84,..,134,7,138,0,140,..,295,6,296,7,305,..,302,50,354,6,359,..,53,3,56,0,56,..,41,7,45,0,45,..,145,5,152,0,155,..,68,5,75,0,75,..,297,25,319,7,327,..,156,4,158,0,158,..,123,10,128,0,129,..,35,0,35,0,33,..,912,65,977,10,990,..,714,105,818,3,823,..,39,18,55,0,60,..,25,17,44,0,44,..,33,4,36,0,36,..,15,0,15,0,15,..,270,15,281,0,281,..,20,0,20,0,20,..,124,14,141,0,142,..,27,6,28,0,28,..,52,5,56,0,56,..,16,0,16,0,16,..,32,11,41,0,41,..,313,16,327,0,331,..,66,10,76,3,83,..,351,12,362,3,363,..,147,24,169,0,171,..,878,60,941,7,947,..,193,21,218,0,223,..,116
CED217,..,132,45,178,0,179,..,5566,1696,7261,49,7312,..,238,19,260,0,260,..,914,34,951,11,963,..,837,23,860,6,870,..,3093,451,3543,12,3552,..,101,0,100,0,100,..,300,14,314,4,320,..,945,27,970,7,977,..,204,5,204,0,207,..,259,5,264,4,270,..,202,0,204,0,200,..,97,0,101,0,97,..,173,5,173,0,173,..,2273,62,2330,15,2346,..,1471,123,1596,12,1609,..,671,135,809,8,815,..,47,11,59,0,59,..,285,54,337,0,341,..,126,7,136,3,136,..,127,0,129,0,131,..,236,26,265,3,267,..,647,56,707,0,709,..,349,19,375,3,383,..,2680,432,3114,14,3130,..,16,0,16,3,15,..,356,25,380,4,384,..,150,0,151,0,156,..,276,11,288,0,290,..,180,4,188,0,186,..,94,0,93,4,97,..,699,23,723,6,732,..,1092,60,1152,17,1170,..,325
CED218,..,956,379,1337,9,1342,..,3913,1525,5439,34,5475,..,2229,346,2575,20,2597,..,231,8,240,0,239,..,165,8,178,0,176,..,2920,370,3295,13,3306,..,420,30,447,0,450,..,492,32,521,0,527,..,2976,149,3125,15,3138,..,329,24,352,10,357,..,6736,651,7391,79,7470,..,1496,93,1586,7,1593,..,1869,160,2026,21,2049,..,443,19,458,4,462,..,14756,1147,15906,143,16048,..,2880,328,3209,17,3222,..,152,11,161,0,159,..,65,14,74,0,74,..,163,30,189,0,189,..,3877,822,4699,36,4737,..,731,45,783,8,788,..,347,57,403,0,405,..,659,103,764,5,764,..,262,61,325,0,326,..,144,14,160,0,160,..,872,88,961,13,972,..,1203,242,1447,12,1455,..,2402,56,2457,19,2472,..,305,38,342,4,348,..,3460,109,3568,26,3595,..,417,52,465,6,468,..,6578,259,6839,44,6886,..,2190,366,2554,19,2575,..,1157
CED219,..,103,28,129,0,129,..,875,268,1143,9,1153,..,659,81,739,4,743,..,171,9,182,0,182,..,245,9,249,4,250,..,807,99,909,8,912,..,693,83,780,12,789,..,209,22,232,4,236,..,1515,85,1595,25,1625,..,233,83,309,3,315,..,5361,649,6010,100,6111,..,595,35,630,0,636,..,1154,117,1269,17,1290,..,162,4,165,3,170,..,9926,1071,10995,164,11158,..,1158,97,1252,15,1264,..,107,6,110,0,110,..,31,13,43,0,43,..,115,24,141,3,145,..,637,90,730,5,729,..,346,21,372,4,373,..,82,17,103,0,103,..,260,41,298,0,298,..,189,17,202,7,212,..,103,7,106,4,113,..,1050,104,1160,15,1175,..,451,82,533,7,541,..,883,30,911,5,918,..,184,11,194,3,194,..,1124,23,1147,7,1153,..,254,12,262,0,260,..,2446,74,2520,16,2536,..,924,123,1045,11,1055,..,447
CED220,..,354,66,423,0,429,..,9067,1853,10924,86,11013,..,161,16,178,0,177,..,984,18,1001,16,1013,..,543,8,552,7,554,..,4177,992,5175,20,5192,..,236,13,245,0,246,..,836,54,883,7,887,..,1345,37,1379,8,1393,..,417,7,427,0,428,..,298,14,313,0,310,..,526,12,534,3,534,..,201,8,204,5,212,..,360,8,369,4,369,..,4215,143,4356,29,4390,..,1274,83,1358,15,1373,..,605,94,699,9,710,..,75,9,85,0,85,..,439,87,531,4,535,..,83,7,93,0,93,..,236,3,239,5,239,..,389,31,420,4,425,..,375,35,412,7,421,..,320,14,328,3,329,..,1123,413,1537,24,1565,..,8,0,10,0,10,..,279,25,309,7,308,..,274,10,281,0,281,..,577,44,621,8,626,..,331,4,338,0,339,..,173,6,182,0,182,..,1360,60,1422,9,1429,..,1485,89,1573,16,1586,..,602
CED221,..,305,89,394,5,401,..,2504,1037,3537,26,3559,..,275,46,320,3,320,..,884,28,909,12,920,..,194,4,193,9,200,..,926,120,1045,4,1053,..,478,20,499,3,507,..,1604,173,1776,20,1792,..,3567,197,3767,40,3800,..,524,77,595,13,606,..,10109,1084,11188,139,11325,..,5349,331,5672,74,5746,..,1341,169,1505,19,1521,..,726,44,768,3,769,..,23690,2079,25768,304,26074,..,683,81,765,4,765,..,117,16,131,3,137,..,1443,713,2160,14,2172,..,191,56,246,0,246,..,130,21,154,0,154,..,2832,214,3039,43,3086,..,714,195,914,7,922,..,329,76,406,0,402,..,198,24,220,0,222,..,308,49,352,4,356,..,1879,218,2098,26,2120,..,693,162,852,11,863,..,1573,58,1630,9,1640,..,402,46,447,4,448,..,1997,57,2060,10,2069,..,569,39,605,3,608,..,4544,200,4743,29,4770,..,1368,221,1587,10,1606,..,2826
CED222,..,1093,566,1655,11,1660,..,14088,6124,20217,170,20390,..,456,96,550,5,560,..,812,40,848,16,864,..,353,9,361,9,368,..,8999,2592,11591,101,11690,..,888,38,929,5,935,..,1680,106,1785,14,1797,..,3250,147,3398,22,3419,..,744,37,784,5,793,..,4293,316,4607,43,4652,..,2924,168,3087,32,3113,..,1188,86,1273,19,1291,..,553,13,567,4,575,..,15514,913,16431,150,16574,..,2521,613,3138,33,3166,..,645,84,728,8,742,..,5026,3319,8345,52,8401,..,1048,372,1416,12,1432,..,173,28,198,0,198,..,929,38,967,9,971,..,424,74,492,4,498,..,592,122,717,6,721,..,259,29,285,0,285,..,1669,339,2008,10,2018,..,228,30,257,0,260,..,668,189,860,6,860,..,978,27,999,9,1009,..,1047,195,1242,21,1263,..,1162,31,1196,7,1202,..,1380,542,1917,15,1937,..,4558,794,5353,56,5405,..,1278,244,1524,12,1537,..,1759
CED223,..,24,4,32,0,32,..,438,133,575,5,581,..,144,29,171,6,173,..,210,9,227,4,227,..,422,9,428,6,430,..,150,12,159,3,166,..,50,3,48,0,48,..,75,7,82,0,82,..,160,11,164,0,164,..,279,75,357,9,360,..,327,40,363,8,375,..,116,4,127,0,125,..,83,6,86,0,86,..,24,0,27,0,27,..,1109,145,1256,15,1271,..,872,116,989,20,1003,..,83,7,89,0,89,..,35,12,46,0,46,..,39,7,41,0,41,..,21,5,31,0,34,..,172,17,188,3,193,..,31,0,36,0,36,..,55,10,63,0,63,..,49,7,49,0,53,..,62,0,58,0,58,..,24,0,24,0,24,..,77,10,86,0,86,..,251,11,266,5,270,..,46,6,53,0,52,..,238,3,244,0,244,..,62,11,75,0,75,..,603,33,632,3,641,..,185,15,201,0,203,..,66
CED224,..,409,162,577,0,581,..,5681,1947,7627,69,7692,..,403,51,456,3,455,..,738,26,765,13,781,..,530,15,538,13,552,..,3457,541,3999,31,4029,..,207,9,221,3,221,..,312,32,346,4,353,..,1262,53,1315,8,1324,..,147,12,158,0,158,..,908,62,968,9,978,..,973,43,1018,11,1029,..,296,23,315,8,321,..,275,16,287,0,289,..,4375,256,4631,42,4667,..,1537,153,1689,14,1700,..,404,35,444,8,452,..,1212,504,1714,7,1723,..,200,48,244,0,252,..,126,19,146,0,146,..,352,18,366,10,377,..,295,58,351,0,355,..,607,52,660,6,662,..,310,24,333,4,337,..,1620,275,1897,10,1910,..,111,8,114,0,114,..,556,80,634,4,639,..,394,0,400,0,404,..,199,19,223,0,221,..,544,7,555,0,554,..,201,23,226,5,230,..,1342,56,1401,11,1413,..,1106,113,1221,23,1242,..,786
CED225,..,200,58,259,0,256,..,5694,1702,7392,74,7467,..,513,51,571,3,572,..,442,11,452,4,460,..,502,10,509,11,525,..,2446,302,2753,21,2769,..,95,4,96,0,98,..,154,3,155,0,155,..,854,23,881,6,892,..,166,11,169,3,173,..,340,18,354,5,360,..,557,29,589,0,592,..,224,8,231,0,233,..,175,4,178,8,186,..,2558,102,2651,29,2680,..,3046,349,3404,16,3418,..,376,37,411,5,413,..,34,4,43,0,43,..,251,63,316,3,312,..,853,99,953,4,957,..,491,22,507,3,511,..,910,93,1005,10,1019,..,286,21,308,0,308,..,163,18,178,0,178,..,314,30,344,0,348,..,48,4,47,0,47,..,271,42,314,4,314,..,257,0,264,0,263,..,236,32,267,3,270,..,253,8,263,4,267,..,132,0,130,0,134,..,884,41,930,7,935,..,787,56,842,9,851,..,551
CED226,..,724,163,896,11,898,..,18806,5063,23870,149,24017,..,172,19,196,0,196,..,800,26,825,8,834,..,468,16,481,10,490,..,3832,490,4320,15,4333,..,211,10,223,0,227,..,573,25,601,9,609,..,1328,25,1352,10,1366,..,173,8,183,0,188,..,359,17,374,5,375,..,693,7,699,5,709,..,316,9,326,3,323,..,329,8,336,3,343,..,3997,107,4097,35,4135,..,2086,165,2255,23,2275,..,489,40,530,0,530,..,51,5,57,0,57,..,561,113,671,4,670,..,204,15,218,0,218,..,244,6,246,0,251,..,826,65,892,5,898,..,212,10,222,0,225,..,179,5,185,0,189,..,268,22,281,0,281,..,5,0,5,0,5,..,165,7,170,0,170,..,150,0,150,0,146,..,594,38,631,0,633,..,193,6,198,0,196,..,180,10,187,0,183,..,1108,50,1158,6,1162,..,938,74,1014,0,1015,..,642
CED227,..,131,45,174,0,177,..,2150,789,2938,28,2965,..,296,36,334,3,337,..,539,16,554,7,559,..,284,5,287,0,293,..,437,49,489,0,485,..,481,25,510,4,509,..,1241,96,1341,21,1360,..,1972,80,2054,20,2073,..,180,14,197,4,202,..,6130,685,6815,83,6896,..,4993,320,5319,54,5375,..,1110,91,1198,11,1212,..,397,30,420,8,430,..,16509,1339,17847,203,18054,..,671,69,736,5,739,..,130,14,148,0,148,..,224,64,289,3,291,..,242,74,319,0,318,..,73,12,83,0,83,..,1613,107,1722,19,1735,..,294,58,346,5,350,..,218,31,248,6,247,..,132,15,148,0,148,..,182,31,213,3,220,..,385,37,416,3,425,..,239,31,279,3,279,..,746,17,764,9,771,..,258,28,278,5,281,..,836,23,858,15,873,..,263,20,283,0,279,..,2091,88,2183,28,2211,..,919,90,1009,8,1022,..,1530
CED228,..,192,52,246,0,249,..,4071,1409,5475,65,5537,..,353,43,391,0,390,..,383,22,405,5,406,..,168,10,176,4,185,..,792,126,914,10,925,..,2625,155,2781,24,2801,..,3924,338,4260,53,4309,..,7761,448,8206,86,8292,..,1055,103,1159,16,1180,..,13393,1316,14705,201,14911,..,1503,82,1586,21,1606,..,5196,409,5605,69,5681,..,1081,64,1143,11,1157,..,36539,2914,39454,483,39934,..,1692,267,1961,18,1972,..,203,31,226,0,233,..,92,25,118,0,118,..,278,88,362,3,367,..,662,97,760,6,770,..,1502,94,1603,18,1617,..,312,68,383,3,389,..,332,56,384,3,382,..,231,30,269,3,272,..,289,44,338,0,334,..,1107,95,1199,15,1215,..,493,94,586,9,593,..,1919,56,1977,25,2000,..,841,65,908,17,921,..,2549,67,2617,19,2639,..,656,44,704,14,716,..,5967,237,6206,74,6274,..,1282,167,1449,11,1463,..,2534
CED229,..,269,35,300,3,301,..,7367,1257,8628,53,8685,..,233,19,253,0,254,..,1649,62,1712,20,1733,..,834,22,856,14,871,..,2859,551,3410,23,3426,..,223,8,236,0,236,..,546,15,562,8,562,..,1915,39,1956,17,1975,..,404,3,406,0,411,..,317,16,333,0,333,..,298,0,306,0,308,..,221,3,229,0,228,..,413,16,424,0,432,..,4342,109,4453,19,4479,..,1687,96,1778,6,1792,..,695,108,806,14,817,..,51,3,52,0,52,..,708,139,846,7,857,..,196,13,212,7,218,..,250,9,257,0,258,..,615,46,661,4,660,..,540,62,604,4,606,..,900,31,935,11,946,..,1584,516,2097,17,2114,..,27,0,27,0,27,..,349,18,369,0,374,..,412,9,412,3,418,..,836,36,877,3,878,..,417,9,420,3,424,..,283,4,288,0,290,..,1949,47,1997,10,2016,..,3370,231,3598,31,3628,..,456
CED230,..,34,32,68,0,68,..,932,991,1925,33,1959,..,75,7,81,0,81,..,109,13,120,0,118,..,157,8,167,3,168,..,384,60,445,9,445,..,63,0,63,0,67,..,68,0,73,6,81,..,147,4,152,3,158,..,211,14,219,5,225,..,666,93,762,5,762,..,124,8,127,0,127,..,76,3,78,0,82,..,15,0,15,0,15,..,1364,128,1492,12,1513,..,1113,163,1277,13,1281,..,74,3,76,0,77,..,93,62,155,0,155,..,60,10,69,0,69,..,10,0,10,0,10,..,386,40,425,4,427,..,37,14,49,0,49,..,32,4,39,0,39,..,28,6,28,0,28,..,27,3,31,3,35,..,100,28,129,4,134,..,26,3,34,0,34,..,374,19,391,11,396,..,99,39,136,3,138,..,413,21,426,0,430,..,632,283,914,13,927,..,1510,360,1868,30,1897,..,148,8,160,0,160,..,126
CED231,..,216,72,291,3,291,..,3900,1257,5158,48,5207,..,980,138,1113,9,1127,..,349,10,356,4,366,..,366,12,375,16,387,..,3596,641,4238,30,4269,..,168,12,176,0,182,..,197,4,203,0,203,..,1009,43,1053,11,1061,..,631,12,648,0,649,..,430,34,459,5,464,..,664,33,693,5,700,..,394,19,407,0,409,..,179,9,189,0,189,..,3669,157,3826,28,3858,..,6780,1180,7960,49,8010,..,360,33,393,5,395,..,37,6,41,0,41,..,214,50,267,4,271,..,545,74,620,8,625,..,244,8,252,0,252,..,356,55,413,5,413,..,406,23,439,4,439,..,288,21,308,8,311,..,168,11,183,5,185,..,158,16,173,0,178,..,389,54,438,5,446,..,362,11,367,3,370,..,239,9,253,0,252,..,443,12,451,0,456,..,149,10,161,0,161,..,1193,41,1237,6,1239,..,1564,178,1746,20,1763,..,317
CED232,..,63,18,85,0,85,..,883,250,1137,14,1153,..,208,27,236,0,240,..,247,8,252,0,251,..,360,14,372,3,377,..,1030,94,1125,9,1130,..,152,5,159,0,160,..,534,54,588,6,598,..,1387,77,1464,16,1478,..,454,51,505,0,507,..,3621,370,3990,51,4044,..,842,49,887,13,904,..,524,39,555,9,572,..,151,3,151,3,157,..,7662,640,8306,106,8411,..,1612,112,1719,14,1733,..,92,5,101,0,101,..,33,19,51,0,51,..,101,19,118,4,120,..,988,91,1082,11,1091,..,800,56,861,17,872,..,504,95,600,8,610,..,131,8,139,0,145,..,119,11,126,5,129,..,109,10,120,0,118,..,254,22,270,0,273,..,153,6,159,0,161,..,352,14,364,7,375,..,110,4,117,0,117,..,434,8,441,5,450,..,206,28,235,5,239,..,1106,55,1162,16,1180,..,448,28,478,3,477,..,506
CED233,..,704,303,1005,0,1005,..,21066,4610,25678,83,25762,..,228,22,251,3,254,..,1186,41,1229,16,1244,..,798,9,806,14,814,..,1946,516,2458,16,2475,..,503,17,518,3,520,..,265,6,266,0,266,..,2716,57,2773,15,2791,..,701,11,714,0,712,..,428,13,442,6,448,..,558,9,572,0,571,..,394,6,406,5,409,..,727,19,747,11,756,..,6301,139,6435,43,6481,..,2160,256,2415,20,2434,..,971,131,1104,7,1113,..,169,14,178,0,178,..,1554,404,1959,10,1968,..,242,24,265,0,265,..,537,17,548,3,547,..,625,54,675,0,678,..,303,13,315,0,315,..,647,31,674,3,675,..,439,39,477,0,478,..,34,5,39,3,41,..,304,43,338,4,342,..,765,8,771,8,771,..,2237,74,2312,13,2324,..,766,13,772,4,775,..,581,30,610,3,617,..,4353,119,4471,28,4496,..,3129,273,3400,19,3418,..,966
CED234,..,923,251,1169,5,1176,..,29343,9998,39344,354,39696,..,377,46,425,4,428,..,261,10,267,0,267,..,434,3,438,0,441,..,6633,1054,7686,47,7732,..,196,9,207,0,205,..,459,22,480,6,484,..,1503,55,1551,11,1562,..,225,6,229,0,230,..,939,65,1001,3,1004,..,689,24,710,7,720,..,762,33,794,5,798,..,309,12,321,0,330,..,5079,220,5301,35,5337,..,3955,491,4450,19,4465,..,416,54,467,5,472,..,98,62,165,0,165,..,1159,312,1468,18,1490,..,504,57,557,3,564,..,351,13,361,0,369,..,3241,486,3736,19,3753,..,236,14,254,5,253,..,170,15,180,0,182,..,188,24,207,4,207,..,21,0,21,0,21,..,210,32,239,0,239,..,284,0,283,0,283,..,722,57,777,6,784,..,357,6,362,5,362,..,206,6,213,0,212,..,1564,69,1633,14,1648,..,677,49,718,8,728,..,584
