CED_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED211,16501,33200,244,1374,2113,9600,292,1326,12161,46508,14805,58812,1375,5911,2164,7732,3906,12736,7444,26384,22254,85195,58,278,472,1564,150,514,1997,4964,2691,7321,412,1311,916,2071,2815,6150,4142,9531,6832,16849,627,1335,46217,136581
CED212,15165,30532,269,1482,1797,8209,416,1927,10427,40204,12899,51824,1003,4265,1564,5394,3545,11505,6108,21162,19010,72984,101,465,581,1916,255,912,2898,7507,3839,10797,369,1193,786,1789,3088,6809,4251,9784,8088,20578,589,1234,42852,125329
CED213,19094,38191,236,1267,1512,6905,380,1678,8005,31190,10139,41045,826,3460,1330,4547,3124,9956,5285,17960,15419,59010,77,322,481,1551,203,699,2181,5609,2938,8183,269,844,673,1487,2555,5504,3492,7832,6431,16018,453,935,41397,114154
CED214,15362,31272,263,1598,1601,7626,348,1747,10432,39762,12644,50729,999,4395,1606,5713,3673,12357,6279,22460,18920,73197,138,688,587,2141,245,958,2684,7103,3649,10899,447,1546,908,2190,3707,8524,5063,12262,8713,23158,1378,3006,44370,130634
CED215,15150,30561,329,1955,2461,11276,396,1916,18423,70065,21601,85201,1066,4585,2047,7140,3177,10370,6295,22100,27896,107307,86,469,529,1918,182,702,2600,6826,3394,9917,325,1089,777,1767,2480,5537,3584,8387,6981,18305,811,1756,50829,157922
CED216,19440,38713,291,1573,1339,6262,451,2045,7773,30621,9847,40497,637,2635,1031,3399,2959,9380,4631,15418,14481,55917,85,420,434,1549,269,1006,2702,7321,3490,10295,213,696,526,1110,2472,5301,3215,7111,6710,17405,529,1091,41159,113127
CED217,15447,30823,169,896,2556,11391,164,715,10680,41075,13568,54071,1248,5273,3200,11459,2988,9567,7438,26298,21007,80368,30,135,454,1362,58,183,1672,3941,2211,5612,271,831,1093,2479,1879,4030,3244,7343,5461,12961,459,956,42370,125107
CED218,12656,25878,491,2938,2830,13365,546,2658,13512,53161,17373,72128,1697,7471,2222,8098,5164,17533,9085,33097,26459,105229,157,832,594,2187,255,977,2437,6833,3452,10827,522,1775,781,1891,2942,6919,4246,10588,7692,21416,646,1407,47457,153936
CED219,14079,28446,446,2731,1994,9561,601,2864,12303,48471,15344,63627,1106,4797,1390,4880,3831,12661,6322,22341,21668,85969,164,823,614,2267,300,1088,3199,8957,4273,13133,362,1185,645,1451,2852,6417,3854,9056,8130,22187,603,1305,44482,137896
CED220,17863,35629,90,488,1603,7144,78,323,8649,32369,10414,40317,870,3657,2368,8467,2093,6676,5328,18804,15741,59124,17,80,310,980,46,165,1401,3214,1780,4438,197,600,819,1857,1638,3474,2649,5937,4429,10373,934,1908,38969,107037
CED221,12991,26528,721,4566,2917,14150,680,3309,16555,65093,20865,87110,1342,5999,1795,6316,3952,13239,7091,25552,27957,112665,193,1005,518,1900,309,1192,2921,8108,3940,12208,408,1407,646,1513,2672,6186,3732,9101,7679,21309,728,1586,49353,162090
CED222,16829,34417,264,1585,2187,10149,378,1784,12672,48262,15506,61779,1289,5636,2371,8365,4794,15948,8449,29947,23957,91732,94,457,550,1932,197,748,2378,6366,3215,9505,486,1656,1100,2610,3913,8969,5501,13230,8723,22733,1402,3079,50903,151954
CED223,19927,39679,255,1400,1546,7167,377,1685,8469,33353,10645,43596,691,2835,1139,3696,2859,8933,4690,15462,15325,59063,95,434,482,1676,237,837,2505,6613,3313,9562,193,612,570,1237,2330,4915,3089,6760,6404,16321,480,994,42143,116060
CED224,15183,30599,270,1462,2133,9699,304,1397,11800,45209,14505,57770,1255,5373,2239,7911,3596,11826,7090,25106,21595,82871,55,276,440,1425,124,447,2076,5097,2699,7244,352,1114,913,2037,2694,5911,3957,9064,6650,16311,575,1222,44003,131005
CED225,15940,31960,217,1226,2032,9253,251,1125,11482,44215,13974,55816,1335,5740,2203,7950,3979,12946,7518,26633,21500,82454,58,260,406,1289,90,295,1920,4711,2475,6558,342,1109,808,1835,2567,5593,3713,8544,6185,15096,573,1202,44196,130714
CED226,16050,32074,130,722,2808,12649,157,641,9876,37919,12965,51930,1404,5946,3602,12928,3169,10149,8175,29024,21143,80948,31,114,549,1717,54,163,1659,3946,2287,5942,286,895,1189,2735,1743,3704,3219,7330,5501,13277,746,1557,43446,127858
CED227,14295,28925,441,2632,2539,11904,559,2588,14829,57986,18369,75105,1250,5370,1738,6170,3322,11028,6303,22565,24674,97670,119,577,500,1829,189,686,2574,7055,3378,10147,369,1219,645,1467,2123,4778,3135,7467,6513,17616,508,1069,45990,145276
CED228,14277,29129,550,3440,2590,12663,519,2535,18822,72743,22483,91382,1168,5175,1858,6508,3591,12025,6616,23708,29098,115088,182,1003,627,2386,263,1059,3186,8972,4258,13422,426,1512,746,1759,2726,6220,3904,9489,8156,22909,927,2042,52464,169165
CED229,21783,43225,105,628,1187,5560,88,400,8226,30337,9604,36926,484,2013,1558,5306,1405,4387,3442,11707,13047,48630,21,101,279,844,57,174,1747,3889,2099,5004,150,450,869,1866,1487,3083,2512,5400,4611,10406,991,2041,40426,104315
CED230,20091,40127,293,1647,1651,7824,452,2105,8388,33531,10784,45100,674,2790,1102,3503,3211,10123,4991,16415,15773,61514,89,414,497,1787,296,1079,2817,7864,3700,11151,192,610,486,1069,2584,5542,3258,7216,6962,18366,702,1490,43526,121499
CED231,15414,30926,178,982,1764,8079,178,792,9867,37562,11985,47415,1162,5087,1943,7023,3474,11438,6581,23549,18564,70966,50,222,408,1350,105,346,1780,4409,2350,6335,326,1051,738,1682,2669,5900,3729,8635,6077,14961,860,1829,40921,118683
CED232,14517,29191,376,2048,2328,10767,503,2329,13401,52599,16604,67737,1256,5380,1738,6165,3708,12174,6700,23727,23308,91461,85,355,528,1785,219,793,2258,6056,3080,8985,346,1092,659,1493,2148,4770,3152,7355,6236,16342,389,823,44449,137810
CED233,24828,49471,42,270,715,3196,75,342,7106,25201,7940,29005,315,1300,1083,3627,1128,3551,2521,8482,10461,37485,33,161,290,940,71,252,1742,4109,2127,5461,153,458,832,1800,1607,3421,2594,5682,4718,11143,2009,4152,42019,102246
CED234,17543,35333,220,1198,2324,10500,269,1142,11744,44918,14558,57755,1540,6608,2986,10676,4792,15716,9322,33007,23882,90759,39,171,490,1576,113,349,1766,4480,2406,6573,395,1257,1065,2477,2674,5927,4135,9657,6539,16230,732,1545,48700,143871
CED235,18606,37139,288,1629,1431,6696,413,1881,7696,30545,9827,40759,637,2713,1073,3552,2937,9242,4647,15513,14473,56267,101,443,413,1445,218,756,2427,6564,3151,9209,215,674,529,1150,2190,4724,2940,6549,6092,15757,446,942,39618,110109
CED236,18489,36907,362,2069,1612,7762,515,2410,8321,33305,10812,45544,806,3440,1072,3577,3272,10404,5153,17418,15964,62965,101,468,509,1823,282,1015,2797,7718,3691,11029,253,790,488,1083,2596,5619,3331,7483,7026,18513,541,1126,42014,119508
CED237,13697,27823,383,2263,2194,10448,489,2316,12672,49255,15734,64281,1463,6423,1715,6171,4939,16596,8120,29191,23851,93470,112,562,498,1807,224,868,2312,6352,3156,9591,436,1498,745,1776,3454,7986,4638,11255,7793,20847,804,1730,46148,143866
CED238,19206,38226,309,1721,1516,7069,402,1880,7997,31787,10226,42449,680,2845,1195,3858,3036,9548,4914,16248,15142,58703,84,382,416,1405,211,757,2324,6202,3036,8754,207,643,483,1008,2347,5081,3038,6727,6073,15481,593,1243,41013,113653
CED239,15986,32155,235,1430,1441,6762,188,895,10255,38637,12121,47724,851,3673,1382,4868,2678,8982,4914,17531,17037,65254,44,218,311,1008,88,311,1704,4140,2150,5682,281,955,646,1495,2602,5794,3526,8251,5674,13930,1020,2150,39724,113487
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
