CED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED211,1151,117,24,0,0,1293,353,36,9,0,0,404,341,36,8,0,0,384,517,49,22,0,0,594,629,83,41,0,0,759,1940,269,162,0,4,2373,2424,418,198,0,3,3046,4382,580,125,0,3,5094,3123,355,35,0,0,3511,2996,229,27,0,4,3258,1761,92,20,0,0,1876,1192,122,30,0,0,1342,20823,2393,701,0,17,23935
CED212,934,104,16,0,0,1053,397,51,8,0,0,451,316,58,4,0,0,378,636,89,11,0,0,740,848,136,21,0,0,1002,2583,500,71,0,0,3155,3335,627,50,0,0,4019,5308,528,28,0,3,5872,2708,165,6,0,0,2886,2100,84,4,0,4,2193,1356,52,4,0,0,1419,1392,124,8,0,0,1529,21912,2524,232,11,13,24688
CED213,968,95,21,0,0,1087,356,39,8,0,0,408,301,41,5,0,0,343,522,49,3,0,0,571,703,89,16,0,0,804,1995,229,35,0,0,2263,2668,270,42,0,0,2984,4092,239,58,0,0,4395,2184,76,31,0,0,2292,1799,61,15,0,0,1874,1388,48,12,0,0,1449,1160,72,15,0,0,1252,18140,1315,260,11,7,19727
CED214,895,203,62,0,0,1158,261,55,25,0,0,339,238,55,30,0,0,319,368,93,72,0,0,538,479,126,154,3,0,756,1511,509,592,5,3,2626,1679,706,607,8,3,3002,2672,1098,508,10,0,4284,1457,524,160,3,3,2154,1455,392,92,4,0,1942,976,223,52,5,3,1254,903,214,122,6,0,1241,12897,4192,2486,43,13,19625
CED215,941,138,25,0,0,1098,238,53,16,0,0,302,222,38,9,0,0,271,389,65,13,0,0,468,499,100,28,0,0,624,1835,398,109,0,0,2348,2902,644,156,3,6,3704,5979,1007,147,0,6,7141,3180,590,60,0,0,3834,2605,581,30,0,7,3227,1915,356,21,0,0,2293,1469,216,38,4,0,1729,22174,4180,652,11,16,27039
CED216,973,34,10,0,6,1023,649,21,14,4,0,681,662,16,6,0,0,682,1398,32,21,5,0,1455,1929,34,25,0,4,1993,4537,60,32,0,7,4634,3429,33,6,4,5,3479,2397,21,8,4,6,2432,758,6,0,0,0,765,567,3,3,0,0,575,388,4,0,0,0,400,1151,20,7,0,0,1187,18846,289,139,21,27,19316
CED217,831,225,75,0,0,1130,158,47,39,0,0,248,162,52,34,0,0,243,180,70,43,0,0,297,260,87,53,0,0,412,681,268,232,10,0,1196,668,313,410,9,0,1402,1375,617,646,17,0,2658,1009,537,283,11,3,1843,2093,795,197,3,8,3089,4561,908,138,3,4,5614,982,270,129,3,0,1386,12953,4200,2285,65,17,19518
CED218,1080,78,5,0,3,1162,355,35,4,0,0,396,327,45,4,0,0,372,522,65,3,0,0,598,780,75,11,0,0,867,2668,329,43,0,0,3039,3782,480,56,0,3,4318,6426,462,15,0,4,6910,2783,119,10,0,3,2910,1881,89,0,0,4,1976,1112,56,7,0,0,1177,1812,143,13,0,0,1967,23529,1986,170,5,15,25701
CED219,968,31,9,0,0,1011,417,21,0,4,0,441,353,22,5,0,0,376,709,40,17,0,0,764,1066,53,10,0,0,1136,3796,232,66,0,0,4096,5799,176,69,0,3,6047,6751,93,27,0,10,6878,2025,23,3,0,0,2054,1407,10,6,0,0,1425,795,12,0,0,0,806,1688,37,17,0,0,1742,25763,750,230,7,16,26771
CED220,592,232,259,5,4,1091,105,35,52,0,0,193,74,45,56,0,0,177,109,61,116,0,0,287,141,77,186,0,0,400,416,235,859,10,0,1510,379,253,1070,9,0,1705,770,552,1487,7,5,2816,529,416,644,3,0,1597,1091,679,565,4,0,2338,3164,1002,441,3,3,4612,617,253,299,4,0,1169,7980,3835,6032,46,12,17909
CED221,925,53,5,0,0,985,361,31,0,0,0,387,294,25,9,0,0,327,569,45,3,0,0,616,817,73,8,0,0,896,3194,291,40,0,0,3529,5389,525,23,0,4,5933,9368,492,17,0,9,9881,3530,124,0,0,0,3653,1791,60,0,0,0,1854,951,35,0,0,5,989,1841,110,4,0,0,1958,29035,1856,110,0,13,31018
CED222,1056,166,80,0,0,1298,288,43,32,0,0,361,258,36,25,0,0,326,403,83,59,0,0,545,551,120,89,0,3,769,1494,366,360,0,0,2224,1696,522,445,0,3,2663,2801,930,458,0,3,4191,1847,544,146,0,0,2539,2072,447,152,0,0,2672,1466,262,85,0,0,1815,1131,241,112,0,0,1489,15067,3764,2040,8,14,20889
CED223,886,21,4,0,8,922,516,18,0,0,0,538,493,13,3,4,0,506,1030,50,0,4,0,1082,1617,81,17,3,7,1714,4261,94,13,14,5,4380,3957,34,8,8,6,4009,3166,10,5,3,3,3190,1048,3,0,4,3,1056,846,5,0,7,0,854,548,8,0,3,3,555,1141,25,0,3,0,1165,19494,346,48,51,33,19974
CED224,790,240,92,0,0,1126,225,95,24,0,0,349,169,70,34,0,0,267,355,136,47,4,0,542,463,176,84,5,0,728,1322,482,377,10,0,2192,1597,719,519,11,0,2838,2961,1253,693,5,0,4915,2322,810,294,4,6,3438,2911,664,166,4,0,3746,1931,354,83,0,0,2369,1056,302,149,0,0,1499,16105,5297,2557,38,13,24004
CED225,1020,93,36,0,0,1146,311,22,10,0,0,348,262,40,10,0,0,309,413,49,15,0,0,483,544,66,41,0,0,651,1526,261,130,0,0,1916,1864,342,197,0,0,2415,3360,663,212,4,0,4242,2765,365,95,0,3,3231,3004,244,59,0,0,3305,2233,142,31,0,0,2406,1143,152,41,0,0,1342,18455,2443,875,9,8,21787
CED226,970,235,121,0,0,1335,147,49,31,0,0,226,110,34,33,0,0,179,131,51,60,0,0,245,176,73,85,0,0,336,567,235,357,0,0,1154,474,202,589,5,0,1265,1003,428,814,3,0,2237,690,372,378,0,0,1439,1477,562,300,0,3,2353,4896,898,208,4,5,6007,1010,221,150,0,6,1387,11632,3355,3128,16,15,18153
CED227,797,31,0,0,0,831,300,38,0,0,0,334,289,22,0,0,0,309,472,23,3,0,0,498,768,43,0,0,0,808,2786,180,10,5,6,2983,4840,251,12,3,3,5101,8448,228,16,0,5,8696,3789,67,0,0,3,3863,2319,38,0,0,3,2361,1316,24,0,0,0,1339,1627,58,0,0,3,1692,27743,996,45,6,18,28818
CED228,926,71,8,0,0,1005,313,36,5,0,0,355,273,33,13,0,0,318,564,58,15,0,0,638,831,98,21,0,0,949,3117,344,82,0,0,3545,5584,456,73,0,3,6118,8655,399,24,0,4,9093,2734,115,3,0,0,2853,1507,85,8,0,0,1605,880,43,9,0,0,932,1832,126,19,0,0,1976,27226,1870,279,0,14,29386
CED229,250,264,438,4,0,955,45,56,116,0,0,220,28,52,116,0,0,194,35,64,179,0,0,280,41,87,311,4,0,447,152,252,1279,19,0,1704,124,242,2015,22,7,2410,299,508,2795,34,0,3641,224,394,1283,9,5,1916,415,735,1048,17,0,2212,1309,1484,831,12,3,3639,334,314,601,6,0,1260,3258,4464,11007,132,23,18888
CED230,1164,20,4,0,0,1192,889,7,7,3,0,907,969,14,0,7,0,995,1886,33,13,5,0,1943,2316,47,19,8,4,2389,4540,69,27,5,6,4639,2620,24,5,4,0,2648,1734,19,3,4,3,1763,503,3,0,0,0,508,376,0,0,0,0,377,287,0,0,0,0,292,1151,19,8,4,0,1189,18424,251,93,55,23,18838
CED231,684,213,88,0,0,983,209,53,40,0,0,311,154,48,38,0,0,243,251,109,51,0,0,413,314,126,107,0,0,551,933,442,466,3,0,1847,1105,548,636,5,0,2290,1931,930,658,6,0,3519,1377,640,199,0,0,2213,1836,710,153,3,7,2710,1992,496,81,0,0,2575,927,280,116,0,0,1329,11727,4603,2625,24,8,18982
CED232,895,16,5,0,3,918,364,22,0,0,0,388,303,16,3,0,0,322,527,30,5,0,0,558,789,50,0,0,0,839,2739,137,21,0,0,2898,4490,200,10,0,3,4705,7430,183,6,0,3,7622,3436,58,0,0,0,3492,2559,33,0,0,0,2589,1644,14,0,0,4,1661,1644,37,0,0,0,1688,26818,797,55,3,14,27685
CED233,118,296,456,3,0,872,22,65,86,0,0,168,17,37,104,0,0,155,29,73,193,3,0,295,35,118,292,0,0,449,110,316,1418,5,0,1851,98,326,1912,11,7,2353,182,645,2447,23,6,3298,172,472,1088,19,0,1748,275,995,950,6,0,2229,530,1353,780,13,0,2684,84,336,462,0,0,893,1673,5024,10187,87,15,16987
CED234,1033,228,74,0,0,1333,237,58,18,0,0,313,213,32,14,0,0,255,301,60,35,0,0,399,409,82,58,0,0,546,1090,266,247,0,0,1599,1151,333,362,0,3,1845,2255,659,432,0,0,3349,1678,548,157,0,0,2389,2798,597,113,0,3,3507,3127,411,52,0,6,3589,1118,223,102,0,0,1438,15402,3485,1663,4,12,20576
CED235,863,29,14,0,0,903,519,16,0,0,0,546,494,13,9,0,0,519,987,36,8,5,0,1031,1350,49,16,0,0,1416,3679,89,35,0,5,3804,3794,38,21,0,5,3860,3263,45,8,0,7,3328,1155,8,0,0,0,1172,827,5,5,0,0,841,567,8,0,3,4,583,1172,25,4,0,0,1205,18673,361,122,16,23,19199
CED236,936,26,4,3,5,968,571,16,0,3,0,591,559,25,0,4,0,591,1207,55,0,7,3,1266,1800,40,0,4,0,1839,4652,83,3,6,3,4748,3651,36,0,5,0,3691,2667,21,0,11,4,2703,791,10,0,0,0,800,574,5,0,0,3,586,495,3,0,6,3,507,1158,21,0,5,0,1178,19051,342,8,46,19,19472
CED237,932,82,19,0,0,1033,345,42,9,0,0,393,310,33,4,0,0,345,482,59,13,0,0,556,706,101,34,0,0,842,2358,344,99,0,3,2809,3503,552,106,0,4,4160,5533,513,55,0,4,6109,2289,144,18,0,0,2459,1419,101,13,0,0,1534,876,51,10,0,0,935,1561,150,20,0,0,1729,20307,2187,399,4,12,22905
CED238,1043,28,4,9,3,1081,594,20,8,0,0,627,671,14,3,0,0,695,1365,30,6,3,0,1404,1802,60,20,8,0,1894,4158,98,19,13,0,4286,3130,48,14,3,6,3199,2331,34,10,5,4,2382,833,11,0,3,0,849,631,5,0,0,0,644,545,3,0,3,4,555,1123,19,5,5,0,1154,18225,380,83,53,21,18767
CED239,627,185,68,3,0,883,185,59,32,0,0,277,161,46,32,0,0,247,253,108,49,0,0,412,365,157,114,0,0,639,923,528,490,6,3,1943,1134,787,681,0,6,2609,2128,1525,680,12,3,4350,1489,775,190,9,0,2462,1810,587,132,3,5,2544,1323,326,73,4,0,1724,774,295,100,4,0,1178,11164,5384,2654,46,14,19262
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
