CED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
CED211,2985,3254,1485,882,1118,742,444,10908,597,609,375,259,351,192,93,2480,746,716,392,249,299,173,84,2656,4084,4179,2625,1736,2452,1269,601,16952,13,33,9,8,4,8,0,63,8429,8794,4883,3128,4210,2381,1225,33068,162,310,213,156,252,206,122,1424,113,166,111,77,105,59,25,646,36,83,78,56,95,36,31,421,297,680,535,414,634,362,159,3076,15,13,5,11,5,4,0,65,622,1251,946,718,1092,670,336,5633,9057,10046,5823,3849,5305,3053,1561,38697
CED212,944,1205,738,489,699,383,199,4665,802,810,479,316,410,163,88,3061,870,849,479,279,364,149,77,3058,5095,4795,2617,1708,2033,835,376,17458,31,37,17,12,0,3,0,103,7738,7698,4323,2798,3503,1535,736,28340,86,144,126,107,191,91,54,796,155,216,160,145,180,70,27,943,77,163,98,65,120,64,28,614,842,1357,909,644,758,280,136,4922,40,49,33,24,17,0,0,164,1201,1926,1315,975,1263,509,237,7437,8942,9620,5639,3778,4767,2042,979,35774
CED213,306,391,279,213,304,153,71,1714,524,590,421,276,365,116,46,2334,507,537,355,208,261,110,56,2030,4490,4362,2683,1776,2190,771,394,16666,20,19,15,16,3,0,0,78,5836,5903,3751,2481,3122,1157,572,22816,25,62,38,45,63,34,15,284,81,135,148,97,156,47,22,688,41,120,85,79,103,28,12,472,622,1084,728,578,747,254,111,4113,38,48,35,14,14,4,0,155,803,1449,1033,815,1083,367,160,5712,6642,7349,4781,3301,4206,1523,733,28529
CED214,4082,3911,2065,1347,1848,1349,838,15449,742,627,325,161,229,95,64,2248,1028,683,288,150,187,96,46,2488,2355,1821,892,568,609,333,132,6714,44,42,22,20,3,7,3,132,8251,7083,3596,2241,2881,1886,1088,27022,568,993,695,531,791,604,359,4546,127,175,101,71,85,33,16,608,133,167,89,56,75,41,20,577,288,473,316,208,269,107,71,1734,62,65,32,29,27,15,5,240,1177,1882,1240,895,1243,801,468,7708,9436,8965,4829,3136,4124,2684,1554,34726
CED215,7260,7710,3394,1667,1814,1011,532,23390,1099,1010,575,354,465,200,110,3807,1140,1031,496,266,342,192,86,3562,3574,3536,2138,1321,1577,816,408,13362,51,46,16,6,4,6,4,130,13126,13323,6621,3615,4206,2224,1135,44249,439,683,424,322,381,215,140,2600,161,234,151,107,153,71,42,921,83,147,103,83,100,59,24,600,363,640,494,367,456,222,114,2660,55,62,28,23,8,3,3,178,1103,1765,1211,892,1098,570,325,6956,14229,15085,7829,4508,5298,2797,1457,51204
CED216,433,478,264,154,183,60,28,1597,244,261,167,111,187,39,20,1031,331,315,196,118,120,32,15,1121,4914,4986,3064,2048,2397,611,168,18194,33,46,23,17,13,0,0,130,5953,6090,3714,2450,2907,739,225,22076,42,52,37,29,51,19,3,236,65,104,78,63,63,13,7,394,40,66,51,35,44,13,6,247,1162,1625,1067,782,845,171,55,5702,63,75,48,27,20,4,0,237,1368,1916,1278,937,1025,219,76,6813,7318,8013,4990,3384,3928,955,300,28887
CED217,1688,2201,1393,886,1154,776,442,8539,820,969,628,443,571,377,179,3998,902,1057,683,454,563,332,190,4180,3023,3594,2581,1813,2610,1738,894,16260,18,22,14,6,5,0,0,69,6448,7850,5300,3604,4908,3220,1714,33049,78,222,258,208,268,201,113,1350,65,130,105,87,153,103,56,706,49,111,106,69,95,74,49,547,160,325,339,286,438,327,183,2072,15,12,15,12,9,4,0,66,372,801,822,663,965,710,395,4736,6817,8649,6125,4272,5877,3936,2112,37787
CED218,5041,5888,3188,1940,2593,1793,1067,21509,893,845,479,336,437,240,130,3360,784,737,373,250,277,176,79,2681,3294,3088,1856,1308,1667,824,394,12434,52,52,27,23,3,3,0,164,10062,10609,5923,3856,4982,3034,1669,40138,449,839,538,416,554,411,284,3490,141,213,132,99,138,64,30,818,93,134,113,91,122,45,26,628,413,634,461,341,460,181,96,2598,48,60,32,24,28,10,4,211,1149,1879,1281,971,1304,718,442,7741,11212,12491,7207,4828,6284,3749,2110,47885
CED219,3450,3299,1552,876,1010,559,300,11048,729,652,366,257,341,133,58,2546,679,664,312,223,263,121,53,2312,5058,4974,2772,1851,2162,855,411,18083,38,50,22,10,5,0,0,129,9949,9640,5019,3225,3788,1668,828,34116,323,436,280,179,224,97,63,1603,180,249,159,111,141,37,26,900,83,113,84,71,95,31,19,492,1145,1610,1030,651,825,287,138,5690,50,59,34,26,12,9,0,186,1783,2461,1592,1037,1299,460,242,8875,11736,12105,6604,4259,5080,2124,1070,42990
CED220,1620,1638,702,409,530,388,268,5554,647,573,386,253,345,251,130,2591,771,749,386,249,321,229,121,2835,2717,2704,1928,1391,2028,1439,781,12982,16,16,3,4,3,9,0,51,5777,5681,3401,2306,3233,2308,1302,24007,96,217,152,124,176,148,114,1017,67,96,66,65,94,73,49,513,43,79,61,54,63,40,21,359,139,297,283,226,341,258,158,1706,26,21,6,12,4,3,0,72,369,704,571,469,681,521,344,3659,6151,6390,3972,2774,3909,2834,1645,27673
CED221,7945,8158,4287,2488,3177,1822,1100,28980,856,724,355,237,263,100,42,2580,777,705,334,212,240,95,43,2411,3878,3314,1690,1098,1322,441,184,11925,53,52,33,15,16,5,4,172,13516,12959,6694,4050,5020,2459,1366,46069,454,723,461,366,447,296,210,2951,190,203,106,81,112,37,23,760,91,150,97,76,94,33,17,560,836,1011,650,456,537,161,75,3724,60,64,29,22,16,5,4,204,1635,2152,1348,1007,1206,530,320,8202,15148,15109,8042,5057,6231,2993,1688,54272
CED222,5638,5477,2730,1728,2280,1687,996,20534,676,551,350,208,298,158,98,2335,870,775,368,208,240,150,70,2681,1986,1950,1185,821,1084,595,278,7899,58,50,21,15,12,0,0,153,9221,8810,4648,2978,3908,2592,1443,33603,496,868,596,468,678,542,361,4015,124,149,115,79,113,61,55,693,92,156,81,67,98,57,35,584,239,373,292,231,333,166,79,1715,48,52,29,15,13,9,7,174,1003,1603,1108,861,1234,835,538,7178,10227,10409,5756,3835,5146,3432,1982,40780
CED223,412,432,221,151,192,58,24,1491,272,303,257,152,160,48,17,1207,367,385,234,136,150,36,4,1322,5164,5334,3377,2323,2787,586,156,19732,25,49,27,15,7,0,0,130,6246,6497,4119,2776,3299,734,201,23876,24,48,32,34,51,18,12,217,52,89,81,53,71,18,10,375,32,67,36,41,61,6,5,247,952,1493,1070,750,903,189,52,5423,49,37,30,20,7,5,5,149,1108,1729,1258,893,1092,234,83,6411,7360,8227,5378,3670,4395,975,285,30283
CED224,2476,2892,1663,1077,1316,928,563,10911,895,895,535,332,432,219,91,3406,1031,955,485,303,376,188,101,3441,3744,3638,2201,1519,1963,1008,519,14598,40,26,9,6,4,4,3,84,8185,8410,4891,3233,4090,2346,1277,32437,142,305,228,186,275,213,119,1477,104,183,123,100,123,70,39,736,68,134,92,61,100,54,33,550,297,590,483,334,499,268,133,2597,30,41,16,10,15,5,3,114,640,1250,938,698,1008,607,331,5476,8827,9659,5838,3931,5100,2951,1606,37907
CED225,1715,1927,950,544,687,508,285,6611,776,900,547,337,432,229,142,3370,840,873,415,270,343,197,114,3045,4521,4752,2911,1975,2652,1547,766,19127,29,28,15,4,3,5,0,81,7881,8485,4841,3126,4117,2484,1304,32231,101,199,147,115,186,112,100,945,87,115,115,92,109,55,29,595,43,94,70,52,89,53,39,440,334,605,519,471,603,293,163,2993,19,13,8,10,5,0,8,63,581,1027,860,736,986,520,335,5039,8459,9510,5701,3860,5102,3002,1634,37272
CED226,2016,2980,1726,1200,1450,1024,616,11016,572,644,472,324,485,339,186,3017,698,828,540,378,496,329,183,3445,2333,2854,2337,1818,2806,2081,1106,15334,17,25,19,7,5,0,0,78,5632,7333,5092,3724,5245,3772,2087,32885,156,407,377,304,474,355,206,2282,64,85,86,65,96,105,51,552,42,91,70,55,92,62,41,452,112,258,302,269,392,310,179,1822,28,12,13,6,3,7,4,67,397,848,843,688,1061,839,491,5173,6033,8178,5937,4417,6299,4617,2580,38063
CED227,4583,4806,2416,1311,1617,948,494,16170,805,781,433,288,362,161,68,2909,696,679,351,229,270,121,54,2396,5329,5020,2895,1799,2338,862,362,18606,60,64,24,11,7,0,3,168,11464,11354,6118,3641,4600,2095,977,40253,233,359,223,160,221,118,93,1402,146,202,132,101,124,57,24,790,69,111,87,49,87,37,18,470,811,1194,702,520,684,254,132,4304,47,43,21,11,16,3,0,141,1308,1911,1166,844,1131,472,270,7107,12781,13265,7283,4484,5730,2570,1246,47354
CED228,10526,9841,4615,2286,2713,1550,787,32325,777,745,379,225,282,126,64,2602,737,659,330,212,245,110,59,2364,2608,2475,1511,1024,1276,577,262,9724,79,95,31,20,13,10,0,242,14727,13824,6870,3768,4538,2373,1169,47262,705,1004,622,433,591,336,210,3907,206,224,157,85,134,48,32,883,97,164,85,93,94,35,24,589,713,996,625,463,570,192,92,3659,70,118,51,33,25,4,4,306,1785,2507,1545,1101,1417,616,367,9341,16515,16324,8417,4872,5955,2990,1530,56601
CED229,1821,1485,639,378,424,273,181,5206,857,780,445,284,328,190,93,2982,942,776,411,245,323,166,87,2953,2462,2090,1333,877,1170,719,394,9044,29,32,12,11,3,3,0,95,6116,5165,2852,1800,2249,1349,758,20278,159,235,159,131,186,130,96,1088,98,129,96,79,104,76,45,626,62,127,95,52,75,52,34,494,165,311,251,226,289,211,100,1550,27,21,7,3,11,3,0,76,518,826,604,493,659,467,268,3829,6628,5984,3458,2292,2909,1813,1024,24108
CED230,725,708,360,249,295,84,25,2451,210,222,130,69,91,31,4,748,331,284,169,101,112,13,7,1025,5387,5450,3527,2288,2773,630,168,20228,37,36,23,19,13,0,0,133,6688,6701,4205,2728,3282,760,212,24579,76,85,71,38,55,25,8,357,83,120,63,54,57,14,0,390,25,47,39,37,31,12,3,196,1251,1767,1164,878,888,192,47,6190,54,52,47,26,11,0,0,202,1496,2073,1385,1039,1050,236,54,7343,8182,8774,5595,3768,4333,1000,271,31922
CED231,1491,1556,848,568,692,543,316,6014,700,659,357,286,385,251,125,2767,864,769,346,197,243,178,97,2705,3847,3960,2318,1544,2107,1329,629,15742,20,29,13,10,5,0,0,79,6930,6971,3880,2604,3441,2310,1166,27302,199,277,196,134,218,159,102,1282,78,114,100,85,112,68,31,593,45,95,69,67,75,46,25,425,296,515,405,335,429,268,149,2400,26,39,25,13,14,4,3,124,640,1039,798,635,853,550,309,4816,7569,8010,4673,3233,4294,2864,1474,32118
CED232,2407,2310,1042,567,714,342,183,7564,778,756,475,281,385,143,54,2878,678,734,367,241,279,137,74,2500,6296,6584,3755,2402,3144,1312,530,24020,33,41,11,9,9,3,4,114,10196,10432,5647,3501,4524,1932,845,37074,95,155,101,92,105,74,24,656,91,150,105,79,117,51,31,633,39,70,63,60,76,36,21,374,711,1214,850,582,816,258,154,4591,32,29,23,19,11,3,0,121,978,1620,1149,829,1131,432,233,6369,11175,12049,6798,4325,5656,2361,1075,43447
CED233,2019,1414,619,340,451,294,158,5294,544,368,217,138,138,77,42,1529,771,533,250,133,139,87,41,1955,1923,1390,794,522,695,444,175,5943,15,25,8,0,3,0,0,56,5269,3725,1884,1138,1427,910,421,14777,327,442,322,245,331,322,187,2172,73,98,56,69,61,33,20,425,56,101,56,31,62,39,9,356,131,237,166,112,169,115,65,989,64,62,25,17,9,0,0,176,653,932,630,479,629,509,288,4117,5925,4659,2510,1613,2062,1418,707,18897
CED234,3726,4455,2162,1278,1590,1230,852,15298,550,522,348,236,372,233,145,2406,758,720,410,250,353,241,139,2868,2213,2927,2122,1545,2236,1388,738,13174,36,32,13,9,4,3,6,100,7284,8659,5048,3323,4568,3091,1878,33845,184,522,361,307,445,377,272,2467,61,122,106,67,121,70,43,588,46,96,72,55,89,48,26,436,171,332,295,272,438,249,130,1881,14,19,12,12,5,0,0,63,469,1095,840,708,1095,744,471,5427,7751,9751,5884,4034,5657,3835,2352,39269
CED235,354,396,201,132,160,79,27,1348,352,413,244,188,201,51,16,1460,414,372,220,157,187,49,12,1413,4824,4897,3008,2018,2368,695,259,18065,33,43,35,16,9,0,0,134,5975,6123,3703,2505,2927,882,315,22429,23,57,51,27,36,27,9,224,82,136,96,85,79,22,12,512,34,69,54,46,67,25,9,300,937,1353,911,710,790,199,68,4966,52,64,40,26,24,0,0,202,1123,1686,1152,898,996,267,90,6210,7095,7803,4853,3407,3923,1150,404,28640
CED236,1153,1174,662,391,496,168,70,4104,260,257,143,109,114,42,15,942,336,316,156,123,116,31,11,1093,4792,5066,3221,2153,2641,709,197,18764,42,39,13,15,12,0,0,123,6580,6849,4188,2788,3380,946,291,25023,73,109,84,40,75,28,15,425,108,127,76,49,64,14,4,440,37,68,52,46,39,7,6,258,1135,1713,1137,811,910,194,56,5958,63,72,42,23,20,3,0,230,1416,2093,1390,971,1113,249,80,7307,7998,8941,5573,3759,4497,1193,374,32331
CED237,4940,5166,2520,1515,1960,1321,826,18239,813,796,406,262,363,219,119,2981,752,655,314,182,234,133,67,2329,3180,2987,1653,1081,1367,673,312,11252,47,59,29,16,14,0,0,167,9727,9667,4924,3048,3936,2343,1319,34965,264,479,335,267,398,258,166,2172,137,223,144,110,149,65,47,879,88,150,79,49,86,48,26,512,525,771,556,397,548,249,96,3143,39,47,24,18,10,3,0,143,1053,1670,1140,848,1184,630,328,6854,10781,11335,6064,3896,5119,2970,1651,41812
CED238,339,383,208,131,164,51,11,1290,303,323,187,111,134,39,11,1104,377,387,201,123,140,38,14,1270,5064,5256,3298,2372,2848,669,199,19710,20,26,27,19,14,5,0,103,6098,6365,3918,2763,3300,797,232,23475,20,56,38,27,45,12,0,201,65,133,83,56,85,10,9,436,37,62,48,45,45,5,0,245,837,1314,926,720,771,179,45,4795,38,64,38,21,8,6,3,168,991,1633,1128,863,955,214,54,5846,7089,7998,5054,3621,4256,1014,286,29318
CED239,2553,2252,1033,558,713,511,310,7935,935,808,435,264,353,211,95,3098,979,743,400,208,254,147,74,2805,3509,2978,1654,1125,1360,792,343,11758,37,32,17,8,5,0,0,105,8015,6807,3544,2167,2680,1660,825,25697,123,209,158,133,182,142,84,1038,124,178,142,82,141,65,43,768,44,111,94,54,70,41,27,441,275,471,297,210,361,207,113,1932,25,19,13,11,9,6,3,91,592,987,707,492,762,461,268,4270,8607,7796,4249,2656,3438,2124,1089,29961
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
