CED_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
CED211,0,170,..,2490,172,2662,21,2685,..,560,75,633,6,639,..,180,18,200,3,201,..,96,48,150,0,150,..,332,98,435,5,442,..,52,0,59,0,59,..,207,17,219,4,225,..,510,98,606,3,611,..,165,22,183,0,186,..,51,0,51,0,57,..,129,18,146,0,148,..,8,0,8,0,8,..,86,20,108,0,108,..,189,9,191,0,188,..,233,17,254,0,256,..,269,3,274,0,279,..,84,10,90,0,90,..,769,42,814,9,816,..,369,44,415,6,416,..,258,25,282,7,285,..,256,40,293,0,293,..,57,16,67,0,67,..,481,168,649,3,653,..,2023,818,2837,62,2901,..,17864,4313,22183,257,22439,..,339,73,415,2570,2987,60867,18203,4388,22596,2829,86289,118998,..,..,..,..,118998,..,240,0,246,0,246,..,558,61,618,3,620,..,19,5,26,0,26,..,3747,1039,4788,37,4831,..,9228,3113,12345,143,12491
CED212,0,41,..,630,58,689,13,701,..,379,30,411,0,413,..,84,5,88,0,88,..,61,23,92,0,92,..,59,20,83,0,83,..,24,3,30,0,34,..,280,7,291,4,293,..,62,9,69,0,72,..,192,27,213,4,222,..,80,11,98,0,98,..,329,78,404,0,409,..,94,3,98,0,98,..,141,14,156,0,158,..,254,9,267,4,271,..,97,3,104,0,104,..,323,12,335,0,333,..,85,3,89,0,89,..,760,34,793,3,796,..,368,42,407,3,413,..,159,15,172,3,175,..,219,44,267,0,270,..,76,14,89,0,94,..,174,38,217,0,217,..,1297,206,1499,20,1520,..,7919,1153,9071,90,9155,..,257,25,284,3523,3806,67899,8179,1179,9353,3612,80871,133390,..,..,..,..,133390,..,275,5,274,5,279,..,510,54,565,9,573,..,17,0,19,0,19,..,347,78,426,3,425,..,1054,452,1508,11,1519
CED213,0,9,..,112,5,112,0,112,..,641,56,697,8,704,..,65,4,73,0,73,..,15,0,15,0,15,..,13,0,15,0,15,..,51,0,54,0,54,..,32,3,36,0,36,..,17,0,16,0,16,..,84,4,92,0,92,..,23,0,27,0,28,..,69,5,71,0,72,..,3,0,3,0,3,..,50,5,54,0,54,..,78,5,80,3,83,..,48,0,48,0,48,..,122,6,129,0,129,..,18,0,18,0,18,..,278,10,279,3,285,..,191,11,198,0,198,..,7,0,7,0,7,..,129,16,148,0,153,..,32,5,33,0,33,..,53,14,62,0,62,..,547,64,609,17,627,..,3775,408,4184,53,4238,..,203,14,221,4178,4399,69071,3983,423,4405,4235,77714,133808,..,..,..,..,133808,..,114,3,114,0,114,..,157,16,171,3,175,..,14,4,20,0,20,..,117,31,138,6,144,..,245,90,332,4,338
CED214,0,89,..,3298,324,3624,50,3670,..,1014,263,1282,13,1291,..,180,17,197,3,197,..,39,13,51,0,51,..,118,28,146,5,150,..,753,324,1075,11,1087,..,84,9,89,0,89,..,109,43,145,0,145,..,361,80,444,0,447,..,163,29,193,0,193,..,103,13,114,0,114,..,380,23,396,5,401,..,436,143,573,3,582,..,667,34,699,9,705,..,196,29,225,7,227,..,1063,42,1103,8,1107,..,158,12,174,0,174,..,2085,113,2192,21,2216,..,1068,221,1289,13,1304,..,229,55,287,3,289,..,275,49,321,0,327,..,459,178,636,3,639,..,11327,7336,18662,140,18798,..,5100,1354,6453,93,6548,..,34125,13183,47316,421,47735,..,473,176,653,4831,5485,34376,34598,13365,47969,5251,87592,70818,..,..,..,..,70818,..,36,0,36,0,40,..,2032,437,2463,18,2482,..,38,3,41,0,41,..,3359,1602,4966,25,4993,..,2337,1097,3439,43,3476
CED215,5,546,..,9793,797,10592,142,10732,..,1134,221,1356,4,1362,..,209,21,227,0,233,..,98,45,146,0,147,..,304,84,393,0,397,..,694,148,839,5,845,..,393,29,426,4,428,..,252,27,277,3,283,..,285,49,331,0,328,..,266,28,295,5,298,..,201,23,223,0,222,..,385,20,403,0,410,..,420,92,510,5,512,..,708,17,721,6,729,..,658,65,727,15,749,..,873,24,900,6,900,..,254,16,273,4,273,..,2500,127,2625,29,2658,..,773,105,878,3,883,..,789,55,848,13,858,..,263,64,320,5,324,..,134,17,153,0,151,..,1318,535,1864,22,1881,..,4934,685,5621,125,5740,..,33474,5369,38846,460,39302,..,475,97,570,3872,4442,51167,33954,5459,39413,4335,94911,102615,..,..,..,..,102615,..,413,11,424,8,427,..,3741,546,4295,34,4330,..,24,0,22,0,22,..,1799,538,2337,16,2353,..,5411,2089,7501,89,7589
CED216,0,21,..,437,40,478,4,480,..,373,59,434,5,435,..,16,14,26,0,26,..,7,9,18,0,18,..,23,4,22,0,22,..,6,0,6,0,6,..,150,3,155,0,155,..,10,0,10,0,10,..,61,13,71,0,74,..,18,0,17,0,17,..,33,0,35,0,35,..,7,0,7,0,7,..,17,8,25,0,25,..,204,10,218,0,218,..,39,9,44,6,50,..,220,12,232,0,232,..,89,12,101,0,106,..,558,32,591,5,595,..,98,10,111,0,113,..,47,6,55,0,56,..,93,37,138,3,138,..,12,3,12,0,12,..,111,55,164,4,168,..,670,110,776,24,797,..,3633,549,4182,60,4244,..,209,33,236,5377,5618,68197,3834,585,4423,5441,78058,134378,..,..,..,..,134378,..,177,10,183,0,183,..,170,12,180,9,188,..,47,4,52,0,53,..,105,37,139,4,144,..,370,126,493,0,494
CED217,0,80,..,1044,35,1076,11,1086,..,803,76,882,4,892,..,380,76,454,6,459,..,30,7,37,0,37,..,158,36,188,0,189,..,64,6,70,0,72,..,63,0,66,0,64,..,114,13,135,5,135,..,384,33,418,0,418,..,192,15,211,3,214,..,1463,251,1713,10,1720,..,8,0,8,0,8,..,187,16,203,0,205,..,89,0,94,0,94,..,158,11,163,4,170,..,128,4,129,0,130,..,64,3,62,0,65,..,436,15,446,3,454,..,577,34,606,4,618,..,162,10,165,3,169,..,154,20,176,0,177,..,159,12,168,4,169,..,297,50,349,0,353,..,1966,150,2118,42,2157,..,14646,2223,16872,137,17015,..,282,30,310,2486,2798,60657,14925,2255,17187,2631,80469,117819,..,..,..,..,117819,..,244,0,242,0,245,..,471,28,504,7,506,..,16,0,18,0,18,..,889,182,1064,7,1075,..,4543,1468,6013,43,6055
CED218,7,242,..,6965,668,7637,59,7692,..,1526,183,1706,10,1714,..,91,5,102,0,102,..,46,5,53,0,53,..,90,18,113,0,113,..,1886,453,2337,14,2357,..,359,30,387,5,391,..,156,29,181,0,187,..,368,60,423,0,428,..,128,25,159,0,159,..,83,15,99,0,99,..,462,43,501,3,509,..,639,128,764,4,769,..,1338,32,1372,9,1388,..,166,30,197,0,197,..,1854,69,1924,13,1936,..,225,27,251,0,255,..,3580,162,3743,24,3765,..,1180,213,1397,12,1404,..,552,59,612,4,618,..,213,45,255,0,255,..,863,209,1076,0,1076,..,4663,2764,7430,57,7490,..,6401,1351,7750,81,7834,..,37254,8045,45294,328,45620,..,635,184,813,3817,4632,38644,37887,8224,46110,4144,88900,78373,..,..,..,..,78373,..,58,0,61,0,61,..,4296,584,4885,33,4921,..,13,0,13,0,13,..,1434,561,1993,12,2008,..,1524,584,2112,19,2127
CED219,3,86,..,4705,606,5309,84,5394,..,592,51,640,0,641,..,57,3,62,0,62,..,19,11,26,0,26,..,64,18,82,0,82,..,328,52,374,3,377,..,177,14,187,0,187,..,35,11,45,0,45,..,139,26,160,0,160,..,100,10,109,4,114,..,59,4,67,4,66,..,554,42,594,9,605,..,220,38,259,3,265,..,519,11,534,0,532,..,114,3,117,0,117,..,646,10,657,0,656,..,144,6,155,0,153,..,1428,40,1461,0,1464,..,481,64,548,3,554,..,214,34,245,0,255,..,174,31,199,4,199,..,239,28,275,3,278,..,422,169,595,10,607,..,3251,712,3965,68,4031,..,15432,2336,17768,220,17985,..,354,82,435,4086,4522,61475,15781,2419,18204,4304,83986,121179,..,..,..,..,121179,..,150,0,150,0,155,..,1329,132,1466,10,1473,..,29,3,37,0,37,..,232,56,288,0,291,..,538,183,720,5,729
CED220,0,188,..,1944,87,2030,16,2046,..,634,60,689,10,699,..,347,50,399,5,400,..,52,5,56,0,56,..,260,54,311,0,317,..,48,7,53,0,53,..,113,0,114,0,114,..,210,22,228,0,227,..,228,28,253,3,259,..,164,9,168,0,166,..,645,247,891,12,903,..,3,0,3,0,3,..,163,14,177,0,179,..,166,3,170,0,170,..,332,26,356,3,367,..,194,0,194,0,194,..,94,4,101,0,101,..,790,35,820,3,830,..,762,51,816,9,827,..,297,15,307,0,312,..,260,46,311,4,313,..,125,35,157,5,161,..,555,85,638,4,649,..,1627,160,1783,37,1825,..,17829,2772,20606,193,20795,..,246,28,274,3073,3349,56418,18077,2804,20878,3266,80562,110412,..,..,..,..,110412,..,139,0,138,0,138,..,474,33,509,0,514,..,3,0,3,0,3,..,2028,300,2325,17,2349,..,6684,1487,8169,68,8235
CED221,0,383,..,11291,1190,12478,151,12632,..,359,46,410,0,413,..,64,10,68,0,71,..,701,451,1147,7,1157,..,96,35,131,0,131,..,75,12,86,0,86,..,1419,115,1535,16,1552,..,341,115,459,5,458,..,190,37,230,0,230,..,101,10,106,0,106,..,159,29,189,0,189,..,1014,86,1099,13,1114,..,357,90,446,0,452,..,873,39,906,8,915,..,219,30,252,4,255,..,1109,40,1153,4,1160,..,307,19,328,0,330,..,2508,125,2636,18,2651,..,689,137,825,7,829,..,1375,150,1524,28,1554,..,222,63,283,4,284,..,354,73,435,8,438,..,551,271,818,3,820,..,7603,2433,10034,139,10173,..,32903,6268,39171,422,39594,..,799,276,1072,4040,5113,49012,33703,6540,40245,4461,93721,98187,..,..,..,..,98187,..,186,0,191,0,191,..,1821,219,2036,10,2048,..,15,0,19,0,19,..,568,190,755,7,765,..,1633,754,2386,13,2398
CED222,0,274,..,6718,491,7206,62,7266,..,1355,379,1729,18,1751,..,371,43,412,5,420,..,2432,1962,4393,35,4425,..,548,178,731,3,736,..,77,18,96,0,96,..,439,19,457,5,461,..,185,35,213,0,213,..,317,74,389,0,390,..,141,17,159,0,159,..,917,174,1095,8,1100,..,119,9,130,0,134,..,347,99,442,0,442,..,567,14,578,3,589,..,550,90,644,10,654,..,685,20,707,0,702,..,649,240,884,6,892,..,2453,368,2818,23,2839,..,688,122,812,7,818,..,811,68,875,6,880,..,355,174,524,4,524,..,270,109,379,10,386,..,5579,3745,9326,52,9376,..,4063,1017,5081,88,5168,..,41664,14086,55750,469,56218,..,614,265,880,3547,4428,36524,42278,14348,56628,4018,97169,75459,..,..,..,..,75459,..,86,0,86,0,91,..,1619,231,1851,11,1857,..,3,0,3,0,3,..,3915,1850,5765,39,5800,..,9083,3717,12796,126,12920
CED223,0,12,..,520,87,609,12,615,..,457,60,522,9,529,..,46,5,47,0,47,..,20,4,29,0,29,..,18,3,21,0,21,..,6,0,8,0,14,..,85,6,98,0,98,..,13,0,13,0,13,..,31,3,35,0,35,..,27,0,27,0,25,..,34,0,35,0,35,..,3,0,3,0,3,..,34,6,42,0,42,..,152,9,156,0,156,..,31,4,38,0,35,..,148,0,151,0,154,..,37,12,43,0,43,..,366,19,391,0,391,..,92,7,97,0,97,..,30,3,40,0,40,..,89,25,111,0,111,..,15,0,15,0,15,..,86,57,144,4,146,..,662,148,809,15,825,..,3524,561,4078,61,4140,..,200,32,234,4846,5083,70387,3721,592,4315,4907,79610,138386,..,..,..,..,138386,..,94,0,95,0,95,..,124,16,144,0,145,..,56,5,63,0,63,..,87,27,114,0,118,..,331,103,427,3,434
CED224,0,146,..,2106,151,2252,15,2271,..,804,94,899,6,906,..,227,26,247,5,249,..,628,302,927,0,935,..,103,28,129,0,134,..,71,11,82,0,82,..,172,9,181,3,186,..,141,31,171,0,173,..,338,27,365,0,364,..,162,11,174,0,174,..,907,154,1063,4,1071,..,62,0,64,0,64,..,284,46,331,3,332,..,247,0,252,0,250,..,124,12,139,0,137,..,330,8,335,0,336,..,103,14,117,4,117,..,804,34,842,10,843,..,605,63,668,14,680,..,389,25,420,4,422,..,216,45,264,0,264,..,508,118,627,10,636,..,1058,380,1437,8,1444,..,2862,680,3541,52,3595,..,18784,3748,22533,200,22731,..,406,97,503,2420,2919,57046,19192,3845,23031,2613,82689,111369,..,..,..,..,111369,..,301,3,306,0,306,..,847,113,954,5,959,..,4,0,4,0,4,..,1355,389,1747,15,1765,..,3914,1389,5301,47,5349
CED225,3,93,..,1207,71,1278,9,1285,..,1652,216,1867,7,1875,..,218,22,243,0,241,..,21,3,19,0,19,..,142,44,182,3,185,..,435,61,501,4,504,..,243,8,256,0,254,..,464,46,514,10,518,..,173,10,179,0,179,..,92,9,97,0,97,..,171,18,187,0,194,..,27,0,32,0,32,..,133,18,151,4,160,..,155,0,156,0,154,..,140,19,155,3,162,..,160,6,169,0,168,..,78,0,83,0,79,..,533,27,559,6,568,..,434,28,461,3,467,..,282,22,295,4,305,..,193,22,220,0,223,..,107,17,122,3,126,..,461,101,559,4,565,..,1488,222,1712,53,1768,..,14309,2193,16499,170,16668,..,246,36,280,2121,2395,62391,14551,2225,16773,2289,81452,122659,..,..,..,..,122659,..,181,4,185,0,189,..,1164,192,1351,14,1363,..,20,0,26,0,27,..,1314,277,1588,17,1604,..,4178,1369,5552,56,5606
CED226,0,173,..,1867,66,1938,8,1946,..,1137,104,1243,6,1251,..,288,27,319,0,319,..,29,3,35,0,35,..,318,65,382,4,386,..,111,9,116,0,116,..,111,5,116,0,116,..,415,36,453,0,450,..,132,7,139,0,141,..,98,3,105,0,106,..,168,14,181,0,181,..,4,0,4,0,4,..,76,3,83,0,83,..,86,0,86,0,87,..,330,20,354,0,350,..,138,5,136,0,136,..,109,3,114,0,114,..,657,29,685,3,690,..,508,43,546,0,547,..,310,10,317,4,325,..,218,30,247,0,247,..,107,9,119,0,119,..,971,158,1128,5,1133,..,1060,101,1158,27,1186,..,21968,4154,26121,152,26278,..,244,22,267,2296,2562,56468,22215,4179,26390,2447,85306,110140,..,..,..,..,110140,..,95,0,95,0,95,..,615,50,667,3,671,..,12,0,12,0,11,..,4488,831,5324,29,5349,..,13591,4071,17656,109,17767
CED227,7,222,..,7906,740,8646,103,8749,..,334,38,367,3,373,..,73,8,79,0,79,..,129,40,168,0,164,..,122,44,161,0,161,..,35,7,38,0,38,..,816,54,868,5,873,..,141,28,171,7,175,..,128,19,147,4,149,..,70,6,76,0,76,..,98,23,126,0,126,..,200,20,215,0,223,..,127,18,146,0,149,..,401,11,407,0,414,..,140,13,155,0,157,..,461,14,475,4,480,..,151,8,157,0,157,..,1150,48,1196,10,1211,..,516,52,570,7,576,..,769,80,845,6,853,..,157,25,178,0,177,..,93,17,115,0,115,..,202,54,254,0,254,..,3115,577,3695,79,3776,..,18927,2435,21368,249,21615,..,426,69,504,3605,4110,60395,19356,2512,21868,3857,86111,118865,..,..,..,..,118865,..,264,9,269,0,269,..,1294,112,1405,8,1415,..,13,0,18,0,18,..,381,93,475,5,474,..,1643,645,2291,27,2315
CED228,13,579,..,17009,1637,18646,224,18866,..,867,167,1032,5,1036,..,127,14,139,0,139,..,55,19,67,0,67,..,143,55,195,4,195,..,341,55,393,3,402,..,783,50,834,9,845,..,160,32,188,5,193,..,180,29,208,0,208,..,116,22,140,0,141,..,160,33,189,0,189,..,597,34,630,14,641,..,250,45,298,5,297,..,1091,31,1120,10,1130,..,430,46,474,8,485,..,1423,34,1462,6,1469,..,369,20,384,10,391,..,3308,131,3439,35,3479,..,669,98,764,3,764,..,1243,87,1334,9,1348,..,265,80,349,5,350,..,120,24,137,0,137,..,733,282,1016,8,1026,..,8529,2025,10555,173,10726,..,40513,6051,46569,547,47115,..,709,199,905,5197,6106,47106,41225,6251,47475,5743,100333,94342,..,..,..,..,94342,..,172,6,173,0,171,..,3539,496,4032,36,4072,..,25,3,27,0,27,..,943,247,1189,13,1201,..,2939,1103,4043,55,4089
CED229,0,197,..,1882,53,1938,12,1952,..,796,46,845,6,853,..,404,63,469,12,476,..,24,4,27,0,27,..,398,70,469,6,477,..,108,9,116,0,116,..,114,5,122,0,122,..,301,27,328,0,329,..,336,41,378,6,381,..,475,26,500,11,513,..,898,324,1223,16,1232,..,10,0,10,0,10,..,183,12,199,0,199,..,248,0,245,0,246,..,450,22,482,0,476,..,272,9,273,0,275,..,162,0,157,0,163,..,1127,33,1160,3,1163,..,1698,123,1819,18,1834,..,211,11,220,5,227,..,336,49,388,0,388,..,179,27,210,0,213,..,576,82,657,6,666,..,2869,257,3128,57,3183,..,20483,2447,22931,198,23131,..,273,39,314,4696,5006,57829,20756,2489,23249,4897,85969,114513,..,..,..,..,114513,..,148,0,148,0,152,..,707,59,765,4,767,..,18,0,18,0,18,..,1624,213,1835,13,1843,..,5482,1011,6494,38,6536
CED230,0,8,..,634,65,701,4,709,..,536,114,651,4,656,..,53,4,52,0,52,..,45,42,83,0,83,..,38,6,42,0,42,..,8,0,8,0,8,..,192,17,215,4,214,..,16,3,22,0,22,..,17,8,19,0,19,..,11,0,17,0,17,..,18,4,23,0,20,..,39,4,44,0,44,..,13,5,16,0,16,..,219,12,227,7,236,..,55,13,73,0,70,..,245,15,259,3,259,..,337,112,448,5,455,..,849,152,1004,17,1020,..,91,3,96,0,96,..,63,6,72,0,72,..,132,88,220,4,230,..,129,93,224,0,228,..,184,252,437,7,446,..,1014,307,1323,23,1347,..,5140,1668,6810,84,6891,..,261,49,312,5984,6293,71112,5401,1712,7113,6070,84301,140635,..,..,..,..,140635,..,184,4,191,0,194,..,139,32,169,9,175,..,69,3,73,0,70,..,160,101,264,0,268,..,738,859,1599,29,1624
CED231,0,88,..,1644,96,1739,14,1750,..,3635,751,4383,22,4407,..,217,16,240,0,240,..,19,3,27,0,27,..,124,31,160,3,163,..,273,37,315,6,314,..,127,4,129,0,129,..,151,21,176,0,176,..,224,15,239,0,243,..,157,8,164,0,171,..,108,9,116,0,116,..,90,3,95,0,95,..,201,35,239,0,239,..,201,10,208,0,208,..,147,5,154,0,154,..,278,3,283,0,285,..,93,5,101,0,101,..,723,28,747,3,749,..,832,102,938,8,945,..,157,8,170,0,168,..,239,40,280,0,284,..,561,106,671,4,676,..,1297,522,1818,9,1834,..,2365,464,2833,39,2869,..,19486,3764,23253,170,23427,..,326,51,374,2667,3046,52192,19812,3820,23628,2842,78659,103430,..,..,..,..,103430,..,54,0,52,0,52,..,2822,468,3292,12,3306,..,14,0,14,0,14,..,1651,667,2324,18,2340,..,2030,516,2546,29,2573
CED232,0,74,..,3575,369,3946,45,3995,..,830,57,882,8,891,..,50,4,61,0,61,..,11,10,24,0,24,..,48,18,67,0,68,..,491,42,533,5,534,..,418,29,449,8,457,..,254,47,300,7,304,..,68,7,77,0,77,..,64,3,70,0,68,..,62,6,69,0,72,..,132,9,140,0,139,..,80,3,92,0,87,..,191,4,199,0,204,..,64,0,66,0,67,..,251,0,256,0,257,..,108,14,122,4,121,..,617,28,640,6,646,..,243,21,267,0,265,..,242,19,266,7,270,..,146,23,171,0,170,..,224,35,259,0,259,..,166,35,202,3,207,..,1486,216,1700,44,1750,..,11425,1304,12725,166,12895,..,245,30,279,3232,3510,64400,11667,1333,13007,3403,80801,127556,..,..,..,..,127556,..,230,0,232,0,240,..,1218,190,1404,15,1418,..,36,0,37,0,36,..,243,58,298,3,298,..,576,178,754,14,764
CED233,4,364,..,2849,71,2927,25,2946,..,1053,157,1215,12,1221,..,597,93,691,6,694,..,91,13,101,0,101,..,841,227,1072,4,1076,..,124,17,141,0,141,..,235,6,242,0,242,..,290,26,318,0,318,..,178,4,181,0,183,..,344,16,358,0,360,..,271,24,297,0,300,..,19,0,19,0,15,..,165,27,189,0,189,..,432,6,437,0,440,..,1246,37,1282,9,1289,..,467,4,474,4,472,..,318,17,330,0,338,..,2464,62,2526,16,2546,..,1562,152,1719,10,1728,..,425,24,451,4,456,..,1006,252,1263,7,1264,..,238,61,293,7,299,..,2183,1026,3212,25,3232,..,3052,472,3528,72,3595,..,32762,5777,38541,257,38799,..,342,74,416,6242,6661,56102,33103,5857,38956,6505,101559,114188,..,..,..,..,114188,..,103,0,103,0,103,..,1689,263,1954,9,1966,..,57,0,57,0,55,..,4116,961,5076,19,5089,..,16253,3354,19603,70,19671
CED234,0,158,..,2415,138,2553,10,2561,..,2147,312,2457,7,2466,..,223,33,260,0,260,..,64,38,102,0,103,..,615,173,790,9,801,..,253,37,293,0,295,..,166,7,172,0,172,..,1565,251,1822,6,1828,..,138,12,149,0,149,..,92,7,100,0,100,..,96,13,108,0,111,..,15,0,15,0,15,..,108,22,126,0,126,..,167,0,167,0,167,..,388,35,424,4,427,..,226,4,228,0,231,..,125,6,129,0,129,..,910,40,951,0,951,..,370,29,395,0,399,..,288,9,298,0,298,..,190,31,216,0,216,..,147,26,170,0,170,..,641,173,813,8,820,..,1286,204,1490,62,1551,..,32429,7894,40327,320,40647,..,306,73,381,2535,2913,45451,32738,7962,40702,2853,89005,90405,..,..,..,..,90405,..,251,0,251,0,251,..,2279,177,2460,12,2466,..,16,0,16,0,16,..,10310,2860,13173,104,13274,..,18112,6887,25000,245,25249
