CED_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
CED211,213,4674,155,5045,280,4474,191,4951,643,9036,479,10160,1218,9926,441,11585,1705,8691,395,10795,1658,7355,282,9302,1052,5976,287,7316,621,3654,298,4570,211,1325,247,1785,7616,55114,2774,65500,227,4176,119,4525,344,4005,137,4485,1068,9037,425,10537,1958,10090,438,12488,2720,8635,307,11659,2682,7257,301,10236,1661,6816,365,8845,715,4744,458,5914,130,2318,617,3066,11496,57077,3178,71749,444,8849,271,9568,626,8477,331,9432,1716,18071,904,20697,3170,20019,880,24068,4430,17325,704,22458,4342,14615,584,19537,2707,12793,656,16157,1333,8395,758,10489,338,3642,870,4847,19110,112188,5954,137248
CED212,203,4368,259,4825,237,3848,240,4323,672,8472,628,9771,1141,8777,614,10535,1508,8620,638,10763,1568,7319,501,9384,1000,5720,360,7077,435,3212,310,3959,131,1003,196,1337,6890,51341,3750,61978,219,3877,286,4384,321,3696,232,4242,1119,8493,605,10217,1954,8750,591,11301,2523,8170,511,11209,2487,7119,416,10020,1472,6187,377,8033,525,3774,422,4724,102,1722,395,2215,10729,51797,3831,66354,425,8244,547,9215,558,7538,471,8568,1792,16959,1241,19993,3092,17534,1205,21835,4033,16793,1150,21967,4051,14435,911,19405,2470,11909,732,15113,961,6987,727,8681,236,2727,584,3550,17619,103135,7579,128332
CED213,196,3828,298,4328,161,3255,199,3620,457,5807,446,6707,827,6099,497,7424,1312,7331,596,9238,1640,7569,552,9763,1352,8317,636,10310,766,5386,553,6704,252,1739,342,2332,6957,49328,4138,60419,213,3396,291,3900,252,2754,208,3213,758,5775,413,6944,1459,6355,484,8298,2378,7443,585,10404,2935,7491,566,10995,2073,8834,731,11638,899,6084,714,7697,174,2410,579,3161,11141,50544,4564,66247,410,7231,594,8232,414,6012,410,6826,1213,11583,859,13646,2282,12454,976,15714,3689,14771,1185,19647,4574,15055,1121,20756,3432,17152,1370,21953,1661,11468,1268,14401,426,4149,921,5492,18102,99873,8697,126669
CED214,151,3728,347,4224,312,5514,579,6407,975,15578,1756,18315,1338,11518,1143,13996,1420,8570,811,10792,1232,7279,634,9141,722,5335,493,6545,365,2744,372,3480,126,972,174,1267,6649,61232,6300,74181,221,3587,323,4128,355,5112,475,5938,1419,14265,1385,17067,1839,10780,921,13541,2138,8167,672,10976,1751,6774,558,9081,1144,5497,445,7083,433,3238,397,4074,86,1659,399,2148,9388,59082,5563,74038,370,7315,658,8354,669,10626,1054,12347,2392,29848,3139,35377,3181,22295,2066,27544,3556,16734,1482,21769,2986,14047,1194,18224,1868,10829,938,13633,799,5987,766,7554,215,2628,574,3419,16040,120314,11866,148218
CED215,173,4475,313,4956,283,4468,549,5302,795,11787,1475,14064,1595,15427,1391,18407,1611,9773,711,12098,1307,6637,439,8386,672,4676,274,5628,311,2238,181,2728,109,784,62,952,6851,60266,5396,72514,213,4142,250,4611,314,3914,280,4509,1262,12375,1003,14639,2311,14725,925,17954,2450,9173,518,12142,2011,6389,357,8759,1053,4872,279,6207,350,2803,189,3347,75,1364,126,1573,10038,59752,3934,73730,387,8621,563,9572,601,8382,828,9810,2056,24163,2484,28701,3905,30145,2311,36362,4061,18945,1228,24236,3313,13029,798,17137,1724,9552,553,11831,656,5037,371,6068,183,2146,189,2518,16892,120021,9330,146246
CED216,229,3590,445,4263,227,3178,375,3782,623,6853,1049,8511,902,6305,976,8185,1310,6701,812,8818,1684,8396,853,10923,1359,8925,851,11138,667,4505,546,5727,149,1177,269,1598,7147,49635,6162,62950,281,3308,401,3991,297,2971,320,3587,1041,6936,723,8700,1564,6281,718,8565,2237,6690,687,9611,2874,8119,746,11735,1847,8312,795,10956,741,4644,601,5982,106,1818,416,2340,10987,49081,5403,65464,511,6901,843,8251,524,6149,691,7366,1660,13788,1763,17215,2474,12587,1686,16748,3543,13389,1499,18427,4550,16513,1591,22658,3212,17238,1645,22098,1405,9151,1146,11705,253,2990,688,3939,18133,98715,11568,128407
CED217,169,4969,161,5299,293,3968,173,4432,490,6414,388,7287,817,7944,392,9156,1715,9209,406,11328,1926,7502,274,9700,1132,5970,249,7352,512,3476,249,4238,185,1346,153,1690,7242,50801,2439,60488,220,4559,154,4928,287,3512,115,3915,627,6684,366,7680,1271,8699,405,10378,2893,9476,417,12790,3110,7064,308,10487,1663,6476,362,8502,667,4304,371,5344,150,2601,377,3131,10893,53377,2869,67140,386,9523,317,10235,578,7481,285,8344,1122,13101,749,14967,2096,16641,793,19531,4609,18690,820,24118,5031,14565,581,20184,2798,12443,613,15854,1180,7781,617,9578,340,3953,531,4822,18134,104182,5310,127627
CED218,243,5237,376,5854,292,5205,654,6151,836,10734,1614,13183,1412,11279,1375,14070,1548,9198,826,11571,1275,7270,505,9051,842,5238,329,6413,352,2393,190,2937,83,567,64,717,6886,57128,5930,69945,263,5119,306,5680,434,4604,336,5374,1312,10633,1014,12960,2205,11053,870,14122,2581,8856,611,12050,2203,6933,422,9556,1171,5336,327,6828,364,2465,179,3013,47,980,102,1133,10574,55986,4160,70721,507,10354,682,11541,730,9813,990,11527,2148,21367,2629,26143,3619,22330,2245,28195,4127,18058,1435,23619,3477,14207,929,18609,2010,10579,655,13241,718,4859,369,5950,135,1546,173,1848,17466,113111,10094,140670
CED219,233,4508,352,5089,314,4407,347,5072,882,10288,877,12042,1370,9878,802,12052,1381,8117,597,10093,1229,6567,447,8247,839,5265,347,6456,386,2243,210,2845,67,570,62,701,6708,51840,4047,62598,301,4241,333,4878,396,4094,299,4785,1499,10558,849,12908,2273,9340,762,12369,2419,7529,580,10535,2128,6401,428,8961,1243,5483,355,7077,377,2498,257,3130,51,1038,113,1205,10683,51187,3984,65850,534,8752,682,9964,703,8508,649,9861,2382,20846,1727,24951,3645,19218,1564,24424,3803,15644,1177,20627,3362,12964,877,17203,2082,10745,708,13532,768,4741,469,5974,122,1609,176,1909,17396,103026,8028,128449
CED220,159,3316,143,3615,325,4891,226,5446,722,13762,842,15321,927,9627,548,11103,1510,7438,411,9355,1574,6010,319,7898,820,4913,277,6009,450,3139,252,3842,150,1139,156,1441,6636,54227,3175,64042,161,3395,143,3700,386,5567,307,6252,931,14546,839,16309,1266,9498,502,11258,2398,7370,395,10165,2421,5887,309,8617,1380,5453,349,7177,655,3791,316,4763,124,1925,368,2428,9722,57425,3523,70670,317,6714,286,7314,710,10458,531,11701,1657,28302,1675,31632,2192,19122,1045,22358,3914,14803,804,19519,3992,11897,636,16521,2198,10368,627,13192,1109,6932,567,8606,273,3063,529,3870,16359,111652,6697,134712
CED221,259,5256,324,5837,337,5615,414,6361,982,12650,1080,14710,1482,13447,942,15878,1232,9183,589,11009,1010,6794,463,8268,618,4110,267,4991,246,1895,157,2302,68,476,67,609,6238,59419,4307,69971,289,5098,324,5709,470,5352,357,6183,1667,13264,1035,15965,2218,12411,790,15419,2003,8446,563,11011,1627,6254,407,8289,879,4254,302,5434,289,2112,185,2591,36,897,100,1031,9480,58092,4060,71631,549,10355,648,11548,803,10970,776,12543,2648,25909,2114,30666,3703,25858,1733,31300,3240,17629,1155,22019,2640,13050,871,16563,1495,8365,565,10430,536,4007,345,4887,101,1371,166,1644,15721,117511,8371,141598
CED222,193,4752,257,5202,386,7304,593,8288,973,15979,1505,18457,1320,11879,795,13998,1669,9465,566,11700,1459,8103,486,10047,895,6311,377,7583,546,3936,318,4806,208,1600,164,1972,7643,69338,5068,82051,222,4531,273,5019,430,6248,438,7114,1211,13700,1061,15973,1803,11404,705,13903,2496,9146,513,12155,2248,7711,459,10420,1465,6791,419,8668,660,4681,370,5704,127,2521,292,2941,10661,66725,4518,81903,416,9285,526,10219,816,13556,1034,15407,2188,29682,2570,34431,3115,23282,1502,27900,4163,18612,1081,23858,3713,15817,944,20465,2362,13100,794,16254,1205,8616,690,10506,335,4119,458,4915,18308,136057,9592,163955
CED223,234,3988,418,4642,211,3120,327,3660,578,6797,658,8032,947,6723,675,8342,1349,7508,704,9564,1734,8592,790,11115,1344,8626,789,10761,654,4450,493,5591,162,1300,208,1673,7211,51108,5058,63375,244,3635,391,4273,266,2846,285,3398,966,6680,599,8246,1694,6828,609,9130,2430,7224,674,10324,2858,8303,750,11910,1896,8064,679,10640,765,4584,585,5933,125,2097,354,2575,11232,50269,4920,66422,476,7626,810,8916,472,5965,609,7052,1548,13484,1250,16281,2639,13547,1287,17472,3779,14735,1380,19886,4591,16896,1535,23021,3243,16689,1471,21401,1415,9033,1077,11529,280,3402,560,4247,18445,101372,9986,129805
CED224,204,4262,167,4634,252,3935,184,4365,615,8573,533,9724,1134,9864,475,11466,1731,9142,381,11255,1534,7328,344,9203,919,5516,300,6737,467,3176,280,3925,150,1229,129,1507,7006,53023,2795,62821,227,4110,141,4478,317,3654,147,4115,899,8656,464,10021,1749,10144,487,12380,2725,9053,367,12143,2473,7016,309,9793,1432,6035,369,7836,587,3998,328,4912,121,2269,231,2620,10519,54938,2838,68297,426,8373,310,9111,564,7585,333,8485,1517,17226,1000,19743,2886,20011,959,23851,4450,18198,742,23399,4004,14341,652,19002,2351,11558,665,14574,1055,7175,611,8841,272,3492,360,4126,17524,107966,5628,131118
CED225,209,4443,175,4822,269,4116,219,4603,631,8297,411,9331,1132,9224,433,10785,1719,8584,354,10654,1876,7088,319,9282,1145,6242,281,7668,541,3495,213,4249,168,1169,131,1467,7686,52655,2528,62867,230,3992,125,4341,335,3722,152,4212,902,8352,362,9618,1726,9390,364,11482,2821,8193,323,11333,3073,6946,291,10305,1766,6607,338,8707,658,4106,257,5018,138,2066,198,2403,11645,53373,2406,67424,436,8432,296,9163,604,7840,371,8816,1534,16647,778,18952,2856,18612,795,22268,4543,16769,681,21990,4955,14031,607,19590,2905,12853,619,16381,1201,7605,465,9268,309,3238,326,3870,19332,106026,4933,130296
CED226,267,5425,184,5870,346,5536,199,6089,619,9244,463,10321,905,7952,337,9190,1767,8409,376,10554,2006,7270,310,9586,1170,5890,236,7299,546,3506,205,4256,212,1465,140,1821,7837,54695,2453,64987,274,5202,186,5657,406,5363,205,5977,790,9336,412,10543,1426,8895,353,10684,2984,9013,363,12363,3137,7077,299,10519,1804,6362,292,8461,753,4317,277,5347,163,2708,296,3168,11752,58280,2690,72722,545,10626,365,11534,754,10900,409,12067,1411,18584,874,20867,2327,16854,691,19873,4751,17423,739,22915,5144,14346,607,20099,2977,12249,530,15755,1300,7821,484,9605,374,4171,438,4987,19586,112976,5144,137707
CED227,216,4990,335,5536,242,4575,297,5115,709,10933,765,12406,1271,11243,710,13221,1308,8463,511,10272,1078,6150,330,7559,688,4311,279,5278,329,2433,216,2977,86,625,99,809,5924,53719,3537,63186,253,4514,295,5061,347,4363,251,4964,1351,11549,764,13663,2089,10739,654,13482,2183,7952,482,10612,1891,5760,394,8044,1058,4771,337,6162,366,2731,302,3402,43,1021,199,1271,9581,53390,3678,66650,466,9500,628,10598,589,8940,550,10078,2064,22480,1530,26068,3359,21979,1365,26702,3484,16413,989,20885,2968,11903,725,15597,1749,9083,617,11444,699,5165,519,6381,131,1645,300,2079,15505,107110,7219,129832
CED228,256,5179,433,5868,326,6126,589,7043,1026,14624,1550,17204,1754,15737,1307,18796,1264,8778,664,10709,1135,6535,432,8100,622,4411,300,5335,269,1837,168,2270,44,440,80,566,6705,63662,5520,75889,268,4776,382,5420,449,5171,475,6088,1745,15557,1448,18757,2435,14069,1119,17623,2022,7940,619,10575,1830,6456,403,8693,874,4505,341,5721,261,2090,206,2555,42,838,162,1038,9922,61398,5153,76468,527,9955,813,11294,777,11299,1058,13134,2776,30182,2994,35954,4191,29801,2425,36421,3287,16716,1286,21287,2967,12990,837,16791,1499,8914,643,11050,525,3925,367,4825,82,1276,240,1603,16627,125059,10670,152359
CED229,135,2605,154,2896,281,4730,360,5371,857,17346,1438,19644,1108,12149,980,14237,1395,8405,735,10536,1631,6347,565,8543,833,5224,462,6516,356,2651,302,3311,98,823,182,1101,6709,60283,5166,72154,170,2664,153,2989,347,5259,393,5998,1131,18447,1382,20964,1468,11894,930,14287,2199,8137,595,10935,2241,6075,485,8802,1291,5208,414,6911,444,2847,355,3650,94,1325,329,1757,9387,61861,5038,76283,301,5270,308,5881,627,9988,747,11363,1989,35793,2819,40606,2577,24042,1907,28521,3597,16541,1331,21470,3872,12418,1050,17343,2130,10429,872,13427,803,5499,653,6958,198,2155,511,2862,16091,122140,10201,148433
CED230,225,3953,521,4701,262,3698,371,4333,697,8078,916,9688,939,6930,842,8713,1408,7617,888,9910,1903,9212,1016,12130,1399,8597,981,10974,641,4765,694,6099,179,1606,340,2129,7657,54454,6558,68674,276,3567,442,4283,351,3229,323,3902,1164,7904,809,9873,1643,6648,803,9092,2371,7246,800,10412,2999,8240,863,12097,1880,7914,850,10641,744,5067,783,6596,136,2665,539,3339,11561,52478,6198,70245,500,7523,966,8984,615,6928,690,8235,1859,15984,1722,19562,2589,13582,1642,17807,3777,14858,1685,20319,4903,17454,1874,24230,3278,16509,1824,21612,1383,9833,1481,12696,317,4268,876,5466,19215,106935,12761,138916
