CED_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
CED211,1482,6357,4690,36789,325,49652,36,69,37,778,13,931,20500,236,549,408,97,21788,491,96,34,217,3,843,1642,645,352,1411,14,4065,10229,5566,3988,34489,386,54660,1268,37,218,55,0,1577,394,95,60,346,3,898,1751,685,480,3548,49,6517,1656,373,170,1152,21,3373,431,98,51,179,6,765,5397,163,124,91,13,5784,2277,1259,805,12302,96,16733,2744,1029,397,3285,27,7492,886,10,31,14,0,944,237,45,23,67,0,376,178,35,20,119,0,357,367,140,82,372,4,966,174,55,33,42,0,306,448,268,198,141,0,1056,801,149,139,401,8,1497,332,49,48,110,3,543,44,35,13,8,0,99,2566,1376,992,10755,79,15767,290,29,21,77,3,418,697,116,123,58,0,994,401,31,31,108,4,576,1081,120,98,112,3,1419,1331,28,90,47,5,1490,360,132,67,432,6,1007,15223,1469,1227,2111,107,20150,727,72,42,593,4893,6322,65943,11941,8632,74699,5895,167110
CED212,1429,7349,5813,40948,477,56020,19,175,72,1524,23,1807,2613,96,157,294,17,3173,586,114,64,212,3,987,1670,541,365,1283,19,3879,15258,6953,5364,36957,552,65074,1560,51,280,58,14,1958,555,95,75,416,10,1150,1881,617,464,3190,44,6192,1440,352,230,920,15,2964,399,123,67,172,16,777,2240,144,115,130,0,2632,3337,1425,986,11556,92,17399,2155,824,436,2923,39,6375,147,0,26,11,0,180,348,89,51,101,0,589,118,28,10,52,0,209,348,156,99,337,4,954,937,170,139,85,7,1341,843,340,243,139,5,1575,920,182,122,361,6,1593,780,56,39,96,4,971,333,58,36,12,4,441,4036,1559,1254,10264,124,17231,435,74,32,59,4,596,715,154,105,59,0,1041,442,43,38,148,0,682,478,134,52,100,0,771,348,18,59,12,0,436,623,140,113,416,0,1300,9800,1646,1370,2045,128,14985,530,92,91,761,7138,8612,45750,13589,10436,79787,8455,158012
CED213,1054,6561,4928,43447,644,56623,9,90,62,1347,28,1537,686,78,88,264,13,1125,499,92,44,186,5,824,1681,546,345,1096,34,3701,14858,6409,4688,40835,850,67643,537,12,131,16,3,709,442,92,65,376,4,978,1673,584,425,3235,48,5961,1461,224,131,554,31,2399,277,85,33,146,0,542,434,57,58,72,0,624,3112,1435,916,13128,189,18779,2970,825,335,2925,85,7138,48,0,6,5,0,60,99,18,14,96,4,236,188,35,19,71,0,312,425,119,64,264,12,878,239,96,57,65,7,463,499,303,194,118,9,1127,590,123,88,290,14,1106,214,34,42,73,11,374,55,22,15,6,0,94,3640,1641,1155,11653,141,18227,186,27,24,48,8,290,392,79,67,37,4,580,235,32,32,159,6,473,164,61,46,87,3,363,117,10,14,9,0,146,525,111,93,434,5,1172,4392,1225,981,1829,100,8530,284,89,61,868,7568,8874,33636,12122,8712,86520,9361,150355
CED214,4068,3502,3004,14994,261,25831,60,105,39,776,13,987,14606,262,391,357,111,15721,2154,176,111,350,21,2807,441,210,151,447,3,1254,8123,2746,2192,14059,310,27423,4833,122,349,82,27,5413,395,62,40,151,6,645,1156,319,237,1614,29,3364,3342,387,222,922,31,4902,280,57,22,97,6,465,5959,112,106,67,14,6252,1701,882,643,6694,58,9982,3845,835,428,2317,59,7487,348,7,24,9,0,387,626,98,62,75,0,856,2223,178,108,295,27,2832,3738,421,272,913,39,5377,569,61,45,19,0,705,620,140,129,48,11,946,1357,157,112,350,6,1978,341,30,43,82,0,485,1071,57,36,14,14,1190,1514,693,568,4570,44,7386,1299,86,52,85,9,1527,167,36,16,19,0,248,944,54,58,72,13,1147,544,45,27,31,0,652,31126,323,644,336,143,32574,181,77,46,222,0,529,29743,1556,1293,1556,251,34394,4212,64,107,280,10414,15076,115657,8119,6771,34182,11662,176388
CED215,3458,5378,4088,23562,319,36803,55,91,71,871,10,1104,13402,182,390,310,80,14362,1397,198,118,479,14,2208,865,304,211,570,8,1960,11969,4040,3076,20969,339,40387,4443,101,370,91,8,5015,533,84,53,223,8,900,1579,450,287,2208,39,4564,3216,591,286,1504,30,5616,318,70,31,127,3,556,20910,184,114,61,40,21311,3031,1136,744,8470,71,13448,4642,1180,550,3546,65,9985,809,10,27,11,0,853,2076,588,272,370,13,3324,1812,261,130,452,10,2667,2920,585,319,1649,41,5510,1585,150,106,66,16,1927,1128,272,199,62,13,1662,1121,165,119,452,12,1861,472,37,50,81,5,648,1307,88,28,11,20,1447,2853,1007,785,6502,39,11186,1132,153,79,146,10,1525,834,97,66,29,0,1027,775,55,52,92,6,972,804,64,58,44,3,965,3402,88,164,114,16,3789,398,94,75,312,3,884,31925,1887,1592,1763,221,37388,1964,110,67,430,8851,11418,109330,11528,8401,50720,10009,189984
CED216,865,4719,3575,51975,866,62005,16,108,57,3262,65,3507,847,50,72,283,8,1261,241,45,22,109,5,426,1899,660,421,1576,28,4583,8185,4612,3412,46375,994,63570,1088,35,213,72,20,1430,197,46,41,281,4,563,1500,470,341,3936,85,6333,400,118,44,323,5,884,197,56,7,90,3,351,922,40,26,68,3,1058,1563,973,607,12984,216,16353,1903,573,232,2969,63,5740,45,5,14,5,0,65,30,13,6,56,0,107,31,12,0,35,0,78,600,177,77,658,11,1523,228,69,64,71,5,436,340,183,123,136,8,784,563,125,61,359,14,1122,154,28,24,83,3,291,53,25,8,7,0,88,2308,1196,942,12664,179,17288,104,21,7,46,0,178,239,37,30,24,5,324,209,23,14,134,4,388,154,29,22,32,3,235,282,3,34,14,4,345,282,113,44,378,5,829,4562,751,558,1789,114,7779,338,69,69,1309,11089,12879,24790,8936,6432,100963,13233,154357
CED217,1599,6677,5358,28726,287,42652,33,30,19,352,3,440,8755,202,408,363,34,9768,629,113,68,242,5,1061,1135,407,249,623,5,2421,13420,5461,4117,28769,296,52065,594,36,137,28,5,791,910,138,103,386,4,1537,2318,638,481,2705,35,6170,3667,593,341,2018,30,6650,644,136,57,175,5,1025,3500,129,111,91,8,3842,3807,1400,1050,12160,80,18488,3480,982,559,3229,56,8307,446,19,29,9,0,494,315,57,47,155,9,582,225,56,47,79,4,410,320,121,76,256,0,772,237,43,37,36,0,352,781,211,235,74,3,1309,2533,404,347,810,22,4111,2459,175,195,191,32,3050,50,18,6,11,0,80,3399,1339,1027,9633,56,15456,555,59,37,76,0,734,1795,190,176,50,11,2212,601,69,58,108,0,835,515,117,106,90,10,827,766,33,43,28,0,870,523,96,65,376,3,1065,15279,2219,2060,2522,126,22204,688,67,71,388,4804,6020,62096,12849,10071,63971,5741,154736
CED218,4779,3512,2348,14966,243,25850,49,75,23,594,7,747,8040,125,231,161,43,8607,3310,384,206,882,29,4811,399,138,62,282,0,882,6478,2128,1582,11686,235,22108,8876,234,441,135,17,9707,283,28,21,106,4,441,1071,220,182,1161,21,2660,3190,725,302,1763,29,6006,355,47,39,97,6,540,12105,191,134,80,19,12524,983,465,281,3473,28,5228,6456,1497,771,4892,53,13666,223,4,5,0,0,234,1317,316,136,294,7,2067,4727,578,307,1061,18,6694,6385,1178,721,3502,56,11842,665,86,41,37,14,842,442,110,58,30,4,647,1423,198,119,401,11,2149,250,26,29,53,6,371,1361,93,54,16,11,1534,1088,387,338,2694,27,4531,1763,169,113,193,23,2257,201,40,34,8,0,281,1387,80,60,127,11,1667,1242,63,22,38,3,1364,12550,239,292,201,59,13342,86,42,27,101,3,249,37895,2127,1462,2044,243,43772,2967,112,93,321,9270,12760,116419,9788,6486,35101,10306,178100
CED219,2506,5887,4100,39346,430,52272,55,139,76,2102,22,2390,1817,86,146,240,16,2307,1195,218,129,493,16,2052,931,374,246,870,9,2432,9184,4557,3502,32587,437,50269,3079,87,346,57,11,3583,287,51,31,224,3,600,1488,509,385,3044,34,5468,1048,337,165,859,11,2430,347,72,42,164,7,627,6860,182,84,90,22,7235,2073,1024,698,10620,107,14521,3180,1153,562,4180,43,9113,153,4,15,0,0,172,532,133,48,140,8,857,900,161,79,277,17,1439,3482,1030,605,3074,54,8246,799,116,121,56,4,1097,697,247,212,118,4,1279,874,204,153,614,10,1857,193,35,33,86,0,339,1708,107,54,20,9,1899,2394,1101,776,8570,73,12921,726,105,58,132,10,1040,289,70,34,38,8,438,605,83,43,123,6,861,610,57,28,56,4,751,979,47,78,23,8,1139,286,68,55,315,0,730,20884,1589,1144,2040,145,25809,1130,104,70,791,7962,10049,59786,11611,8159,76650,9186,165389
CED220,1384,5587,4484,26181,200,37839,34,56,24,395,6,516,14098,323,662,504,68,15657,522,141,63,245,7,975,932,389,240,751,13,2327,9605,4992,3680,29137,269,47685,1123,16,170,20,0,1337,928,163,127,409,8,1627,1687,518,401,3062,17,5685,4987,633,383,2097,25,8125,559,130,77,245,10,1013,5762,156,166,132,9,6224,3263,1379,1050,13030,79,18804,3091,989,521,3471,25,8095,669,16,50,15,0,757,251,71,49,128,0,491,198,47,27,85,3,358,240,114,74,225,0,655,252,47,23,22,0,339,701,236,153,67,5,1166,1800,412,267,806,12,3288,1294,131,124,221,8,1781,52,4,4,3,0,62,2744,1294,968,10532,75,15611,432,61,34,77,9,613,755,134,96,39,4,1025,632,53,53,102,8,840,912,119,106,92,7,1241,1381,52,94,41,0,1567,335,108,67,434,3,946,16068,1946,1743,2570,116,22441,741,44,58,328,6018,7179,64778,11639,9129,62718,6798,155062
CED221,4675,5116,3889,27545,331,41553,69,114,78,1231,11,1497,5498,73,188,208,39,6012,643,112,59,169,5,986,1367,416,255,930,15,2984,11542,3805,3129,22268,371,41123,5507,59,346,60,15,5989,782,40,34,159,8,1018,1335,368,271,1899,24,3895,1025,279,173,700,9,2178,529,103,57,160,5,853,19288,228,127,94,34,19775,1793,660,562,5576,76,8669,1777,656,364,2299,32,5132,277,4,7,0,4,297,456,102,62,108,4,731,244,44,15,52,0,352,422,167,96,415,9,1110,1514,164,114,71,15,1877,849,265,195,137,4,1460,695,116,68,197,4,1075,423,44,44,96,0,606,2918,185,82,23,30,3225,2188,808,689,5258,61,9004,989,101,75,98,12,1266,587,101,63,37,0,788,767,34,42,80,6,927,4094,165,96,103,12,4473,1433,41,83,27,9,1597,260,65,44,206,0,579,52534,1799,1334,1626,324,57610,2238,104,98,546,8096,11081,110434,9590,7370,50558,9301,187255
CED222,4254,3588,3000,15533,257,26624,58,47,49,440,9,602,27782,256,523,283,182,29019,822,79,42,139,9,1090,839,178,123,365,14,1522,9319,2516,2034,13700,282,27852,3320,69,245,56,14,3704,779,56,48,159,5,1044,1307,316,206,1305,38,3168,9826,1124,624,2676,190,14438,639,78,58,110,20,900,13510,140,114,65,41,13866,1673,678,429,5600,59,8432,4831,908,395,2431,61,8628,1545,5,40,4,6,1611,643,101,51,128,4,929,273,20,26,42,4,377,473,85,66,193,5,821,430,70,34,16,0,552,468,160,96,50,5,782,1379,135,148,291,13,1973,1503,62,70,77,12,1723,458,49,27,0,11,546,1506,640,455,4244,56,6899,1031,66,30,63,22,1207,708,83,70,28,6,896,695,48,43,79,4,871,2807,145,123,88,21,3183,16281,172,312,130,79,16979,158,41,33,203,0,436,44622,1643,1527,1523,293,49602,3207,76,83,311,7646,11320,137491,8160,6517,34303,9124,195590
CED223,728,4871,3486,53472,747,63305,12,102,64,2903,41,3120,699,31,75,350,12,1165,363,78,34,154,8,639,1364,478,284,1058,23,3215,6784,4611,3427,49806,798,65427,768,16,152,35,17,981,273,64,44,411,4,789,1800,649,431,5776,108,8766,252,95,34,243,8,629,246,73,24,122,6,472,836,39,24,41,4,941,1345,1052,709,17384,223,20709,1994,718,258,3438,48,6456,43,0,4,3,0,58,60,26,10,94,0,182,54,17,9,46,0,130,184,85,60,228,4,558,159,54,42,53,0,308,326,191,153,147,5,825,464,94,59,314,10,945,141,27,23,76,0,271,46,10,8,7,0,76,1861,1203,891,14457,154,18572,164,22,16,56,0,266,191,58,32,30,3,307,161,22,24,127,4,335,104,22,12,15,0,150,248,7,24,11,0,288,288,85,53,477,5,907,4576,840,635,1853,90,7996,249,75,43,1372,9474,11211,21675,9029,6397,108222,11294,156620
CED224,2273,5882,4867,29633,279,42934,33,57,40,602,15,750,10015,184,371,334,40,10952,822,112,73,237,10,1253,1239,373,270,695,14,2591,12128,4928,3740,27846,318,48958,1626,60,237,36,0,1960,724,91,88,296,3,1204,1727,445,375,2420,34,5006,3871,621,387,1800,27,6705,447,103,70,175,5,797,5354,165,147,119,10,5793,3230,1332,867,11139,86,16649,3643,978,526,3297,33,8477,299,9,25,5,0,348,482,122,52,146,10,811,379,46,41,54,0,518,461,133,91,347,4,1030,390,83,55,34,6,560,660,291,206,84,4,1247,1235,222,174,366,3,2000,1627,75,103,73,6,1894,191,28,6,9,8,245,3155,1143,902,8186,73,13457,778,80,50,106,4,1016,980,135,97,40,0,1252,584,39,40,102,0,774,1428,139,131,141,6,1847,2685,72,111,66,13,2937,404,93,72,359,0,932,21597,1939,1727,2170,157,27584,1028,104,62,476,4920,6590,71396,11608,9143,62510,5864,160526
CED225,1328,6111,4512,35787,275,48013,30,63,37,889,10,1020,8907,244,406,422,46,10020,945,160,101,399,9,1617,967,379,265,829,7,2449,8674,5134,3468,34577,282,52129,925,66,161,46,9,1209,438,103,77,378,4,999,1507,514,411,3202,31,5660,3189,682,318,1966,26,6185,338,81,58,164,0,633,3291,171,112,91,3,3669,2522,1468,927,14835,73,19829,7018,1887,810,6509,56,16278,363,14,46,10,0,432,717,131,95,285,7,1240,1281,273,110,545,10,2220,702,232,160,642,9,1752,184,50,36,28,5,302,520,253,176,109,0,1062,839,166,144,396,8,1546,429,44,64,118,0,647,73,22,11,8,0,120,2425,1352,961,11041,62,15843,472,65,32,92,3,668,446,102,86,26,0,666,437,62,56,142,6,702,752,103,49,76,7,979,1044,28,92,42,6,1215,306,110,80,431,0,936,12308,1647,1537,2394,99,17993,551,57,46,532,4244,5428,54198,12528,8704,78366,5074,158869
CED226,1379,5220,4373,27115,240,38326,26,26,15,345,6,421,28535,571,1078,708,108,31002,466,94,75,263,7,904,839,351,238,725,4,2161,8527,4658,3643,30132,210,47179,700,32,147,31,0,910,536,175,124,357,4,1191,1469,503,352,2898,19,5246,4157,685,325,2214,29,7409,381,78,59,196,3,710,4995,235,177,122,4,5537,2265,1315,1048,14421,89,19140,4432,1162,568,4408,37,10609,803,18,60,17,3,894,324,95,52,171,5,642,373,63,51,182,4,670,308,122,61,324,3,817,149,35,19,21,4,217,545,187,141,90,3,966,870,181,174,462,15,1697,417,67,84,113,0,676,35,3,3,5,0,48,2287,1392,1053,11423,63,16224,284,42,20,40,0,393,502,100,82,33,0,722,421,36,48,95,4,600,1095,135,100,77,0,1400,2427,88,141,58,0,2724,308,109,87,493,0,1006,12936,1583,1600,2422,64,18607,541,56,49,338,4553,5537,72240,11163,9129,65532,5295,163354
CED227,2719,6313,4627,38355,408,52420,35,92,48,1180,18,1379,3812,86,159,242,17,4317,616,180,75,247,11,1128,1982,689,424,1893,31,5014,11561,5401,4105,31711,435,53216,2526,68,237,56,9,2893,552,64,35,247,0,900,1514,545,358,2829,36,5286,619,209,108,644,12,1586,545,82,47,240,4,924,11544,209,109,118,22,12009,2210,1054,761,8968,103,13095,1992,903,432,3056,40,6425,351,4,12,0,0,363,277,59,26,63,5,436,125,52,16,67,0,259,367,158,120,453,4,1105,714,114,96,39,4,966,729,327,191,163,5,1419,604,139,115,311,8,1172,360,39,42,114,3,563,726,87,35,12,15,878,2732,1173,892,7950,84,12823,410,89,41,93,4,641,771,132,82,70,8,1061,477,43,30,104,8,657,3478,185,90,133,15,3897,451,20,40,19,3,535,377,102,76,349,6,910,26651,1582,1262,1877,171,31546,1096,115,88,750,6903,8949,70092,11717,8447,71142,8073,169469
CED228,4822,4682,3525,23811,328,37171,81,169,98,1565,28,1937,7423,71,204,158,54,7903,808,148,93,299,14,1352,604,232,154,518,3,1506,10586,3422,2641,19713,404,36764,6684,108,466,68,12,7340,277,30,27,166,4,514,1231,394,230,2003,30,3889,1152,303,132,762,13,2366,277,57,24,92,5,454,31986,193,92,71,62,32395,1709,710,474,6212,79,9180,3880,1059,480,3393,59,8876,436,8,15,0,3,459,1321,402,171,187,12,2089,795,109,71,253,5,1228,2044,545,323,1503,35,4454,2456,173,150,65,25,2869,1036,234,164,107,5,1545,850,157,145,308,14,1468,400,23,31,68,0,524,2145,115,68,38,15,2387,2098,836,664,5230,45,8873,796,86,65,118,4,1077,377,46,49,30,0,505,831,47,46,89,0,1016,1251,40,22,31,6,1347,1824,37,110,31,9,2006,208,61,48,203,0,522,51875,1586,1263,1479,300,56493,2651,92,71,358,10540,13707,126122,9522,6994,46870,11825,201323
CED229,1674,6211,5001,23246,251,36390,47,59,24,603,13,754,11450,196,370,375,57,12456,674,146,77,210,0,1115,1059,383,242,688,8,2379,13087,5118,3755,25000,305,47269,1533,35,186,30,6,1784,1498,189,174,425,9,2292,2546,651,492,2936,31,6650,3471,615,317,1379,21,5798,822,197,128,326,9,1485,5738,122,101,85,15,6063,5062,1422,1000,12017,105,19606,3890,991,523,2821,37,8261,984,19,28,20,11,1058,296,69,36,135,0,534,356,56,25,103,0,543,410,154,97,310,3,974,495,52,46,25,3,633,894,212,153,78,3,1337,2980,607,400,1106,21,5122,1937,196,178,281,21,2610,116,17,14,0,0,147,3560,1302,976,8881,64,14789,564,67,41,69,0,746,1365,183,159,46,5,1763,1225,66,64,116,0,1472,553,74,59,60,4,751,1294,21,60,31,8,1421,435,123,84,437,0,1078,23479,2697,2474,3314,171,32138,1076,140,109,459,9614,11402,78081,13105,10057,56258,10582,168080
CED230,892,3262,2437,58524,981,66092,27,190,68,4512,105,4901,1956,16,58,300,16,2350,256,64,20,205,4,545,832,292,194,648,21,1993,5232,3221,2388,53650,1074,65557,1235,18,167,32,28,1483,144,17,17,346,7,537,849,348,263,8069,105,9636,473,135,48,419,11,1088,189,48,20,104,3,369,1194,47,19,27,0,1288,888,616,424,14888,179,16995,2350,697,264,4197,71,7580,90,0,9,4,0,102,42,11,3,31,0,92,37,4,4,14,0,55,172,75,21,168,0,443,163,47,27,76,7,318,251,105,100,84,8,548,232,72,32,214,4,547,77,20,16,34,5,141,188,30,12,8,11,252,1161,825,623,14548,159,17319,78,10,0,25,4,113,206,27,19,21,0,279,122,19,18,80,0,240,82,17,5,20,0,119,738,5,16,9,13,777,132,69,44,398,8,655,7603,707,494,1497,129,10431,471,57,50,1605,11735,13923,24086,6538,4635,118242,14141,167639
CED231,2013,4695,3440,25351,232,35732,41,56,30,567,15,717,6788,188,385,338,48,7754,1621,243,144,672,11,2695,649,251,199,544,0,1637,6621,3597,2612,24002,247,37067,1448,51,226,67,5,1790,391,83,51,239,3,768,1188,430,312,2497,28,4457,4382,718,348,2267,46,7762,265,50,41,152,0,513,3917,194,108,115,10,4345,2241,1238,866,12622,90,17050,13009,2509,1214,8441,170,25344,325,3,18,13,0,357,1328,277,126,417,0,2146,850,154,84,341,9,1434,2006,420,266,1395,23,4104,254,43,45,31,5,370,505,153,155,65,3,879,1016,178,154,467,9,1826,327,37,44,97,0,509,240,25,17,0,4,288,1797,911,781,7642,60,11196,566,83,47,116,8,817,236,66,49,10,7,368,715,68,58,137,3,975,755,61,52,72,0,941,3506,79,170,93,22,3879,190,82,64,333,0,669,17739,1706,1556,2315,180,23505,824,59,52,408,5289,6636,67189,11141,7890,60877,6316,153408
CED232,1725,6012,4154,44293,370,56560,20,85,57,1669,21,1854,1556,75,137,272,11,2056,559,158,77,313,4,1114,935,378,234,920,14,2486,8917,4932,3665,37967,450,55928,1339,43,180,67,3,1638,290,61,48,338,6,743,1355,550,376,3437,34,5753,1331,442,216,1227,12,3235,214,60,49,141,4,472,6081,119,83,49,13,6354,2115,1303,854,13888,132,18288,4025,1564,687,5777,64,12121,142,0,7,5,0,155,467,150,73,175,0,871,1195,261,138,641,25,2261,1306,515,269,1371,8,3472,363,82,73,58,0,573,437,245,187,111,0,981,581,157,81,468,3,1286,179,33,40,90,0,348,387,58,18,9,3,481,2138,1221,918,10893,82,15263,282,48,33,77,0,437,376,81,40,28,0,519,338,51,52,155,0,600,673,77,46,66,0,867,313,27,60,13,4,402,351,104,67,396,0,916,13775,1441,1039,2192,114,18555,622,71,62,918,6165,7844,45250,11813,8032,87548,7255,159894
CED233,1689,5540,4731,23904,240,36107,58,91,56,887,17,1110,31774,342,675,489,133,33418,634,128,104,282,3,1157,1051,428,270,987,11,2745,12408,5361,4257,27727,307,50066,2617,37,293,33,19,2997,1158,161,146,390,5,1855,2061,637,483,3364,24,6573,2624,521,277,1247,36,4701,309,95,69,195,7,671,8298,173,123,97,26,8716,3971,1748,1347,15032,65,22154,4346,1300,677,3830,59,10211,2308,10,39,34,6,2402,422,74,59,154,3,720,389,68,56,158,0,669,341,188,108,411,0,1054,544,71,55,22,3,701,1069,212,149,90,5,1524,948,229,181,647,9,2018,686,92,70,175,7,1031,150,14,16,8,0,188,3464,1537,1284,10603,76,16958,517,68,47,72,14,717,443,81,59,16,0,604,1236,72,52,127,4,1489,740,95,85,65,0,983,5558,53,168,44,59,5884,446,134,91,521,10,1200,28580,1957,2003,2573,221,35339,1388,48,68,415,13060,14979,103772,12124,10083,59832,14158,199964
CED234,2025,4102,3324,22324,201,31976,35,33,28,370,10,479,44008,474,913,574,253,46221,763,118,65,242,0,1185,1019,312,166,599,4,2100,7628,3569,2649,21843,235,35920,1144,54,169,30,9,1402,373,70,52,208,0,706,1281,414,250,2018,29,3992,7093,881,509,2831,85,11392,361,54,29,118,8,569,5212,154,129,80,9,5580,1438,850,588,8287,43,11201,7632,1431,636,4699,91,14492,1623,10,43,8,4,1691,880,138,101,186,7,1319,717,100,55,245,4,1123,484,143,81,306,7,1019,143,24,15,21,5,207,375,169,102,59,3,714,676,116,94,206,7,1093,331,42,39,65,0,479,52,23,11,0,3,89,1558,903,661,6851,32,10011,346,49,33,42,4,466,622,97,72,39,3,836,421,41,34,85,0,588,916,75,53,65,0,1112,1768,67,127,54,3,2024,215,56,48,311,0,628,19010,1257,1270,1814,96,23450,934,60,34,279,4792,6086,99796,9375,7236,50654,5791,172855
CED235,908,5563,3932,48155,814,59366,22,76,59,1708,35,1889,777,34,75,227,13,1122,291,67,31,93,9,491,2219,689,470,1750,56,5186,9633,5116,3725,43159,899,62539,673,48,186,34,3,941,270,40,46,329,12,700,1595,523,352,3503,69,6040,423,104,32,267,7,838,301,59,31,107,3,500,754,84,23,67,0,928,1980,1179,733,13017,210,17119,1886,640,251,2894,73,5744,56,0,3,0,0,64,40,7,7,35,4,100,65,8,15,31,0,111,595,150,67,473,14,1301,235,67,46,56,8,409,396,239,163,135,9,943,527,104,64,304,10,1005,174,27,17,92,4,315,70,14,10,7,0,106,2495,1367,993,12180,197,17228,172,25,17,43,3,260,266,48,55,31,4,402,204,34,19,123,7,384,146,29,25,33,0,235,176,12,27,5,0,219,366,92,75,391,9,931,4176,871,677,1787,84,7593,313,86,67,1192,8257,9923,26021,10057,7056,92980,10239,146349
