CED_CODE_2021,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
CED211,619,4277,146,5045,625,4143,182,4951,1049,8685,432,10160,1517,9656,411,11585,1858,8570,367,10795,1370,7664,264,9302,1348,5692,270,7316,825,3475,272,4570,151,1380,253,1785,9362,53545,2592,65500,766,3654,103,4525,793,3552,142,4485,1229,8900,407,10537,2195,9889,401,12488,2248,9119,299,11659,1579,8384,274,10236,1635,6895,315,8845,950,4524,436,5914,149,2311,602,3066,11549,57223,2976,71749,1387,7931,254,9568,1418,7697,318,9432,2278,17582,835,20697,3710,19548,810,24068,4108,17685,665,22458,2945,16051,540,19537,2985,12583,586,16157,1775,8005,708,10489,300,3691,854,4847,20908,110773,5567,137248
CED212,344,4241,243,4825,336,3775,216,4323,689,8482,599,9771,1054,8873,608,10535,1259,8870,636,10763,945,7951,497,9384,931,5811,334,7077,499,3170,289,3959,88,1052,193,1337,6147,52223,3609,61978,480,3636,274,4384,514,3509,220,4242,904,8731,588,10217,1598,9152,551,11301,1566,9142,496,11209,1158,8460,401,10020,1257,6418,363,8033,601,3737,389,4724,107,1745,371,2215,8188,54511,3650,66354,830,7874,514,9215,847,7282,438,8568,1597,17214,1185,19993,2646,18025,1156,21835,2826,18010,1136,21967,2104,16410,894,19405,2193,12225,698,15113,1101,6906,683,8681,198,2795,565,3550,14333,106737,7261,128332
CED213,306,3744,279,4328,282,3139,198,3620,532,5753,420,6707,935,6010,474,7424,1371,7288,579,9238,1435,7786,541,9763,1980,7699,630,10310,1228,4949,525,6704,207,1794,334,2332,8274,48167,3979,60419,425,3185,291,3900,351,2659,200,3213,651,5884,400,6944,1317,6505,470,8298,1633,8200,572,10404,1739,8687,568,10995,2449,8502,687,11638,1386,5652,661,7697,229,2372,560,3161,10183,51657,4413,66247,729,6931,576,8232,634,5798,399,6826,1182,11645,820,13646,2255,12519,941,15714,3009,15485,1156,19647,3166,16479,1105,20756,4433,16201,1316,21953,2615,10602,1186,14401,438,4165,887,5492,18462,99821,8393,126669
CED214,282,3610,334,4224,531,5311,568,6407,1295,15363,1649,18315,1151,11757,1086,13996,978,9049,763,10792,730,7801,606,9141,513,5594,439,6545,190,2941,353,3480,42,1059,172,1267,5709,62488,5981,74181,361,3478,288,4128,738,4761,441,5938,1610,14158,1304,17067,1417,11245,882,13541,1156,9188,637,10976,977,7593,517,9081,645,6025,413,7083,214,3501,359,4074,23,1759,358,2148,7136,61707,5197,74038,642,7083,625,8354,1266,10074,1009,12347,2901,29516,2955,35377,2567,23003,1969,27544,2137,18243,1399,21769,1708,15391,1121,18224,1158,11615,853,13633,400,6438,714,7554,66,2824,534,3419,12842,124192,11180,148218
CED215,404,4248,302,4956,441,4328,531,5302,939,11713,1405,14064,1688,15423,1290,18407,1610,9823,661,12098,984,6969,421,8386,727,4637,260,5628,302,2261,165,2728,62,827,68,952,7165,60238,5111,72514,529,3843,239,4611,582,3659,269,4509,1174,12524,940,14639,2076,15025,856,17954,1766,9862,512,12142,1061,7350,347,8759,851,5093,256,6207,320,2841,185,3347,51,1395,121,1573,8418,61584,3724,73730,938,8094,544,9572,1022,7989,796,9810,2115,24240,2350,28701,3763,30447,2150,36362,3382,19682,1169,24236,2049,14320,771,17137,1582,9731,518,11831,621,5101,348,6068,113,2218,191,2518,15586,121824,8839,146246
CED216,444,3404,421,4263,355,3049,371,3782,854,6625,1033,8511,1219,6006,961,8185,1434,6575,806,8818,1835,8273,813,10923,2363,7951,826,11138,1131,4076,515,5727,141,1202,250,1598,9775,47173,5998,62950,466,3133,390,3991,393,2884,311,3587,999,7002,698,8700,1634,6224,709,8565,1703,7237,672,9611,2241,8757,739,11735,2627,7567,763,10956,1221,4197,559,5982,194,1750,394,2340,11481,48754,5231,65464,912,6535,807,8251,751,5937,679,7366,1857,13636,1728,17215,2850,12228,1673,16748,3139,13813,1485,18427,4075,17033,1549,22658,4990,15515,1588,22098,2346,8277,1082,11705,335,2955,651,3939,21253,95928,11226,128407
CED217,669,4481,156,5299,631,3637,164,4432,685,6232,373,7287,1155,7637,362,9156,2140,8814,386,11328,1752,7690,256,9700,1467,5647,237,7352,818,3197,223,4238,140,1380,167,1690,9447,48708,2328,60488,811,3971,151,4928,720,3092,103,3915,853,6483,340,7680,1793,8212,372,10378,2734,9662,391,12790,1935,8264,287,10487,1708,6447,345,8502,877,4129,335,5344,212,2557,364,3131,11638,52811,2689,67140,1477,8452,299,10235,1351,6728,266,8344,1534,12717,714,14967,2948,15848,735,19531,4874,18468,775,24118,3687,15952,545,20184,3174,12099,581,15854,1691,7323,558,9578,354,3938,534,4822,21092,101523,5011,127627
CED218,380,5124,351,5854,409,5120,628,6151,681,10926,1575,13183,932,11825,1311,14070,871,9920,775,11571,651,7938,460,9051,434,5684,297,6413,189,2557,184,2937,26,628,62,717,4589,59726,5638,69945,456,4945,281,5680,607,4474,293,5374,852,11153,957,12960,1152,12143,825,14122,992,10468,585,12050,698,8464,393,9556,489,6039,299,6828,158,2684,166,3013,25,1012,96,1133,5443,61387,3893,70721,842,10067,631,11541,1022,9592,920,11527,1534,22077,2530,26143,2089,23970,2131,28195,1865,20389,1363,23619,1352,16403,855,18609,930,11722,589,13241,355,5247,353,5950,55,1644,151,1848,10029,121111,9527,140670
CED219,418,4333,339,5089,355,4379,337,5072,741,10468,835,12042,1183,10116,753,12052,1027,8495,575,10093,789,7034,419,8247,827,5300,325,6456,335,2314,200,2845,45,602,59,701,5725,53038,3835,62598,538,4023,319,4878,482,4019,289,4785,986,11122,801,12908,1458,10184,727,12369,1280,8684,564,10535,945,7616,397,8961,973,5765,341,7077,374,2518,232,3130,60,1038,108,1205,7097,54969,3783,65850,961,8356,653,9964,838,8398,625,9861,1728,21593,1636,24951,2643,20297,1486,24424,2306,17181,1140,20627,1735,14647,816,17203,1800,11065,663,13532,710,4832,434,5974,104,1633,168,1909,12820,108008,7617,128449
CED220,544,2926,143,3615,808,4419,224,5446,1531,12975,817,15321,1385,9191,525,11103,1787,7170,395,9355,1409,6171,321,7898,1242,4504,267,6009,679,2911,245,3842,127,1165,152,1441,9517,51422,3095,64042,628,2933,136,3700,1212,4744,299,6252,1973,13528,805,16309,1794,8985,488,11258,2308,7473,380,10165,1654,6643,321,8617,1472,5381,327,7177,760,3696,304,4763,143,1917,365,2428,11946,55304,3420,70670,1172,5862,281,7314,2020,9157,517,11701,3508,26502,1622,31632,3175,18169,1010,22358,4095,14646,777,19519,3073,12814,636,16521,2713,9882,594,13192,1444,6611,553,8606,267,3079,519,3870,21466,106729,6511,134712
CED221,375,5137,319,5837,464,5501,402,6361,882,12832,993,14710,1271,13741,866,15878,961,9488,562,11009,585,7268,415,8268,466,4288,241,4991,187,1958,155,2302,25,522,68,609,5219,60731,4021,69971,514,4901,301,5709,607,5214,357,6183,1094,13900,969,15965,1461,13214,737,15419,1008,9475,532,11011,685,7229,381,8289,550,4597,288,5434,231,2185,174,2591,23,916,97,1031,6175,61619,3832,71631,893,10039,622,11548,1073,10715,755,12543,1978,26729,1966,30666,2736,26953,1605,31300,1972,18962,1088,22019,1264,14496,796,16563,1019,8878,527,10430,414,4144,337,4887,45,1439,162,1644,11399,122349,7852,141598
CED222,440,4528,234,5202,841,6889,557,8288,1224,15842,1392,18457,1093,12185,723,13998,1137,10033,524,11700,813,8790,442,10047,728,6519,335,7583,352,4146,300,4806,78,1732,163,1972,6710,70669,4670,82051,587,4188,241,5019,1097,5605,414,7114,1320,13674,975,15973,1373,11885,650,13903,1252,10423,481,12155,1053,8947,416,10420,855,7430,390,8668,428,4930,349,5704,89,2585,264,2941,8060,69659,4185,81903,1024,8721,474,10219,1938,12496,967,15407,2546,29517,2368,34431,2460,24065,1371,27900,2390,20460,1006,23858,1867,17737,860,20465,1589,13947,725,16254,782,9076,657,10506,168,4320,429,4915,14770,140331,8857,163955
CED223,611,3630,400,4642,372,2974,313,3660,915,6495,620,8032,1460,6229,655,8342,1985,6913,668,9564,2420,7921,772,11115,2726,7256,780,10761,1225,3912,455,5591,171,1314,188,1673,11885,46642,4849,63375,649,3229,393,4273,401,2717,280,3398,1018,6647,580,8246,2040,6491,597,9130,2254,7405,663,10324,2642,8558,708,11910,2900,7085,656,10640,1325,4047,561,5933,237,2009,333,2575,13466,48190,4772,66422,1264,6858,795,8916,774,5692,592,7052,1937,13143,1200,16281,3499,12723,1253,17472,4234,14321,1328,19886,5065,16476,1479,23021,5627,14342,1434,21401,2546,7963,1014,11529,407,3319,519,4247,25352,94830,9618,129805
CED224,434,4041,156,4634,439,3750,172,4365,712,8514,499,9724,1248,9763,460,11466,1616,9282,357,11255,1081,7803,325,9203,964,5492,282,6737,505,3155,261,3925,106,1277,121,1507,7102,53087,2624,62821,579,3767,127,4478,605,3377,133,4115,917,8663,437,10021,1769,10163,448,12380,1779,10014,345,12143,1212,8289,295,9793,1138,6378,328,7836,655,3953,310,4912,107,2285,226,2620,8763,56890,2649,68297,1013,7812,279,9111,1043,7130,305,8485,1633,17181,933,19743,3018,19928,912,23851,3400,19294,700,23399,2286,16093,620,19002,2102,11869,610,14574,1163,7107,567,8841,217,3568,345,4126,15866,109982,5277,131118
CED225,574,4090,158,4822,546,3854,197,4603,877,8086,376,9331,1363,9013,407,10785,1855,8470,328,10654,1326,7668,292,9282,1339,6058,280,7668,731,3318,201,4249,102,1244,128,1467,8714,51791,2359,62867,686,3543,120,4341,689,3374,150,4212,1110,8150,359,9618,2061,9073,353,11482,2147,8883,304,11333,1491,8544,271,10305,1584,6822,304,8707,785,4003,228,5018,122,2093,182,2403,10686,54487,2257,67424,1264,7632,274,9163,1245,7228,348,8816,1989,16235,729,18952,3422,18090,755,22268,4005,17349,636,21990,2819,16209,559,19590,2922,12876,581,16381,1512,7320,431,9268,227,3336,305,3870,19400,106280,4619,130296
CED226,994,4719,161,5870,996,4890,205,6089,1160,8730,437,10321,1316,7552,325,9190,2294,7903,359,10554,1950,7334,303,9586,1638,5418,239,7299,956,3113,188,4256,182,1503,133,1821,11486,51154,2343,64987,1167,4324,175,5657,1272,4483,217,5977,1433,8713,393,10543,1963,8382,331,10684,3029,8979,357,12363,2122,8105,283,10519,1961,6217,280,8461,1042,4038,273,5347,203,2683,283,3168,14193,55933,2595,72722,2155,9045,331,11534,2272,9373,422,12067,2596,17446,830,20867,3283,15932,658,19873,5319,16879,721,22915,4074,15445,589,20099,3600,11632,524,15755,1998,7153,459,9605,386,4188,416,4987,25683,107087,4941,137707
CED227,486,4734,313,5536,429,4401,282,5115,814,10879,712,12406,1398,11166,654,13221,1370,8406,496,10272,909,6325,323,7559,785,4216,276,5278,427,2359,201,2977,61,661,88,809,6688,53150,3348,63186,624,4159,276,5061,598,4121,245,4964,1048,11902,719,13663,1735,11137,602,13482,1495,8654,468,10612,1043,6622,375,8044,1004,4837,322,6162,465,2658,275,3402,75,1005,186,1271,8089,55089,3466,66650,1114,8897,590,10598,1026,8523,531,10078,1862,22778,1432,26068,3139,22307,1261,26702,2864,17061,963,20885,1953,12943,701,15597,1791,9055,597,11444,891,5016,473,6381,138,1663,279,2079,14777,108240,6818,129832
CED228,455,4994,416,5868,546,5940,560,7043,1102,14662,1439,17204,1569,16019,1207,18796,1011,9066,628,10709,693,6997,409,8100,553,4504,267,5335,210,1910,154,2270,15,474,80,566,6160,64575,5151,75889,527,4535,361,5420,724,4909,458,6088,1466,15898,1381,18757,1764,14800,1061,17623,1078,8911,583,10575,818,7484,390,8693,589,4817,317,5721,208,2159,196,2555,22,861,157,1038,7190,64375,4903,76468,982,9529,776,11294,1268,10851,1014,13134,2570,30561,2824,35954,3332,30819,2266,36421,2092,17979,1215,21287,1510,14484,795,16791,1145,9321,585,11050,417,4066,340,4825,35,1335,235,1603,13351,128954,10054,152359
CED229,435,2314,147,2896,781,4253,341,5371,1973,16266,1402,19644,1759,11539,938,14237,1756,8044,732,10536,1581,6405,554,8543,1370,4691,461,6516,579,2432,306,3311,81,850,172,1101,10314,56795,5045,72154,598,2238,152,2989,1174,4436,378,5998,2537,17093,1335,20964,2379,10989,921,14287,2256,8095,584,10935,1821,6498,479,8802,1561,4949,396,6911,595,2710,347,3650,86,1352,321,1757,13002,58372,4915,76283,1029,4548,299,5881,1954,8695,719,11363,4509,33357,2739,40606,4139,22527,1858,28521,4014,16138,1317,21470,3400,12906,1040,17343,2934,9644,857,13427,1173,5139,647,6958,162,2206,495,2862,23313,115160,9963,148433
CED230,708,3470,521,4701,557,3414,369,4333,1192,7621,876,9688,1604,6298,816,8713,2063,6981,866,9910,2496,8675,960,12130,2529,7516,928,10974,1333,4123,641,6099,248,1566,314,2129,12737,49650,6285,68674,833,3023,428,4283,540,3055,309,3902,1370,7722,786,9873,2055,6263,776,9092,2368,7270,767,10412,2641,8652,807,12097,2760,7091,790,10641,1515,4375,709,6596,239,2574,523,3339,14316,50024,5897,70245,1543,6489,947,8984,1097,6469,674,8235,2563,15345,1663,19562,3659,12559,1592,17807,4434,14250,1635,20319,5139,17322,1774,24230,5294,14606,1722,21612,2849,8499,1348,12696,485,4139,842,5466,27059,99681,12176,138916
CED231,335,3599,159,4092,532,4127,222,4882,1090,10080,643,11811,1223,9258,471,10951,1388,8298,429,10114,943,7024,346,8317,859,5345,238,6444,390,3357,224,3965,71,1341,110,1526,6835,52425,2838,62097,464,3178,140,3790,720,3771,205,4692,1327,10223,610,12153,1659,9427,484,11574,1605,8683,400,10688,1089,7670,299,9057,1018,6199,302,7522,445,4164,280,4889,60,2109,160,2332,8376,55426,2886,66690,799,6784,303,7886,1252,7895,425,9572,2408,20299,1246,23961,2878,18682,956,22522,2992,16985,828,20803,2033,14695,645,17371,1879,11551,538,13963,833,7516,505,8855,132,3449,277,3856,15208,107855,5721,128786
