CED_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
CED211,2007,968,1039,2008,978,1099,2074,998,1071,2072,946,1040,1990,4815,5332,10149,933,1033,1969,929,980,1911,879,977,1863,872,977,1848,872,933,1807,4488,4907,9389,826,957,1781,793,916,1714,724,874,1597,766,899,1666,711,888,1597,3824,4535,8354,731,901,1634,651,833,1485,705,833,1533,673,855,1523,728,894,1625,3491,4309,7802,621,750,1369,565,691,1252,546,719,1269,483,596,1081,473,625,1095,2691,3374,6064,1886,2538,4422,1135,1714,2846,517,982,1499,123,324,448,9,46,53,80822,86289,167110
CED212,1926,1028,1005,2036,979,1076,2053,961,1038,1997,993,1016,2006,4873,5142,10016,972,1034,2013,937,998,1937,934,1018,1954,866,885,1756,796,929,1723,4509,4875,9382,853,870,1724,783,844,1634,712,819,1538,744,837,1585,645,804,1446,3740,4174,7915,647,817,1461,696,778,1470,628,706,1338,650,767,1420,715,787,1505,3338,3858,7196,566,664,1232,532,595,1129,457,551,1008,468,540,1007,403,483,888,2421,2829,5256,1534,1894,3424,866,1271,2137,386,700,1092,69,209,277,10,34,41,77143,80871,158012
CED213,1901,921,1032,1955,911,1074,1985,1043,1075,2120,984,1127,2112,4817,5256,10072,1016,1097,2114,986,1199,2182,1028,1123,2151,958,1153,2112,964,1153,2120,4946,5735,10684,1034,1159,2189,1040,1204,2239,933,1134,2068,1063,1119,2180,1035,1144,2185,5110,5756,10865,1002,1187,2193,1069,1148,2217,992,1130,2125,1025,1176,2197,1117,1240,2361,5204,5880,11087,935,1065,2001,868,979,1848,804,968,1765,712,814,1530,717,829,1547,4040,4656,8696,2668,3039,5707,1489,1874,3362,685,972,1656,141,277,421,16,43,62,72638,77714,150355
CED214,1994,946,889,1834,942,933,1873,912,866,1774,1012,921,1935,4804,4608,9419,910,933,1845,927,925,1849,890,908,1799,836,889,1730,773,816,1593,4334,4475,8801,811,889,1698,751,824,1573,724,754,1475,703,708,1413,615,725,1341,3613,3894,7507,642,702,1335,578,655,1234,549,607,1152,571,616,1193,596,604,1205,2941,3187,6125,446,526,978,466,487,950,424,468,890,362,414,782,314,390,710,2009,2288,4302,1470,1784,3256,824,1261,2084,347,659,1003,95,206,304,8,23,27,88791,87592,176388
CED215,1905,920,944,1865,943,928,1868,915,905,1817,864,875,1742,4603,4593,9196,843,894,1736,805,847,1645,743,849,1596,731,786,1516,660,787,1453,3781,4162,7945,727,709,1436,678,724,1402,613,682,1299,576,658,1233,542,617,1156,3134,3390,6525,554,606,1159,497,579,1074,481,546,1031,465,541,1011,493,544,1034,2494,2813,5309,411,433,844,354,369,720,321,415,739,259,353,612,267,363,628,1612,1931,3543,1118,1410,2530,635,964,1601,266,463,722,51,129,175,3,17,17,95075,94911,189984
CED216,1959,979,1067,2047,1047,1078,2122,1094,1228,2325,1139,1198,2341,5202,5587,10788,1135,1222,2352,1199,1245,2444,1144,1240,2380,1133,1245,2379,1106,1205,2307,5723,6149,11868,1151,1177,2327,1082,1197,2270,1163,1153,2317,1140,1175,2308,1128,1110,2235,5656,5809,11464,1148,1043,2191,1097,1081,2184,1084,1024,2116,1074,967,2044,1080,1024,2103,5483,5147,10629,836,851,1689,783,756,1533,694,716,1416,646,645,1293,592,600,1191,3553,3572,7128,2172,2408,4579,1069,1400,2468,440,714,1156,78,198,282,4,26,24,76298,78058,154357
CED217,2134,991,1097,2085,1045,1113,2160,1056,1159,2217,1009,1108,2119,5126,5591,10719,975,1028,2005,956,998,1956,914,1012,1928,867,911,1775,856,942,1807,4570,4894,9465,796,855,1656,801,902,1701,732,859,1588,755,861,1614,676,893,1570,3763,4365,8133,723,851,1573,706,827,1538,657,791,1452,680,810,1492,822,858,1677,3593,4135,7727,627,737,1365,567,676,1242,497,621,1116,439,563,996,446,522,968,2569,3119,5686,1665,2223,3887,995,1589,2588,527,1061,1585,159,420,581,11,54,67,74264,80469,154736
CED218,2051,1003,1022,2025,917,962,1881,971,957,1929,935,995,1935,4839,4983,9819,936,940,1875,859,1003,1856,859,920,1779,775,883,1656,788,833,1621,4219,4572,8788,771,808,1576,766,806,1569,662,761,1423,677,740,1413,645,697,1342,3525,3815,7336,591,685,1280,633,616,1254,614,574,1190,520,582,1101,528,554,1082,2889,3019,5909,430,482,906,439,385,820,387,376,762,322,303,629,276,286,562,1850,1836,3685,1084,1184,2269,469,689,1157,209,352,562,38,80,118,3,11,19,89201,88900,178100
CED219,1764,868,967,1836,909,949,1858,816,954,1775,893,903,1797,4386,4645,9030,832,890,1718,777,893,1666,766,872,1639,718,853,1570,766,816,1578,3861,4314,8173,722,836,1559,699,770,1468,678,791,1469,706,783,1487,663,684,1350,3464,3871,7330,646,710,1355,619,654,1272,597,610,1203,610,570,1181,521,671,1191,2995,3208,6203,498,454,953,372,446,821,371,402,774,302,332,630,303,344,649,1843,1984,3825,998,1147,2151,476,726,1201,191,362,553,38,106,145,0,11,11,81404,83986,165389
CED220,1688,870,950,1815,850,922,1774,853,918,1773,812,860,1675,4188,4538,8723,807,853,1664,732,819,1552,753,805,1554,738,841,1577,689,764,1450,3713,4084,7795,660,779,1441,623,754,1383,614,739,1348,593,721,1309,649,717,1366,3135,3703,6842,560,681,1234,558,715,1271,584,626,1207,571,708,1285,601,742,1346,2877,3473,6347,526,608,1135,456,588,1042,429,524,954,392,463,851,418,501,919,2222,2684,4906,1618,2079,3699,845,1360,2206,461,755,1223,125,268,394,5,40,47,74497,80562,155062
CED221,1831,927,926,1855,909,878,1781,930,856,1791,866,862,1728,4545,4442,8987,825,850,1677,786,836,1626,759,756,1517,688,720,1406,666,688,1356,3726,3849,7579,686,636,1318,564,602,1169,533,623,1163,541,538,1076,517,530,1043,2847,2928,5775,456,519,980,436,526,954,368,486,860,441,487,925,443,478,925,2149,2500,4648,380,372,749,318,334,650,311,316,623,274,276,548,227,249,475,1499,1544,3048,800,1039,1844,413,630,1041,161,303,466,33,82,118,3,10,16,93534,93721,187255
CED222,2269,1087,1101,2193,1043,1055,2102,1061,1044,2105,1008,1027,2034,5289,5411,10699,969,993,1960,1013,1058,2067,937,960,1893,965,998,1965,886,992,1876,4760,5009,9771,903,1015,1913,883,924,1803,789,874,1661,761,857,1617,691,875,1559,4020,4534,8557,730,877,1605,721,776,1493,639,831,1467,726,800,1531,754,854,1603,3564,4136,7699,641,689,1329,590,716,1304,572,627,1202,474,602,1073,490,574,1062,2775,3202,5971,2031,2511,4537,1240,1734,2975,589,906,1491,127,250,384,11,44,59,98421,97169,195590
CED223,2106,1024,1114,2137,989,1103,2088,1189,1155,2348,1193,1238,2435,5403,5716,11114,1150,1287,2432,1164,1245,2410,1161,1230,2396,1163,1185,2343,1082,1246,2322,5713,6190,11903,1177,1136,2319,1126,1221,2347,1177,1106,2282,1163,1129,2290,1014,989,2007,5665,5587,11250,1054,1037,2088,1066,1041,2119,1005,1018,2026,984,947,1924,984,1020,2007,5101,5059,10155,857,783,1642,726,798,1527,664,678,1341,612,634,1243,578,644,1224,3437,3532,6966,2158,2402,4558,1070,1470,2539,494,839,1333,105,223,326,4,43,44,77010,79610,156620
CED224,1989,991,1013,2005,949,1034,1983,1013,966,1976,973,1019,1995,4910,5042,9952,908,1019,1927,867,987,1853,878,915,1802,869,919,1786,768,909,1676,4292,4751,9045,824,837,1658,772,817,1591,732,826,1558,673,820,1489,664,812,1473,3660,4108,7776,644,730,1376,612,725,1340,615,752,1367,576,731,1309,624,787,1411,3076,3727,6801,531,627,1159,502,638,1140,454,561,1011,384,523,907,399,496,897,2273,2846,5115,1653,2067,3723,937,1457,2401,447,854,1298,109,262,372,12,49,58,77828,82689,160526
CED225,1953,883,996,1880,958,1071,2032,946,1042,1990,886,1033,1922,4614,5157,9772,1007,1067,2074,891,1014,1905,944,1028,1972,923,1043,1966,903,999,1904,4669,5146,9815,857,982,1843,825,885,1711,761,936,1692,807,892,1698,759,884,1643,4004,4576,8588,752,854,1611,717,866,1584,750,783,1533,711,747,1454,739,878,1614,3667,4128,7792,620,673,1289,565,640,1205,520,604,1124,462,541,1000,466,498,970,2628,2947,5580,1620,2069,3690,923,1356,2281,431,791,1219,106,235,346,7,22,30,77412,81452,158869
CED226,2100,1046,1099,2145,1007,1166,2174,1024,1158,2178,1046,1079,2126,5120,5604,10726,924,1086,2012,906,1023,1929,890,970,1861,881,897,1782,857,932,1792,4458,4913,9374,769,944,1714,787,885,1669,782,907,1693,707,841,1552,772,801,1570,3823,4371,8194,681,799,1482,719,843,1562,672,790,1463,689,827,1521,715,827,1539,3473,4089,7569,632,741,1372,502,607,1110,536,656,1193,436,555,995,444,515,958,2560,3071,5633,1697,2277,3977,1103,1649,2746,557,1062,1616,141,404,543,17,62,76,78044,85306,163354
CED227,1706,784,892,1675,877,870,1751,813,890,1705,769,799,1572,4093,4315,8404,719,768,1489,717,753,1474,720,740,1464,696,709,1407,612,752,1361,3469,3723,7193,607,663,1274,566,657,1225,556,629,1185,568,624,1187,533,616,1149,2832,3190,6021,540,568,1100,457,598,1053,477,581,1059,466,597,1067,504,631,1136,2447,2970,5419,399,475,875,401,453,857,380,431,806,333,356,687,311,400,710,1823,2117,3942,1156,1286,2441,545,745,1298,204,399,608,48,110,162,7,12,19,83354,86111,169469
CED228,1791,861,952,1812,876,911,1785,866,973,1838,882,845,1722,4356,4592,8947,829,885,1721,828,855,1682,749,815,1557,721,805,1527,620,739,1359,3741,4100,7838,694,719,1418,649,679,1327,597,618,1220,572,620,1197,492,538,1026,3007,3174,6191,543,550,1096,433,506,934,433,522,961,454,467,918,463,500,959,2319,2541,4863,361,370,736,312,330,646,320,313,638,228,287,517,218,241,464,1445,1543,2991,822,1013,1834,385,618,997,157,325,477,25,86,108,4,8,13,100992,100333,201323
CED229,1820,841,967,1799,911,958,1866,923,905,1830,923,881,1806,4525,4595,9120,890,875,1766,835,882,1724,818,849,1664,746,774,1528,726,827,1551,4015,4207,8225,723,772,1499,721,743,1462,710,667,1377,627,713,1337,689,666,1352,3460,3568,7031,597,682,1278,586,687,1269,593,650,1245,605,650,1253,675,681,1356,3057,3344,6397,527,508,1040,438,493,929,432,443,873,307,312,618,344,381,726,2050,2137,4189,1263,1515,2773,662,910,1572,328,598,924,102,222,325,7,28,40,82107,85969,168080
CED230,2213,1081,1108,2190,1181,1205,2392,1174,1240,2412,1224,1280,2512,5769,5952,11720,1299,1269,2572,1264,1234,2498,1305,1248,2552,1246,1247,2489,1248,1151,2404,6368,6147,12513,1120,1170,2284,1178,1182,2361,1087,1088,2172,1182,1138,2324,1125,993,2122,5697,5571,11265,1065,1021,2087,1116,1081,2196,992,985,1972,1024,1015,2036,1086,977,2061,5278,5070,10346,816,790,1614,783,796,1580,710,732,1444,669,662,1329,667,718,1386,3649,3694,7342,2452,2898,5352,1386,1889,3275,585,1047,1634,136,367,507,12,36,46,83340,84301,167639
CED231,1910,896,938,1837,828,920,1746,875,912,1785,844,919,1769,4387,4655,9038,859,953,1813,819,842,1666,823,918,1739,729,845,1575,695,845,1537,3927,4400,8328,806,799,1603,661,780,1438,649,770,1416,647,722,1370,637,729,1371,3397,3803,7198,645,723,1366,579,732,1311,607,736,1347,592,799,1392,623,727,1347,3044,3717,6764,571,574,1144,495,515,1009,434,546,982,409,564,972,391,517,906,2291,2714,5013,1672,2170,3847,990,1416,2402,428,665,1096,102,222,324,7,30,41,74746,78659,153408
CED232,1807,856,934,1791,942,1016,1954,914,995,1905,897,880,1780,4519,4723,9245,926,935,1860,837,844,1678,823,822,1642,771,888,1660,726,803,1526,4087,4279,8364,733,803,1536,691,762,1451,688,662,1358,670,820,1496,591,637,1229,3378,3694,7070,597,703,1301,553,665,1223,600,633,1231,613,599,1208,620,662,1290,2985,3265,6249,503,464,968,466,403,871,392,447,833,322,347,667,364,347,710,2036,2004,4044,1098,1060,2158,473,613,1086,166,334,503,39,108,146,0,16,13,79087,80801,159894
CED233,1630,765,745,1507,800,765,1563,775,735,1508,720,693,1413,3875,3749,7619,732,746,1480,642,669,1312,714,702,1413,602,636,1233,585,655,1237,3270,3407,6680,560,634,1193,570,614,1184,505,598,1098,503,526,1030,445,485,931,2576,2855,5430,521,546,1071,452,522,972,415,455,862,439,501,943,434,496,931,2261,2523,4783,354,384,741,294,382,674,308,276,582,278,302,578,243,286,527,1478,1632,3105,879,1099,1981,479,762,1237,210,370,578,56,109,170,0,22,21,98410,101559,199964
CED234,2311,1017,1125,2138,1062,1167,2232,1063,1187,2248,992,1150,2141,5225,5846,11070,1044,1062,2103,965,1100,2065,964,1043,2013,932,1042,1973,921,1042,1959,4821,5291,10113,892,963,1852,861,1012,1871,819,929,1754,727,899,1625,776,855,1632,4075,4658,8733,741,891,1630,702,880,1585,674,866,1549,734,860,1591,762,945,1707,3618,4437,8053,635,774,1413,636,804,1444,623,759,1376,601,727,1332,593,682,1275,3091,3749,6834,2569,3144,5720,1568,1947,3514,662,1108,1775,152,267,420,13,53,69,83846,89005,172855
CED235,1812,919,1056,1976,967,1084,2050,1010,1117,2133,1068,1151,2221,4850,5332,10186,1108,1187,2299,1060,1197,2250,1143,1203,2344,1030,1175,2206,1049,1172,2222,5388,5930,11322,1117,1142,2261,1080,1125,2206,1079,1124,2203,1070,1212,2277,1118,1155,2270,5467,5756,11220,1088,1044,2137,1047,1108,2153,952,1020,1969,942,998,1940,1016,973,1984,5046,5142,10184,832,830,1659,748,771,1517,691,703,1393,566,630,1198,552,596,1146,3386,3530,6917,2180,2280,4459,1067,1356,2420,463,753,1212,86,225,310,8,40,47,71468,74883,146349
CED236,2051,1027,1041,2070,1050,1102,2156,1033,1149,2178,1127,1180,2310,5216,5541,10757,1151,1141,2295,1114,1149,2261,1098,1115,2213,1127,1107,2227,1059,1019,2082,5551,5534,11086,1067,1059,2132,1029,1055,2087,1018,1066,2082,1049,1044,2094,1048,1011,2057,5213,5238,10454,978,933,1915,992,983,1974,896,880,1771,919,909,1828,877,954,1836,4657,4666,9323,798,770,1572,739,704,1439,694,702,1396,587,607,1203,586,649,1236,3414,3436,6848,2291,2451,4739,1157,1622,2775,506,792,1298,116,246,362,7,34,44,79509,80000,159507
CED237,1982,951,947,1894,883,990,1870,958,995,1947,855,978,1842,4614,4927,9540,924,1016,1937,871,897,1769,753,979,1732,769,859,1630,810,822,1630,4124,4575,8699,732,883,1614,738,829,1559,657,773,1433,678,682,1363,630,725,1359,3436,3890,7328,586,694,1277,640,686,1325,597,674,1263,622,674,1292,554,593,1151,2992,3312,6310,431,524,956,454,483,936,415,455,864,409,416,826,316,403,719,2032,2277,4302,1393,1751,3146,816,1128,1949,290,475,766,51,139,193,4,18,17,84897,85498,170399
CED238,2141,1050,1017,2071,1139,1139,2276,1053,1216,2262,1208,1252,2459,5473,5740,11216,1127,1228,2353,1110,1194,2303,1212,1237,2445,1149,1159,2312,1124,1151,2278,5714,5968,11688,1181,1143,2326,1121,1179,2303,1134,1124,2258,1104,1124,2228,1136,1071,2206,5679,5640,11313,1066,1010,2078,980,1047,2025,1004,922,1928,910,893,1804,1018,976,1990,4979,4849,9831,807,808,1617,745,704,1449,603,734,1337,600,610,1209,573,633,1206,3327,3492,6817,2085,2434,4515,1151,1649,2798,473,920,1388,79,248,328,11,36,40,76844,77714,154555
CED239,1626,747,774,1528,783,863,1643,825,809,1637,759,745,1505,3902,4040,7939,704,783,1483,653,760,1411,640,659,1301,615,667,1287,583,658,1241,3199,3525,6718,546,638,1187,537,603,1140,445,592,1037,478,510,990,460,494,955,2473,2836,5310,437,538,975,434,495,930,428,487,915,388,510,899,357,473,830,2044,2499,4547,366,414,782,308,434,739,316,421,741,294,350,636,303,344,644,1588,1958,3542,1373,2167,3543,1054,1628,2684,523,902,1421,118,224,344,10,24,33,77216,81096,158319
CED294,145,56,43,92,56,42,98,59,46,104,82,41,120,353,212,563,75,49,126,51,47,100,61,46,105,56,39,98,48,41,87,288,217,511,71,33,102,52,35,80,46,36,84,64,21,88,37,20,58,271,141,418,35,16,51,17,19,42,25,9,37,16,13,26,25,14,34,116,74,194,31,14,44,15,15,24,8,8,20,12,8,18,12,0,15,70,42,120,20,14,34,7,14,26,5,0,3,0,3,3,0,0,0,5170,3915,9089
CED297,0,5,6,9,0,0,0,0,0,0,0,0,0,5,6,9,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,6,0,6,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,38
