CED_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
CED211,43,103,308,351,322,177,52,15,6,1378,2179,3517,8359,9686,9157,6426,1580,159,8,41067,7,28,82,61,82,43,14,4,0,330,0,0,16,33,36,22,4,6,0,122,194,341,979,1268,1580,1243,271,33,3,5918,6,48,162,309,199,142,36,0,0,902,301,915,1933,1855,1654,1161,275,27,5,8112,41,150,424,771,757,516,113,14,4,2788,1170,1455,1553,1346,1312,1017,293,35,9,8194,1542,756,669,561,417,345,63,7,0,4368,27,155,474,504,567,541,159,13,0,2440,41,97,316,483,338,208,39,5,0,1521,10,142,795,1410,954,446,107,4,0,3865,10,85,278,327,253,178,57,11,0,1203,41,459,1840,2562,1705,1001,361,65,3,8041,43,202,505,583,607,468,146,13,4,2564,48,231,851,1137,1187,896,244,37,0,4624,171,482,1718,2090,2171,1521,423,43,3,8633,159,902,2650,2768,2771,2228,616,48,0,12152,229,197,269,227,232,124,27,6,0,1323
CED212,47,116,281,338,312,200,66,18,0,1380,2033,3157,7836,8625,8497,6160,1451,118,4,37889,16,39,88,106,126,86,35,7,0,503,0,6,17,43,44,27,8,4,0,147,171,365,1099,1460,1756,1413,306,22,0,6590,4,39,191,269,242,161,31,3,0,951,413,1054,2852,2592,2008,1241,292,33,0,10493,33,110,445,631,738,528,133,15,0,2649,1145,1225,1497,1360,1348,1085,293,39,0,7992,1524,736,568,427,427,312,77,12,0,4077,35,139,443,580,684,657,170,20,0,2720,32,82,176,255,240,124,29,11,0,947,10,78,397,546,540,327,75,10,0,1983,20,82,252,283,283,159,58,11,0,1144,37,216,954,1268,1206,707,272,38,0,4695,46,172,450,553,602,482,141,18,0,2461,22,140,780,1018,995,711,168,17,0,3843,111,359,1454,1773,1613,1249,291,17,0,6870,157,782,2511,2535,2714,2259,563,38,0,11553,184,180,236,261,218,132,55,4,0,1271
CED213,74,68,198,215,271,226,101,39,4,1188,2050,2488,5352,6252,7931,6449,1985,207,7,32720,39,75,155,192,252,261,145,50,7,1173,0,5,28,46,57,42,14,3,0,197,192,255,579,783,1227,995,336,50,0,4421,4,18,104,145,179,162,38,9,0,659,462,895,2167,2202,2038,1555,457,47,5,9832,32,74,210,323,439,401,170,19,3,1679,1053,923,953,947,1271,1137,400,49,0,6744,1351,723,670,564,675,457,160,24,0,4628,33,85,184,236,430,497,188,30,0,1670,17,25,88,141,137,110,44,6,0,556,4,30,192,281,373,309,132,23,0,1351,14,64,187,238,309,289,134,32,0,1273,28,165,628,879,1013,910,529,94,3,4251,62,122,301,486,681,567,203,32,0,2465,254,473,786,782,846,661,179,31,0,4009,96,265,1046,1315,1552,1206,367,28,0,5881,124,574,1482,1671,2335,2282,695,50,5,9209,174,150,256,259,299,225,93,18,0,1478
CED214,45,211,594,396,359,206,45,3,0,1865,1313,3953,12199,9311,6997,4055,773,39,0,38642,3,22,84,102,104,79,21,5,0,435,0,0,37,30,24,21,0,0,0,116,74,327,1464,1488,1646,1241,205,7,0,6467,4,29,238,278,188,91,10,3,0,840,82,562,1954,1434,1061,611,127,9,0,5842,12,139,551,525,465,319,66,7,0,2094,627,1484,2390,1333,1027,655,152,7,0,7663,975,1258,1752,916,617,423,78,3,0,6030,60,491,1787,1311,1205,952,208,6,0,6009,39,121,504,476,272,95,19,3,0,1527,16,325,1527,1393,608,211,31,0,0,4106,15,69,338,290,173,94,27,5,0,1005,22,367,2490,2089,1052,459,100,16,0,6592,40,345,1139,747,567,375,114,10,0,3346,10,252,1426,1500,1013,630,123,10,0,4966,87,422,1928,1624,1216,817,170,5,0,6258,80,865,3489,2344,1769,1143,290,16,0,9987,79,234,483,389,251,137,32,0,0,1614
CED215,36,150,437,492,273,145,46,8,3,1588,1822,3135,10312,13233,9060,4940,880,61,10,43447,8,10,85,132,84,56,12,0,0,373,0,10,26,56,59,23,0,0,0,175,120,240,980,1635,1512,949,176,13,0,5620,4,33,307,551,282,130,20,0,0,1330,228,779,2163,2192,1460,784,170,10,3,7787,30,136,486,906,722,416,67,6,0,2763,943,1216,1746,1898,1223,717,138,12,0,7894,1342,813,1015,953,541,338,69,6,0,5080,76,493,1712,2046,1460,977,192,9,0,6964,33,77,409,855,431,178,23,0,0,2011,6,190,1277,2666,1144,386,61,0,0,5733,23,95,438,545,362,176,38,7,0,1683,28,321,2237,3979,1829,779,197,18,0,9398,35,244,780,889,655,361,85,14,0,3061,13,225,1169,1861,1528,909,172,11,0,5893,187,386,1648,2190,1723,1097,221,18,0,7475,87,616,2619,3089,2295,1483,273,18,0,10473,152,190,415,480,329,155,36,3,0,1750
CED216,72,85,183,170,194,200,77,27,11,1025,2040,2492,6084,6096,6789,6251,1695,212,20,31673,157,247,684,743,759,913,724,276,45,4551,0,31,134,238,260,207,26,0,0,895,202,311,802,767,908,857,218,15,0,4082,18,97,348,507,543,561,71,5,0,2140,371,621,1471,1245,1187,1081,259,20,6,6260,57,85,216,240,271,242,82,11,0,1199,1108,740,1059,941,1071,970,282,30,3,6199,1327,575,654,496,496,534,177,16,0,4278,28,70,299,323,522,637,198,24,0,2112,24,88,165,77,89,66,24,10,0,531,3,45,159,163,171,142,40,4,3,736,19,40,133,154,135,129,60,13,0,681,37,138,450,497,410,398,207,41,0,2183,43,119,293,329,381,375,116,16,0,1664,48,313,1141,1175,1200,979,236,13,0,5109,96,298,1001,1177,1291,1148,321,17,0,5358,121,749,2223,2072,2339,2371,548,28,0,10452,73,56,128,126,105,128,47,12,0,696
CED217,70,103,274,352,393,196,81,22,7,1505,2173,3147,6311,8176,10112,6756,2036,241,16,38987,3,12,31,29,69,50,32,15,0,252,0,0,17,49,78,42,18,0,0,209,128,199,517,787,1089,780,267,55,3,3823,4,35,104,236,211,127,28,0,0,747,155,484,1190,1241,1281,914,274,39,0,5582,43,158,313,501,783,519,178,35,3,2520,1048,1313,1095,1071,1349,953,386,53,4,7273,1524,871,608,496,466,318,97,15,0,4401,31,117,325,446,518,434,146,17,0,2036,51,107,268,428,538,323,65,11,0,1787,20,199,798,1548,1751,818,217,49,8,5409,18,108,283,442,534,345,180,48,4,1975,73,630,1899,2855,3245,2055,814,155,12,11739,41,137,394,434,660,418,147,16,0,2250,20,130,627,840,1063,869,209,25,0,3782,296,531,1068,1418,2008,1767,544,47,0,7674,126,647,1679,1926,2537,2249,760,93,4,10019,257,273,296,346,367,212,72,14,0,1842
CED218,74,187,453,442,341,195,42,0,5,1744,2218,3746,8790,9672,8398,4811,804,49,3,38498,3,21,74,90,102,64,10,4,0,364,0,0,32,31,32,23,0,3,0,121,135,314,1084,1601,1876,1451,241,11,0,6709,8,30,198,315,187,111,22,3,0,874,301,935,2234,2173,1671,948,192,10,0,8462,36,164,436,677,696,412,82,0,0,2509,1200,1605,1682,1530,1414,847,186,15,0,8488,1600,752,752,637,530,400,78,3,0,4739,104,479,1680,2134,1801,1348,246,14,0,7805,30,95,233,351,216,74,16,0,0,1016,16,281,1062,1282,744,284,52,0,0,3741,30,82,285,296,233,112,31,4,0,1067,33,373,1383,1541,869,431,101,13,0,4743,61,246,591,689,664,463,131,4,0,2854,17,255,985,1170,1050,685,149,18,0,4330,145,435,1412,1524,1415,818,151,16,0,5910,97,799,2492,2556,2220,1378,287,18,0,9851,122,156,253,282,188,98,24,3,0,1116
CED219,76,133,303,300,249,149,43,12,5,1272,2080,3343,8658,8459,7431,4875,1053,76,6,35981,17,60,119,166,129,149,68,33,4,755,0,13,45,68,86,46,12,0,0,264,157,309,931,1276,1263,881,182,17,0,5008,5,34,231,262,237,164,32,0,0,975,447,1269,2975,2270,1765,1007,227,12,0,9978,47,103,444,602,523,404,79,8,0,2213,965,1206,1572,1368,1308,928,197,15,0,7569,1575,748,668,481,340,248,67,0,0,4124,85,427,1744,1970,1633,1276,283,18,0,7419,28,56,208,250,166,98,16,0,0,829,8,128,558,735,503,236,59,5,0,2232,9,113,306,228,210,137,36,6,0,1054,27,228,1011,1054,676,387,148,16,0,3557,52,213,545,573,508,366,81,12,0,2347,25,218,1143,1383,1320,857,221,5,5,5172,139,432,1681,1700,1433,915,219,15,0,6537,77,659,2338,2258,1906,1484,298,23,0,9041,114,134,245,247,204,109,33,3,0,1089
CED220,32,176,545,343,291,182,70,25,6,1662,1495,4716,13817,9007,7761,5398,1920,274,22,44408,4,21,76,54,58,69,36,24,5,335,0,8,33,82,46,40,13,0,0,222,97,229,922,725,761,552,162,27,6,3489,5,37,237,276,173,72,24,3,0,824,53,472,1761,1018,785,525,201,33,3,4844,33,176,611,555,570,388,142,43,3,2525,598,1565,2239,1339,1055,751,283,50,4,7885,1015,1237,1516,738,431,276,89,20,3,5335,34,178,640,466,382,313,106,20,5,2140,44,165,715,554,408,226,77,15,3,2198,19,358,1913,1908,1544,791,259,66,16,6867,11,151,681,518,471,327,171,46,6,2377,49,982,4998,3402,2608,1644,717,133,11,14543,38,219,960,553,477,340,135,30,0,2769,23,229,1237,1025,855,688,181,17,0,4256,219,677,2158,1626,1460,1311,450,66,0,7981,97,1044,3801,2313,2213,1964,867,147,5,12444,162,324,627,364,305,206,90,15,0,2087
CED221,77,195,549,485,358,237,32,7,5,1949,2070,4109,10646,10712,7614,4388,733,40,8,40323,25,70,170,208,199,166,43,14,0,906,0,3,19,35,36,20,5,0,0,126,193,645,2097,2988,2491,1693,269,13,3,10396,8,64,259,363,254,152,23,4,0,1123,347,1184,3116,2574,1681,938,175,7,0,10027,30,249,791,980,795,557,83,4,0,3499,1052,1514,2133,1866,1418,724,120,3,0,8840,1387,763,882,663,423,241,33,3,0,4401,75,349,1469,1728,1109,837,213,9,0,5782,29,118,306,372,155,64,6,0,0,1045,11,179,736,876,427,173,44,4,0,2447,16,85,322,305,139,103,18,8,0,996,28,317,1177,1418,669,316,88,9,0,4024,58,280,723,762,640,371,90,7,0,2943,16,182,794,965,675,452,111,13,0,3202,121,410,1344,1492,1038,561,108,7,0,5078,140,1095,3664,4045,2747,1546,288,11,0,13543,122,162,254,230,159,110,25,3,0,1064
CED222,62,243,679,564,436,298,67,9,6,2364,1844,4680,11492,9796,8484,5421,1218,85,12,43025,17,110,264,243,228,174,38,0,0,1080,0,0,7,27,28,10,0,0,0,81,162,680,2229,2043,2237,1873,389,22,6,9641,0,40,221,268,180,94,14,0,0,819,148,685,2030,1571,1255,803,210,17,0,6721,29,183,790,773,747,455,100,10,0,3096,877,1779,2387,1624,1317,867,239,19,0,9097,1310,1324,1511,895,678,491,100,4,0,6311,39,475,1358,999,841,692,207,16,0,4628,42,112,398,455,299,129,25,0,0,1463,11,271,1304,1393,832,345,59,0,0,4213,4,76,380,310,190,124,28,3,0,1122,30,557,2499,2294,1430,682,206,28,0,7721,43,394,1092,722,653,439,141,22,0,3509,17,205,806,794,787,582,169,26,0,3390,191,639,1698,1579,1500,1008,236,17,0,6872,124,1244,3715,2681,2198,1646,464,21,0,12100,120,194,294,205,184,106,24,0,0,1138
CED223,82,80,178,207,245,193,98,42,7,1129,2283,2511,6237,6980,7953,7300,2163,303,35,35765,152,230,561,636,906,1188,1143,513,60,5396,10,19,49,82,60,61,14,0,0,291,286,444,1094,1322,1433,1298,313,19,4,6207,3,20,91,132,168,162,40,0,0,620,408,747,1720,1437,1432,1222,334,26,0,7319,65,92,225,288,351,303,94,16,0,1438,1196,654,1059,1031,1210,1175,351,46,3,6720,1418,633,906,721,777,663,263,25,0,5400,32,117,399,492,714,810,325,34,0,2931,21,24,74,91,98,76,25,3,0,423,12,43,196,223,240,212,51,9,4,992,13,56,134,134,165,127,58,18,0,705,52,132,486,656,656,566,263,31,0,2845,60,129,376,421,491,491,130,22,0,2131,195,426,987,1244,1404,1199,263,15,0,5729,111,270,1151,1522,1465,1295,375,24,0,6216,185,653,2104,2205,2609,2688,677,31,0,11154,95,99,179,172,188,169,78,0,0,977
CED224,42,110,316,399,388,226,61,14,5,1570,2063,3182,7917,9796,9668,6077,1516,128,6,40349,0,23,71,100,105,86,34,12,0,441,0,0,27,47,47,29,0,0,0,148,200,314,948,1560,1897,1452,383,41,4,6788,8,30,151,251,255,145,28,0,0,876,231,755,2142,2090,1785,1053,276,24,3,8365,42,139,524,787,836,584,165,22,0,3104,1089,1418,1365,1398,1421,975,288,31,0,7987,1416,709,662,520,516,361,89,3,0,4280,49,175,481,641,698,614,190,10,0,2859,29,85,254,405,374,184,31,3,0,1362,5,158,863,1357,973,494,126,9,0,3982,20,71,306,328,327,193,61,15,0,1321,40,375,1612,2301,1730,896,330,57,0,7338,41,125,407,564,628,453,124,11,0,2364,16,202,835,1168,1283,777,176,20,0,4484,160,381,1449,1934,1992,1305,313,28,0,7568,140,713,2398,2544,2578,1903,531,33,0,10837,189,181,289,284,263,151,41,9,0,1406
CED225,38,90,234,265,264,174,69,17,5,1151,1955,3294,7882,9204,9089,6575,1746,158,9,39914,7,14,47,39,67,46,27,12,0,260,0,6,26,33,53,32,3,0,0,159,190,251,672,931,1167,869,289,37,0,4404,0,22,134,264,201,135,35,4,0,798,301,826,1865,1775,1576,1158,317,30,5,7851,42,135,322,477,648,425,133,13,0,2187,915,1271,1152,975,1051,854,315,34,6,6576,1306,761,536,464,395,277,79,7,0,3821,40,150,462,595,656,603,161,20,0,2674,36,89,268,428,384,208,36,4,0,1457,5,147,743,1353,1021,465,104,7,0,3849,13,79,261,256,284,209,97,18,3,1218,52,430,1827,2482,2028,1204,459,69,0,8550,60,166,394,443,547,394,132,18,0,2164,72,330,1145,1511,1501,1060,263,31,0,5909,169,449,1750,2184,2271,1818,492,38,4,9170,150,923,2709,2890,2902,2515,741,69,6,12912,207,252,336,305,255,144,75,14,0,1598
CED226,52,121,312,318,297,201,78,15,4,1398,2124,4563,8779,8303,9351,6597,2080,291,26,42111,8,15,52,39,57,61,51,24,0,322,3,3,23,47,52,37,14,3,0,186,138,243,591,646,856,631,204,39,4,3346,0,30,146,211,180,101,25,0,0,697,85,499,1152,895,958,678,216,44,0,4525,39,152,406,529,698,433,140,36,4,2444,1029,1783,1529,1092,1255,845,278,70,0,7879,1317,1209,840,606,570,373,114,9,0,5031,38,173,358,363,495,381,122,10,4,1937,65,178,390,434,422,256,55,10,0,1814,18,340,1186,1626,1660,842,261,35,3,5972,25,128,439,457,541,355,142,46,7,2140,94,1072,3009,2826,2976,2030,903,153,16,13082,42,191,515,393,467,324,146,26,0,2106,17,226,847,861,897,810,235,29,0,3926,335,723,1718,1500,1822,1807,639,63,3,8617,180,1124,2755,2499,3057,2709,976,151,6,13469,264,317,396,278,245,166,78,15,4,1758
CED227,62,129,366,396,300,182,46,21,3,1506,2332,3696,9978,9955,8180,4748,975,100,9,39974,66,110,250,237,288,295,200,75,17,1535,0,3,49,50,53,50,8,0,0,218,212,490,1672,1971,1908,1213,216,26,0,7711,13,53,228,268,224,157,21,0,0,957,469,1240,3082,2555,1964,1056,223,20,0,10612,38,182,652,813,759,487,108,12,0,3051,1093,1286,1880,1734,1385,837,191,20,0,8424,1697,699,700,563,347,211,36,0,0,4257,55,232,1019,1190,910,637,181,12,0,4234,34,103,262,365,214,104,16,4,0,1095,21,144,627,879,526,219,50,9,0,2470,20,108,300,327,232,151,32,4,0,1168,42,273,1170,1500,960,516,163,17,5,4633,69,176,581,650,489,351,80,12,0,2404,8,197,957,1077,847,550,112,13,0,3768,154,456,1665,1915,1591,876,207,18,0,6874,158,982,3263,3337,2596,1550,341,23,0,12244,164,172,263,229,194,123,41,9,0,1195
CED228,57,183,581,491,286,130,34,8,3,1769,1895,3931,11760,11881,7147,4375,725,42,3,41763,18,80,248,232,180,130,74,13,0,973,0,9,29,43,45,17,7,0,0,143,133,363,1311,1678,1416,929,148,9,0,5988,7,50,356,523,201,138,24,0,0,1307,273,1120,2500,1908,1294,789,154,9,0,8053,22,188,577,737,565,430,69,3,0,2589,1044,1556,2376,2081,1232,828,140,7,0,9273,1379,931,1193,1004,446,251,53,6,0,5270,96,754,2712,2839,1710,1204,229,4,0,9552,19,95,421,720,217,83,16,0,0,1565,7,179,1349,2135,610,277,42,0,0,4601,26,130,427,423,217,123,30,9,0,1381,32,313,2046,2899,859,413,95,9,0,6665,45,345,1002,951,559,386,82,9,0,3379,12,297,1099,1546,1098,809,162,14,0,5041,140,417,1668,1967,1255,770,164,9,0,6389,89,821,3247,3463,2223,1256,261,8,0,11376,142,174,305,340,176,120,33,3,0,1297
CED229,30,158,682,486,321,194,95,21,4,1985,1091,4284,17222,11291,8321,5437,1829,216,21,49710,0,15,72,47,51,40,25,12,0,264,0,3,48,71,56,41,8,0,0,237,52,192,1112,936,773,520,173,26,0,3786,5,33,305,334,207,81,12,0,0,987,55,397,2482,1336,875,563,183,26,0,5915,15,122,689,620,538,359,139,23,5,2520,398,1228,2581,1413,1004,705,270,48,0,7652,806,1435,2671,1135,531,279,99,21,0,6973,29,208,884,697,530,384,120,12,0,2858,38,187,878,761,562,336,103,3,0,2869,12,315,2271,2119,1428,654,224,52,4,7075,14,109,737,562,382,290,188,54,6,2338,29,866,5901,4269,2885,1771,751,132,6,16615,41,286,1613,834,563,367,113,15,0,3842,14,199,1513,1327,1145,763,230,26,0,5214,199,638,2528,1968,1596,1330,489,55,4,8813,79,786,4019,2517,1941,1749,722,97,8,11909,87,337,944,646,458,298,133,16,0,2918
CED230,93,105,240,196,239,198,92,58,8,1233,2050,2710,6856,6371,7398,7028,1984,302,29,34733,352,668,2149,2033,2263,2651,1549,502,76,12247,11,49,158,164,140,102,24,3,0,653,235,392,1008,877,959,953,247,28,0,4694,9,37,176,169,215,223,49,0,0,875,342,636,1174,1007,962,903,241,22,0,5298,66,160,348,371,417,426,111,11,0,1910,1244,783,1133,980,1171,1126,318,40,0,6796,956,552,742,599,568,552,186,16,0,4170,45,145,423,508,679,887,328,33,0,3054,14,53,79,69,92,65,21,0,0,395,9,50,201,211,228,132,34,11,0,867,4,53,87,80,121,88,42,10,0,491,50,175,501,460,427,324,152,17,3,2121,53,145,431,417,425,471,97,20,3,2058,29,156,745,816,992,957,188,20,0,3905,80,309,1161,1193,1381,1159,301,17,0,5596,218,780,2394,1989,2429,2592,606,26,0,11028,76,72,131,133,165,125,53,9,0,761
CED231,42,114,357,300,277,182,66,4,3,1353,1724,3608,9797,9125,8339,5494,1320,83,3,39501,4,17,42,35,47,41,14,8,0,213,0,3,22,36,39,19,3,0,0,129,135,239,758,959,1085,752,180,24,0,4137,0,39,192,260,204,94,25,0,0,815,196,686,1913,1680,1501,849,205,19,0,7062,30,139,379,540,608,367,99,19,0,2182,932,1261,1414,1056,1037,759,231,17,4,6708,1146,951,990,582,471,317,91,9,0,4550,62,286,871,1021,1090,833,210,15,0,4395,42,119,403,401,344,181,28,5,0,1522,16,230,1159,1541,1028,508,97,5,0,4588,19,92,337,348,338,202,51,7,3,1390,48,606,2462,2375,1785,988,323,21,0,8612,45,230,686,518,491,331,106,17,0,2430,21,297,1356,1492,1451,989,218,17,0,5839,172,460,1894,1766,1712,1416,400,21,0,7839,75,798,2770,2297,2065,1626,452,32,0,10129,165,295,546,370,242,160,58,17,0,1847
CED232,47,94,287,314,269,152,51,21,3,1247,2324,3118,7958,9485,8679,5495,1266,125,8,38467,43,79,175,174,228,176,146,77,10,1106,0,9,35,58,46,39,15,4,0,200,281,335,918,1303,1448,1025,206,39,0,5555,4,39,179,282,229,148,28,6,0,912,589,1353,2947,2815,2285,1333,285,40,0,11658,59,117,347,500,618,426,103,21,0,2188,1012,1069,1181,1172,1187,835,208,26,0,6698,1581,686,528,496,323,221,52,9,0,3903,51,209,876,1312,1087,887,232,24,0,4675,25,56,201,311,243,139,19,4,0,997,9,95,498,825,616,331,63,9,0,2445,14,66,226,247,239,144,51,12,0,1004,49,207,925,1474,1203,692,258,38,0,4843,51,155,415,605,555,379,116,11,0,2283,33,237,1068,1467,1462,967,206,21,0,5462,128,407,1594,1965,1837,1230,318,18,0,7508,149,749,2462,2908,2456,1741,414,24,0,10893,146,187,236,262,214,159,51,8,0,1256
CED233,53,323,1018,393,206,123,36,7,3,2160,1758,9116,26614,11357,6374,4098,1220,155,10,60700,10,51,100,67,38,36,18,13,0,342,0,8,62,47,35,23,7,5,0,178,52,370,1596,884,548,384,101,16,4,3948,4,72,453,341,165,78,14,0,3,1121,48,471,2433,1026,568,342,100,15,0,4995,24,218,831,492,322,201,51,12,5,2150,617,2477,3725,1423,740,440,142,23,0,9587,1274,3856,5390,1597,610,333,99,16,0,13173,28,352,1276,667,428,297,74,12,0,3137,33,308,1530,860,449,209,62,14,0,3468,19,685,3274,1989,998,476,101,18,0,7556,7,213,883,416,226,141,79,10,0,1974,67,1946,11197,4944,2148,1258,505,90,0,22164,44,564,2009,735,429,265,65,9,0,4123,23,424,2781,1771,1173,717,177,17,0,7080,250,1250,4146,2259,1466,1202,407,43,0,11019,103,1504,6529,2852,1644,1385,520,65,0,14601,123,506,1460,706,338,231,111,22,4,3496
CED234,42,109,369,385,348,229,66,20,5,1575,2040,3801,7943,9031,9137,6430,1672,217,16,40291,15,15,35,42,47,43,30,13,5,240,0,3,15,19,26,27,11,0,0,116,158,247,660,979,1101,910,279,42,4,4390,6,35,112,225,182,114,21,3,0,699,210,696,1428,1437,1577,1047,293,60,3,6761,45,159,448,692,783,540,158,23,0,2854,1068,1631,1604,1436,1457,1156,337,60,0,8750,1401,898,962,761,729,581,142,17,4,5493,31,154,434,595,573,586,180,21,0,2578,32,113,269,495,438,202,44,10,0,1598,27,245,1055,1497,1197,575,133,27,0,4765,25,116,423,480,365,236,98,28,8,1783,56,657,2068,2623,2133,1404,450,119,3,9512,42,211,508,479,544,485,155,17,0,2451,26,219,668,851,1021,788,197,19,0,3792,211,598,1261,1628,1842,1441,375,48,0,7397,166,956,2625,2553,2641,2264,700,84,6,11993,167,219,205,223,238,136,52,11,0,1251
