CED_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
CED211,20,10,29,44,74,98,132,189,107,707,14,5,14,34,89,190,351,403,172,1280,355,1525,1630,1582,1582,1130,771,528,413,9511,8,4,5,20,57,99,150,264,205,812,531,619,871,1128,1303,1410,1312,922,580,8682,12203,6009,6989,8288,6910,5202,3262,1394,431,50701,791,489,530,623,564,515,447,403,418,4776,14539,9009,10537,12488,11659,10236,8845,5914,3066,86289,25,60,280,607,1403,2657,3759,3448,1806,14043,1940,1715,2035,2249,1989,1639,1508,1032,431,14537,36,29,70,251,516,928,1496,1361,601,5288,9,3,3,14,13,35,154,468,686,1380,53,94,201,529,917,1603,2004,1515,572,7496,55,39,58,140,391,930,1748,1987,1148,6486,38,31,45,92,153,210,300,401,193,1459,32,18,33,70,179,367,630,720,335,2399,710,2342,2528,2506,2516,1870,1281,820,564,15132,18,13,10,46,116,224,393,527,344,1685,1375,1197,1398,1881,2204,2423,2271,1551,872,15173,24566,13389,14405,16489,13812,10085,6018,2535,740,102039
CED212,7,14,30,50,78,109,183,190,182,847,21,11,27,58,170,335,487,424,186,1718,421,1559,1966,1961,1817,1493,843,406,336,10813,6,9,16,37,85,120,173,206,182,832,539,546,907,1105,1216,1321,1067,666,442,7811,11536,5430,5959,6558,6068,4431,2731,1083,283,44078,1205,711,758,797,795,615,470,341,190,5885,14516,8636,10217,11301,11209,10020,8033,4724,2215,80871,23,84,311,792,1774,3159,4013,2925,1460,14554,2372,1742,2398,2511,2234,1882,1540,867,272,15817,25,45,112,223,506,1056,1489,1190,492,5134,3,5,3,3,14,43,153,429,599,1256,49,131,216,477,994,1809,2079,1400,534,7682,59,57,89,172,493,1229,1903,1701,999,6700,32,27,44,92,161,252,373,383,278,1646,41,21,50,107,289,614,906,776,319,3128,859,2429,3051,3167,2988,2412,1393,692,476,17477,15,9,25,71,174,301,423,442,307,1769,1367,1056,1393,1801,2090,2334,1917,1155,641,13761,23063,11820,12542,13295,12379,8863,5139,2060,507,89670
CED213,0,9,23,30,65,102,198,234,162,818,24,10,15,39,124,268,535,553,247,1813,293,1199,1271,1391,1564,1480,1130,657,419,9406,5,7,13,16,65,116,196,307,253,979,368,420,566,781,1069,1372,1434,1009,562,7578,9216,4553,4172,4873,5768,5239,4159,1845,453,40275,1028,637,545,651,851,804,898,671,383,6467,11466,7118,6944,8298,10404,10995,11638,7697,3161,77714,21,88,256,582,1502,3203,5613,4862,2084,18203,1634,1327,1445,1709,1878,1804,2029,1380,487,13690,28,35,68,176,523,1166,2329,2030,764,7104,0,0,7,3,10,41,199,615,803,1673,49,88,137,266,661,1292,2244,1828,626,7192,50,49,50,102,382,1089,2634,2811,1427,8597,14,21,36,45,131,208,409,514,304,1684,46,24,26,66,237,498,1012,1053,458,3428,665,1840,1997,2258,2529,2370,1856,1082,612,15204,8,15,24,37,122,266,517,645,439,2075,999,783,906,1228,1733,2266,2451,1654,906,12916,18527,10270,8678,9613,11310,10110,7912,3567,880,80869
CED214,13,3,43,56,77,134,151,154,127,751,17,14,26,31,72,170,249,194,85,857,180,1077,2185,1415,1118,992,718,436,249,8377,0,5,9,28,65,108,165,176,129,688,368,428,1135,1021,1051,1292,1080,729,504,7610,11194,7229,11640,9087,6623,4262,2424,881,239,53569,1251,849,1451,1071,878,731,513,348,315,7397,13556,10060,17067,13541,10976,9081,7083,4074,2148,87592,14,60,321,542,1163,2138,2838,2309,1186,10579,1751,1645,2759,2198,1740,1437,1167,595,249,13551,20,32,124,207,434,677,864,667,257,3279,3,4,6,4,19,57,162,455,571,1283,23,76,285,614,1177,2101,2640,1795,650,9350,46,38,101,165,366,916,1445,1238,659,4978,32,16,83,96,164,295,395,346,214,1643,31,22,37,58,155,379,522,401,175,1786,406,1617,3406,2471,2020,1688,1166,671,328,13774,6,7,22,61,147,272,411,395,227,1543,966,817,1855,1776,1913,2359,2028,1238,740,13691,22647,15170,25179,18834,13336,8871,4777,1706,467,110992
CED215,21,13,28,44,78,82,137,154,112,663,8,6,8,38,79,174,245,208,82,854,276,1049,1479,1414,1236,912,583,293,196,7449,3,0,12,24,48,90,115,151,112,563,560,444,798,1119,1181,1080,856,551,315,6911,18102,6462,10656,12943,7479,4391,2252,764,231,63283,1441,675,1033,1122,760,543,366,217,132,6296,21185,9121,14639,17954,12142,8759,6207,3347,1573,94911,32,58,238,658,1365,2229,2602,1939,898,10018,2198,1516,2004,2442,1872,1258,950,473,187,12900,34,29,87,266,455,719,934,640,258,3431,0,0,10,5,13,34,94,321,385,857,52,111,242,947,1242,1658,1946,1260,394,7853,63,45,77,183,451,877,1371,1123,581,4776,58,18,43,88,140,175,288,292,184,1285,20,15,30,61,154,319,466,414,160,1636,615,1623,2241,2376,2068,1518,951,440,269,12098,5,4,24,52,105,188,313,318,191,1199,1384,846,1282,1940,1972,1954,1539,905,458,12278,36688,14099,21154,26552,15346,8805,4343,1468,406,128859
CED216,7,14,32,36,106,139,211,214,114,866,10,13,37,71,230,534,818,526,163,2402,357,1310,1774,1512,1638,1778,1107,418,204,10115,4,5,14,44,83,165,269,261,149,995,444,481,755,847,1145,1541,1333,707,389,7640,9640,4557,4829,4649,4730,4995,3462,1317,312,38497,1391,842,844,855,888,957,913,569,419,7678,12594,7581,8700,8565,9611,11735,10956,5982,2340,78058,31,79,376,774,1880,4178,6169,4135,1376,18996,2053,1655,2012,1889,1898,2133,2168,1159,269,15239,25,24,90,184,476,1139,1966,1387,415,5712,4,4,9,5,15,57,180,382,366,1023,42,127,212,390,970,1970,2951,1836,448,8942,46,49,97,191,538,1471,3021,2372,953,8747,20,23,62,77,176,311,518,461,199,1854,32,30,68,132,399,1035,1659,1130,327,4811,757,2121,2708,2441,2721,2963,2082,764,295,16844,13,17,30,64,164,370,639,580,262,2135,1183,913,1196,1351,1934,2788,2484,1284,581,13704,19441,9912,10111,9507,9527,9916,7176,2638,574,78803
CED217,11,10,14,32,49,93,131,136,140,611,3,10,9,14,64,120,278,325,222,1041,224,1236,1061,1009,1114,926,611,440,403,7008,3,0,3,10,42,56,114,170,179,586,385,562,615,691,1074,1171,1116,775,698,7087,11437,6181,5241,7368,8521,5832,3445,1498,484,50013,730,514,436,564,716,568,495,333,241,4600,13325,8841,7680,10378,12790,10487,8502,5344,3131,80469,20,69,135,342,980,2087,3222,2814,1700,11355,1455,1450,1280,1570,1787,1475,1264,787,348,11418,39,38,76,216,565,1078,1526,1235,609,5375,0,0,0,3,8,30,121,444,767,1375,37,85,114,223,560,972,1490,1105,521,5102,36,36,35,83,312,861,1707,1724,1227,6028,23,19,24,60,93,178,286,281,244,1207,23,18,20,39,111,254,494,546,335,1842,415,1874,1661,1673,1842,1535,992,660,511,11173,4,0,11,25,72,155,302,360,299,1236,924,1046,936,1142,1775,2065,1923,1291,1003,12099,22886,13609,10589,14099,16355,11467,6470,2734,847,99062
CED218,14,7,33,64,84,113,158,150,68,693,9,7,19,31,96,189,268,167,69,863,235,885,949,979,1068,966,628,279,154,6136,0,8,10,20,56,91,160,131,78,554,494,502,638,922,1183,1215,1007,523,209,6695,15339,8163,9420,10035,7364,4626,2317,634,155,58053,1325,818,1102,1044,817,620,402,188,90,6401,18178,11059,12960,14122,12050,9556,6828,3013,1133,88900,18,83,228,602,1342,2484,3056,1935,720,10456,2238,1977,2004,1921,1666,1330,1038,524,177,12872,35,38,90,200,395,764,983,571,148,3228,4,0,4,8,7,46,141,332,344,888,51,109,234,778,1613,2369,2805,1457,396,9807,77,29,70,171,499,1050,1611,1069,443,5024,41,22,57,124,163,256,388,327,126,1502,19,18,22,69,166,332,505,379,144,1651,499,1336,1567,1677,1676,1519,1024,474,204,9967,14,8,19,44,129,237,372,341,139,1295,1301,988,1107,1598,2036,2190,1815,907,340,12277,30841,17209,18912,20042,14721,9208,4583,1380,274,117176
CED219,22,17,38,62,80,109,170,161,91,740,18,7,35,59,193,361,523,303,127,1624,460,1568,2100,1872,1640,1325,824,352,203,10345,12,8,16,30,93,126,191,150,84,710,687,602,972,1159,1203,1285,1016,492,291,7714,14285,6166,8024,7357,5426,3717,2038,612,134,47763,1705,826,991,938,808,623,467,226,99,6684,18133,9665,12908,12369,10535,8961,7077,3130,1205,83986,28,104,420,921,1790,3001,3939,2232,836,13275,2913,2034,2852,2758,2144,1718,1436,647,166,16677,34,28,99,235,505,900,1289,793,194,4079,0,8,3,3,17,46,159,310,302,846,67,112,312,806,1341,2024,2489,1204,298,8655,66,49,101,196,524,1099,1897,1242,499,5678,46,28,71,113,144,229,376,330,148,1494,41,28,66,117,305,633,985,627,211,3020,961,2426,3230,2953,2693,2105,1390,579,281,16615,10,12,23,67,171,264,441,361,137,1495,1775,1164,1562,1903,2036,2155,1849,851,416,13710,28359,13279,16310,15295,11251,7474,3966,1219,240,97396
CED220,11,7,27,38,19,51,80,114,89,440,7,5,9,18,51,102,189,239,110,729,133,1558,2261,1195,937,786,569,348,211,7997,0,9,7,18,31,38,93,151,130,476,259,605,1120,825,821,932,937,690,481,6663,8575,6823,11132,7779,6752,4903,3034,1391,406,50790,568,617,1032,672,594,527,436,376,322,5158,9893,9954,16309,11258,10165,8617,7177,4763,2428,80562,9,58,265,380,795,1614,2530,2307,1229,9200,996,1551,2827,1957,1446,1128,1031,667,256,11851,19,41,126,213,467,865,1229,1020,442,4424,0,0,0,5,7,26,102,351,531,1024,21,77,186,299,468,826,1191,998,436,4495,26,37,72,118,259,646,1282,1441,886,4771,20,17,58,74,60,132,201,271,179,1017,13,11,24,43,94,196,402,448,207,1436,275,2179,3487,2063,1687,1365,910,538,288,12797,5,9,12,34,72,114,235,341,235,1057,666,989,1737,1410,1491,1678,1628,1178,710,11491,17325,13741,22483,15716,13010,9473,5547,2541,701,100534
CED221,17,22,42,69,74,115,136,112,55,648,7,18,30,42,115,243,338,223,82,1095,287,1350,1768,1472,1406,1029,537,242,144,8241,4,9,13,22,71,123,148,124,77,586,586,571,909,1099,1175,1083,741,381,226,6769,18585,8545,11296,10603,6070,3594,1709,580,135,61115,1691,878,1158,1009,783,551,344,182,85,6665,22091,11892,15965,15419,11011,8289,5434,2591,1031,93721,29,65,359,787,1621,2558,2700,1643,643,10395,2642,1970,2457,2328,1927,1478,1099,515,153,14569,41,40,89,205,403,708,885,562,200,3145,3,5,5,6,14,31,116,254,279,713,67,139,360,1192,1890,2440,2137,1040,252,9520,79,46,97,207,619,1154,1401,1040,398,5042,53,46,66,135,164,269,293,247,103,1382,31,32,51,93,225,445,609,447,146,2086,650,2078,2639,2371,2221,1695,920,407,199,13170,5,13,23,59,140,263,351,302,121,1282,1530,1077,1456,1923,2077,1999,1360,660,323,12406,37543,17804,22456,22129,12709,7402,3323,1092,253,124711
CED222,17,14,19,50,65,102,150,217,175,811,8,14,17,24,83,182,249,255,173,1009,151,1190,1210,1030,1098,1004,684,524,473,7364,5,6,10,26,51,85,177,211,178,754,379,539,780,882,1139,1398,1325,967,620,8029,13075,9056,12320,10214,7827,5295,3296,1433,468,62986,1009,809,1028,865,754,628,515,371,223,6208,15265,12134,15973,13903,12155,10420,8668,5704,2941,97169,28,70,233,465,1093,2237,3206,3079,1767,12182,1777,1877,1955,1674,1551,1447,1244,862,363,12752,22,33,110,168,417,761,1196,974,463,4143,3,0,11,5,12,44,184,650,802,1709,38,85,247,660,1247,2296,2918,2175,901,10570,56,61,85,176,446,1052,1667,1785,1166,6491,37,41,53,98,147,248,375,448,340,1790,21,16,44,66,155,367,549,583,332,2135,341,1779,2041,1799,1849,1743,1137,838,691,12212,8,3,20,48,126,244,418,500,331,1708,937,987,1382,1597,1989,2493,2281,1608,965,14248,26588,19741,27041,20816,15682,10685,6319,2745,845,130465
CED223,11,15,29,49,66,179,227,213,161,942,23,15,32,48,184,412,624,467,172,1973,380,1323,1592,1648,1656,1684,1058,418,279,10024,0,6,12,31,74,146,223,238,158,895,506,454,726,853,1105,1487,1347,783,522,7772,10287,4710,4733,5070,5366,5311,3605,1367,397,40840,1237,758,695,765,908,952,806,561,277,6954,13186,7664,8246,9130,10324,11910,10640,5933,2575,79610,29,79,292,750,1733,3938,5750,3897,1607,18079,2158,1630,1861,2127,2123,2289,2056,1104,385,15734,32,32,73,211,486,1252,1975,1442,496,5992,0,7,6,9,17,73,205,470,508,1289,42,103,179,399,815,1742,2545,1684,551,8060,48,64,82,158,454,1373,2639,2340,1118,8287,33,36,56,79,140,313,475,494,270,1895,46,30,51,109,295,802,1262,994,330,3901,763,2099,2440,2668,2814,2853,1963,823,402,16826,9,9,16,58,140,311,560,593,293,1991,1201,867,1149,1398,1867,2652,2441,1406,778,13752,20426,10388,10094,10148,10791,10524,7374,2746,702,83198
CED224,7,7,13,31,57,90,124,144,138,623,11,5,6,32,73,172,371,336,169,1177,223,1095,1303,1313,1345,1047,714,422,350,7815,5,8,17,25,59,72,150,149,197,667,400,465,705,940,1153,1244,1087,788,530,7312,12353,6056,6809,8486,7569,5004,2906,1207,414,50807,847,500,602,682,656,547,445,340,205,4829,14390,8591,10021,12380,12143,9793,7836,4912,2620,82689,11,68,195,504,1250,2294,3160,2703,1461,11633,1602,1520,1795,2092,1909,1482,1302,779,328,12807,19,26,71,219,526,939,1342,1019,484,4649,0,4,3,10,14,32,129,374,602,1162,49,76,166,378,876,1571,1968,1422,535,7034,54,30,44,123,372,993,1661,1676,1063,6020,21,17,35,69,125,201,303,328,224,1317,20,9,27,55,141,361,655,608,308,2182,443,1631,2005,2137,2222,1737,1145,633,477,12424,8,8,23,37,128,214,381,401,311,1515,1068,879,1058,1551,1918,2135,1859,1269,782,12528,24679,12966,14089,16782,15075,9969,5493,2243,729,102021
CED225,15,13,24,37,69,83,152,172,125,693,18,8,0,24,85,204,362,317,159,1187,294,1403,1627,1539,1357,1074,779,437,360,8874,4,13,5,14,43,79,157,171,175,650,495,561,857,1003,1146,1368,1298,793,568,8087,11876,5715,6162,7507,6919,5232,3100,1179,346,48032,740,510,516,581,597,539,475,285,172,4425,14028,8558,9618,11482,11333,10305,8707,5018,2403,81452,33,75,251,560,1327,2685,4105,3242,1474,13751,1734,1610,1939,2190,1858,1559,1419,776,285,13374,38,36,111,221,525,957,1486,1186,420,4980,5,0,3,4,14,33,167,431,652,1314,39,92,157,350,726,1349,1814,1352,516,6395,49,33,56,129,339,931,1843,1726,946,6049,35,26,54,67,141,190,333,357,207,1416,33,25,18,50,145,362,670,611,265,2187,592,2068,2524,2508,2307,1798,1300,742,477,14317,17,11,7,25,90,190,382,421,305,1460,1156,1061,1354,1711,1959,2391,2281,1367,831,14109,23736,12686,12777,14958,13791,10192,5969,2240,601,96949
CED226,6,6,14,25,43,82,98,113,123,507,10,11,15,21,39,82,195,247,153,778,198,1606,1600,930,963,703,553,407,409,7367,0,8,5,21,31,55,108,159,178,554,359,736,822,690,951,1171,1200,886,765,7579,10963,8234,7093,7871,8519,6103,3614,1531,514,54436,578,597,539,516,621,544,426,299,220,4331,12586,11635,10543,10684,12363,10519,8461,5347,3168,85306,19,77,215,325,936,1946,2940,2704,1731,10887,1360,1884,1952,1487,1581,1337,1231,779,372,11982,16,40,77,176,538,984,1447,1199,578,5070,0,0,4,3,21,32,109,437,885,1482,41,78,136,246,536,1014,1370,1133,534,5084,34,61,66,82,312,812,1583,1625,1241,5815,12,22,39,59,93,178,241,263,233,1135,17,18,34,35,86,174,362,461,290,1490,378,2377,2532,1530,1584,1235,895,619,540,11688,9,7,13,32,75,120,259,350,329,1197,911,1260,1290,1177,1675,2105,2093,1444,1101,13059,21862,17449,14643,14728,15830,11796,6774,2830,855,106770
CED227,15,18,31,51,68,80,127,128,88,606,17,3,17,50,116,226,368,283,91,1180,374,1511,1923,1606,1434,1001,583,294,162,8880,5,0,15,36,88,100,158,136,85,623,596,523,983,1042,1161,1030,778,443,202,6743,16113,6754,9082,8831,5872,3641,2049,744,189,53264,1466,746,889,848,751,586,406,270,165,6111,19463,10019,13663,13482,10612,8044,6162,3402,1271,86111,23,101,343,755,1592,2432,3070,2252,794,11361,2597,1788,2545,2424,1937,1333,1093,648,155,14524,31,39,109,231,455,788,1054,805,270,3795,0,5,11,0,13,29,125,284,258,730,65,110,342,850,1298,1589,1695,1091,269,7302,77,52,81,165,498,991,1417,1330,544,5148,45,31,59,95,116,176,282,279,145,1237,38,12,51,92,208,399,645,552,177,2170,790,2316,2885,2516,2264,1573,972,486,247,14051,13,9,16,61,152,216,323,321,151,1263,1542,1038,1497,1736,1933,1783,1351,774,319,11975,32010,14591,18135,18153,12148,7403,3875,1405,326,108050
CED228,28,16,46,65,78,108,115,113,48,605,13,13,34,58,137,245,344,199,77,1112,309,1338,1699,1473,1268,1029,489,254,176,8026,0,4,12,31,59,109,137,139,74,567,660,559,1009,1180,1165,1142,830,377,215,7136,19996,8128,13737,12322,5825,3891,1836,527,120,66372,2028,936,1442,1249,821,553,388,200,158,7771,23861,11514,18757,17623,10575,8693,5721,2555,1038,100333,25,90,333,834,1565,2651,2841,1671,637,10646,2494,1916,2312,2490,1886,1545,1091,523,146,14400,35,42,84,238,379,713,844,540,150,3028,0,4,5,5,16,39,112,237,243,666,76,137,450,1349,1757,2300,2179,1077,275,9591,75,46,118,265,577,1050,1451,987,383,4948,68,24,71,130,154,228,274,229,95,1271,33,31,60,97,234,451,628,392,134,2055,716,2061,2625,2323,2058,1677,873,401,222,12952,17,8,28,56,130,232,336,271,128,1201,1826,1100,1586,1996,2033,2055,1487,645,304,13036,40010,17922,27084,26365,12313,7698,3596,1046,210,136249
CED229,5,5,32,28,43,68,112,107,70,478,5,6,22,29,80,149,218,178,69,750,127,1473,2708,1680,1251,976,595,280,211,9304,3,3,14,22,39,56,104,96,86,411,249,582,1291,1054,1021,1010,966,582,354,7111,8331,6067,14596,9584,6805,4712,2923,993,274,54290,696,655,1537,1110,797,678,518,391,326,6702,9690,8981,20964,14287,10935,8802,6911,3650,1757,85969,3,67,313,518,999,1757,2394,1807,840,8702,763,1263,3125,2317,1730,1298,1033,512,161,12210,24,29,147,243,519,861,1206,829,283,4139,0,0,8,4,9,35,120,274,386,831,24,53,237,316,502,813,1187,887,321,4343,30,25,83,131,302,742,1395,1180,635,4513,22,20,58,71,106,146,238,238,140,1040,20,8,45,58,156,280,441,352,137,1493,265,2125,4099,2819,2246,1741,1044,463,289,15093,12,8,27,38,93,141,254,248,159,977,590,955,2020,1868,1788,1853,1735,1035,548,12380,16699,12247,29290,19674,13520,9355,5553,1959,487,108792
CED230,9,13,26,46,78,155,240,272,164,1005,16,14,28,75,216,496,723,497,203,2260,322,1273,1692,1509,1737,1764,1124,468,270,10160,0,4,20,38,88,187,223,243,169,969,470,475,700,791,1163,1404,1180,700,428,7318,10807,5042,5964,5141,5314,5172,3508,1519,534,43002,1614,857,916,946,993,1050,932,678,525,8509,14061,8189,9873,9092,10412,12097,10641,6596,3339,84301,24,104,378,809,2059,4531,6085,4343,1964,20305,2319,1899,2134,1931,2142,2512,2246,1227,393,16791,32,32,74,191,484,1266,1951,1514,540,6078,0,3,4,7,35,64,188,491,574,1371,66,121,249,520,1093,2257,3049,2036,634,10024,65,64,87,161,582,1625,2756,2448,1231,9015,46,27,40,73,153,306,516,498,295,1963,37,28,50,129,392,977,1478,1078,368,4548,681,2014,2648,2408,2902,3098,2038,831,364,16993,5,14,26,67,187,397,573,588,310,2181,1168,912,1108,1311,1985,2598,2265,1230,619,13201,21528,11115,12530,10564,10774,10598,7120,3015,948,88186
CED231,6,12,20,35,63,105,140,201,126,711,5,3,19,24,87,152,298,271,128,982,163,1198,1921,1300,1074,965,640,492,357,8110,4,7,12,21,42,72,136,193,159,637,342,509,958,941,1007,1102,1047,811,553,7270,10235,5825,7876,7749,6713,4662,2707,1084,350,47201,718,599,805,703,741,561,452,295,145,5013,11972,8481,12153,11574,10688,9057,7522,4889,2332,78659,19,76,260,496,1079,2203,3323,2932,1508,11887,1432,1457,2382,2096,1587,1280,1140,782,320,12484,25,42,117,231,458,805,1243,1006,417,4342,0,0,3,4,14,28,153,475,645,1322,31,84,175,357,760,1316,1960,1666,627,6974,51,27,69,132,370,923,1644,1637,952,5801,25,22,47,62,107,210,298,396,227,1393,21,12,43,50,134,286,555,551,263,1912,343,1786,3057,2187,1859,1605,1089,740,502,13164,3,10,14,36,84,175,326,433,296,1371,872,950,1527,1539,1705,1944,1848,1318,841,12539,20554,12553,16286,15470,13396,9110,5137,2123,591,95214
CED232,9,21,23,49,69,97,133,143,68,621,12,14,18,38,89,214,385,270,84,1132,380,1323,1570,1652,1520,1080,623,266,166,8583,9,9,14,29,63,82,148,118,70,527,541,552,781,1082,1166,1150,897,433,261,6854,14329,6045,7002,7762,6299,4203,2341,735,135,48859,1353,662,686,808,762,636,469,209,97,5673,17496,8992,10739,12340,11141,9004,6954,3069,1076,80801,42,85,349,739,1573,2771,3519,2118,628,11811,2449,1695,2064,2408,1926,1489,1194,606,136,13959,34,44,90,230,498,902,1258,760,196,4006,0,0,0,4,14,34,118,294,331,799,60,99,224,564,938,1449,1805,965,259,6365,63,49,77,174,400,1017,1631,1290,448,5152,35,36,46,80,145,201,303,276,108,1242,37,24,33,80,164,388,722,511,142,2108,795,1949,2331,2585,2375,1759,1092,457,249,13595,11,16,22,55,115,185,332,313,136,1177,1419,1002,1250,1717,1997,2041,1604,806,387,12222,28970,13196,14118,15828,12797,8496,4609,1471,249,99741
CED233,12,17,48,36,47,65,78,95,77,474,4,16,29,27,47,94,172,140,64,586,97,2877,4678,1854,1031,738,485,259,155,12181,0,11,19,23,25,51,92,102,88,407,204,989,2218,1205,855,873,811,529,315,8013,6698,13446,23309,9618,5360,3680,2112,650,182,65044,718,1535,2683,1244,761,621,432,194,102,8297,7985,19380,33977,14783,8916,7154,5380,2731,1255,101559,11,145,525,535,819,1489,1981,1460,702,7671,746,2503,5224,2706,1412,1078,824,434,160,15081,22,52,222,287,424,708,942,606,216,3477,3,3,9,0,11,32,98,271,317,749,28,121,336,425,549,879,1000,682,303,4315,26,55,150,138,242,611,975,899,509,3616,13,39,98,79,100,166,194,189,119,997,12,36,65,64,99,229,364,255,107,1231,192,4017,7395,3466,1933,1370,785,420,210,19780,6,15,31,62,59,156,237,223,146,935,507,1526,3432,2207,1593,1675,1441,858,472,13712,13323,25917,47837,20653,10965,7357,3960,1310,311,131638
CED234,0,12,12,31,50,88,130,192,154,673,7,4,7,17,56,111,221,312,184,923,187,1154,971,876,1043,857,589,541,431,6647,0,5,12,14,34,78,141,265,213,760,399,518,586,787,1082,1344,1286,1151,828,7992,12031,7307,7855,9234,8181,6234,3921,1800,524,57084,692,511,568,576,642,576,465,407,294,4728,13799,9905,10392,12194,12220,11134,9097,6895,3383,89005,4,63,141,367,1088,2196,3146,3788,2018,12812,1443,1603,1385,1500,1490,1295,1145,961,419,11239,19,33,71,188,508,944,1349,1413,585,5110,0,0,0,0,6,28,134,609,906,1686,27,91,129,354,789,1536,2052,1852,748,7586,31,42,48,112,339,953,1634,2123,1319,6592,12,24,26,59,105,194,273,425,294,1423,18,17,24,38,106,231,428,588,340,1790,426,1778,1601,1486,1741,1402,947,816,591,10778,6,7,15,32,81,175,355,575,387,1626,1016,1007,1002,1388,1931,2365,2261,1877,1309,14159,24249,15900,15883,17642,15902,12072,7166,3480,986,113289
