CED_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
CED211,5,0,0,0,5035,5045,56,4,0,0,4886,4951,3225,91,108,4,6733,10160,7997,263,463,11,2848,11585,7219,472,1003,47,2053,10795,6338,392,1184,128,1255,9302,5338,236,916,309,512,7316,3437,105,403,469,154,4570,1054,27,104,556,46,1785,34676,1589,4181,1523,23530,65500,4,0,4,0,4516,4525,115,6,0,0,4363,4485,4322,164,186,14,5856,10537,8594,437,730,55,2673,12488,7296,621,1607,157,1984,11659,6325,445,1952,417,1101,10236,5139,304,1721,1163,516,8845,2752,96,819,2029,216,5914,567,15,209,2179,91,3066,35110,2083,7233,6007,21313,71749,10,0,4,3,9549,9568,172,10,5,0,9249,9432,7543,257,286,22,12583,20697,16592,699,1191,63,5520,24068,14513,1091,2614,202,4038,22458,12668,837,3136,542,2357,19537,10478,540,2645,1473,1027,16157,6188,207,1226,2497,373,10489,1619,35,310,2741,136,4847,69789,3676,11415,7536,44837,137248
CED212,0,0,0,0,4824,4825,42,3,3,0,4277,4323,2330,128,99,5,7216,9771,5769,374,567,23,3801,10535,6071,623,1286,67,2717,10763,5512,540,1666,157,1505,9384,4656,322,1195,315,589,7077,2694,138,485,461,180,3959,709,19,98,472,40,1337,27779,2142,5407,1498,25148,61978,3,0,4,0,4377,4384,90,6,4,0,4146,4242,3223,191,191,16,6599,10217,6340,555,889,66,3448,11301,6073,766,1859,178,2332,11209,5427,608,2337,472,1174,10020,4251,324,1928,1067,466,8033,2063,116,813,1594,138,4724,406,12,199,1533,67,2215,27866,2596,8211,4938,22740,66354,4,0,0,0,9205,9215,122,12,3,4,8424,8568,5553,312,290,23,13811,19993,12111,928,1455,84,7253,21835,12145,1390,3147,240,5049,21967,10937,1155,4002,633,2680,19405,8908,650,3122,1385,1053,15113,4755,252,1297,2059,314,8681,1112,36,295,2004,109,3550,55646,4739,13614,6438,47894,128332
CED213,0,0,0,0,4326,4328,23,0,0,0,3594,3620,1615,68,74,6,4942,6707,4153,278,392,20,2579,7424,5321,539,1133,55,2201,9238,6085,517,1640,148,1368,9763,7305,409,1502,432,663,10310,4876,191,703,739,194,6704,1396,52,139,690,56,2332,30775,2058,5590,2085,19917,60419,0,0,0,0,3899,3900,44,5,7,0,3153,3213,2161,144,132,14,4495,6944,4697,403,627,58,2509,8298,5699,657,1794,142,2113,10404,6405,554,2360,480,1193,10995,7127,383,2238,1334,563,11638,3907,158,1069,2345,219,7697,745,26,174,2137,83,3161,30791,2329,8404,6509,18222,66247,3,0,0,0,8225,8232,68,6,4,0,6752,6826,3772,211,210,21,9438,13646,8852,681,1027,75,5085,15714,11016,1195,2921,197,4311,19647,12491,1077,3999,626,2560,20756,14432,786,3740,1758,1225,21953,8783,346,1775,3080,413,14401,2146,81,314,2825,135,5492,61563,4389,13996,8591,38143,126669
CED214,9,0,0,0,4212,4224,194,11,7,0,6193,6407,4685,231,342,14,13041,18315,7490,481,860,38,5129,13996,5743,564,1309,74,3104,10792,5066,593,1516,120,1843,9141,4063,386,1013,320,769,6545,2318,141,347,421,257,3480,688,27,64,446,50,1267,30247,2433,5461,1435,34605,74181,13,0,0,0,4113,4128,478,33,22,3,5399,5938,5994,389,545,22,10120,17067,7299,705,1284,94,4164,13541,5574,695,1955,231,2526,10976,4506,551,1924,637,1465,9081,3655,338,1174,1292,617,7083,1598,92,394,1821,168,4074,339,12,93,1641,59,2148,29462,2815,7394,5735,28635,74038,20,0,0,3,8332,8354,668,48,28,5,11595,12347,10677,616,887,34,23167,35377,14787,1182,2145,129,9294,27544,11315,1257,3268,302,5623,21769,9572,1144,3441,760,3309,18224,7718,724,2192,1614,1384,13633,3921,228,741,2241,429,7554,1024,43,159,2080,103,3419,59706,5252,12856,7167,63239,148218
CED215,5,0,3,0,4954,4956,131,9,0,0,5162,5302,4982,171,190,13,8706,14064,13477,439,761,17,3705,18407,8071,565,1154,50,2255,12098,5418,419,1148,112,1284,8386,3847,255,752,240,538,5628,1953,83,238,307,140,2728,546,12,42,312,33,952,38428,1956,4288,1063,26778,72514,5,0,0,0,4601,4611,341,22,7,0,4138,4509,7338,268,295,18,6726,14639,12957,612,1004,51,3332,17954,7424,680,1621,198,2220,12142,5164,471,1478,517,1133,8759,3416,264,1025,1092,408,6207,1399,56,363,1413,114,3347,294,8,87,1151,34,1573,38334,2384,5871,4435,22707,73730,9,0,3,0,9554,9572,473,24,7,0,9300,9810,12320,439,488,24,15431,28701,26432,1049,1765,73,7037,36362,15492,1252,2769,248,4470,24236,10576,897,2624,631,2416,17137,7266,514,1780,1330,945,11831,3353,141,596,1722,255,6068,839,23,125,1469,68,2518,76764,4347,10162,5494,49483,146246
CED216,0,6,0,0,4260,4263,63,8,0,7,3701,3782,2213,139,113,3,6044,8511,4229,392,512,22,3034,8185,4671,568,1037,62,2478,8818,6408,584,1886,229,1820,10923,7169,549,1943,560,922,11138,3947,171,666,677,266,5727,861,37,107,529,54,1598,29562,2453,6262,2090,22584,62950,0,3,0,3,3988,3991,112,28,5,0,3444,3587,2794,263,193,23,5430,8700,4526,527,681,78,2751,8565,5075,653,1614,185,2077,9611,6918,629,2220,650,1310,11735,6656,418,1873,1567,441,10956,2880,93,649,2220,130,5982,437,12,100,1736,56,2340,29400,2627,7345,6464,19633,65464,3,3,0,3,8245,8251,174,33,5,4,7146,7366,5006,403,302,27,11474,17215,8757,917,1192,99,5783,16748,9744,1221,2654,249,4563,18427,13330,1214,4110,878,3132,22658,13816,968,3818,2129,1366,22098,6831,258,1315,2906,399,11705,1299,47,204,2267,117,3939,58958,5070,13605,8556,42217,128407
CED217,8,4,0,0,5290,5299,28,0,0,0,4401,4432,1630,48,59,3,5558,7287,6085,211,397,21,2443,9156,8170,392,942,54,1768,11328,7044,319,1094,118,1129,9700,5396,235,898,209,607,7352,3117,89,380,425,216,4238,970,24,96,500,103,1690,32444,1317,3865,1333,21519,60488,5,0,0,0,4929,4928,56,0,4,3,3852,3915,2339,80,127,7,5124,7680,6984,302,629,33,2422,10378,8777,599,1398,112,1902,12790,6771,446,1740,346,1177,10487,5042,264,1562,955,683,8502,2398,87,812,1745,290,5344,493,21,235,2236,149,3131,32862,1803,6497,5439,20528,67140,10,4,0,0,10220,10235,81,3,6,5,8253,8344,3970,122,183,13,10686,14967,13065,515,1026,54,4867,19531,16943,989,2344,162,3675,24118,13817,765,2833,462,2306,20184,10438,497,2458,1165,1289,15854,5515,185,1189,2179,515,9578,1461,48,329,2735,244,4822,65312,3124,10366,6772,42048,127627
CED218,11,3,0,0,5839,5854,143,4,8,0,5995,6151,4553,190,230,10,8204,13183,9740,458,662,29,3185,14070,8213,564,1057,58,1671,11571,6708,419,1050,126,745,9051,5007,290,597,277,241,6413,2241,83,183,364,61,2937,411,16,30,244,17,717,37027,2032,3812,1110,25962,69945,12,0,3,0,5666,5680,295,13,10,0,5057,5374,6251,262,341,23,6087,12960,9955,670,978,68,2450,14122,7946,754,1679,215,1453,12050,6365,523,1514,574,580,9556,4212,276,915,1216,212,6828,1353,66,239,1308,42,3013,206,7,47,844,28,1133,36599,2580,5715,4250,21581,70721,22,3,3,0,11506,11541,434,21,18,0,11052,11527,10801,450,565,29,14293,26143,19696,1128,1640,96,5628,28195,16168,1319,2731,273,3131,23619,13070,945,2563,699,1325,18609,9219,566,1511,1496,454,13241,3596,154,420,1676,108,5950,619,25,78,1090,41,1848,73625,4611,9530,5356,47540,140670
CED219,5,0,4,0,5081,5089,84,5,6,5,4976,5072,4030,183,188,10,7634,12042,7537,483,654,19,3365,12052,6184,585,1195,60,2075,10093,5467,440,1233,165,938,8247,4531,331,886,344,368,6456,1945,107,332,335,119,2845,391,6,39,241,27,701,30164,2146,4530,1178,24576,62598,9,0,0,0,4869,4878,214,19,4,4,4546,4785,5550,366,267,22,6700,12908,7554,687,906,87,3137,12369,6098,714,1676,193,1857,10535,5295,555,1795,507,803,8961,4058,298,1313,1150,260,7077,1295,97,426,1247,68,3130,210,8,90,865,32,1205,30283,2749,6471,4067,22280,65850,13,0,3,6,9952,9964,298,24,8,9,9520,9861,9580,546,457,32,14334,24951,15094,1169,1561,105,6502,24424,12277,1299,2868,248,3934,20627,10764,1002,3028,675,1744,17203,8591,628,2198,1492,624,13532,3236,205,759,1586,187,5974,602,14,124,1108,57,1909,60446,4898,11003,5244,46858,128449
CED220,3,0,0,0,3608,3615,46,0,5,0,5397,5446,2605,78,169,6,12466,15321,5891,230,527,23,4429,11103,5843,339,809,43,2320,9355,5165,261,925,108,1440,7898,3996,199,794,225,806,6009,2656,105,386,354,342,3842,848,10,87,408,89,1441,27051,1225,3697,1172,30899,64042,4,0,0,0,3700,3700,99,3,6,0,6148,6252,3453,129,250,8,12475,16309,6112,339,675,35,4099,11258,6168,443,1237,97,2218,10165,5099,364,1500,303,1355,8617,3900,217,1403,833,821,7177,2060,94,669,1575,364,4763,409,10,193,1652,155,2428,27301,1595,5939,4503,31341,70670,3,0,0,0,7304,7314,144,4,7,0,11543,11701,6059,207,415,15,24940,31632,12003,571,1200,56,8529,22358,12010,776,2044,143,4544,19519,10269,623,2425,413,2794,16521,7893,411,2196,1056,1624,13192,4716,199,1057,1927,710,8606,1252,28,284,2063,246,3870,54350,2817,9626,5676,62234,134712
