CED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED211,36,364,6905,23219,16626,3294,500,424,51377,22,658,2950,1759,207,34,11,169,5807,0,34,575,1384,335,30,4,28,2388,22,693,3529,3145,545,62,12,193,8198,0,34,288,144,18,0,0,7,496,0,84,531,69,4,0,0,5,686,0,286,579,90,0,0,0,13,971,0,12,55,5,0,0,0,4,74,0,8,14,10,11,5,3,0,47,3,434,1460,313,30,3,3,27,2274,0,3,18,9,0,0,0,0,29,0,8,15,15,3,0,0,0,49,62,1503,11919,26697,17201,3364,520,654,61926
CED212,86,334,3055,24777,15711,2995,547,533,48044,13,666,3958,2089,199,13,4,129,7070,14,71,770,1188,170,22,3,23,2255,26,733,4723,3279,370,37,9,154,9327,52,298,675,111,14,0,6,30,1177,0,13,140,28,0,0,0,0,180,4,9,92,4,0,0,0,4,116,10,14,0,0,0,0,0,0,24,0,24,19,4,12,5,0,0,61,59,356,926,141,19,0,5,33,1553,23,156,81,17,15,0,0,14,307,6,16,12,14,8,0,0,3,55,205,1589,8801,28230,16117,3038,561,744,59295
CED213,57,410,5396,24434,14989,2977,619,620,49502,6,314,2775,1735,126,7,4,126,5087,0,17,315,1078,278,23,3,17,1729,6,330,3093,2806,404,29,7,138,6822,4,120,801,428,23,0,0,24,1399,0,20,70,30,0,0,0,4,129,0,0,34,8,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,12,19,0,4,0,3,6,44,4,157,918,471,31,3,3,30,1616,17,140,237,43,7,5,0,15,450,0,12,9,15,3,0,0,3,45,83,1044,9657,27769,15432,3013,635,806,58434
CED214,57,428,5180,22462,8894,1714,315,649,39695,16,624,2256,1637,174,21,0,106,4828,11,170,2305,3999,1100,139,19,126,7873,25,790,4561,5635,1274,159,22,231,12704,21,1226,2803,652,37,3,6,105,4860,17,499,1108,196,13,0,0,21,1850,51,726,1500,160,3,0,0,38,2486,28,618,743,96,8,0,0,15,1520,0,17,26,17,3,0,0,4,76,120,3086,6184,1125,71,6,13,186,10787,9,73,97,58,23,0,0,6,273,0,18,27,27,6,0,0,5,86,214,4397,16047,29305,10267,1881,354,1077,63541
CED215,32,193,3868,21142,20849,2710,282,647,49732,10,372,1930,1878,696,45,4,71,5009,5,79,1421,3350,1121,131,13,59,6174,18,449,3351,5224,1816,180,16,136,11187,13,344,1176,407,35,12,8,33,2018,4,111,146,17,0,0,0,10,281,0,107,373,26,0,0,0,3,513,4,93,111,27,0,0,3,12,253,0,5,0,0,4,0,0,0,17,19,663,1808,484,37,7,12,64,3082,0,41,39,24,6,3,3,10,125,0,13,14,16,10,0,0,4,52,69,1349,9085,26886,22718,2903,312,855,64179
CED216,126,753,6166,28805,15374,2256,420,936,54833,16,392,1496,487,44,0,7,67,2512,3,57,122,123,16,4,5,7,346,18,448,1617,611,58,8,15,81,2855,20,528,1372,215,17,0,0,75,2229,0,0,29,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,3,0,0,0,19,20,537,1406,221,23,0,0,70,2277,46,199,177,45,23,3,4,30,529,6,21,29,41,18,5,4,14,133,217,1953,9397,29722,15496,2272,443,1132,60630
CED217,16,158,3277,13644,12759,3460,452,270,34035,16,389,4214,2686,304,30,6,76,7727,5,78,1156,3397,1485,111,15,45,6287,23,467,5365,6082,1787,138,24,120,14010,37,1231,2809,674,60,13,10,73,4896,15,326,1569,395,22,0,0,30,2354,23,663,1478,207,9,0,0,21,2397,0,75,214,25,0,0,0,3,315,0,9,3,6,13,0,0,5,29,74,2297,6070,1304,95,14,14,131,10003,3,52,204,61,11,0,0,8,334,0,5,18,26,12,0,0,0,62,117,2983,14939,21118,14665,3620,482,523,58440
CED218,36,113,1131,21330,21074,3143,400,674,47910,10,87,1073,1923,513,38,3,92,3747,0,9,281,1592,352,67,13,38,2352,10,94,1354,3517,872,104,17,129,6100,5,138,72,153,6,0,0,10,383,0,7,122,6,0,0,0,0,131,0,7,122,7,0,0,0,4,137,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,3,20,5,160,323,164,12,0,0,13,677,17,77,9,7,4,0,0,3,111,0,6,6,10,16,3,0,0,42,69,450,2823,25031,21977,3252,414,825,54844
CED219,50,164,1704,22017,23047,2967,550,728,51226,6,273,1398,1051,165,7,6,59,2956,0,12,107,417,40,6,0,9,580,6,284,1499,1463,201,7,6,66,3532,8,107,609,376,14,0,0,19,1139,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,18,5,5,3,0,0,39,13,129,628,381,25,4,0,22,1201,3,32,18,13,3,0,0,0,68,0,0,5,4,20,5,0,6,38,71,607,3853,23884,23302,2983,558,818,56076
CED220,11,158,2518,8806,8110,2411,379,175,22564,15,424,4372,2750,368,56,12,91,8081,0,163,1438,3112,896,90,17,45,5753,15,588,5804,5860,1260,138,27,136,13834,90,2780,4458,1094,105,9,11,131,8691,104,3079,5015,800,32,19,9,73,9126,156,2698,3673,786,20,0,0,87,7421,118,1785,2653,392,12,0,0,61,5028,3,3,4,0,3,0,0,0,16,467,10349,15811,3076,173,36,24,348,30279,8,119,184,63,3,4,6,6,399,3,21,14,20,7,4,0,5,79,507,11234,24331,17826,9562,2588,435,668,67153
CED221,50,194,1924,21272,23827,2978,426,699,51370,5,48,1373,1458,670,49,8,80,3686,0,22,218,665,184,28,0,17,1130,5,71,1592,2125,854,77,10,95,4824,0,23,461,81,17,4,0,14,596,0,16,5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,24,0,52,477,81,18,4,0,11,646,0,0,5,0,0,0,0,0,7,4,3,8,17,9,0,0,5,56,59,319,4007,23498,24714,3064,440,806,56904
CED222,64,255,4437,25981,12127,2618,573,629,46683,10,639,3437,2369,285,24,8,118,6885,5,55,1199,2886,1432,131,32,87,5827,18,693,4633,5250,1724,152,43,202,12714,28,790,2839,1355,270,22,4,103,5410,19,197,617,54,0,0,0,7,901,18,402,881,37,14,0,0,9,1370,0,64,289,24,0,0,0,7,389,0,12,11,15,6,4,0,0,52,74,1464,4642,1481,296,24,6,133,8112,14,99,34,9,0,0,0,6,168,0,14,26,18,3,0,3,0,67,173,2526,13776,32737,14147,2796,619,974,67744
CED223,144,890,6386,27767,16978,2219,481,993,55857,11,606,2439,494,36,6,0,265,3855,0,23,66,62,12,4,0,7,170,11,622,2506,553,46,11,3,266,4028,8,87,269,37,10,3,0,19,428,0,3,7,4,0,0,0,0,15,0,11,3,0,0,0,0,0,15,0,3,3,0,0,0,0,0,10,0,9,3,4,3,0,0,0,20,10,106,281,51,13,6,0,14,493,42,147,91,72,25,4,3,81,461,4,13,39,41,16,9,5,14,140,210,1786,9307,28480,17079,2246,497,1373,60982
CED224,37,201,2655,15809,13573,2787,402,332,35786,9,595,5025,2803,306,18,9,104,8874,5,79,1559,3614,935,81,16,61,6351,14,680,6583,6427,1239,98,21,171,15231,36,935,3710,1446,126,12,11,101,6381,0,121,627,56,13,0,0,11,826,3,400,837,74,0,0,0,23,1336,0,76,261,6,0,0,0,0,346,0,0,0,3,5,0,0,0,15,43,1533,5442,1583,137,18,16,140,8912,17,133,163,34,3,0,0,10,363,0,15,5,9,10,0,0,4,50,118,2566,14846,23871,14959,2898,435,647,60340
CED225,39,271,4117,22411,15254,3210,522,343,46165,16,503,2513,1214,111,12,4,54,4423,3,92,1219,2024,374,27,3,47,3791,18,586,3729,3243,484,41,10,103,8219,11,350,1369,582,57,0,3,34,2415,0,90,356,54,5,0,0,9,516,8,287,582,63,4,0,0,15,964,0,181,99,15,0,0,0,0,299,0,15,14,0,3,6,0,0,37,23,929,2428,724,63,8,7,52,4230,0,0,21,17,0,0,0,0,42,0,9,20,8,9,0,0,0,52,79,1806,10323,26401,15807,3254,531,506,58707
CED226,12,138,2479,11226,13439,4978,778,228,33286,16,255,3981,3068,516,66,9,66,7974,8,57,856,2777,1031,95,7,34,4862,19,311,4840,5848,1547,157,13,97,12836,70,983,3624,759,92,11,16,64,5607,87,1209,3018,427,32,3,0,51,4840,55,1193,2266,437,20,4,0,38,4022,10,266,300,35,4,0,0,12,626,0,3,6,5,0,4,0,0,14,217,3655,9217,1666,150,24,16,167,15109,5,29,70,65,10,3,5,8,184,3,18,12,24,10,3,5,4,76,255,4153,16614,18823,15153,5167,816,499,61481
CED227,36,243,2519,18020,24755,3634,627,610,50437,11,151,1653,948,259,22,7,88,3134,0,4,256,815,158,9,4,6,1255,11,156,1911,1756,420,30,11,92,4390,10,44,164,76,6,0,0,5,308,0,4,5,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,3,3,0,0,0,19,10,55,177,94,9,0,0,7,350,12,87,41,8,6,0,0,0,153,0,0,6,22,17,0,0,0,46,60,542,4658,19895,25201,3660,639,714,55379
CED228,38,168,1837,23093,26397,3001,405,891,55830,3,126,1507,1855,803,64,3,88,4452,0,3,347,758,217,41,8,18,1392,3,135,1853,2613,1024,98,12,111,5850,0,67,588,373,13,6,0,24,1059,0,0,13,0,0,0,0,0,23,0,83,289,17,0,0,0,4,391,0,0,0,0,0,0,0,0,0,0,8,3,0,0,3,0,0,20,0,156,897,392,17,7,4,24,1502,6,20,9,0,3,0,0,3,44,0,0,7,6,21,3,0,4,38,53,475,4606,26110,27460,3112,413,1033,63257
CED229,11,121,1283,3728,3029,968,258,93,9483,22,405,3316,3252,709,90,23,76,7899,19,274,1863,3929,1106,153,22,58,7426,46,673,5184,7183,1818,242,41,134,15323,221,2562,5236,1011,105,15,20,144,9306,221,4539,7557,1100,44,14,4,187,13662,140,2664,4698,960,54,5,5,90,8610,98,6424,11599,2701,110,5,8,207,21149,3,8,14,13,8,0,0,0,50,681,16200,29107,5784,316,36,40,620,52785,14,247,288,74,12,0,0,15,664,6,37,64,14,7,0,0,14,146,761,17289,35921,16787,5173,1249,335,879,78399
CED230,114,910,7373,32057,14944,2021,437,1168,59020,27,599,1795,717,74,6,10,110,3344,0,9,36,62,10,0,0,6,135,27,610,1829,784,87,12,9,117,3479,15,574,1278,194,13,0,6,84,2161,0,3,14,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,16,15,589,1299,193,15,0,6,85,2202,83,316,133,107,57,11,9,63,784,10,38,49,47,19,3,7,23,195,249,2456,10683,33194,15123,2051,466,1452,65670
CED231,30,152,2938,17479,10144,2097,305,334,33489,7,327,2993,2423,307,36,11,72,6177,11,384,2316,3999,1268,105,7,73,8151,22,707,5312,6417,1582,140,14,145,14327,13,700,2107,768,37,3,4,49,3684,47,1066,1700,152,11,0,5,83,3056,5,1484,2587,235,12,0,0,61,4383,13,407,623,227,3,0,0,43,1313,0,6,4,7,4,0,0,0,23,82,3660,7021,1389,65,3,11,232,12466,0,25,65,54,7,0,0,0,154,0,12,8,17,6,0,0,3,44,130,4558,15337,25347,11801,2247,334,713,60475
CED232,47,320,2018,17487,24737,3650,671,570,49499,10,129,1057,873,236,20,0,34,2362,0,6,154,433,59,10,0,7,673,10,143,1212,1305,290,34,0,39,3036,3,18,77,53,0,0,0,0,157,0,0,45,21,5,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,4,0,0,0,28,3,28,141,78,11,0,0,3,257,5,21,10,4,3,0,0,12,54,3,4,9,9,20,5,0,5,47,67,516,3390,18879,25058,3682,673,634,52897
CED233,9,140,1514,2598,1011,210,54,44,5587,21,720,5237,3486,860,97,27,85,10525,50,541,3156,4440,1422,345,73,85,10112,72,1261,8390,7924,2281,442,101,170,20637,90,1578,2106,640,90,17,7,58,4586,183,2644,3533,815,61,11,8,88,7340,363,5254,7879,1129,76,5,11,142,14865,994,12737,20511,3407,116,14,21,520,38312,0,4,14,4,5,0,0,0,36,1627,22222,34039,5992,348,42,48,816,65139,8,114,185,115,36,7,0,8,478,20,65,93,21,0,0,0,24,229,1726,23809,44225,16647,3687,707,205,1065,92069
CED234,18,142,2154,17429,18265,4703,854,344,43910,7,243,2590,2215,343,31,8,70,5502,0,58,729,2874,1861,187,7,67,5786,5,297,3317,5085,2205,222,17,141,11286,12,132,919,667,73,5,0,22,1833,35,193,571,114,10,0,0,9,939,48,530,1263,204,5,0,0,27,2071,11,508,1383,207,3,0,0,18,2129,0,0,7,10,5,0,0,0,29,107,1370,4142,1203,92,8,0,73,6998,3,5,6,9,0,0,0,0,19,0,4,23,13,10,0,3,5,56,138,1816,9638,23737,20578,4936,876,557,62272
CED235,90,606,6014,25870,16320,2230,446,835,52400,24,504,1584,456,33,8,0,96,2697,5,46,73,188,62,15,0,10,391,22,546,1658,647,90,17,3,101,3092,0,259,679,172,12,0,0,32,1156,5,8,13,0,0,0,0,0,27,0,4,0,3,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,21,5,277,692,183,15,8,4,29,1211,41,181,300,36,10,0,3,37,605,0,11,17,22,14,3,9,10,92,153,1621,8687,26759,16453,2258,452,1016,57402
