CED_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
CED211,79,4615,132,4829,643,9523,329,10493,225,4675,144,5045,141,4643,168,4951,243,9538,379,10160,250,10949,384,11585,278,10149,371,10795,409,8608,279,9302,585,6471,255,7316,739,3600,235,4570,749,863,177,1785,4334,73635,2852,80822,48,4363,142,4552,349,9335,300,9986,115,4298,107,4525,119,4231,136,4485,230,9954,345,10537,252,11813,418,12488,413,10949,297,11659,548,9403,281,10236,805,7763,272,8845,1266,4309,338,5914,1510,1127,427,3066,5673,77551,3070,86289,128,8978,273,9379,990,18859,628,20478,341,8971,253,9568,256,8872,302,9432,476,19496,728,20697,505,22767,800,24068,689,21100,670,22458,955,18016,569,19537,1394,14234,529,16157,1999,7910,576,10489,2262,1986,601,4847,10000,151185,5923,167110
CED212,113,4414,245,4775,751,9103,532,10389,234,4365,225,4825,171,3946,206,4323,253,8968,554,9771,279,9677,579,10535,347,9795,620,10763,446,8445,490,9384,652,6100,325,7077,668,3059,226,3959,547,679,109,1337,4472,68563,4109,77143,58,4388,226,4672,384,8936,524,9840,164,3980,254,4384,126,3905,214,4242,251,9408,562,10217,300,10436,558,11301,442,10268,498,11209,634,9014,375,10020,784,6909,344,8033,1020,3432,275,4724,1186,837,194,2215,5336,71507,4023,80871,174,8806,470,9453,1136,18040,1052,20233,395,8346,472,9215,293,7853,425,8568,498,18379,1121,19993,585,20112,1136,21835,786,20065,1118,21967,1083,17460,861,19405,1441,13013,664,15113,1691,6487,497,8681,1731,1515,305,3550,9809,140074,8130,158012
CED213,72,3447,172,3695,531,7461,529,8525,188,3914,222,4328,120,3332,168,3620,164,6136,410,6707,187,6763,470,7424,299,8375,565,9238,373,8832,551,9763,641,9103,568,10310,946,5339,415,6704,835,1255,243,2332,4374,63963,4306,72638,31,3172,175,3388,260,7314,509,8080,129,3554,223,3900,69,2943,198,3213,160,6396,381,6944,210,7608,475,8298,362,9482,562,10404,539,9886,572,10995,716,10331,598,11638,1405,5788,504,7697,1478,1326,353,3161,5364,67803,4548,77714,104,6622,350,7080,792,14775,1035,16601,313,7472,442,8232,188,6275,364,6826,326,12534,791,13646,404,14371,942,15714,660,17858,1124,19647,915,18718,1120,20756,1355,19431,1167,21953,2354,11129,917,14401,2320,2585,591,5492,9735,131766,8853,150355
CED214,74,4740,350,5167,544,8221,681,9444,151,3776,298,4224,134,5774,499,6407,243,16641,1429,18315,265,12737,1006,13996,388,9686,716,10792,690,7855,591,9141,1057,5063,425,6545,1096,2096,293,3480,674,448,150,1267,5323,77031,6438,88791,63,4471,340,4876,215,7854,611,8681,93,3774,256,4128,92,5466,384,5938,288,15618,1163,17067,308,12402,833,13541,453,9930,595,10976,824,7758,503,9081,1293,5424,366,7083,1744,2060,271,4074,1408,449,290,2148,6772,75207,5606,87592,135,9213,698,10043,757,16081,1290,18128,250,7549,554,8354,223,11236,888,12347,531,32257,2592,35377,569,25133,1835,27544,847,19619,1306,21769,1518,15614,1093,18224,2351,10490,790,13633,2839,4155,567,7554,2081,898,434,3419,12097,152245,12042,176388
CED215,123,7197,424,7748,762,13270,779,14818,207,4455,295,4956,99,4703,496,5302,181,12600,1281,14064,190,17035,1184,18407,228,11225,649,12098,381,7588,408,8386,606,4768,252,5628,681,1920,130,2728,486,422,44,952,3951,85183,5942,95075,68,6688,411,7170,301,12993,717,14016,114,4255,240,4611,83,4181,245,4509,193,13601,842,14639,232,16877,846,17954,375,11256,508,12142,543,7879,340,8759,851,5113,235,6207,1091,2115,137,3347,996,492,76,1573,4852,85458,4604,94911,191,13887,836,14914,1064,26267,1501,28832,322,8711,531,9572,186,8886,738,9810,367,26205,2126,28701,423,33916,2030,36362,601,22478,1160,24236,920,15465,749,17137,1457,9878,492,11831,1773,4033,268,6068,1487,918,118,2518,8802,170643,10543,189984
CED216,86,3673,317,4080,685,7845,746,9277,265,3692,306,4263,219,3216,342,3782,295,7227,995,8511,296,6943,947,8185,481,7568,768,8818,764,9374,794,10923,1088,9292,759,11138,1005,4284,440,5727,595,795,211,1598,5775,63907,6619,76298,42,3552,309,3905,338,7635,716,8687,132,3555,308,3991,126,3168,294,3587,253,7775,673,8700,326,7547,695,8565,515,8458,636,9611,794,10229,714,11735,1006,9268,679,10956,1179,4375,432,5982,1104,921,324,2340,5816,66473,5763,78058,127,7230,628,7985,1025,15478,1457,17961,395,7243,615,8251,345,6383,639,7366,552,14998,1669,17215,624,14487,1638,16748,997,16026,1411,18427,1557,19599,1506,22658,2094,18560,1434,22098,2178,8659,865,11705,1692,1711,531,3939,11589,130381,12383,154357
CED217,35,3443,87,3567,283,9546,387,10216,115,5034,149,5299,74,4196,168,4432,125,6824,344,7287,102,8687,363,9156,164,10777,387,11328,231,9199,266,9700,363,6737,247,7352,645,3396,197,4238,679,896,121,1690,2808,68732,2724,74264,27,3411,114,3553,139,9279,358,9773,89,4690,150,4928,66,3728,110,3915,123,7226,330,7680,130,9872,373,10378,183,12192,406,12790,330,9844,309,10487,546,7621,334,8502,1091,3975,270,5344,1709,1178,254,3131,4431,73021,3017,80469,61,6852,205,7117,421,18827,749,19988,207,9720,303,10235,144,7923,279,8344,241,14047,675,14967,237,18557,737,19531,351,22972,799,24118,564,19044,576,20184,912,14359,579,15854,1736,7372,469,9578,2388,2069,368,4822,7244,141747,5741,154736
CED218,107,5560,358,6026,696,11814,716,13225,203,5315,338,5854,143,5426,577,6151,216,11510,1460,13183,266,12599,1207,14070,368,10444,761,11571,581,8003,462,9051,951,5180,283,6413,890,1901,145,2937,407,253,60,717,4826,77992,6378,89201,50,5313,330,5690,324,11483,684,12495,137,5275,270,5680,84,5022,271,5374,180,11908,868,12960,272,13102,744,14122,455,11041,558,12050,772,8395,393,9556,1229,5347,254,6828,1192,1687,141,3013,756,309,66,1133,5443,78884,4578,88900,157,10874,688,11713,1021,23294,1397,25720,339,10592,607,11541,227,10452,850,11527,391,23420,2332,26143,541,25704,1958,28195,816,21484,1316,23619,1349,16398,858,18609,2178,10526,539,13241,2077,3581,285,5950,1167,561,126,1848,10271,156876,10955,178100
CED219,135,5777,384,6298,1097,10607,803,12508,345,4459,291,5089,181,4587,303,5072,302,10996,741,12042,283,11067,703,12052,400,9141,555,10093,538,7287,422,8247,838,5308,307,6456,705,1979,159,2845,333,317,54,701,5156,71515,4732,81404,80,5651,353,6081,568,10647,836,12049,216,4368,291,4878,154,4361,273,4785,312,11858,740,12908,335,11343,692,12369,527,9461,536,10535,695,7853,415,8961,953,5792,326,7077,903,2047,180,3130,740,389,69,1205,5489,73779,4716,83986,215,11428,741,12384,1665,21256,1644,24559,562,8825,580,9964,336,8946,575,9861,614,22852,1486,24951,622,22410,1393,24424,929,18605,1095,20627,1232,15138,836,17203,1796,11098,639,13532,1612,4022,337,5974,1074,707,123,1909,10648,145294,9445,165389
CED220,34,3190,122,3343,228,6622,266,7113,89,3392,124,3615,69,5165,218,5446,113,14445,767,15321,115,10492,495,11103,173,8778,405,9355,213,7364,327,7898,301,5451,261,6009,608,3014,216,3842,623,696,123,1441,2574,68601,3325,74497,18,2970,135,3117,87,6427,257,6774,64,3512,127,3700,71,5905,283,6252,140,15370,807,16309,146,10643,468,11258,188,9584,394,10165,259,8033,333,8617,453,6400,325,7177,1006,3506,253,4763,1286,875,257,2428,3711,73220,3631,80562,51,6160,258,6462,315,13050,521,13888,156,6905,254,7314,135,11066,498,11701,250,29808,1573,31632,264,21132,958,22358,363,18361,797,19519,468,15392,660,16521,757,11851,587,13192,1620,6519,469,8606,1911,1576,381,3870,6285,141820,6960,155062
CED221,146,7534,459,8138,842,13700,886,15429,231,5326,281,5837,207,5792,366,6361,281,13564,865,14710,286,14813,774,15878,389,10090,535,11009,567,7297,404,8268,650,4117,226,4991,591,1582,126,2302,251,312,44,609,4445,84130,4962,93534,63,7222,459,7744,382,13177,792,14343,168,5258,282,5709,137,5748,297,6183,238,14847,876,15965,316,14391,716,15419,520,10005,488,11011,728,7185,373,8289,839,4348,247,5434,801,1645,146,2591,620,340,75,1031,4800,84167,4750,93721,210,14760,912,15881,1219,26877,1675,29772,402,10584,565,11548,341,11542,661,12543,520,28405,1744,30666,602,29203,1487,31300,903,20097,1023,22019,1298,14486,776,16563,1485,8468,472,10430,1393,3225,273,4887,871,651,113,1644,9250,168300,9709,187255
CED222,78,5175,290,5539,437,9899,495,10834,158,4838,200,5202,120,7675,493,8288,226,17063,1173,18457,241,13109,643,13998,369,10860,479,11700,609,9029,415,10047,913,6370,303,7583,1259,3288,252,4806,1048,805,121,1972,5450,88113,4862,98421,36,4838,296,5169,182,9468,445,10099,88,4696,237,5019,90,6666,361,7114,172,14967,832,15973,250,13054,604,13903,429,11259,459,12155,785,9240,388,10420,1298,7009,361,8668,2059,3394,256,5704,1898,876,165,2941,7292,85474,4410,97169,108,10012,588,10710,621,19368,940,20925,250,9535,433,10219,213,14344,855,15407,396,32032,2006,34431,487,26163,1247,27900,797,22122,938,23858,1391,18268,806,20465,2211,13380,665,16254,3318,6683,505,10506,2946,1679,285,4915,12739,173586,9266,195590
CED223,73,3613,260,3945,713,8256,716,9685,261,4083,293,4642,154,3202,307,3660,238,7210,586,8032,263,7420,654,8342,358,8537,672,9564,594,9754,762,11115,861,9195,713,10761,921,4290,391,5591,667,869,140,1673,5099,66421,5493,77010,43,3658,231,3932,380,8259,618,9253,132,3833,311,4273,101,3031,263,3398,197,7492,553,8246,263,8290,573,9130,411,9245,669,10324,665,10539,703,11910,821,9237,582,10640,1118,4385,429,5933,1312,1029,238,2575,5446,68994,5167,79610,113,7273,491,7875,1089,16511,1339,18935,393,7914,606,8916,255,6231,566,7052,437,14702,1140,16281,528,15717,1229,17472,767,17781,1336,19886,1262,20293,1466,23021,1676,18430,1296,21401,2038,8675,819,11529,1975,1893,374,4247,10543,135416,10663,156620
CED224,69,4438,183,4688,453,9495,371,10315,150,4338,145,4634,100,4102,159,4365,184,9098,442,9724,191,10850,429,11466,258,10635,358,11255,377,8505,327,9203,543,5927,267,6737,805,2921,202,3925,642,764,98,1507,3776,71060,2989,77828,41,4318,168,4528,246,9286,338,9864,113,4237,132,4478,63,3924,127,4115,154,9461,413,10021,227,11738,413,12380,337,11455,354,12143,520,8951,321,9793,771,6751,306,7836,1163,3514,238,4912,1458,1005,159,2620,5087,74643,2963,82689,107,8756,357,9217,698,18779,707,20180,258,8572,276,9111,172,8029,288,8485,338,18558,850,19743,420,22585,846,23851,600,22087,709,23399,896,17457,649,19002,1315,12685,577,14574,1967,6435,439,8841,2100,1774,257,4126,8868,145705,5951,160526
