CED_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED211,2576,3740,8647,10021,9433,6631,1626,158,8,42838,1874,625,1546,2088,1951,3350,6910,5317,2463,26120,76,118,346,380,274,257,311,437,587,2793,4525,4485,10537,12488,11659,10236,8845,5914,3066,71749,493,3197,11391,13073,12269,7916,1373,85,5,49791,3256,3516,4301,5736,5351,4545,1931,305,20,28966,450,404,982,761,523,611,232,46,6,4023,45,106,292,229,178,106,33,10,8,1007,4245,7220,16968,19802,18320,13176,3565,450,40,83785,93,238,380,379,323,259,54,0,0,1729,750,302,241,226,217,214,63,6,0,2018,844,538,625,604,541,472,115,8,0,3743,5084,7760,17589,20408,18860,13644,3680,457,40,87531,4292,1405,2374,2925,2975,5387,11902,9322,3960,44535,194,269,736,735,625,509,578,707,847,5186,9568,9432,20697,24068,22458,19537,16157,10489,4847,137248
CED212,2422,3373,8132,8879,8761,6369,1480,121,4,39549,1734,667,1543,1885,1977,3287,6191,4215,1847,23341,230,210,541,538,468,360,361,386,370,3459,4384,4242,10217,11301,11209,10020,8033,4724,2215,66354,662,3027,10444,11068,11580,7543,1371,94,0,45784,3040,2779,4061,5247,4856,4373,1671,240,16,26280,402,426,1076,852,592,672,243,35,4,4302,51,122,295,280,184,136,37,17,3,1116,4150,6348,15873,17440,17214,12717,3323,389,26,77486,131,301,432,315,352,283,41,0,0,1855,661,210,245,201,190,214,50,4,0,1763,788,510,680,517,541,493,93,9,0,3620,4938,6859,16553,17957,17750,13212,3414,394,26,81109,3838,1291,2346,2775,3151,5367,11007,7603,2964,40344,436,414,1095,1100,1067,824,692,680,555,6876,9215,8568,19993,21835,21967,19405,15113,8681,3550,128332
CED213,2287,2594,5485,6417,8120,6632,2029,208,9,33786,1410,427,1092,1428,1735,3830,8941,6826,2578,28265,209,190,363,448,554,531,669,663,570,4200,3900,3213,6944,8298,10404,10995,11638,7697,3161,66247,848,2595,6775,7400,9345,6901,1549,152,4,35565,2727,2219,3160,4140,4972,5146,2687,465,31,25552,513,397,805,698,794,898,362,70,7,4544,127,139,212,181,257,182,82,36,4,1223,4205,5359,10946,12431,15368,13127,4679,723,46,66888,90,157,212,166,247,233,43,0,0,1155,408,121,110,122,147,182,61,0,0,1152,493,275,322,295,395,421,98,0,4,2312,4704,5637,11270,12724,15760,13544,4781,729,47,69196,3123,840,1622,2101,2773,6157,15895,12518,4536,49564,408,359,758,892,1112,1050,1272,1155,909,7913,8232,6826,13646,15714,19647,20756,21953,14401,5492,126669
CED214,1662,4373,12915,9807,7552,4503,820,43,0,41688,2233,1162,2951,2930,2842,4097,5849,3674,1786,27520,231,396,1198,806,586,485,415,359,356,4827,4128,5938,17067,13541,10976,9081,7083,4074,2148,74038,211,2836,16204,13436,9800,5587,968,38,0,49097,1847,4443,7996,5466,4152,3107,848,73,5,27930,253,528,1261,891,528,469,155,19,0,4105,68,254,706,345,267,152,45,6,0,1847,2380,8059,26170,20144,14750,9319,2009,138,3,82979,115,440,1064,717,713,531,66,3,0,3653,602,515,614,401,366,402,61,4,0,2960,712,957,1673,1117,1084,934,127,9,0,6610,3093,9012,27845,21258,15834,10252,2139,147,10,89587,4749,2430,4859,4481,4657,6926,10638,6699,2878,48309,512,903,2684,1805,1282,1047,854,709,532,10322,8354,12347,35377,27544,21769,18224,13633,7554,3419,148218
CED215,2197,3447,10973,13938,9498,5204,908,64,10,46227,2197,827,2804,3211,2167,3229,5040,3095,1406,23968,215,239,864,811,474,330,260,192,156,3531,4611,4509,14639,17954,12142,8759,6207,3347,1573,73730,388,2692,14027,20418,13490,6806,960,33,5,58817,2673,3396,5593,6856,4644,3268,1022,118,6,27570,406,403,1133,1162,632,514,144,19,0,4414,52,191,576,463,234,115,34,9,3,1671,3515,6683,21332,28899,18999,10703,2159,176,15,92478,112,350,821,788,586,378,40,3,0,3082,694,390,393,422,256,207,55,5,3,2432,809,742,1215,1208,848,588,94,8,3,5507,4328,7421,22550,30110,19842,11290,2255,187,18,97985,4810,1813,4343,4530,3417,5167,9060,5539,2270,40948,439,576,1810,1728,985,681,521,347,230,7313,9572,9810,28701,36362,24236,17137,11831,6068,2518,146246
CED216,2264,2673,6358,6317,7041,6495,1734,214,23,33118,1426,622,1675,1586,1928,4535,8498,5193,1932,27402,298,293,660,663,641,702,722,577,392,4944,3991,3587,8700,8565,9611,11735,10956,5982,2340,65464,946,2790,7653,7294,8120,6705,1559,215,27,35307,2608,1903,3695,4103,4182,4774,1991,335,24,23618,365,241,797,558,564,926,314,48,7,3824,122,162,262,230,232,205,117,45,9,1384,4035,5097,12401,12183,13102,12613,3984,645,69,64133,176,313,448,313,384,351,58,0,0,2049,341,152,240,172,202,257,76,10,0,1457,518,461,690,488,591,607,139,17,0,3504,4550,5561,13087,12669,13696,13222,4123,660,73,67638,3121,1205,2822,2772,3414,7976,16480,9967,3215,50984,584,593,1305,1301,1318,1461,1495,1080,645,9788,8251,7366,17215,16748,18427,22658,22098,11705,3939,128407
CED217,2537,3305,6507,8390,10414,6973,2079,245,19,40476,2275,521,870,1639,1997,3242,6106,4774,2736,24166,122,89,301,343,374,270,320,319,375,2503,4928,3915,7680,10378,12790,10487,8502,5344,3131,67140,221,2065,8743,11164,13982,8608,1852,184,12,46827,3240,3735,2829,4218,5309,4838,2652,537,37,27386,555,511,684,688,487,561,272,47,3,3803,31,81,209,184,171,124,47,17,9,868,4044,6393,12465,16247,19949,14125,4820,782,62,78879,29,166,307,268,395,323,47,5,0,1545,679,277,158,161,215,193,75,19,0,1772,708,440,470,436,607,515,124,16,4,3316,4754,6832,12930,16682,20554,14639,4946,796,62,82199,5242,1284,1405,2170,2831,5042,10361,8243,4227,40805,233,231,635,682,736,500,544,541,533,4621,10235,8344,14967,19531,24118,20184,15854,9578,4822,127627
CED218,2714,4150,9344,10182,8853,5105,835,54,3,41247,2744,997,2884,3278,2719,4089,5699,2777,1029,26219,227,230,731,659,478,362,298,179,104,3259,5680,5374,12960,14122,12050,9556,6828,3013,1133,70721,509,3417,12266,13836,11817,6836,1085,33,0,49799,3130,3619,4963,5626,4794,3395,954,112,3,26588,426,454,1037,821,565,527,151,11,0,3999,93,253,529,471,312,174,56,0,0,1897,4167,7747,18798,20753,17484,10933,2236,158,9,82283,141,463,734,677,568,362,37,0,0,2982,883,488,365,329,287,287,55,4,0,2695,1027,948,1101,1005,850,646,88,3,0,5672,5199,8696,19896,21758,18338,11577,2329,165,9,87961,5862,2278,4755,5101,4299,6302,10340,5440,1681,46059,474,557,1491,1337,977,730,577,345,162,6657,11541,11527,26143,28195,23619,18609,13241,5950,1848,140670
CED219,2523,3655,9192,8921,7750,5087,1077,82,6,38291,2106,874,2963,2766,2261,3494,5646,2807,1096,24015,257,259,752,688,515,380,352,241,102,3542,4878,4785,12908,12369,10535,8961,7077,3130,1205,65850,790,3553,12086,12252,10575,6421,1126,60,6,46869,2819,2831,4684,4989,4123,3348,1168,136,4,24103,391,443,1163,777,577,573,167,12,0,4104,77,190,460,385,220,141,40,11,3,1524,4073,7009,18397,18406,15494,10481,2505,224,15,76596,197,389,656,517,438,285,36,0,0,2518,704,311,367,327,196,183,47,5,0,2136,903,695,1026,842,638,467,79,5,0,4661,4981,7705,19421,19244,16126,10953,2582,234,16,81253,4468,1593,4028,3793,3454,5485,10272,5311,1721,40120,517,559,1506,1388,1044,771,678,432,170,7071,9964,9861,24951,24424,20627,17203,13532,5974,1909,128449
CED220,1768,5043,14224,9288,8039,5603,1964,277,22,46240,1823,943,1327,1518,1765,2720,4897,4202,2065,21270,104,269,753,446,361,295,314,286,337,3161,3700,6252,16309,11258,10165,8617,7177,4763,2428,70670,143,3178,19976,13636,11131,7009,1758,225,19,57071,2076,4623,5561,4146,3961,3711,2315,517,61,26970,381,703,1086,752,404,378,181,66,8,3964,24,121,327,198,148,96,43,23,3,991,2622,8630,26952,18737,15643,11195,4298,826,89,88994,24,232,626,396,359,274,50,10,0,1977,544,462,281,151,188,185,71,17,0,1894,569,698,909,551,546,456,121,20,0,3873,3198,9325,27859,19284,16188,11656,4417,845,90,92870,3910,1903,2270,2158,2596,4280,8198,7235,3298,35842,212,469,1504,917,736,586,578,520,473,6002,7314,11701,31632,22358,19519,16521,13192,8606,3870,134712
CED221,2650,4574,11223,11199,7940,4598,763,41,8,42997,2825,1306,3851,3532,2576,3341,4379,2386,939,25129,239,299,893,689,488,351,293,160,85,3503,5709,6183,15965,15419,11011,8289,5434,2591,1031,71631,712,4120,14525,16086,11438,6503,931,25,3,54342,2877,3759,6314,6761,4433,2990,881,89,8,28096,279,406,1212,834,538,465,130,15,0,3875,81,268,614,458,257,164,41,6,8,1887,3947,8554,22659,24132,16666,10115,1976,138,16,88199,179,504,755,578,418,267,35,0,0,2739,968,474,390,347,214,187,51,6,0,2644,1146,984,1147,933,637,452,88,3,0,5378,5087,9536,23803,25067,17301,10563,2062,141,15,93581,5973,2354,5073,4773,3724,5263,7829,4438,1472,40910,490,655,1792,1457,996,735,537,305,148,7110,11548,12543,30666,31300,22019,16563,10430,4887,1644,141598
CED222,2250,5146,12117,10295,8898,5698,1249,84,12,45749,2576,1616,2994,2996,2810,4336,7048,5256,2635,32268,202,354,869,612,443,382,371,368,294,3887,5019,7114,15973,13903,12155,10420,8668,5704,2941,81903,295,3513,16025,14084,11833,7278,1359,59,4,54449,2712,5608,7945,5941,4912,3854,1394,170,11,32541,318,552,1094,767,525,479,174,29,3,3945,56,267,743,383,271,200,57,16,9,1992,3378,9937,25799,21179,17553,11811,2980,276,22,92931,94,416,965,641,533,436,44,0,0,3130,747,709,518,367,302,276,68,7,0,3001,841,1128,1474,1014,836,709,116,8,0,6128,4221,11066,27277,22188,18389,12518,3093,283,25,99062,5618,3496,5055,4466,4538,7150,12439,9556,4427,56740,380,847,2100,1251,931,801,720,669,452,8149,10219,15407,34431,27900,23858,20465,16254,10506,4915,163955
