SAL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL20065,42,15,19,22,30,46,53,40,8,272
SAL20066,1192,1004,1938,1388,1186,901,898,642,214,9368
SAL20067,6,9,4,10,13,25,10,4,0,90
SAL20068,2920,1342,2696,1972,933,637,471,186,102,11247
SAL20069,5,3,0,9,5,11,7,0,9,56
SAL20070,0,0,0,0,3,0,5,0,0,19
SAL20071,65,62,32,36,63,93,76,41,6,478
SAL20072,74,38,19,58,67,67,55,31,13,414
SAL20073,15,15,0,10,12,17,6,8,3,93
SAL20074,630,263,362,368,261,297,245,121,20,2571
SAL20075,2685,1603,2651,2506,2149,1704,1117,554,228,15197
SAL20076,46,23,12,30,42,44,29,6,0,242
SAL20077,1585,1014,712,1041,1245,1018,694,420,227,7952
SAL20078,1199,846,1041,1017,959,802,605,413,259,7154
SAL20079,1521,840,653,1069,1126,929,622,378,141,7285
SAL20080,1138,912,492,785,1049,939,566,385,155,6427
SAL20081,45,15,24,8,28,20,8,4,0,147
SAL20082,547,505,318,370,584,567,290,101,25,3309
SAL20083,0,0,0,0,0,0,0,3,0,3
SAL20084,0,0,0,0,0,0,0,3,0,5
SAL20085,46,39,21,34,35,34,31,15,0,255
SAL20086,183,102,87,133,146,174,180,90,26,1112
SAL20087,217,114,122,118,172,169,265,127,49,1356
SAL20088,0,0,0,0,0,0,0,0,0,8
SAL20089,1977,1175,1376,1659,1510,1373,1424,1280,607,12388
SAL20090,3,7,3,0,3,8,6,7,0,42
SAL20091,162,103,81,129,114,133,81,31,7,844
SAL20092,90,72,23,53,77,67,48,22,3,452
SAL20093,236,75,138,112,123,128,118,41,7,984
SAL20094,10,8,6,6,6,4,3,4,0,39
SAL20095,1465,767,1192,962,881,832,940,593,181,7808
SAL20096,50,30,34,29,45,69,66,15,3,347
SAL20097,278,150,214,180,193,257,220,82,27,1610
SAL20098,0,0,0,4,0,0,0,3,0,10
SAL20099,75,31,45,40,54,61,37,8,3,355
SAL20100,4,0,4,7,11,8,5,8,5,39
SAL20101,11,3,3,6,4,9,5,9,0,56
SAL20102,19,6,5,16,19,32,19,3,3,120
SAL20103,1338,833,1002,817,872,1021,978,727,318,7905
SAL20104,24,26,44,20,26,19,16,9,0,180
SAL20105,694,564,1409,990,659,479,369,170,56,5392
SAL20106,21,19,12,6,21,14,6,5,0,114
SAL20107,15,0,9,10,4,4,5,3,3,59
SAL20108,627,300,390,446,424,499,379,221,88,3392
SAL20109,16,15,5,10,12,9,3,3,0,71
SAL20110,5,0,0,0,5,0,3,0,0,19
SAL20111,770,659,808,701,711,723,600,285,121,5378
SAL20112,880,623,888,695,629,703,715,468,329,5937
SAL20113,716,404,501,493,488,500,419,330,195,4041
SAL20114,12,14,3,11,16,22,30,11,0,120
SAL20115,48,23,22,43,42,38,35,8,0,254
SAL20116,41,25,10,29,25,19,37,7,6,199
SAL20117,19,3,6,13,10,9,10,0,3,77
SAL20118,24,6,13,13,22,20,15,17,0,135
SAL20119,40,28,10,23,46,51,42,26,3,281
SAL20120,471,201,157,309,324,342,319,187,57,2371
SAL20121,61,38,19,41,57,70,96,65,18,471
SAL20122,0,0,0,0,0,3,0,0,0,9
SAL20123,2181,1847,1348,1678,1915,1676,1404,937,509,13495
SAL20124,3794,3354,1834,2292,3385,2912,1909,1209,622,21302
SAL20125,102,52,50,68,64,79,58,22,5,491
SAL20126,49,43,27,33,44,36,31,21,0,282
SAL20127,19,7,6,16,18,28,15,9,0,115
SAL20128,9,0,3,5,0,6,3,8,0,44
SAL20129,195,251,155,108,55,40,36,18,4,855
SAL20130,12,9,0,8,8,10,3,10,0,62
SAL20131,33,32,24,31,55,81,207,214,71,749
SAL20132,18,6,17,15,3,8,4,6,0,78
SAL20133,1621,702,815,981,847,560,545,276,117,6470
SAL20134,0,0,0,0,0,6,5,0,0,22
SAL20135,4,0,0,5,0,12,5,0,0,27
SAL20136,712,295,398,381,370,297,243,187,158,3041
SAL20137,6,8,9,10,6,24,11,8,0,82
SAL20138,27,9,12,15,25,33,37,25,3,185
SAL20139,4,0,0,3,0,0,4,0,0,11
SAL20140,25,3,6,19,14,24,36,10,0,141
SAL20141,93,29,42,49,62,99,75,29,10,487
SAL20142,5,0,0,4,14,11,6,6,0,49
SAL20143,4,4,11,5,3,18,0,0,0,41
SAL20144,24,14,15,14,35,46,54,19,6,229
SAL20145,3,0,0,4,0,0,3,0,0,12
SAL20146,199,104,128,128,139,149,92,36,3,987
SAL20147,36,19,18,16,24,42,29,9,3,188
SAL20148,47,10,12,29,21,24,8,4,0,149
SAL20149,82,53,39,54,68,81,53,17,4,458
SAL20150,59,32,22,32,28,52,26,28,4,291
SAL20151,36,32,22,32,30,42,31,9,3,247
SAL20152,6,0,0,0,3,3,4,0,0,22
SAL20153,0,0,4,3,0,0,4,0,0,11
SAL20154,16,6,5,3,3,7,8,3,0,45
SAL20155,0,0,0,0,0,3,0,0,0,5
SAL20156,10,0,3,13,0,9,7,3,0,39
SAL20157,5,0,0,3,0,5,12,4,0,33
SAL20158,0,0,0,0,0,0,4,0,0,10
SAL20159,11,16,4,4,23,10,20,9,0,96
SAL20160,57,19,15,26,28,61,52,13,0,269
SAL20161,18,7,7,20,26,16,27,4,6,136
SAL20162,873,416,241,530,663,606,650,285,95,4353
SAL20163,0,0,3,6,4,0,6,3,0,23
SAL20164,62,43,34,45,58,67,75,23,0,405
SAL20165,269,178,59,158,197,149,89,41,7,1141
SAL20166,14,7,5,3,20,3,5,3,0,76
SAL20167,0,0,0,0,0,0,0,0,0,0
SAL20168,10,3,11,6,0,3,3,0,0,30
SAL20169,324,234,363,251,248,327,242,140,33,2166
SAL20170,7,4,0,4,5,3,0,5,0,22
SAL20171,87,51,46,57,62,61,50,32,0,445
SAL20172,15,7,9,10,11,25,17,3,4,95
SAL20173,2007,1273,2013,1948,1496,1323,1097,758,349,12262
SAL20174,1689,898,1338,1467,1123,1049,804,383,252,9014
SAL20175,1414,1137,699,940,1226,919,545,308,82,7267
SAL20176,613,409,202,387,459,449,299,134,38,2997
SAL20177,17,8,10,17,28,44,53,17,8,213
SAL20178,8,4,8,9,26,31,44,27,3,167
SAL20179,7,7,5,7,10,8,4,6,0,53
SAL20180,15,0,11,7,5,5,0,0,0,44
SAL20181,251,167,137,160,230,243,308,157,62,1712
SAL20182,2488,1803,745,1320,2383,2073,1697,1018,419,13947
SAL20183,3,0,0,0,4,8,0,3,0,24
SAL20184,63,28,36,51,44,68,72,17,16,394
SAL20185,17,9,9,18,22,33,15,3,0,125
SAL20186,684,344,319,520,624,639,681,341,116,4274
SAL20187,0,3,3,0,6,0,3,0,0,17
SAL20188,784,415,490,646,593,471,353,123,31,3894
SAL20189,263,191,127,213,219,192,149,52,8,1398
SAL20190,288,228,120,222,238,259,213,89,15,1670
SAL20191,858,623,868,658,639,633,657,479,180,5602
SAL20192,772,575,743,578,616,583,632,437,135,5083
SAL20193,14,18,12,10,25,33,31,19,9,169
SAL20194,5,0,0,0,0,0,3,0,0,5
SAL20195,235,100,67,163,142,168,182,204,91,1346
SAL20196,72,31,23,52,46,81,73,26,5,393
SAL20197,8,6,5,0,7,13,10,4,0,59
SAL20198,340,222,386,331,229,222,168,69,36,1996
SAL20199,0,0,0,0,0,0,0,0,0,0
SAL20200,26,16,8,16,25,21,29,11,0,151
SAL20201,2593,1809,2621,1970,1697,1547,1412,894,528,15066
SAL20202,0,4,0,5,7,19,27,16,4,72
SAL20203,40,19,37,26,37,71,45,13,9,303
SAL20204,1507,1045,1114,987,1209,1602,1673,1148,524,10822
SAL20205,17,5,14,16,21,37,42,18,7,173
SAL20206,13,8,5,9,15,17,0,5,0,69
SAL20207,43,24,19,28,37,41,50,8,0,267
SAL20208,731,734,864,601,761,788,702,326,135,5652
SAL20209,8,5,7,7,8,24,32,12,0,109
SAL20210,18,10,8,10,10,20,14,4,0,93
SAL20211,15,9,4,6,10,3,6,0,0,56
SAL20212,28,13,24,17,12,22,12,11,0,138
SAL20213,11,5,5,6,0,4,12,0,0,42
SAL20214,3237,2207,2261,2642,2760,2144,1478,821,374,17921
SAL20215,6154,3493,3090,4691,4718,3373,2387,1422,830,30159
SAL20216,0,0,3,3,3,0,0,3,0,9
SAL20217,25,20,6,14,33,29,14,7,0,165
SAL20218,5,6,9,3,9,15,8,0,0,52
SAL20219,20,20,23,23,29,34,28,15,5,194
SAL20220,0,0,0,9,3,14,5,3,5,35
SAL20221,35,22,21,11,28,31,19,8,8,180
SAL20222,0,6,4,0,0,9,4,0,0,37
SAL20223,27,18,6,17,28,34,32,11,0,174
SAL20224,10432,6725,5441,7651,7449,5480,3735,2398,987,50298
SAL20225,24,8,12,12,11,15,25,3,0,113
SAL20226,27,14,15,16,12,27,21,10,0,135
SAL20227,14,10,5,6,11,13,18,7,3,84
SAL20228,4,0,0,0,0,0,6,0,0,13
SAL20229,79,38,38,60,80,108,61,20,9,485
SAL20230,18,3,4,10,19,15,18,11,0,101
SAL20231,51,14,32,22,29,73,46,30,15,312
SAL20232,66,31,38,42,36,67,35,12,0,337
SAL20233,1264,483,899,807,542,355,224,65,10,4642
SAL20234,0,0,0,0,0,0,0,0,0,8
SAL20235,75,24,31,45,39,40,17,14,7,281
SAL20236,5,0,5,4,3,6,5,11,0,38
SAL20237,8,9,8,4,3,18,7,4,4,60
SAL20238,15,4,8,5,3,13,10,8,0,61
SAL20239,0,0,0,0,0,0,0,0,0,0
SAL20240,0,0,0,0,0,4,3,0,0,11
SAL20241,7,3,5,3,6,6,11,3,0,49
SAL20242,24,15,3,13,26,12,24,5,4,134
SAL20243,0,0,0,0,0,0,4,0,0,8
SAL20244,117,49,77,66,96,87,110,64,29,694
SAL20245,0,0,0,0,0,0,0,0,0,9
SAL20246,167,85,83,94,109,102,60,38,11,748
SAL20247,183,73,104,125,110,140,147,52,5,942
SAL20248,733,444,425,456,596,632,604,334,59,4276
SAL20249,367,215,287,321,269,273,246,93,58,2124
SAL20250,40,29,44,18,29,60,44,17,0,274
SAL20251,999,758,397,642,989,990,888,509,216,6389
SAL20252,2292,1923,1759,1958,2062,1798,1298,850,535,14478
SAL20253,1510,927,835,1178,1108,859,529,444,225,7627
SAL20254,1903,1314,1142,1446,1576,1244,1043,789,480,10939
SAL20255,9,0,7,4,4,10,0,0,0,38
SAL20256,68,27,32,59,86,64,45,15,0,387
SAL20257,325,201,159,221,321,480,642,352,83,2786
SAL20258,9,5,3,6,10,8,4,6,3,43
SAL20259,32,15,25,27,42,38,52,3,3,237
SAL20260,257,150,185,143,179,168,134,58,13,1290
SAL20261,12,3,7,0,13,22,16,4,4,82
SAL20262,5,4,6,4,4,3,5,0,0,25
SAL20263,20,6,7,7,9,24,9,8,0,100
SAL20264,18,11,0,0,14,19,8,4,0,84
SAL20265,0,3,0,0,0,0,0,0,0,8
SAL20266,16,0,12,8,5,13,16,13,0,88
SAL20267,11,3,8,4,11,15,13,12,3,93
SAL20268,3,5,4,0,3,0,0,0,0,19
SAL20269,0,0,0,3,0,0,0,0,0,14
SAL20270,57,36,33,34,52,35,39,22,0,307
SAL20271,0,0,0,0,0,0,0,0,0,4
SAL20272,27,22,5,19,42,37,33,8,0,185
SAL20273,4,0,0,3,0,0,0,0,0,15
SAL20274,98,55,55,78,86,120,90,51,10,647
SAL20275,10,10,5,9,8,4,3,4,0,48
SAL20276,14,11,15,9,17,19,10,12,0,107
SAL20277,3,7,5,9,3,26,5,0,0,52
SAL20278,1164,562,949,1088,946,857,736,382,176,6855
SAL20279,53,238,82,56,41,68,67,6,4,610
SAL20280,37,32,33,26,47,62,49,23,13,314
SAL20281,19,0,0,8,6,4,3,0,0,48
SAL20282,46,33,68,45,16,52,53,15,3,333
SAL20283,61,56,75,45,110,136,143,45,5,666
SAL20284,227,137,241,123,87,81,29,17,4,949
SAL20285,28,20,16,9,24,33,17,5,5,159
SAL20286,0,0,0,0,0,0,0,0,0,0
SAL20287,0,0,0,0,0,0,4,0,0,5
SAL20288,153,92,111,96,126,222,148,59,13,1023
SAL20289,24,13,8,12,15,31,27,10,5,147
SAL20290,0,0,0,0,0,7,0,0,0,9
SAL20291,9,3,0,4,3,9,4,0,0,38
SAL20292,6,3,0,5,4,0,0,0,0,14
SAL20293,0,0,0,3,0,5,3,0,0,18
SAL20294,35,10,12,20,16,26,12,3,0,142
SAL20295,27,7,7,16,20,18,15,16,0,135
SAL20296,5,3,0,0,5,5,0,0,0,13
SAL20297,16,3,7,9,4,6,8,6,0,53
SAL20298,36,20,9,14,18,35,21,9,5,166
SAL20299,3,4,7,3,5,7,8,3,0,54
SAL20300,142,75,53,80,89,148,151,106,89,940
SAL20301,21,11,8,20,15,9,13,5,0,108
SAL20302,11,11,9,7,14,14,6,6,0,79
SAL20303,9,0,6,7,0,9,3,3,0,33
SAL20304,4034,2387,3733,3602,2970,2644,2357,1370,518,23607
SAL20305,4,3,5,4,11,4,12,3,0,59
SAL20306,11,8,8,3,13,23,12,8,3,85
SAL20307,1901,688,1222,1157,779,587,319,83,11,6739
SAL20308,25,13,19,14,16,35,31,5,6,154
SAL20309,45,8,24,23,27,25,36,14,6,209
SAL20310,9,3,7,6,15,3,12,0,0,51
SAL20311,7,3,4,6,5,9,5,0,0,42
SAL20312,18,6,12,6,13,24,22,6,0,106
SAL20313,18,6,0,7,7,0,6,0,0,44
SAL20314,1376,2546,3744,1896,1546,1177,938,648,475,14353
SAL20315,2048,1620,1991,1753,1687,1400,988,574,281,12337
SAL20316,1447,1206,1138,1168,1217,1015,727,371,198,8491
SAL20317,3,6,0,0,3,4,4,0,0,19
SAL20318,4,0,0,3,0,0,4,0,0,12
SAL20319,14,4,6,6,4,13,0,0,0,46
SAL20320,0,0,10,3,7,6,3,0,3,25
SAL20321,19,6,9,12,19,9,15,5,0,94
SAL20322,37,25,30,36,53,52,45,20,0,304
SAL20323,7,0,3,3,4,4,0,0,0,14
SAL20324,1508,1254,2222,1416,1098,985,789,287,116,9682
SAL20325,10,0,15,6,4,0,0,6,0,39
SAL20326,154,121,184,148,118,134,103,77,22,1060
SAL20327,23,9,13,21,12,17,33,18,7,151
SAL20328,6,0,0,0,6,6,3,4,0,29
SAL20329,10,11,0,4,3,8,8,4,0,47
SAL20330,203,128,122,125,141,186,175,44,8,1133
SAL20331,623,286,359,470,456,370,371,242,53,3220
SAL20332,26,14,3,18,20,19,13,4,4,117
SAL20333,21,14,8,16,25,15,24,9,5,133
SAL20334,6,10,8,9,0,15,0,5,0,54
SAL20335,49,29,46,32,32,56,57,34,7,341
SAL20336,383,237,231,315,348,378,389,252,84,2620
SAL20337,3619,2719,1845,2442,3506,3338,2878,1957,958,23252
SAL20338,3167,2063,1139,1916,2653,2123,1617,1221,854,16757
SAL20339,26,21,14,22,18,30,22,13,5,181
SAL20340,4,0,0,0,0,3,0,0,0,11
SAL20341,3,6,3,6,9,17,3,6,0,56
SAL20342,8,18,4,5,18,17,7,0,0,80
SAL20343,0,0,0,0,6,0,0,3,0,6
SAL20344,13,4,9,0,12,3,0,0,0,42
SAL20345,880,493,643,568,610,617,474,234,80,4592
SAL20346,2690,1774,2418,1805,1299,1208,718,445,170,12524
SAL20347,13,8,14,9,16,12,13,3,0,75
SAL20348,11,3,3,5,4,3,10,0,0,29
SAL20349,5,9,0,0,6,14,9,0,0,45
SAL20350,3,0,3,4,8,10,7,8,4,46
SAL20351,2885,1356,1641,1711,1123,879,734,334,107,10782
SAL20352,276,179,580,304,228,198,119,59,47,1979
SAL20353,0,0,0,5,0,0,3,5,0,16
SAL20354,32,19,23,18,32,38,37,10,0,213
SAL20355,14,7,7,3,9,9,5,4,3,65
SAL20356,962,425,709,672,507,540,434,190,59,4489
SAL20357,18,11,3,4,16,25,21,3,0,99
SAL20358,26,11,6,13,18,14,16,5,6,114
SAL20359,28,10,12,19,16,23,8,12,5,127
SAL20360,0,0,0,0,0,0,0,0,0,0
SAL20361,2551,2995,7276,4424,2777,2083,1426,922,440,24896
SAL20362,1253,1434,4450,2659,1405,933,597,372,173,13279
SAL20363,1882,1761,3734,2507,1748,1332,927,580,289,14746
SAL20364,151,69,106,94,98,144,88,45,15,820
SAL20365,25,8,7,10,14,27,10,9,4,112
SAL20366,25,18,16,16,29,40,29,23,8,201
SAL20367,20,5,18,9,11,18,16,12,4,102
SAL20368,30,10,16,16,18,32,16,14,0,156
SAL20369,43,28,29,29,39,37,13,13,5,228
SAL20370,3,4,6,0,0,6,0,4,0,21
SAL20371,10,6,3,0,10,5,11,0,0,52
SAL20372,0,0,0,0,0,0,0,0,0,0
SAL20373,24,16,12,17,18,27,23,11,4,146
SAL20374,0,0,0,0,0,0,0,0,0,0
SAL20375,51,34,16,30,42,43,39,19,4,284
SAL20376,31,32,17,24,39,65,55,17,6,285
SAL20377,30,12,6,17,15,7,6,4,0,104
SAL20378,0,0,0,0,0,4,0,0,0,5
SAL20379,0,0,0,0,0,0,0,0,0,0
SAL20380,0,0,4,0,7,0,6,3,0,19
SAL20381,95,82,74,77,111,82,97,48,10,668
SAL20382,9,5,4,4,7,0,0,0,0,19
SAL20383,9,9,3,6,10,9,14,14,5,77
SAL20384,12,5,3,13,15,21,18,8,0,89
SAL20385,0,0,4,0,8,15,11,8,0,48
SAL20386,1618,1287,1247,1351,1546,1462,1116,1080,515,11219
SAL20387,150,78,41,93,108,120,85,28,15,714
SAL20388,5,4,6,0,9,15,14,8,9,63
SAL20389,13,5,4,3,3,5,9,0,0,45
SAL20390,117,76,39,69,90,81,56,17,0,551
SAL20391,29,21,19,16,26,36,17,15,0,182
SAL20392,17,10,11,5,12,18,12,9,0,101
SAL20393,76,25,29,42,42,54,30,11,0,313
SAL20394,57,29,33,27,23,37,22,7,0,229
SAL20395,76,46,38,51,82,111,84,30,0,512
SAL20396,8,0,3,9,10,11,7,5,0,42
SAL20397,0,0,0,0,0,0,0,0,0,0
SAL20398,9,0,9,10,4,11,11,9,4,61
SAL20399,4033,4443,4420,3403,3632,3174,2538,1709,719,28068
SAL20400,5,0,3,0,3,13,15,9,0,63
SAL20401,11,10,4,6,9,8,7,0,3,65
SAL20402,4,0,3,4,9,6,7,0,0,32
SAL20403,15,10,4,12,10,20,14,0,0,93
SAL20404,53,36,19,33,60,38,34,22,0,302
SAL20405,6,5,0,7,5,4,3,0,0,29
SAL20406,6,7,0,0,9,6,12,4,0,44
SAL20407,0,0,0,0,0,0,0,0,0,0
SAL20408,5,0,5,0,0,3,3,0,0,18
SAL20409,822,365,228,461,581,532,536,209,58,3797
SAL20410,48,30,27,28,33,55,40,10,0,270
SAL20411,709,379,340,396,376,389,265,196,72,3131
SAL20412,15,5,13,9,12,15,14,5,0,95
SAL20413,0,0,0,0,0,0,0,0,0,0
SAL20414,0,0,0,0,3,0,6,0,0,14
SAL20415,6,0,3,3,0,5,7,0,0,20
SAL20416,10,4,5,0,9,6,13,0,0,47
SAL20417,4,4,4,0,8,10,4,3,0,37
SAL20418,101,97,248,142,80,62,45,18,12,794
SAL20419,1202,741,718,844,715,649,425,294,200,5800
SAL20420,1842,787,673,1441,818,455,267,78,11,6377
SAL20421,5,0,0,6,0,9,8,4,0,36
SAL20422,54,18,31,35,44,31,18,10,4,241
SAL20423,0,0,0,3,3,4,3,0,0,24
SAL20424,0,0,0,6,0,0,8,4,0,24
SAL20425,26,14,9,26,35,49,74,21,0,249
SAL20426,2016,3012,2765,1802,1713,1398,1060,838,545,15147
SAL20427,1461,1341,1592,1360,1367,1183,1015,996,372,10675
SAL20428,116,82,45,67,111,81,66,18,3,596
SAL20429,8,4,7,4,5,9,10,3,0,49
SAL20430,6,0,0,3,0,0,0,0,0,7
SAL20431,77,40,51,58,80,115,114,43,14,591
SAL20432,14,9,19,6,19,27,24,13,0,129
SAL20433,39,9,11,22,13,22,15,9,0,134
SAL20434,18,17,12,10,26,37,24,12,0,160
SAL20435,22,5,15,7,18,25,16,3,6,117
SAL20436,28,20,10,17,31,30,25,7,0,161
SAL20437,96,62,41,56,86,85,45,15,3,482
SAL20438,0,0,0,0,4,3,9,4,0,10
SAL20439,3,3,4,6,13,7,11,3,0,52
SAL20440,3,0,0,3,0,4,4,0,0,25
SAL20441,1931,1548,1319,1431,1558,1222,718,221,92,10038
SAL20442,0,0,0,0,0,0,0,0,0,0
SAL20443,32,29,13,20,39,23,18,10,0,181
SAL20444,837,590,581,512,509,563,487,270,131,4476
SAL20445,43,21,20,24,23,17,32,0,0,178
SAL20446,3,9,3,11,6,10,4,0,0,45
SAL20447,89,40,37,55,48,61,40,15,5,391
SAL20448,9,3,8,8,3,4,0,0,0,42
SAL20449,0,0,0,0,0,6,3,0,0,10
SAL20450,4,5,0,4,3,10,0,0,0,30
SAL20451,46,18,3,22,22,31,24,10,0,186
SAL20452,0,0,0,0,0,0,0,0,0,0
SAL20453,3470,3096,2349,2488,3045,2757,2264,1492,1008,21965
SAL20454,73,31,28,33,58,26,24,15,0,292
SAL20455,996,590,693,626,594,520,479,365,113,4977
SAL20456,3,0,0,3,3,6,0,4,0,21
SAL20457,410,218,184,242,320,275,273,121,30,2071
SAL20458,6,5,3,0,6,10,12,3,0,50
SAL20459,15,5,6,9,10,3,3,5,6,51
SAL20460,513,311,323,329,377,463,526,386,130,3354
SAL20461,724,499,662,535,467,413,437,218,150,4098
SAL20462,0,0,0,0,0,0,5,0,0,4
SAL20463,10,14,8,10,15,17,10,0,0,82
SAL20464,24,21,4,24,35,55,27,13,4,197
SAL20465,3,3,0,0,4,0,0,5,0,16
SAL20466,122,59,71,96,100,114,49,25,7,650
SAL20467,15,5,5,4,11,5,7,3,0,45
SAL20468,1232,1158,600,795,1099,1083,927,574,323,7800
SAL20469,9,12,5,12,19,49,25,10,0,151
SAL20470,16,15,8,11,23,25,24,17,3,148
SAL20471,0,0,0,0,0,0,0,0,0,5
SAL20472,4,4,3,5,5,12,9,0,0,34
SAL20473,137,87,79,114,143,212,222,96,23,1111
SAL20474,74,43,41,43,72,113,125,45,7,569
SAL20475,430,229,238,311,344,349,274,99,18,2301
SAL20476,657,362,469,436,504,545,797,817,665,5246
SAL20477,11,9,7,6,6,9,3,5,0,54
SAL20478,3,9,0,7,11,6,17,10,0,61
SAL20479,0,0,0,0,0,0,0,0,0,3
SAL20480,49,31,18,28,25,35,42,15,3,256
SAL20481,12,0,4,0,9,17,12,8,0,60
SAL20482,10,0,5,5,8,0,9,4,0,40
SAL20483,15,6,3,6,14,9,11,0,0,67
SAL20484,15,3,13,10,4,20,19,3,0,97
SAL20485,246,181,87,152,190,129,64,22,3,1064
SAL20486,309,119,106,166,117,81,56,12,4,957
SAL20487,48,51,35,42,46,54,47,15,5,342
SAL20488,177,98,109,99,140,119,64,36,8,847
SAL20489,8,6,0,11,8,0,8,3,0,38
SAL20490,7,3,4,4,0,0,6,0,0,26
SAL20491,0,0,0,0,3,0,3,6,0,16
SAL20492,227,123,116,126,156,177,191,73,14,1192
SAL20493,31,21,18,21,23,33,23,6,0,168
SAL20494,72,31,23,53,68,65,51,21,0,382
SAL20495,865,4910,5423,1736,966,809,680,447,217,16055
SAL20496,637,838,1758,856,640,591,508,263,96,6177
SAL20497,8,3,4,3,18,17,14,9,6,82
SAL20498,2485,2075,3898,2853,2082,1777,1383,906,446,17909
SAL20499,31,19,24,23,13,22,26,11,0,171
SAL20500,5610,3590,2896,4098,4096,2147,1402,546,102,24488
SAL20501,26,18,9,18,16,14,9,3,6,115
SAL20502,11,10,6,16,13,23,14,4,0,100
SAL20503,20,11,12,9,20,30,20,5,3,129
SAL20504,7,7,3,5,4,10,9,0,0,42
SAL20505,4,7,6,5,5,6,3,0,0,43
SAL20506,3,5,0,0,5,0,3,0,0,18
SAL20507,760,362,595,650,585,562,434,225,70,4239
SAL20508,4218,2481,3684,3199,2883,2557,1703,835,423,21976
SAL20509,15,7,8,6,4,11,11,0,0,68
SAL20510,31,16,17,20,30,43,35,12,3,197
SAL20511,0,3,0,0,6,9,4,6,0,21
SAL20512,40,39,20,38,47,47,23,0,0,257
