POW_SA2_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
201021009,6,611,0,615,4,257,0,261,0,65,0,65,8,927,0,939,4,340,0,344,3,510,3,518,0,87,0,88,8,932,3,947,9,944,0,953,10,766,3,779,0,143,0,151,22,1858,9,1882
201021010,7,695,0,705,0,275,0,277,0,71,0,71,4,1039,3,1051,5,354,0,360,0,548,0,550,0,91,0,90,6,989,3,999,6,1050,0,1060,4,819,5,827,0,159,3,163,10,2026,7,2051
201021011,9,947,6,957,5,632,4,642,0,111,0,115,17,1687,11,1716,4,632,0,637,6,1119,9,1134,0,209,3,209,11,1957,9,1981,9,1581,8,1592,13,1756,8,1773,3,320,7,323,27,3645,24,3694
201021012,0,510,6,514,0,158,0,162,0,49,0,51,4,717,9,725,0,137,0,138,7,225,0,230,0,39,0,41,5,405,5,415,0,648,3,658,7,385,0,391,4,88,0,87,8,1124,8,1138
201031013,4,391,0,396,0,123,0,122,0,34,0,32,4,547,0,553,0,120,0,119,0,214,0,216,0,33,0,33,3,364,0,362,5,507,0,517,4,335,0,341,0,64,0,67,6,908,0,922
201031014,6,529,6,531,0,122,0,126,0,51,5,53,9,701,8,715,9,272,5,278,4,281,0,287,0,44,0,48,10,595,6,617,13,801,8,810,9,403,4,415,0,93,5,100,20,1299,10,1327
201031015,0,296,0,293,6,83,0,86,0,15,0,15,6,393,0,393,0,113,0,113,6,135,0,141,0,25,0,25,6,273,0,277,0,407,0,408,4,218,0,226,0,41,0,41,4,669,3,675
201031016,9,944,6,958,6,427,4,438,3,119,0,124,18,1490,7,1522,13,768,7,784,17,1064,7,1087,0,182,6,190,35,2008,16,2061,23,1711,13,1743,24,1489,10,1522,9,298,10,315,48,3503,29,3582
201031017,0,387,0,387,5,134,0,135,0,34,0,32,0,558,0,564,0,113,0,111,0,179,0,180,0,34,0,34,6,324,0,323,0,501,0,504,4,314,0,314,0,65,0,67,7,879,7,891
202011018,101,6070,21,6185,31,2202,13,2245,7,558,3,576,139,8833,38,9011,108,5690,18,5816,100,6677,27,6805,22,1195,6,1222,232,13564,44,13845,208,11762,32,12003,131,8883,40,9054,34,1754,14,1799,372,22399,82,22856
202011019,10,755,3,767,12,332,0,341,3,66,0,69,23,1155,10,1180,8,407,0,413,17,585,3,598,0,93,0,99,23,1081,6,1112,18,1159,3,1182,20,915,8,939,3,160,3,171,45,2237,12,2294
202011020,45,2688,8,2740,16,803,3,819,5,169,0,177,62,3660,17,3738,19,1208,0,1229,22,1610,4,1635,3,211,6,214,44,3024,12,3079,61,3894,11,3962,31,2413,8,2452,7,380,3,388,100,6684,22,6809
202011021,8,595,3,608,3,211,0,215,0,40,0,34,12,849,3,864,7,429,3,442,5,511,0,524,0,72,0,69,16,1016,4,1037,20,1029,7,1053,9,729,0,738,4,104,0,113,31,1859,7,1902
202011022,53,2473,8,2532,19,1029,0,1048,0,186,5,194,74,3683,12,3771,19,1158,4,1178,33,1943,11,1981,7,255,0,262,58,3357,13,3426,74,3628,12,3713,49,2971,9,3028,14,442,4,452,135,7043,20,7199
202011023,3,283,0,284,0,79,0,83,0,14,0,14,7,378,0,386,4,174,0,174,3,214,0,223,0,27,0,26,10,417,0,426,6,457,0,462,8,296,0,304,0,46,0,46,15,797,0,818
202011024,4,464,3,470,7,181,0,182,0,33,0,33,9,675,3,684,4,304,0,305,0,462,5,473,0,43,0,47,9,810,4,829,10,766,4,779,9,645,6,656,0,84,0,83,19,1484,5,1515
202011025,35,1556,6,1599,15,424,0,442,0,130,0,129,55,2111,6,2172,14,702,0,715,6,796,9,810,0,142,0,148,27,1636,8,1673,54,2259,6,2314,21,1223,9,1255,5,271,0,276,79,3753,10,3844
202021026,15,916,5,935,0,196,0,201,4,67,0,75,19,1180,8,1203,4,357,4,359,4,254,5,254,0,52,0,50,6,661,3,667,15,1272,8,1293,5,453,5,459,4,115,6,119,24,1838,15,1876
202021027,22,1946,13,1981,12,853,4,872,4,175,4,186,40,2976,21,3036,11,1057,10,1078,21,1592,14,1621,0,232,0,235,30,2877,20,2937,37,3004,19,3060,29,2447,21,2493,3,412,0,418,72,5856,39,5971
202021028,3,535,9,542,0,311,0,314,0,69,0,69,5,919,9,934,3,284,0,286,3,444,0,451,0,76,0,74,14,804,6,811,7,821,5,834,7,758,0,763,0,147,0,144,17,1722,10,1747
202021029,8,535,3,547,0,164,0,166,0,53,3,61,7,754,6,771,4,194,0,197,5,312,0,324,0,41,4,41,5,550,5,559,12,732,6,745,5,475,0,484,0,96,4,96,20,1300,11,1333
202021030,20,1540,7,1567,10,670,3,681,9,146,0,150,30,2352,13,2396,10,922,4,935,8,1396,10,1417,8,219,0,225,22,2541,18,2575,26,2464,10,2501,21,2067,13,2095,9,361,4,380,53,4891,26,4974
202021031,5,623,0,633,0,318,0,318,0,72,0,71,5,1014,0,1022,3,443,0,448,7,765,0,772,0,94,0,100,11,1305,3,1317,4,1068,0,1079,7,1083,0,1090,0,167,4,172,18,2314,6,2341
202031032,23,977,6,1003,3,148,4,148,3,83,0,86,25,1206,6,1237,3,198,0,203,3,194,0,200,0,37,0,37,10,428,0,436,25,1176,9,1209,5,340,4,346,3,122,0,124,29,1633,8,1671
202031033,10,1099,10,1121,3,277,4,284,3,95,3,102,18,1471,19,1505,8,411,4,422,7,544,7,565,0,89,0,97,20,1048,11,1082,19,1512,14,1549,17,822,11,849,3,192,3,200,40,2525,33,2594
203011034,4,538,0,543,0,215,0,221,0,32,0,32,0,792,0,798,0,376,0,375,3,566,3,568,0,55,0,57,6,993,8,1005,5,911,0,913,4,780,3,790,0,93,0,91,12,1782,10,1802
203011035,4,583,0,590,0,169,4,173,0,53,0,58,9,808,5,821,5,259,0,269,4,351,0,358,3,51,4,49,9,665,3,674,7,841,4,855,4,524,4,533,8,101,4,111,19,1471,9,1494
203011036,3,582,7,591,0,232,0,237,0,38,0,37,3,854,9,862,5,228,4,235,0,483,7,487,0,66,0,71,3,780,12,793,4,807,14,823,0,716,9,723,0,106,0,107,6,1628,19,1654
203021037,6,1190,0,1201,8,737,3,748,0,126,3,131,14,2055,4,2081,13,1030,0,1043,17,1938,6,1968,3,266,0,271,31,3244,9,3279,19,2220,4,2238,29,2677,3,2714,4,395,3,405,51,5297,11,5356
203021039,93,11113,21,11225,36,3386,9,3430,8,892,6,906,133,15394,35,15561,89,9033,17,9147,80,9437,16,9535,21,1809,5,1826,188,20274,38,20503,188,20145,37,20368,117,12824,24,12961,21,2702,11,2729,323,35667,74,36060
203021040,10,1473,0,1480,0,796,0,801,3,132,0,139,15,2404,5,2425,17,1234,4,1246,10,1989,3,2002,0,244,0,251,26,3468,11,3504,25,2703,3,2730,19,2782,6,2806,6,380,4,389,41,5867,13,5930
203021042,14,2088,0,2098,8,827,6,841,3,143,0,151,23,3062,11,3091,18,1736,0,1762,16,1951,4,1971,4,272,3,283,40,3964,9,4015,29,3821,6,3862,22,2784,9,2819,3,418,8,431,63,7023,19,7105
203021043,41,3568,9,3625,12,871,7,886,5,272,7,278,57,4708,24,4786,19,1436,3,1455,17,1440,3,1457,3,256,4,263,34,3127,5,3169,59,5004,16,5076,24,2310,6,2343,6,523,3,540,92,7833,31,7956
203021044,3,420,0,425,6,363,7,369,0,45,0,45,10,833,6,844,6,371,4,380,9,786,0,799,5,96,0,97,20,1254,4,1270,12,791,3,806,15,1149,3,1167,5,144,0,145,27,2078,9,2112
203021045,21,2138,4,2168,7,741,0,748,0,131,0,132,28,3010,13,3051,9,869,0,877,13,1268,6,1293,0,165,0,162,24,2303,9,2331,28,3005,13,3046,22,2014,4,2036,0,295,5,297,54,5314,17,5383
203021046,9,1555,0,1562,6,552,5,562,0,109,0,104,14,2213,3,2232,3,1034,0,1036,3,1523,5,1529,0,188,0,189,14,2741,4,2757,11,2587,0,2603,13,2076,12,2096,0,296,0,295,26,4953,7,4992
203021047,61,5014,18,5090,14,1140,0,1158,5,308,0,313,79,6462,16,6559,44,2678,11,2732,37,2349,3,2384,8,405,0,419,85,5432,20,5530,102,7694,23,7823,55,3489,12,3543,13,713,0,728,164,11891,31,12092
203021485,5,346,0,348,0,142,0,140,0,28,0,28,4,512,0,520,3,247,0,248,0,355,3,358,0,44,0,44,5,655,3,655,9,590,0,601,3,497,3,499,0,74,0,74,6,1167,3,1177
203021486,28,2899,5,2927,11,683,3,694,6,195,6,204,47,3771,14,3824,17,975,0,991,17,1270,4,1285,0,191,0,190,31,2428,3,2465,42,3869,5,3918,29,1955,8,1984,6,378,12,393,75,6204,22,6297
203021487,22,1916,4,1941,13,1110,0,1129,5,209,0,219,37,3241,4,3283,15,1133,0,1147,21,2370,4,2398,3,309,0,310,37,3817,0,3851,35,3053,3,3089,37,3489,3,3525,8,520,0,526,72,7054,10,7139
203021488,12,1436,6,1452,9,463,0,473,4,132,0,133,22,2027,3,2063,6,506,3,515,11,842,0,855,4,107,0,111,22,1457,0,1481,15,1944,6,1968,23,1303,0,1322,4,243,0,248,42,3487,9,3542
203031048,5,871,3,884,4,440,0,456,3,87,0,89,19,1396,7,1418,3,589,0,588,9,961,0,976,3,127,0,131,15,1679,0,1694,6,1459,3,1470,18,1404,3,1421,3,213,0,218,26,3075,15,3117
203031049,0,597,6,606,0,403,0,406,0,114,0,112,5,1112,3,1125,0,294,0,296,0,706,3,704,0,153,0,155,4,1154,3,1157,4,892,6,901,4,1110,6,1114,0,267,0,268,7,2269,10,2284
203031051,7,441,0,449,4,290,0,291,0,65,0,65,5,796,0,810,0,268,0,269,7,494,0,501,0,95,0,93,6,856,0,863,3,711,4,721,5,782,0,790,0,161,0,160,12,1657,6,1676
203031052,5,540,0,544,0,314,0,319,0,98,0,100,5,957,3,958,6,301,0,307,6,656,0,659,0,132,0,132,6,1088,0,1099,3,842,0,850,6,973,0,979,0,233,0,234,9,2044,4,2057
203031053,15,2226,5,2246,5,1107,0,1109,9,224,0,234,27,3555,9,3592,7,1415,0,1427,9,2389,9,2401,5,372,0,370,19,4177,7,4205,20,3641,6,3666,11,3491,6,3515,11,594,0,608,42,7730,14,7788
203031489,8,604,6,615,3,403,0,402,0,81,0,87,11,1088,6,1107,5,416,0,423,5,701,0,704,0,117,0,119,11,1234,0,1252,13,1020,4,1038,8,1095,0,1109,3,202,0,207,28,2318,5,2354
203031490,9,1320,8,1340,4,844,3,855,0,156,0,157,21,2322,13,2352,5,834,6,841,7,1764,4,1782,4,237,0,240,15,2839,9,2864,17,2154,11,2181,15,2614,11,2635,4,389,3,397,35,5156,21,5213
204011054,28,920,0,952,0,342,3,342,4,117,0,116,34,1376,4,1412,3,508,0,515,4,681,3,692,0,155,0,159,18,1349,3,1370,35,1429,0,1467,9,1021,5,1038,3,269,0,274,49,2725,10,2777
204011055,6,720,8,736,3,296,3,307,6,72,0,67,13,1082,7,1111,0,477,0,484,5,578,3,585,0,108,0,108,7,1164,5,1172,8,1202,7,1213,7,872,7,888,0,173,0,178,15,2247,14,2281
204011056,19,1353,3,1375,3,528,0,532,3,140,0,143,21,2019,5,2046,11,1053,3,1072,26,1353,7,1380,3,228,0,238,41,2634,11,2685,30,2407,9,2441,29,1886,3,1911,9,371,0,376,65,4659,13,4740
204011057,19,1334,6,1358,3,706,6,717,3,172,0,176,22,2218,11,2251,10,880,6,893,13,1268,8,1285,0,214,0,222,25,2357,16,2398,28,2209,14,2251,16,1975,11,2000,3,388,4,398,49,4570,28,4652
204011058,13,709,4,727,0,203,4,212,0,41,4,43,17,955,9,980,4,348,4,357,4,376,6,383,5,74,5,78,11,799,9,814,18,1057,10,1081,9,580,5,593,5,112,9,123,29,1751,20,1796
204011059,10,836,7,851,11,378,4,394,0,101,0,102,25,1314,9,1347,10,674,5,687,21,880,8,908,4,155,0,159,37,1708,11,1753,24,1507,7,1538,34,1257,12,1302,5,257,0,261,62,3019,20,3100
204011060,29,1230,0,1263,4,175,0,174,0,84,3,88,35,1485,7,1526,17,373,5,390,7,238,0,245,0,54,0,54,15,663,5,685,41,1602,8,1647,5,407,0,420,0,137,3,142,56,2146,9,2213
204011061,0,28,0,28,0,3,0,3,0,0,0,0,0,35,0,35,0,0,0,0,0,4,0,4,0,4,0,4,0,6,0,7,0,27,0,27,0,10,0,10,0,3,0,3,0,38,0,38
204011062,8,324,0,336,0,185,0,190,0,35,0,35,5,552,0,558,3,189,0,188,9,332,5,342,0,75,0,73,10,590,5,604,9,514,0,523,6,515,4,530,0,107,0,110,19,1142,4,1163
204021063,26,1944,15,1986,6,480,0,490,11,184,0,194,39,2609,20,2667,13,1006,6,1028,23,1244,10,1273,4,212,5,214,35,2459,18,2516,36,2954,21,3011,25,1722,11,1761,10,402,0,412,74,5073,37,5182
204021064,5,367,0,372,0,132,0,137,0,32,0,34,9,532,0,541,0,147,0,148,0,142,0,145,3,29,6,32,5,314,3,326,5,513,0,520,0,276,0,278,4,61,6,66,11,850,8,867
204021065,9,588,4,604,5,138,0,143,3,72,0,73,15,795,4,815,3,316,0,321,3,307,0,312,0,92,0,92,9,715,0,729,12,908,6,925,12,446,0,456,3,164,0,168,21,1520,6,1544
204021066,45,3232,10,3289,18,1084,14,1116,8,257,3,273,68,4575,28,4673,44,2535,10,2586,45,3063,11,3119,6,510,3,517,91,6107,29,6225,82,5764,23,5874,66,4148,20,4233,17,769,8,794,164,10683,59,10898
204021067,12,1097,4,1117,7,390,0,398,0,111,0,110,22,1597,10,1624,0,418,5,424,5,490,0,499,3,107,0,113,12,1017,9,1034,15,1516,11,1541,10,881,0,899,3,220,5,222,26,2614,19,2658
204031068,3,499,9,510,0,231,0,235,0,69,0,71,13,807,5,823,0,380,0,375,7,579,5,585,0,106,0,107,4,1056,4,1069,4,878,3,891,7,812,3,821,4,176,0,181,16,1862,15,1888
204031069,11,1210,9,1232,0,886,0,896,0,240,3,247,18,2336,11,2363,8,762,4,777,9,1291,9,1299,0,207,0,208,22,2257,15,2292,19,1974,11,2006,15,2172,5,2194,0,450,8,457,35,4595,28,4658
204031070,3,231,4,237,5,96,0,100,0,28,0,28,3,356,4,368,0,85,4,90,8,147,0,153,0,31,0,31,10,272,6,280,5,317,7,328,9,247,0,257,0,66,0,66,13,628,9,646
204031071,7,714,5,728,0,258,0,259,0,74,0,75,12,1045,10,1063,0,362,0,365,6,522,4,530,0,111,0,116,12,993,8,1013,9,1075,10,1091,9,777,3,788,0,186,5,191,19,2040,17,2069
204031072,17,797,5,820,3,237,0,239,0,72,3,74,15,1105,12,1138,10,427,0,436,9,566,3,579,3,100,0,100,23,1089,6,1120,21,1218,6,1255,12,803,6,822,3,174,3,176,41,2194,18,2251
204031073,34,2055,8,2095,9,568,3,586,3,140,0,148,56,2767,10,2832,22,1126,4,1152,31,1028,0,1062,7,182,0,191,61,2331,3,2404,66,3176,4,3251,42,1594,9,1644,12,327,0,334,116,5101,17,5226
204031075,8,501,5,515,0,191,0,193,0,38,0,38,9,728,4,746,0,207,0,206,0,321,0,323,0,70,0,76,6,597,0,603,12,708,5,718,4,511,0,515,0,108,0,110,14,1323,4,1347
204031491,62,1948,5,2016,4,302,0,308,3,114,6,124,73,2365,12,2448,27,812,0,842,11,633,3,642,5,112,0,118,44,1561,3,1608,91,2759,5,2855,15,935,5,957,6,232,10,241,110,3925,17,4052
204031492,74,4489,20,4582,27,1138,10,1182,13,312,5,329,123,5941,31,6095,60,2510,3,2575,70,2696,6,2777,20,423,0,445,146,5633,16,5797,134,6995,26,7157,101,3839,15,3956,37,739,9,774,274,11571,47,11885
205011076,22,1459,8,1486,5,557,0,562,4,130,0,135,30,2146,8,2184,9,846,8,867,13,1288,7,1311,3,177,0,179,27,2316,15,2350,39,2301,15,2349,17,1851,7,1876,8,307,0,314,56,4457,22,4537
205011077,0,645,3,651,6,261,4,270,3,80,0,78,12,984,8,998,5,344,3,348,0,436,4,442,0,85,0,91,5,867,5,879,8,986,5,999,8,699,5,711,4,159,0,164,21,1850,13,1882
205011078,8,768,0,777,9,284,0,289,0,75,0,76,14,1125,3,1140,0,395,0,401,3,634,5,644,0,109,0,114,8,1137,5,1154,8,1165,0,1174,7,915,5,934,0,186,0,189,22,2267,9,2294
205011079,26,3326,9,3360,9,1228,0,1231,4,277,4,286,34,4829,14,4878,25,2337,7,2368,29,3270,8,3305,9,504,4,507,55,6112,14,6183,46,5665,20,5730,34,4498,13,4544,9,781,7,791,92,10934,31,11059
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,76,2996,19,3089,38,1049,6,1093,9,315,0,328,126,4362,21,4510,55,2003,9,2069,62,2626,16,2703,11,418,6,441,126,5048,35,5207,130,5001,27,5162,103,3676,16,3794,23,739,8,766,255,9410,59,9720
205021082,14,792,6,810,0,265,0,264,0,73,0,76,15,1124,4,1148,5,333,0,342,8,444,0,450,0,67,0,70,18,840,9,861,18,1118,7,1149,10,704,3,722,0,143,0,144,35,1971,10,2008
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,25,718,6,746,8,431,0,434,3,99,0,106,37,1245,4,1290,14,462,0,479,22,885,4,913,3,176,0,176,41,1524,4,1569,36,1176,8,1225,29,1311,4,1352,8,275,0,286,73,2766,16,2854
205021085,33,724,11,772,10,286,6,302,3,100,6,106,44,1111,19,1174,21,350,4,377,29,573,7,607,5,89,4,100,55,1013,9,1078,55,1080,15,1144,36,860,12,910,13,185,3,200,104,2123,25,2257
205021086,4,250,0,259,0,159,0,162,0,43,0,43,6,457,0,468,0,177,3,177,3,265,0,270,4,40,0,47,6,483,3,491,4,430,0,435,3,426,0,434,4,83,0,85,14,941,6,956
205031087,8,1022,8,1043,3,471,5,477,6,123,0,132,20,1617,18,1652,0,456,0,463,7,872,3,887,4,166,3,165,15,1493,4,1511,14,1481,12,1505,13,1341,13,1367,6,284,3,292,32,3107,21,3164
205031088,0,22,0,22,0,13,0,13,0,3,0,3,0,38,0,38,0,7,0,7,0,16,0,16,0,0,0,0,0,24,0,24,0,33,0,33,0,30,0,30,0,3,0,3,0,64,0,64
205031089,6,1070,9,1090,0,358,3,361,3,92,0,98,12,1527,11,1544,0,482,7,489,4,798,0,801,0,133,4,133,9,1412,9,1431,6,1559,10,1576,4,1157,3,1164,3,229,4,237,16,2933,18,2971
205031090,13,1988,8,2006,0,603,4,610,0,169,6,167,17,2757,10,2783,11,1066,4,1082,14,1420,7,1437,4,220,4,233,32,2708,15,2755,27,3049,7,3086,13,2026,6,2047,4,390,7,405,47,5466,23,5540
205031091,6,943,10,957,8,616,8,624,0,213,7,214,14,1767,19,1794,7,676,5,688,11,1130,9,1149,5,267,3,279,20,2071,13,2113,14,1616,13,1641,20,1743,11,1774,5,482,13,496,39,3841,35,3913
205031092,0,13,0,13,0,4,0,4,0,3,0,3,0,18,0,20,0,12,0,9,0,14,0,14,0,4,0,4,0,23,0,26,0,21,0,19,0,18,0,18,0,7,0,3,0,46,0,47
205031093,24,2491,10,2525,12,1205,3,1225,4,305,5,313,40,4001,26,4059,11,1507,7,1518,33,2587,12,2629,4,437,5,448,49,4531,24,4602,36,3990,22,4045,42,3791,22,3857,10,741,6,760,90,8529,44,8663
205041094,28,1896,8,1937,3,357,0,358,0,158,3,160,33,2409,9,2452,5,520,4,528,10,560,0,571,4,86,0,92,15,1171,10,1193,29,2422,16,2469,11,910,0,928,4,246,3,253,47,3576,21,3644
205041095,22,1780,3,1805,4,579,3,588,3,209,0,211,29,2563,12,2604,14,1062,3,1077,21,1509,5,1535,3,247,0,246,39,2810,10,2861,34,2836,11,2891,26,2089,10,2123,4,454,0,454,66,5373,23,5467
205041096,54,4017,27,4094,20,943,3,968,3,333,0,336,72,5296,34,5402,62,2132,7,2203,36,2240,10,2293,9,436,0,445,105,4810,18,4935,117,6150,32,6299,53,3186,11,3254,10,764,0,782,181,10105,48,10334
205041098,3,185,0,190,0,54,0,54,0,18,0,17,8,260,0,265,3,73,0,77,0,142,0,142,0,22,0,23,3,241,0,242,4,258,0,267,0,198,0,198,0,38,0,44,4,501,0,504
205041493,29,2501,17,2546,11,874,4,883,0,226,0,227,35,3599,22,3656,23,1610,3,1639,31,2209,19,2259,11,361,4,374,66,4179,25,4269,50,4115,25,4183,40,3085,16,3141,16,586,4,598,104,7779,43,7925
205041494,12,1552,7,1565,5,405,0,406,0,125,0,126,13,2085,7,2100,5,1347,10,1362,17,1778,4,1796,0,313,0,313,19,3442,7,3476,16,2900,10,2927,15,2186,4,2205,0,437,0,443,37,5526,15,5576
205051099,0,7,0,7,0,0,0,0,0,0,0,0,0,9,0,9,0,7,0,7,0,4,0,4,0,0,0,0,0,14,0,14,0,15,0,15,0,5,0,5,0,0,0,0,0,24,0,24
205051100,13,1367,7,1384,5,193,5,196,0,104,0,108,20,1662,4,1685,8,373,0,385,0,239,4,244,0,47,0,45,10,659,7,672,23,1740,9,1765,6,432,3,441,0,151,0,155,36,2322,5,2363
205051101,14,1621,10,1644,0,469,0,466,0,134,4,142,23,2219,12,2250,9,706,0,713,14,986,0,1000,4,180,3,183,24,1868,11,1897,27,2321,12,2360,11,1448,8,1468,4,313,6,324,44,4090,19,4149
205051102,4,707,5,714,0,138,0,138,6,62,0,71,6,908,5,921,9,328,0,333,0,268,0,275,0,55,0,54,9,654,4,658,11,1038,0,1052,4,404,4,408,4,118,0,124,19,1555,9,1580
205051103,27,2274,15,2314,19,706,5,728,0,238,3,240,46,3219,19,3281,24,1721,8,1758,32,2317,5,2360,0,401,0,406,61,4440,18,4520,56,3996,20,4069,49,3023,9,3087,0,635,3,644,113,7660,35,7804
205051104,12,593,6,611,3,202,0,213,0,64,0,68,16,862,12,886,5,354,0,366,4,472,0,482,0,63,0,62,12,892,3,905,13,953,6,977,7,677,5,689,0,127,4,131,23,1754,15,1793
206011106,6,916,0,919,4,615,0,623,3,92,4,96,13,1618,9,1644,10,622,0,633,8,871,0,877,0,92,0,96,16,1586,4,1602,15,1538,0,1551,8,1483,4,1500,4,186,4,192,27,3209,4,3244
206011107,0,465,7,475,3,314,0,318,0,46,0,46,10,835,7,844,0,369,0,377,7,566,0,570,0,63,0,64,7,1001,0,1006,0,841,5,849,9,879,0,888,3,109,0,112,10,1829,10,1853
206011109,0,343,0,346,0,203,0,203,0,41,0,50,4,589,4,594,3,304,0,308,0,423,0,423,0,37,0,37,3,761,0,766,4,647,0,649,0,629,0,629,0,79,3,86,0,1351,5,1362
206011495,7,1413,0,1419,7,730,0,738,3,132,0,136,18,2273,0,2293,16,995,0,1013,4,1088,0,1097,0,159,0,161,21,2239,3,2263,28,2409,0,2436,13,1816,0,1827,3,291,0,295,36,4515,0,4559
206011496,20,2489,0,2507,12,1419,6,1436,6,246,0,250,33,4151,10,4195,9,1522,6,1538,12,2115,0,2133,0,314,0,317,21,3958,7,3986,30,4013,0,4042,26,3538,10,3575,0,563,5,568,58,8110,14,8186
206011497,7,1526,5,1539,0,893,3,897,0,173,0,173,10,2592,3,2606,11,1477,0,1487,16,1791,5,1809,5,268,0,271,27,3535,5,3567,22,3005,5,3024,12,2685,8,2704,5,440,0,444,36,6127,9,6176
