POW_LGA_CODE_2021,SEO_AGFF_Bf_91,SEO_AGFF_91_95,SEO_AGFF_96_00,SEO_AGFF_01_05,SEO_AGFF_06_10,SEO_AGFF_11_15,SEO_AGFF_16_20,SEO_AGFF_2021,SEO_AGFF_NS,SEO_AGFF_Tot,SEO_Min_Bf_91,SEO_Min_91_95,SEO_Min_96_00,SEO_Min_01_05,SEO_Min_06_10,SEO_Min_11_15,SEO_Min_16_20,SEO_Min_2021,SEO_Min_NS,SEO_Min_Tot,SEO_Mnf_Bf_91,SEO_Mnf_91_95,SEO_Mnf_96_00,SEO_Mnf_01_05,SEO_Mnf_06_10,SEO_Mnf_11_15,SEO_Mnf_16_20,SEO_Mnf_2021,SEO_Mnf_NS,SEO_Mnf_Tot,SEO_EGWWS_Bf_91,SEO_EGWWS_91_95,SEO_EGWWS_96_00,SEO_EGWWS_01_05,SEO_EGWWS_06_10,SEO_EGWWS_11_15,SEO_EGWWS_16_20,SEO_EGWWS_2021,SEO_EGWWS_NS,SEO_EGWWS_Tot,SEO_Const_Bf_91,SEO_Const_91_95,SEO_Const_96_00,SEO_Const_01_05,SEO_Const_06_10,SEO_Const_11_15,SEO_Const_16_20,SEO_Const_2021,SEO_Const_NS,SEO_Const_Tot,SEO_WST_Bf_91,SEO_WST_91_95,SEO_WST_96_00,SEO_WST_01_05,SEO_WST_06_10,SEO_WST_11_15,SEO_WST_16_20,SEO_WST_2021,SEO_WST_NS,SEO_WST_Tot,SEO_RetT_Bf_91,SEO_RetT_91_95,SEO_RetT_96_00,SEO_RetT_01_05,SEO_RetT_06_10,SEO_RetT_11_15,SEO_RetT_16_20,SEO_RetT_2021,SEO_RetT_NS,SEO_RetT_Tot,SEO_AcFd_Bf_91,SEO_AcFd_91_95,SEO_AcFd_96_00,SEO_AcFd_01_05,SEO_AcFd_06_10,SEO_AcFd_11_15,SEO_AcFd_16_20,SEO_AcFd_2021,SEO_AcFd_NS,SEO_AcFd_Tot,SEO_TPW_Bf_91,SEO_TPW_91_95,SEO_TPW_96_00,SEO_TPW_01_05,SEO_TPW_06_10,SEO_TPW_11_15,SEO_TPW_16_20,SEO_TPW_2021,SEO_TPW_NS,SEO_TPW_Tot,SEO_IMT_Bf_91,SEO_IMT_91_95,SEO_IMT_96_00,SEO_IMT_01_05,SEO_IMT_06_10,SEO_IMT_11_15,SEO_IMT_16_20,SEO_IMT_2021,SEO_IMT_NS,SEO_IMT_Tot,SEO_FinIns_Bf_91,SEO_FinIns_91_95,SEO_FinIns_96_00,SEO_FinIns_01_05,SEO_FinIns_06_10,SEO_FinIns_11_15,SEO_FinIns_16_20,SEO_FinIns_2021,SEO_FinIns_NS,SEO_FinIns_Tot,SEO_RHRE_Bf_91,SEO_RHRE_91_95,SEO_RHRE_96_00,SEO_RHRE_01_05,SEO_RHRE_06_10,SEO_RHRE_11_15,SEO_RHRE_16_20,SEO_RHRE_2021,SEO_RHRE_NS,SEO_RHRE_Tot,SEO_ProSTS_Bf_91,SEO_ProSTS_91_95,SEO_ProSTS_96_00,SEO_ProSTS_01_05,SEO_ProSTS_06_10,SEO_ProSTS_11_15,SEO_ProSTS_16_20,SEO_ProSTS_2021,SEO_ProSTS_NS,SEO_ProSTS_Tot,SEO_AdSup_Bf_91,SEO_AdSup_91_95,SEO_AdSup_96_00,SEO_AdSup_01_05,SEO_AdSup_06_10,SEO_AdSup_11_15,SEO_AdSup_16_20,SEO_AdSup_2021,SEO_AdSup_NS,SEO_AdSup_Tot,SEO_PubAS_Bf_91,SEO_PubAS_91_95,SEO_PubAS_96_00,SEO_PubAS_01_05,SEO_PubAS_06_10,SEO_PubAS_11_15,SEO_PubAS_16_20,SEO_PubAS_2021,SEO_PubAS_NS,SEO_PubAS_Tot,SEO_EdTrn_Bf_91,SEO_EdTrn_91_95,SEO_EdTrn_96_00,SEO_EdTrn_01_05,SEO_EdTrn_06_10,SEO_EdTrn_11_15,SEO_EdTrn_16_20,SEO_EdTrn_2021,SEO_EdTrn_NS,SEO_EdTrn_Tot,SEO_HC_SA_Bf_91,SEO_HC_SA_91_95,SEO_HC_SA_96_00,SEO_HC_SA_01_05,SEO_HC_SA_06_10,SEO_HC_SA_11_15,SEO_HC_SA_16_20,SEO_HC_SA_2021,SEO_HC_SA_NS,SEO_HC_SA_Tot,SEO_ArtsR_Bf_91,SEO_ArtsR_91_95,SEO_ArtsR_96_00,SEO_ArtsR_01_05,SEO_ArtsR_06_10,SEO_ArtsR_11_15,SEO_ArtsR_16_20,SEO_ArtsR_2021,SEO_ArtsR_NS,SEO_ArtsR_Tot,SEO_OthSvs_Bf_91,SEO_OthSvs_91_95,SEO_OthSvs_96_00,SEO_OthSvs_01_05,SEO_OthSvs_06_10,SEO_OthSvs_11_15,SEO_OthSvs_16_20,SEO_OthSvs_2021,SEO_OthSvs_NS,SEO_OthSvs_Tot,SEO_IDNS_Bf_91,SEO_IDNS_91_95,SEO_IDNS_96_00,SEO_IDNS_01_05,SEO_IDNS_06_10,SEO_IDNS_11_15,SEO_IDNS_16_20,SEO_IDNS_2021,SEO_IDNS_NS,SEO_IDNS_Tot
LGA21270,4,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
LGA21370,34,4,12,8,14,3,15,0,5,88,0,0,0,0,0,0,0,0,0,0,39,6,15,12,16,14,8,0,0,106,0,0,0,0,0,0,0,0,0,3,8,0,0,4,6,3,0,0,0,23,10,0,0,0,4,5,5,0,0,16,23,4,0,4,6,9,4,0,5,60,17,5,0,8,5,10,4,0,4,41,18,0,3,0,0,5,0,0,0,27,3,0,0,0,0,0,0,0,0,5,6,0,0,0,3,0,0,0,0,7,5,0,0,0,0,0,0,0,3,10,16,0,0,7,0,3,0,0,0,37,10,0,3,3,0,0,0,0,0,17,11,0,0,3,4,5,0,0,0,25,16,5,10,5,0,7,9,0,0,43,78,6,16,24,15,10,5,0,9,167,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,4,0,0,0,18,16,0,6,0,7,6,3,0,0,32
LGA21450,48,0,3,5,15,4,6,0,5,96,16,0,0,3,0,3,0,0,0,27,115,11,24,19,48,34,15,0,6,268,5,0,5,9,4,0,0,0,0,22,163,12,32,41,55,29,24,0,11,360,43,3,3,3,4,4,3,0,0,65,125,12,18,43,57,33,18,0,0,305,45,4,7,30,53,39,12,0,0,183,88,3,7,14,16,4,10,0,3,151,7,0,0,3,4,0,0,0,0,17,30,0,0,7,7,9,3,0,0,48,27,0,6,0,7,0,0,0,0,44,78,11,12,14,18,18,14,0,4,169,42,9,10,3,11,10,3,0,3,89,66,3,7,12,17,6,5,0,3,117,168,37,33,50,52,46,22,0,3,412,169,17,36,43,58,36,19,0,4,389,25,0,3,6,13,14,0,0,5,78,43,3,3,14,20,13,6,0,8,104,79,7,10,19,22,12,6,0,16,178
LGA21610,47,3,8,18,10,19,8,0,0,119,6,0,0,0,0,0,0,0,0,9,267,24,43,61,71,63,28,0,12,566,44,12,5,6,16,3,8,0,0,89,456,65,86,105,130,101,56,0,14,1004,129,8,28,18,25,21,9,0,0,227,418,55,90,164,212,108,42,0,21,1099,81,15,35,90,150,71,49,0,9,499,154,22,32,45,49,18,22,0,3,344,31,3,8,13,24,10,16,0,0,104,91,12,17,28,33,9,4,0,3,199,59,13,15,20,15,13,0,0,0,138,172,15,35,52,53,35,26,0,0,387,141,15,22,29,27,14,19,0,6,275,212,38,23,38,46,29,11,0,5,397,496,84,108,179,173,129,73,0,14,1250,686,125,154,233,255,162,96,0,18,1731,60,11,11,17,27,14,5,0,4,151,190,30,33,44,55,42,23,0,3,414,187,27,38,56,72,41,48,0,32,501
LGA21670,3,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,17,0,0,3,4,3,3,0,0,29,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,5,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,0,0,0,18,13,0,0,0,0,0,0,0,0,19,40,0,0,3,7,3,0,0,5,61,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,8,3,0,0,0,5,0,0,0,0,13
LGA21750,28,3,0,8,10,3,10,0,0,64,0,0,0,0,0,0,0,0,0,0,29,9,7,9,11,3,13,0,0,73,0,0,4,0,0,0,0,0,0,5,12,5,3,3,3,3,0,0,0,27,3,0,0,0,0,5,0,0,0,5,21,0,0,0,3,8,4,0,0,43,29,0,3,8,7,11,14,0,0,74,13,0,3,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,8,0,4,0,3,0,0,0,0,15,8,0,3,6,0,5,4,0,0,29,14,0,3,5,3,0,0,0,0,36,18,0,3,3,0,5,6,0,0,32,44,5,4,10,10,6,3,0,4,93,12,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,6,12,0,0,3,0,0,0,0,0,19
LGA21830,41,4,17,40,27,25,22,6,7,190,5,0,0,0,0,0,0,0,0,10,15,3,3,7,0,4,3,0,0,44,6,0,0,0,0,0,3,0,0,9,4,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,7,0,3,4,3,3,0,0,0,24,8,0,3,4,4,0,0,0,0,24,3,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,9,0,0,3,0,0,0,5,0,0,4,8,0,0,0,0,0,4,0,0,13,12,0,4,3,0,0,0,0,0,17,25,0,8,4,4,5,0,0,0,49,0,0,0,6,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,15,9,0,0,4,0,0,0,0,0,17
LGA21890,10,0,3,0,3,4,6,0,0,18,10,3,0,0,3,0,0,0,0,23,207,25,33,39,51,52,22,0,4,433,10,4,3,0,3,6,0,0,0,23,137,25,35,32,41,70,51,0,7,392,72,8,12,23,19,10,17,0,0,169,217,27,37,76,88,78,76,0,9,615,49,10,17,32,45,66,74,0,8,305,61,11,17,16,14,14,30,0,3,157,24,6,10,15,18,16,5,0,0,82,40,5,5,10,14,9,7,0,3,89,37,4,5,15,0,3,5,0,0,69,146,28,36,53,61,63,37,0,8,439,63,6,6,12,12,16,22,0,0,147,161,21,25,48,30,51,32,0,6,368,357,61,80,95,112,123,94,0,14,936,381,58,57,80,113,130,90,0,21,931,36,12,13,20,13,11,18,0,6,134,72,6,11,19,32,35,31,0,7,215,93,10,26,14,36,26,40,0,12,256
LGA22110,37,7,0,5,0,7,9,0,3,68,0,0,0,0,0,0,0,0,0,0,64,4,16,8,12,3,16,0,4,131,11,0,0,0,0,0,0,0,0,15,28,5,3,0,8,6,0,0,3,55,13,0,0,0,6,0,3,0,0,23,54,3,3,14,10,6,0,0,0,102,54,7,10,11,12,12,6,0,5,108,20,4,4,5,0,0,0,0,6,38,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,15,29,4,4,3,5,4,3,0,0,58,18,0,3,0,3,9,3,0,0,36,48,7,10,5,13,8,5,0,0,93,76,7,9,12,17,4,3,0,6,140,133,10,30,29,33,21,17,0,11,283,14,0,0,0,0,0,3,0,0,22,21,0,3,3,3,0,5,0,0,44,27,3,0,0,6,3,3,0,0,45
LGA22170,18,0,8,5,3,8,8,0,0,41,12,0,0,0,0,0,0,0,0,7,306,23,33,59,70,49,30,0,5,587,68,6,18,18,24,15,12,0,0,163,282,33,54,67,80,70,42,0,9,634,73,12,17,17,25,15,4,0,0,164,242,25,49,90,88,63,36,5,8,604,72,12,15,40,68,51,35,0,0,292,113,12,10,10,15,19,10,0,4,196,27,7,6,0,3,7,0,0,6,61,72,7,3,11,15,18,0,0,0,123,47,7,3,3,5,9,0,0,0,81,183,22,36,35,34,37,17,0,5,357,109,11,20,18,23,17,11,0,0,208,154,11,23,28,39,24,12,0,9,303,291,23,50,58,80,51,23,0,3,579,749,106,156,224,275,178,85,3,25,1804,32,3,9,15,18,6,6,0,0,87,115,8,25,22,24,18,12,0,0,223,147,15,26,31,41,38,27,0,27,355
LGA22250,8,3,0,0,3,8,3,0,5,27,0,0,0,0,0,0,0,0,0,0,4,0,10,0,3,5,0,0,0,24,3,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,5,0,0,0,0,3,0,0,0,9,8,0,0,5,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,5
