POW_LGA_CODE_2021,OIDNS_400_499_H_0,OIDNS_400_499_H_1_19,OIDNS_400_499_H_20_29,OIDNS_400_499_H_30_34,OIDNS_400_499_H_35_39,OIDNS_400_499_H_40_44,OIDNS_400_499_H_45_49,OIDNS_400_499_H_50ov,OIDNS_400_499_H_NS,OIDNS_400_499_H_Tot,OIDNS_500_649_H_0,OIDNS_500_649_H_1_19,OIDNS_500_649_H_20_29,OIDNS_500_649_H_30_34,OIDNS_500_649_H_35_39,OIDNS_500_649_H_40_44,OIDNS_500_649_H_45_49,OIDNS_500_649_H_50ov,OIDNS_500_649_H_NS,OIDNS_500_649_H_Tot,OIDNS_650_799_H_0,OIDNS_650_799_H_1_19,OIDNS_650_799_H_20_29,OIDNS_650_799_H_30_34,OIDNS_650_799_H_35_39,OIDNS_650_799_H_40_44,OIDNS_650_799_H_45_49,OIDNS_650_799_H_50ov,OIDNS_650_799_H_NS,OIDNS_650_799_H_Tot,OIDNS_800_999_H_0,OIDNS_800_999_H_1_19,OIDNS_800_999_H_20_29,OIDNS_800_999_H_30_34,OIDNS_800_999_H_35_39,OIDNS_800_999_H_40_44,OIDNS_800_999_H_45_49,OIDNS_800_999_H_50ov,OIDNS_800_999_H_NS,OIDNS_800_999_H_Tot,OIDNS_1000_1249_H_0,OIDNS_1000_1249_H_1_19,OIDNS_1000_1249_H_20_29,OIDNS_1000_1249_H_30_34,OIDNS_1000_1249_H_35_39,OIDNS_1000_1249_H_40_44,OIDNS_1000_1249_H_45_49,OIDNS_1000_1249_H_50ov,OIDNS_1000_1249_H_NS,OIDNS_1000_1249_H_Tot,OIDNS_1250_1499_H_0,OIDNS_1250_1499_H_1_19,OIDNS_1250_1499_H_20_29,OIDNS_1250_1499_H_30_34,OIDNS_1250_1499_H_35_39,OIDNS_1250_1499_H_40_44,OIDNS_1250_1499_H_45_49,OIDNS_1250_1499_H_50ov,OIDNS_1250_1499_H_NS,OIDNS_1250_1499_H_Tot,OIDNS_1500_1749_H_0,OIDNS_1500_1749_H_1_19,OIDNS_1500_1749_H_20_29,OIDNS_1500_1749_H_30_34,OIDNS_1500_1749_H_35_39,OIDNS_1500_1749_H_40_44,OIDNS_1500_1749_H_45_49,OIDNS_1500_1749_H_50ov,OIDNS_1500_1749_H_NS,OIDNS_1500_1749_H_Tot,OIDNS_1750_1999_H_0,OIDNS_1750_1999_H_1_19,OIDNS_1750_1999_H_20_29,OIDNS_1750_1999_H_30_34,OIDNS_1750_1999_H_35_39,OIDNS_1750_1999_H_40_44,OIDNS_1750_1999_H_45_49,OIDNS_1750_1999_H_50ov,OIDNS_1750_1999_H_NS,OIDNS_1750_1999_H_Tot,OIDNS_2000_2999_H_0,OIDNS_2000_2999_H_1_19,OIDNS_2000_2999_H_20_29,OIDNS_2000_2999_H_30_34,OIDNS_2000_2999_H_35_39,OIDNS_2000_2999_H_40_44,OIDNS_2000_2999_H_45_49,OIDNS_2000_2999_H_50ov,OIDNS_2000_2999_H_NS,OIDNS_2000_2999_H_Tot,OIDNS_3000_3499_H_0,OIDNS_3000_3499_H_1_19,OIDNS_3000_3499_H_20_29,OIDNS_3000_3499_H_30_34,OIDNS_3000_3499_H_35_39,OIDNS_3000_3499_H_40_44,OIDNS_3000_3499_H_45_49,OIDNS_3000_3499_H_50ov,OIDNS_3000_3499_H_NS,OIDNS_3000_3499_H_Tot,OIDNS_3500mo_H_0,OIDNS_3500mo_H_1_19,OIDNS_3500mo_H_20_29,OIDNS_3500mo_H_30_34,OIDNS_3500mo_H_35_39,OIDNS_3500mo_H_40_44,OIDNS_3500mo_H_45_49,OIDNS_3500mo_H_50ov,OIDNS_3500mo_H_NS,OIDNS_3500mo_H_Tot,OIDNS_PINS_H_0,OIDNS_PINS_H_1_19,OIDNS_PINS_H_20_29,OIDNS_PINS_H_30_34,OIDNS_PINS_H_35_39,OIDNS_PINS_H_40_44,OIDNS_PINS_H_45_49,OIDNS_PINS_H_50ov,OIDNS_PINS_H_NS,OIDNS_PINS_H_Tot,OIDNS_Tot_H_0,OIDNS_Tot_H_1_19,OIDNS_Tot_H_20_29,OIDNS_Tot_H_30_34,OIDNS_Tot_H_35_39,OIDNS_Tot_H_40_44,OIDNS_Tot_H_45_49,OIDNS_Tot_H_50ov,OIDNS_Tot_H_NS,OIDNS_Tot_H_Tot,Tot_NNI_H_0,Tot_NNI_H_1_19,Tot_NNI_H_20_29,Tot_NNI_H_30_34,Tot_NNI_H_35_39,Tot_NNI_H_40_44,Tot_NNI_H_45_49,Tot_NNI_H_50ov,Tot_NNI_H_NS,Tot_NNI_H_Tot,Tot_1_149_H_0,Tot_1_149_H_1_19,Tot_1_149_H_20_29,Tot_1_149_H_30_34,Tot_1_149_H_35_39,Tot_1_149_H_40_44,Tot_1_149_H_45_49,Tot_1_149_H_50ov,Tot_1_149_H_NS,Tot_1_149_H_Tot,Tot_150_299_H_0,Tot_150_299_H_1_19,Tot_150_299_H_20_29,Tot_150_299_H_30_34,Tot_150_299_H_35_39,Tot_150_299_H_40_44,Tot_150_299_H_45_49,Tot_150_299_H_50ov,Tot_150_299_H_NS,Tot_150_299_H_Tot,Tot_300_399_H_0,Tot_300_399_H_1_19,Tot_300_399_H_20_29,Tot_300_399_H_30_34,Tot_300_399_H_35_39,Tot_300_399_H_40_44,Tot_300_399_H_45_49,Tot_300_399_H_50ov,Tot_300_399_H_NS,Tot_300_399_H_Tot,Tot_400_499_H_0,Tot_400_499_H_1_19,Tot_400_499_H_20_29,Tot_400_499_H_30_34,Tot_400_499_H_35_39,Tot_400_499_H_40_44,Tot_400_499_H_45_49,Tot_400_499_H_50ov,Tot_400_499_H_NS,Tot_400_499_H_Tot,Tot_500_649_H_0,Tot_500_649_H_1_19,Tot_500_649_H_20_29,Tot_500_649_H_30_34,Tot_500_649_H_35_39,Tot_500_649_H_40_44,Tot_500_649_H_45_49,Tot_500_649_H_50ov,Tot_500_649_H_NS,Tot_500_649_H_Tot,Tot_650_799_H_0,Tot_650_799_H_1_19,Tot_650_799_H_20_29,Tot_650_799_H_30_34,Tot_650_799_H_35_39,Tot_650_799_H_40_44,Tot_650_799_H_45_49,Tot_650_799_H_50ov,Tot_650_799_H_NS,Tot_650_799_H_Tot
LGA21270,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,3,7,0,3,5,0,3,22,49,3,12,0,0,0,3,3,16,0,43,4,63,0,0,0,3,0,7,12,86,4,34,8,0,0,3,0,16,0,74,10,50,13,4,6,8,3,12,0,101,7,56,31,16,6,21,4,17,3,158,4,49,60,26,18,19,7,26,9,219,11,46,61,46,34,37,7,53,0,292
LGA21370,0,0,4,0,0,0,0,0,6,12,5,5,5,3,7,0,0,0,11,26,3,0,0,0,5,0,0,0,10,25,0,4,0,4,7,9,0,3,13,36,0,0,0,0,8,8,3,0,4,31,0,0,0,0,4,3,0,5,0,12,6,0,0,0,0,3,0,4,3,21,4,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,6,31,42,26,32,13,15,41,27,9,20,121,305,22,30,8,6,10,20,0,56,21,172,108,456,23,9,14,7,0,22,25,654,47,322,76,6,8,23,4,30,26,538,49,261,110,19,24,29,5,43,27,571,59,252,198,43,54,54,9,57,24,766,86,355,379,136,147,119,29,107,38,1386,109,252,377,288,351,205,41,129,41,1795
LGA21450,6,7,7,0,0,0,0,0,3,28,0,0,8,0,5,0,0,0,14,38,3,5,11,7,5,3,0,0,11,50,9,6,10,7,21,12,10,3,14,82,3,0,5,3,18,15,4,6,16,76,0,0,3,0,13,14,0,7,8,44,0,0,0,0,5,11,0,5,8,41,0,0,4,4,0,6,3,4,12,31,0,0,0,0,7,6,0,6,0,25,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,4,0,6,0,12,0,3,0,0,11,3,0,6,57,83,49,67,55,26,88,77,22,53,174,606,45,86,16,12,19,19,3,48,17,288,196,1179,54,15,11,8,5,5,23,1497,117,926,135,31,20,23,6,18,17,1291,100,672,252,40,41,38,6,31,15,1202,124,690,479,89,87,80,17,55,31,1649,155,647,847,277,246,189,46,89,51,2538,149,486,770,536,693,375,65,130,60,3259
LGA21610,6,27,17,4,0,3,0,0,21,69,12,22,28,8,12,4,0,0,28,101,7,12,29,18,26,26,6,4,37,160,6,12,29,17,56,36,3,12,55,212,10,5,11,10,66,53,8,14,33,205,5,6,6,7,39,33,4,24,17,145,4,4,8,0,25,24,0,15,15,98,0,0,3,0,8,7,8,11,14,56,3,0,3,0,12,19,5,9,6,61,0,0,0,0,0,0,0,0,5,7,0,3,3,0,0,4,0,4,3,24,3,12,9,10,16,23,0,10,158,233,64,189,155,85,267,240,37,98,442,1581,117,236,75,31,41,56,10,45,53,667,385,2734,109,22,17,25,3,16,30,3351,364,2622,404,58,43,33,5,25,53,3607,298,1948,766,124,76,73,16,60,69,3423,299,1763,1287,218,220,175,31,58,77,4118,434,1668,2491,681,567,390,68,181,106,6583,462,1243,2184,1426,1788,874,146,240,145,8511
LGA21670,0,3,0,0,0,0,0,0,3,7,0,3,3,4,0,0,0,0,0,15,0,0,5,0,0,0,0,0,3,6,0,0,0,0,5,0,0,0,0,11,0,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,12,8,12,7,4,11,14,0,8,28,91,9,9,4,4,4,0,5,8,3,42,28,117,4,0,3,8,0,6,10,178,11,99,19,4,0,13,0,3,4,158,27,105,26,19,3,15,0,15,6,215,19,103,60,8,15,16,4,11,3,238,40,119,132,59,32,28,10,13,8,428,29,93,108,97,134,46,15,31,6,572
LGA21750,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,4,0,5,3,0,4,0,0,0,0,15,0,0,0,0,9,6,0,0,3,17,0,3,3,6,11,0,0,3,0,29,0,0,0,0,3,5,0,0,0,18,0,0,0,0,0,7,0,0,0,17,0,0,0,0,0,3,0,0,0,4,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,22,33,16,17,10,3,33,25,7,17,54,188,6,27,14,5,5,15,0,27,5,105,58,282,9,0,0,3,0,7,11,374,42,232,41,8,7,12,3,14,6,367,43,231,47,22,7,25,4,18,12,407,32,234,97,23,31,20,8,36,16,503,56,236,272,77,70,70,10,40,15,852,69,185,233,144,187,133,31,77,19,1073
LGA21830,0,0,0,0,0,8,0,0,0,5,4,3,4,0,0,3,0,0,3,17,0,0,0,0,0,0,0,0,3,5,0,0,0,5,0,0,0,0,7,15,0,0,0,0,0,0,0,6,7,16,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,15,19,4,11,12,4,9,18,10,15,60,138,3,14,6,3,6,3,6,48,7,100,24,174,9,0,0,5,6,9,19,238,21,154,30,5,5,8,4,38,15,267,14,99,41,19,7,19,3,21,14,239,20,138,88,20,22,31,6,50,10,389,23,122,175,67,32,54,10,69,19,569,29,100,156,82,105,98,16,107,29,729
LGA21890,3,8,13,3,5,0,0,3,11,43,3,15,7,4,3,3,0,5,22,64,4,15,15,7,16,6,0,3,15,82,3,8,8,10,31,13,0,5,20,103,4,12,7,6,39,19,4,4,21,128,0,4,6,5,27,32,5,6,24,102,0,0,10,0,15,19,6,5,9,56,0,0,0,4,9,10,4,4,3,38,0,0,0,9,20,12,4,6,8,57,0,0,0,0,0,7,0,0,0,9,3,3,3,0,4,0,0,5,6,24,0,6,3,0,5,0,4,5,89,119,46,108,82,44,175,121,21,53,274,935,54,83,32,29,29,31,3,35,28,323,248,1149,52,13,15,14,3,19,17,1525,208,1288,165,31,23,39,6,21,37,1820,199,1245,380,62,48,63,8,33,39,2072,193,1117,725,109,78,91,24,56,41,2433,273,1261,1354,386,278,227,38,108,74,3992,285,923,1334,755,863,518,74,138,78,4965
LGA22110,3,4,4,0,0,4,0,0,9,19,3,3,8,0,7,0,0,0,16,36,0,3,5,4,9,0,0,0,15,37,0,3,6,0,16,5,6,5,14,56,8,3,0,8,9,8,0,4,8,49,4,0,0,3,9,10,0,7,7,30,0,0,0,0,0,3,3,0,4,11,0,0,0,0,3,8,0,0,3,16,0,0,0,0,8,7,0,0,3,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,8,3,4,0,0,3,5,0,3,24,33,37,41,25,24,66,42,9,18,126,386,19,31,13,10,9,11,0,44,16,156,79,417,21,8,9,9,7,20,28,604,59,345,73,10,11,14,4,27,6,548,77,396,128,37,27,21,11,45,24,755,75,369,207,68,61,71,13,54,19,938,111,465,536,170,165,121,34,92,49,1745,133,368,504,342,380,213,43,122,48,2154
LGA22170,3,5,4,0,0,3,0,0,10,32,0,5,7,5,0,0,0,4,20,50,3,7,5,10,21,3,0,0,22,80,0,7,11,9,26,25,7,9,31,122,7,4,10,9,30,28,3,9,15,113,5,0,3,3,15,18,3,11,11,75,4,0,0,6,23,15,0,12,11,69,0,0,0,0,5,11,5,3,4,43,0,6,0,0,10,9,3,15,3,50,0,0,0,0,0,0,0,0,3,9,0,3,0,0,0,4,0,3,7,22,7,7,3,0,11,14,3,11,87,141,58,85,67,48,147,142,29,83,268,930,70,107,36,20,25,23,11,48,34,373,230,1368,63,9,18,18,3,9,16,1733,218,1285,217,40,30,14,9,15,18,1840,198,1047,359,70,47,54,8,27,39,1838,191,1022,641,125,103,93,16,50,32,2268,292,1067,1296,384,317,240,48,85,70,3809,301,749,1292,853,1008,505,68,141,90,5000
LGA22250,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,4,0,0,4,10,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,8,9,5,5,12,0,4,11,0,10,32,83,7,10,8,3,3,7,4,31,4,67,11,76,3,3,4,0,0,7,6,115,7,62,16,6,4,6,6,22,7,134,16,67,21,16,4,14,3,26,5,174,11,69,47,13,23,21,7,36,7,242,17,86,102,48,36,35,8,34,0,363,22,52,111,56,76,73,10,45,9,459
LGA22310,6,11,0,0,0,0,0,0,8,26,3,10,9,7,0,0,0,0,8,49,4,3,7,3,13,6,0,0,7,46,3,9,8,13,16,13,0,0,7,71,5,16,5,11,23,10,3,4,15,87,0,0,0,0,14,19,0,9,14,53,3,3,0,3,14,19,0,3,13,55,0,0,3,0,10,14,0,7,3,38,0,7,0,7,11,16,4,13,12,56,0,0,0,0,0,4,3,3,0,17,0,9,0,5,0,10,4,6,0,32,0,3,3,3,5,12,0,5,76,106,43,113,55,51,98,124,20,51,190,752,39,97,40,23,21,38,12,49,19,335,197,1199,52,7,9,15,5,9,15,1507,127,1195,162,29,17,20,9,23,11,1600,136,946,275,59,37,43,16,33,29,1567,132,894,572,76,67,68,18,38,31,1895,173,970,970,264,172,127,29,63,37,2813,148,725,961,501,519,294,58,120,52,3371
LGA22410,0,0,5,0,0,0,0,0,5,8,0,0,0,4,0,0,0,0,3,13,5,0,0,0,0,4,0,0,9,18,3,0,0,0,7,3,0,0,4,21,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,8,0,0,0,10,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,3,0,3,0,12,0,0,0,0,0,7,3,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,20,16,10,11,5,6,21,34,7,22,63,185,8,17,6,5,9,10,3,25,10,84,28,227,11,3,0,6,0,3,10,288,22,179,23,10,7,9,3,11,3,280,26,147,38,11,10,14,0,17,8,275,28,165,98,21,36,45,4,25,15,424,32,185,205,65,64,54,12,50,14,681,51,112,192,135,146,127,19,62,18,860
LGA22490,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,6,13,0,0,0,0,4,0,0,0,6,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,7,8,6,12,13,5,11,21,76,7,14,3,4,3,12,0,9,0,62,17,126,6,6,0,6,0,3,0,174,19,128,11,4,0,8,3,5,10,182,19,119,32,12,8,10,0,10,3,224,10,97,52,19,20,18,4,10,9,240,22,113,106,37,33,36,6,29,6,386,14,82,86,75,68,72,15,37,6,463
LGA22620,3,7,9,0,0,0,0,0,19,42,0,18,8,8,4,11,0,0,22,68,3,13,10,10,16,8,0,3,14,78,6,4,12,3,21,11,3,0,17,82,3,6,9,3,32,21,9,7,14,94,4,0,6,5,23,15,0,8,3,65,0,3,4,0,20,9,5,10,9,56,5,9,4,4,10,9,0,9,0,51,5,4,0,5,7,7,8,12,3,53,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,9,6,0,0,0,5,12,0,6,67,102,48,88,61,39,142,114,20,74,229,814,51,82,24,15,13,23,8,33,25,273,207,1399,43,4,6,7,4,15,31,1723,183,1165,175,27,21,32,6,12,35,1648,161,940,255,55,45,44,4,39,36,1578,197,986,533,124,125,108,19,56,46,2186,255,1184,1323,362,366,235,59,123,86,3998,303,793,1272,815,1030,574,82,192,65,5125
LGA22670,5,22,17,0,7,7,0,0,25,99,9,13,40,15,15,8,4,3,36,147,15,15,32,18,64,33,3,5,53,243,8,16,32,21,129,85,14,15,64,382,4,8,19,31,147,97,23,26,49,401,7,9,8,10,79,72,19,29,43,259,5,5,6,7,76,57,15,38,18,222,6,0,0,0,32,38,6,19,13,119,4,5,7,4,16,32,5,22,8,106,0,0,5,0,3,0,3,7,0,20,0,0,0,0,5,10,0,11,3,34,7,12,8,5,25,33,0,11,229,326,95,189,195,118,607,489,103,195,642,2627,85,186,76,38,81,67,20,59,76,671,185,1274,80,24,28,31,7,23,38,1678,190,1550,265,47,48,40,5,19,54,2220,192,1504,568,107,105,82,12,58,75,2699,162,1319,1205,178,205,168,22,80,90,3430,289,1390,2045,639,646,424,83,124,132,5769,384,1117,2085,1309,2846,1361,200,278,219,9797
LGA22750,8,21,11,3,3,7,0,0,36,103,17,20,28,6,6,8,0,0,38,129,12,14,21,6,21,22,0,5,32,127,5,11,11,16,52,37,0,5,34,184,10,3,20,15,71,49,10,23,41,237,10,7,13,10,41,57,3,15,31,178,12,5,5,11,49,38,13,15,22,161,0,4,8,6,38,28,3,14,10,115,5,3,0,4,45,29,11,34,8,132,0,4,0,3,4,9,0,8,7,27,3,9,7,3,6,9,8,16,14,69,0,3,10,13,17,32,10,15,171,270,114,207,136,114,364,329,56,155,524,2000,122,168,53,25,39,55,15,77,51,616,596,3200,87,20,19,30,5,32,58,4051,455,2863,325,66,51,54,10,31,55,3913,409,2484,676,138,89,71,21,57,64,4008,439,2475,1434,239,226,225,28,92,101,5259,620,2727,2781,734,593,537,102,165,119,8368,623,1987,2940,1566,1756,1078,169,287,172,10586
LGA22830,7,5,4,0,0,0,0,0,9,34,4,9,5,3,0,0,3,0,23,52,0,8,7,5,9,18,0,0,20,62,5,3,10,0,9,16,0,5,27,80,6,4,0,5,24,15,3,6,13,79,0,0,0,3,3,20,0,9,6,50,0,3,0,0,3,11,3,4,4,32,0,0,0,0,5,10,0,5,3,33,0,0,0,0,4,0,9,0,0,22,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,6,3,4,0,0,0,0,0,5,51,75,42,52,38,27,69,110,27,41,208,619,34,65,22,5,16,20,5,56,26,253,107,712,29,7,3,9,0,16,32,920,84,570,91,21,25,20,3,29,17,864,93,467,152,52,35,34,17,51,41,938,90,493,334,86,99,92,14,72,34,1322,145,533,684,231,232,218,40,104,57,2244,152,483,690,476,739,428,83,181,74,3307
LGA22910,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,4,4,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,4,5,8,13,11,3,3,3,0,15,23,74,11,15,6,0,0,5,0,10,0,56,37,114,0,0,0,4,0,6,0,168,25,144,31,7,6,4,4,9,7,234,30,130,38,6,11,15,4,18,10,263,36,141,69,21,20,13,7,25,8,333,44,185,151,54,36,42,5,35,4,550,53,122,148,91,70,55,27,39,6,606
LGA22980,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,5,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,4,0,9,14,42,0,3,4,0,5,5,0,9,0,24,4,39,0,0,0,0,0,3,0,48,5,32,3,0,0,0,0,12,3,55,5,29,11,6,4,0,0,6,3,67,3,33,16,10,3,8,3,6,3,88,10,41,40,23,19,15,5,14,5,173,13,32,41,41,51,32,4,21,3,240
LGA23110,0,12,15,3,0,0,0,0,4,30,0,3,8,9,5,0,0,0,9,34,0,3,14,4,5,8,0,0,7,48,4,5,9,4,33,19,3,0,22,103,0,3,9,0,22,34,6,11,15,98,3,0,0,4,25,19,4,6,11,73,4,0,5,0,8,14,6,12,9,69,4,4,3,3,10,15,3,13,3,50,0,6,0,8,19,21,8,14,9,69,0,0,0,0,4,4,3,8,4,18,0,0,6,3,4,3,0,10,0,22,0,6,0,0,9,9,0,0,58,85,27,75,74,31,151,148,40,85,187,800,33,51,36,4,31,26,4,23,24,227,154,728,32,9,6,10,0,9,8,955,123,762,90,21,10,14,0,13,17,1048,110,623,248,53,21,31,5,23,35,1149,84,579,415,71,58,60,8,33,20,1339,129,577,801,228,190,155,33,53,44,2215,145,464,753,457,607,339,51,88,46,2947
LGA23190,0,0,0,0,0,0,0,0,4,6,0,0,4,0,0,6,0,0,6,15,0,3,0,0,0,3,0,0,10,14,4,0,4,3,0,3,0,0,5,19,0,6,0,0,9,3,0,4,0,17,0,0,0,0,0,4,3,3,0,13,0,0,0,0,6,6,0,0,3,15,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,13,19,10,18,12,11,22,22,8,14,55,163,13,18,4,0,3,6,0,10,0,54,34,251,12,5,0,3,0,8,3,315,36,197,27,9,9,5,0,9,3,288,25,165,64,9,14,14,4,19,5,318,27,184,101,23,36,33,4,8,11,422,48,186,210,85,85,63,15,22,18,724,42,136,218,157,193,135,21,54,20,970
LGA23270,6,25,25,0,4,5,0,3,22,87,14,22,43,13,15,8,3,4,31,143,12,27,43,22,67,25,8,5,51,257,10,17,22,17,124,77,14,16,64,358,10,9,14,16,124,92,13,25,57,368,6,12,15,13,81,51,19,27,40,253,3,7,6,7,53,61,11,22,23,192,4,3,4,0,18,37,6,25,16,113,0,3,0,0,28,40,11,31,16,138,0,0,0,0,7,0,4,0,5,15,0,0,4,0,5,4,0,7,13,39,9,11,11,3,32,26,4,19,225,342,97,222,201,102,554,434,96,186,652,2546,137,212,58,25,61,56,24,47,92,705,319,1698,100,21,18,22,6,12,45,2231,279,2020,317,64,43,29,0,24,58,2841,266,1701,666,117,87,71,17,45,79,3043,284,1556,1268,221,178,202,31,80,100,3913,440,1581,2362,679,627,399,82,134,155,6454,533,1284,2243,1359,2310,1107,203,253,216,9512
LGA23350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,0,4,0,0,6,0,0,0,17,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,9,9,11,9,4,11,21,0,4,25,93,8,12,6,0,3,3,0,25,8,78,59,149,7,0,0,7,0,10,11,244,25,133,22,5,0,10,5,9,0,211,23,91,33,9,9,6,0,21,5,198,25,111,50,22,8,21,6,30,5,284,38,116,111,37,29,29,10,41,8,419,44,93,131,79,59,52,5,38,5,506
LGA23430,10,18,18,0,4,0,0,0,22,68,5,12,12,8,14,3,0,0,16,71,3,11,23,13,25,19,0,3,41,143,12,12,15,10,61,39,9,12,39,208,6,9,21,8,91,64,13,13,40,253,5,9,5,5,41,48,14,10,10,152,6,5,4,4,31,28,14,17,13,132,5,3,0,0,15,25,4,12,11,78,0,7,3,0,13,23,5,13,13,79,0,6,0,0,3,7,0,4,5,24,0,9,0,0,4,9,0,13,8,45,3,9,3,0,20,24,5,6,142,219,73,167,128,74,326,291,64,113,436,1666,90,146,51,29,52,34,13,64,55,543,386,1975,90,24,10,21,3,7,39,2554,275,1911,265,45,45,36,8,16,30,2641,245,1567,530,87,72,69,17,52,45,2690,290,1324,1012,165,151,133,22,57,54,3214,333,1525,1860,532,462,375,64,114,83,5351,341,1120,1794,1036,1721,822,124,245,128,7333
LGA23670,4,8,17,0,3,4,0,0,14,49,6,21,16,5,5,6,4,0,13,72,0,16,19,6,24,20,3,10,11,112,7,9,21,13,71,34,3,10,23,187,5,18,17,9,75,54,3,7,24,217,8,0,11,8,45,39,3,10,19,135,0,6,4,3,28,40,6,20,6,112,0,0,0,3,21,11,0,10,8,54,3,0,0,0,12,23,3,16,7,69,0,4,0,0,4,7,0,5,3,28,0,0,0,4,3,4,0,9,6,22,5,3,10,5,21,17,5,7,119,179,53,141,123,68,321,258,39,112,308,1420,70,113,31,21,22,47,14,51,42,420,291,1771,58,20,21,22,8,13,23,2224,236,1813,244,46,21,31,5,18,37,2450,217,1373,492,92,75,80,10,33,37,2405,186,1181,757,127,123,128,21,66,51,2641,315,1206,1632,456,409,305,50,110,70,4554,284,915,1464,966,1425,734,125,178,75,6173
